V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
116561,GBIF_23774,Oreorchis patens,37.512136,128.299144,3820020554,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oreorchis,SPECIES,NA,Bongpyeong-myeon,NA,KR,NA,6,2021,PRESERVED_SPECIMEN,NSMK,PL,NSMK-PL-210300361,without-number,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,143695,Oreorchis patens,Oreorchis,patens,(Lindl.) Lindl.,Species,Accepted,NA,649305-1,143695,15,-1,"c(128.299144, 37.512136)",TRUE
125370,GBIF_46850,Oreorchis patens,25.670153,99.958012,1304082458,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oreorchis,SPECIES,NA,华家庄,NA,CN,NA,NA,1940,PRESERVED_SPECIMEN,KUN,NA,ec7bfff0-b6bf-11e1-8c2f-acd112e444a7,without-number,秦仁昌,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,143695,Oreorchis patens,Oreorchis,patens,(Lindl.) Lindl.,Species,Accepted,NA,649305-1,143695,15,-1,"c(99.958012, 25.670153)",TRUE
125374,GBIF_46855,Oreorchis erythrochrysea,24.615701,100.709787,1304082502,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oreorchis,SPECIES,NA,Haou-Tsao-Bo,NA,CN,NA,NA,1939,PRESERVED_SPECIMEN,KUN,NA,ec7bf144-b6bf-11e1-8c2f-acd112e444a7,without-number,李鸣岗,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,143676,Oreorchis erythrochrysea,Oreorchis,erythrochrysea,Hand.-Mazz.,Species,Accepted,NA,649290-1,143676,11,-1,"c(100.709787, 24.615701)",TRUE
125375,GBIF_46856,Oreorchis nana,27.82308,99.706013,1304082511,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oreorchis,SPECIES,NA,石膏雪山德哥牛场后山,NA,CN,NA,NA,1939,PRESERVED_SPECIMEN,KUN,NA,ec7bfb94-b6bf-11e1-8c2f-acd112e444a7,without-number,冯国楣,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,143690,Oreorchis nana,Oreorchis,nana,Schltr.,Species,Accepted,NA,649301-1,143690,7,-1,"c(99.706013, 27.82308)",TRUE
125376,GBIF_46857,Oreorchis erythrochrysea,25.670153,99.958012,1304082520,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oreorchis,SPECIES,NA,华家庄,NA,CN,NA,NA,1940,PRESERVED_SPECIMEN,KUN,NA,ec7bebfe-b6bf-11e1-8c2f-acd112e444a7,without-number,秦仁昌,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,143676,Oreorchis erythrochrysea,Oreorchis,erythrochrysea,Hand.-Mazz.,Species,Accepted,NA,649290-1,143676,11,-1,"c(99.958012, 25.670153)",TRUE
125377,GBIF_46858,Oreorchis erythrochrysea,27.177166,99.28717,1304082539,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oreorchis,SPECIES,NA,NA,NA,CN,NA,NA,1935,PRESERVED_SPECIMEN,KUN,NA,ec7beb1f-b6bf-11e1-8c2f-acd112e444a7,without-number,王启无,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,143676,Oreorchis erythrochrysea,Oreorchis,erythrochrysea,Hand.-Mazz.,Species,Accepted,NA,649290-1,143676,11,-1,"c(99.28717, 27.177166)",TRUE
125378,GBIF_46859,Oreorchis erythrochrysea,26.876096,100.229945,1304082557,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oreorchis,SPECIES,NA,栗地坪,NA,CN,NA,NA,1939,PRESERVED_SPECIMEN,KUN,NA,ec7bf39a-b6bf-11e1-8c2f-acd112e444a7,without-number,赵重蕴,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,143676,Oreorchis erythrochrysea,Oreorchis,erythrochrysea,Hand.-Mazz.,Species,Accepted,NA,649290-1,143676,11,-1,"c(100.229945, 26.876096)",TRUE
125572,GBIF_47086,Oreorchis patens,25.670153,99.958012,1304095409,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oreorchis,SPECIES,NA,华家庄,NA,CN,NA,NA,1929,PRESERVED_SPECIMEN,KUN,NA,fd090cf1-b6bf-11e1-8c2f-acd112e444a7,without-number,秦仁昌,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,143695,Oreorchis patens,Oreorchis,patens,(Lindl.) Lindl.,Species,Accepted,NA,649305-1,143695,15,-1,"c(99.958012, 25.670153)",TRUE
125574,GBIF_47088,Oreorchis erythrochrysea,29.3253,95.333197,1304095427,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oreorchis,SPECIES,NA,"Mountains west of the kaakerpo, Dokerla and Yundshi",NA,CN,NA,NA,1932,PRESERVED_SPECIMEN,KUN,NA,fd09048b-b6bf-11e1-8c2f-acd112e444a7,without-number,J.F.Rock,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,143676,Oreorchis erythrochrysea,Oreorchis,erythrochrysea,Hand.-Mazz.,Species,Accepted,NA,649290-1,143676,11,-1,"c(95.333197, 29.3253)",TRUE
125755,GBIF_47345,Oreorchis erythrochrysea,26.876096,100.229945,1304082469,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Oreorchis,SPECIES,NA,Litiping between Likiang and Weihai.,NA,CN,NA,NA,1939,PRESERVED_SPECIMEN,KUN,NA,ec7bf40b-b6bf-11e1-8c2f-acd112e444a7,without-number,秦仁昌,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,143676,Oreorchis erythrochrysea,Oreorchis,erythrochrysea,Hand.-Mazz.,Species,Accepted,NA,649290-1,143676,11,-1,"c(100.229945, 26.876096)",TRUE
