V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
111259,GBIF_15269,Ornithocephalus myrticola,-20.266667,-40.533333,4526420669,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ornithocephalus,SPECIES,Angiospermas,"Pau Amarelo, ex-Condomínio Rural Cantinho do Céu. Floresta Ombrófila Densa Montana. Reserva Biológica de Duas Bocas",NA,BR,NA,5,2008,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00528370,5206,A.P. Fontana,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,144143,Ornithocephalus myrticola,Ornithocephalus,myrticola,Lindl.,Species,Accepted,NA,649455-1,144143,11,1,"c(-40.533333, -20.266667)",TRUE
111383,GBIF_15400,Ornithocephalus ciliatus,3.583333,-61.833333,4526429398,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ornithocephalus,SPECIES,Angiospermas,"Reserva Ecológica de Maracá. Ilha de Marcá: mata próximo à sede, picada para Área 4 (Regerneração Florestal).",NA,BR,NA,3,1987,PRESERVED_SPECIMEN,NA,Royal Botanic Gardens,K000886479,735,B.L. Stannard;M.G.M. Arrais,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,144105,Ornithocephalus ciliatus,Ornithocephalus,ciliatus,Lindl.,Species,Accepted,NA,649429-1,144105,11,1,"c(-61.833333, 3.583333)",TRUE
124503,GBIF_45926,Ornithocephalus ciliatus,-2.883333,-59.97,1042623669,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ornithocephalus,SPECIES,NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke.",NA,BR,0,10,1960,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",8240,1868,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,144105,Ornithocephalus ciliatus,Ornithocephalus,ciliatus,Lindl.,Species,Accepted,NA,649429-1,144105,6,-1,"c(-59.97, -2.883333)",TRUE
127619,GBIF_51856,Ornithocephalus bicornis,3.62348,-53.20925,4565160553,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ornithocephalus,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,10,2012,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Pavone Cindy,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,144096,Ornithocephalus bicornis,Ornithocephalus,bicornis,Lindl.,Species,Accepted,NA,649424-1,144096,6,-1,"c(-53.20925, 3.62348)",TRUE
127683,GBIF_51952,Ornithocephalus ciliatus,3.62348,-53.20925,4565160660,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ornithocephalus,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,12,2019,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Sébastien Sant,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,144105,Ornithocephalus ciliatus,Ornithocephalus,ciliatus,Lindl.,Species,Accepted,NA,649429-1,144105,6,-1,"c(-53.20925, 3.62348)",TRUE
127877,GBIF_52378,Ornithocephalus gladiatus,3.62348,-53.20925,4565161133,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ornithocephalus,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,9,2011,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,144123,Ornithocephalus gladiatus,Ornithocephalus,gladiatus,Hook.,Species,Accepted,NA,649439-1,144123,5,-1,"c(-53.20925, 3.62348)",TRUE
127930,GBIF_52510,Ornithocephalus ciliatus,3.62348,-53.20925,4565161277,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ornithocephalus,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,8,2014,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,144105,Ornithocephalus ciliatus,Ornithocephalus,ciliatus,Lindl.,Species,Accepted,NA,649429-1,144105,6,-1,"c(-53.20925, 3.62348)",TRUE
130116,GBIF_54809,Ornithocephalus bicornis,9.26111,-78.93111,1259355777,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ornithocephalus,SPECIES,Lindl.,"El Llano-Cartí Road, tropical moist forest, 9 km from Pan Am Hwy",NA,PA,NA,9,1980,PRESERVED_SPECIMEN,MO,Tropicos,2078672,1027,Kenneth J. Sytsma,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,144096,Ornithocephalus bicornis,Ornithocephalus,bicornis,Lindl.,Species,Accepted,NA,649424-1,144096,0,6,"c(-78.93111, 9.26111)",TRUE
130173,GBIF_54868,Ornithocephalus bicornis,12.4,-85.55,1261393475,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ornithocephalus,SPECIES,Lindl.,"Cerro Mombachito, 4 km al NW de Camoapa; bosque nublado, rodeado de pastizales",NA,NI,900,2,1983,PRESERVED_SPECIMEN,MO,Tropicos,677996,2265,Alfredo Grijalva P.;W. Robleto T.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,144096,Ornithocephalus bicornis,Ornithocephalus,bicornis,Lindl.,Species,Accepted,NA,649424-1,144096,0,6,"c(-85.55, 12.4)",TRUE
130826,GBIF_55536,Ornithocephalus bicornis,9.156944,-79.841667,1259357642,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ornithocephalus,SPECIES,Lindl.,Barro Colorado Island. Shannon Trail.,NA,PA,55,2,1969,PRESERVED_SPECIMEN,MO,Tropicos,2080049,8044,Thomas B. Croat,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,144096,Ornithocephalus bicornis,Ornithocephalus,bicornis,Lindl.,Species,Accepted,NA,649424-1,144096,0,6,"c(-79.841667, 9.156944)",TRUE
131225,GBIF_55952,Ornithocephalus gladiatus,10.407189,-61.390661,1055372012,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ornithocephalus,SPECIES,Hook.,NA,NA,TT,NA,2,1911,PRESERVED_SPECIMEN,NHMUK,BOT,BM000015009,s.n.,Walter Elias Broadway,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,144123,Ornithocephalus gladiatus,Ornithocephalus,gladiatus,Hook.,Species,Accepted,NA,649439-1,144123,0,5,"c(-61.390661, 10.407189)",TRUE
136918,GBIF_62411,Ornithocephalus myrticola,-28.9333,-49.4833,1638473038,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ornithocephalus,SPECIES,Pabst,Ararangua Mun.; Passo do Sertao.,NA,BR,10,2,1952,PRESERVED_SPECIMEN,USF,Herb,28926,5853,"L. B. Smith, P.R. Reitz",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,144143,Ornithocephalus myrticola,Ornithocephalus,myrticola,Lindl.,Species,Accepted,NA,649455-1,144143,6,-1,"c(-49.4833, -28.9333)",TRUE
136983,GBIF_62479,Ornithocephalus tripterus,15.5943,-90.1495,1638473032,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ornithocephalus,SPECIES,Schltr.,NA,NA,GT,NA,NA,without-year,PRESERVED_SPECIMEN,USF,Herb,28923,2262,H. von Tuerckheim,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,144165,Ornithocephalus tripterus,Ornithocephalus,tripterus,Schltr.,Species,Accepted,NA,176516-2,144165,0,7,"c(-90.1495, 15.5943)",TRUE
138201,GBIF_63738,Ornithocephalus tripterus,15.6659,-92.0039,1638473037,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ornithocephalus,SPECIES,Schltr.,Laguna Ocotal.,NA,MX,NA,NA,without-year,PRESERVED_SPECIMEN,USF,Herb,28924,3729,R. Oberg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,144165,Ornithocephalus tripterus,Ornithocephalus,tripterus,Schltr.,Species,Accepted,NA,176516-2,144165,0,7,"c(-92.0039, 15.6659)",TRUE
138299,GBIF_63839,Ornithocephalus myrticola,-19.0674,-51.5468,1638473034,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ornithocephalus,SPECIES,Lindl.,"Morro da Ressacada, Itajaí.",NA,BR,100,9,1954,PRESERVED_SPECIMEN,USF,Herb,28929,1.538,"R. Reitz, Klein",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,144143,Ornithocephalus myrticola,Ornithocephalus,myrticola,Lindl.,Species,Accepted,NA,649455-1,144143,0,6,"c(-51.5468, -19.0674)",TRUE
138370,GBIF_63912,Ornithocephalus myrticola,-27.1667,-49.5833,1638473033,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ornithocephalus,SPECIES,Lindl.,"Horto Florestal I.N.P., Ibirama.",NA,BR,200,1,1954,PRESERVED_SPECIMEN,USF,Herb,28928,118,A. Gevieski,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,144143,Ornithocephalus myrticola,Ornithocephalus,myrticola,Lindl.,Species,Accepted,NA,649455-1,144143,0,6,"c(-49.5833, -27.1667)",TRUE
138431,GBIF_63977,Ornithocephalus tripterus,15.4523,-90.0328,1638473036,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ornithocephalus,SPECIES,Schltr.,Pansamala.,NA,GT,NA,8,1886,PRESERVED_SPECIMEN,USF,Herb,28925,696,H. von Tuerckheim,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,144165,Ornithocephalus tripterus,Ornithocephalus,tripterus,Schltr.,Species,Accepted,NA,176516-2,144165,0,7,"c(-90.0328, 15.4523)",TRUE
138898,GBIF_64466,Ornithocephalus patentilobus,-11.0373,-69.6008,1503283082,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ornithocephalus,SPECIES,C. Schweinf.,Vicinity of Iquitos.,NA,PE,100,12,1936,PRESERVED_SPECIMEN,USF,Herb,28927,10038,G. Klug,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,144150,Ornithocephalus patentilobus,Ornithocephalus,patentilobus,C.Schweinf.,Species,Accepted,NA,176508-2,144150,1,9,"c(-69.6008, -11.0373)",TRUE
140126,GBIF_65836,Ornithocephalus myrticola,-21.475278,-49.288056,2996468766,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ornithocephalus,SPECIES,Lindl.,NA,NA,BR,NA,NA,without-year,PRESERVED_SPECIMEN,CRI,CRI,CRI005816,without-number,Vanilde Citadini-Zanette,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,144143,Ornithocephalus myrticola,Ornithocephalus,myrticola,Lindl.,Species,Accepted,NA,649455-1,144143,0,6,"c(-49.288056, -21.475278)",TRUE
140194,GBIF_65908,Ornithocephalus myrticola,-28.358611,-49.288056,2996471364,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ornithocephalus,SPECIES,Lindl.,NA,NA,BR,NA,NA,without-year,PRESERVED_SPECIMEN,CRI,CRI,CRI005813,without-number,"Vanilde Citadini-Zanette,C. E. Dário e C. M. Martinello",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,144143,Ornithocephalus myrticola,Ornithocephalus,myrticola,Lindl.,Species,Accepted,NA,649455-1,144143,0,6,"c(-49.288056, -28.358611)",TRUE
140196,GBIF_65910,Ornithocephalus myrticola,-28.678333,-49.370278,2996471352,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ornithocephalus,SPECIES,Lindl.,NA,NA,BR,NA,NA,without-year,PRESERVED_SPECIMEN,CRI,CRI,CRI005814,without-number,"Peterson T. Padilha,Lislaine Cardoso de Oliveira",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,144143,Ornithocephalus myrticola,Ornithocephalus,myrticola,Lindl.,Species,Accepted,NA,649455-1,144143,0,6,"c(-49.370278, -28.678333)",TRUE
140198,GBIF_65912,Ornithocephalus myrticola,-28.636944,-49.500833,2996471401,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ornithocephalus,SPECIES,Lindl.,NA,NA,BR,NA,NA,without-year,PRESERVED_SPECIMEN,CRI,CRI,CRI005811,without-number,Emiliane Biava Dalmolim,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,144143,Ornithocephalus myrticola,Ornithocephalus,myrticola,Lindl.,Species,Accepted,NA,649455-1,144143,0,6,"c(-49.500833, -28.636944)",TRUE
140276,GBIF_65998,Ornithocephalus myrticola,-29.088333,-49.571111,4439744306,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ornithocephalus,SPECIES,Lindl.,Fazenda Caverá,NA,BR,8,1,2021,PRESERVED_SPECIMEN,CRI,CRI,CRI00015414,without-number,Renato Colares;Mariane Cardoso Martins Carneiro,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,144143,Ornithocephalus myrticola,Ornithocephalus,myrticola,Lindl.,Species,Accepted,NA,649455-1,144143,0,6,"c(-49.571111, -29.088333)",TRUE
140287,GBIF_66010,Ornithocephalus myrticola,-28.598889,-49.425278,2996472605,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ornithocephalus,SPECIES,Lindl.,Barragem do Rio São Bento.,NA,BR,NA,7,2007,PRESERVED_SPECIMEN,CRI,CRI,CRI008599,without-number,"Marcelo Romagna Pasetto;J. L. Waechter,Telma Elyta V. Azeredo, Vanilde Citadini Zanette",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,144143,Ornithocephalus myrticola,Ornithocephalus,myrticola,Lindl.,Species,Accepted,NA,649455-1,144143,0,6,"c(-49.425278, -28.598889)",TRUE
