V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
114264,GBIF_18461,Otostylis brachystalix,4.8,-60.03,3991095750,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Otostylis,SPECIES,(Rchb.f.) Schltr.,"Pakaraima Mts, adj. to E bank, Upper Ireng R; between Cipo settlement & Norugu Creek.",NA,GY,NA,1,1993,PRESERVED_SPECIMEN,NY,NY,04347269,698,T. W. Henkel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,144824,Otostylis brachystalix,Otostylis,brachystalix,(Rchb.f.) Schltr.,Species,Accepted,NA,177390-2,144824,0,17,"c(-60.03, 4.8)",TRUE
131700,GBIF_56470,Otostylis brachystalix,10.407189,-61.390661,1057128776,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Otostylis,SPECIES,(Rchb.f.) Schltr.,NA,NA,TT,NA,2,1922,PRESERVED_SPECIMEN,NHMUK,BOT,BM000630516,s.n.,"R. Corstorphine, M. Maximova",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,144824,Otostylis brachystalix,Otostylis,brachystalix,(Rchb.f.) Schltr.,Species,Accepted,NA,177390-2,144824,0,17,"c(-61.390661, 10.407189)",TRUE
149885,GBIF_81199,Otostylis brachystalix,5.9667,-60.2167,1936419814,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Otostylis,SPECIES,(Linden & Rchb.f.) Schltr.,"Cuyuni-Mazaruni Region: N bank, W branch of Eping River",NA,GY,NA,2,1991,PRESERVED_SPECIMEN,MA,MA,MA-01-00525185,3922,T. McDowell & A. Stobey,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,144824,Otostylis brachystalix,Otostylis,brachystalix,(Rchb.f.) Schltr.,Species,Accepted,NA,177390-2,144824,9,16,"c(-60.2167, 5.9667)",TRUE
154673,GBIF_86455,Otostylis brachystalix,2.823183,-59.528695,3865141974,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Otostylis,SPECIES,(Rchb.f.) Schltr.,"near Dadanawa, upper Rupununi River",NA,GY,NA,6,1922,PRESERVED_SPECIMEN,PH,NA,PH00598494,1559,J. S. De La Cruz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,144824,Otostylis brachystalix,Otostylis,brachystalix,(Rchb.f.) Schltr.,Species,Accepted,NA,177390-2,144824,0,17,"c(-59.528695, 2.823183)",TRUE
183574,GBIF_128969,Otostylis brachystalix,4.98333,-61.16666,1261388182,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Otostylis,SPECIES,(Linden & Rchb. f.) Schltr.,Gran Sabana; 5 km south of San Ignacio de Yuruaní. Edge of forest on slope with Mauritia flexuosa (Moriche palm) and wet savanna.,NA,VE,850,5,1988,PRESERVED_SPECIMEN,MO,Tropicos,672911,24515,Ronald L. Liesner,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,144824,Otostylis brachystalix,Otostylis,brachystalix,(Rchb.f.) Schltr.,Species,Accepted,NA,177390-2,144824,10,11,"c(-61.16666, 4.98333)",TRUE
185160,GBIF_130651,Otostylis brachystalix,-0.83333,-71.83333,4031412271,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Otostylis,SPECIES,(Linden & Rchb. f.) Schltr.,"Amazonas. Cuenca del Río Caquetá, en vosque bajo sobre suelo podsolizado de tierra firme.",NA,CO,NA,11,1991,PRESERVED_SPECIMEN,MO,Tropicos,101648444,1345,Joost Duivenvoorden;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,144824,Otostylis brachystalix,Otostylis,brachystalix,(Rchb.f.) Schltr.,Species,Accepted,NA,177390-2,144824,10,11,"c(-71.83333, -0.83333)",TRUE
211250,GBIF_164308,Otostylis brachystalix,1.65,-58.633333,2997320037,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Otostylis,SPECIES,(Rchb.f.) Schltr.,"Gunn's, Essequibo River",NA,GY,250,9,1989,PRESERVED_SPECIMEN,MNHN,P,P00447797,1875,Jansen-Jacobs,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,144824,Otostylis brachystalix,Otostylis,brachystalix,(Rchb.f.) Schltr.,Species,Accepted,NA,177390-2,144824,0,17,"c(-58.633333, 1.65)",TRUE
220314,GBIF_177432,Otostylis brachystalix,5.3014,-59.8978,1929371549,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Otostylis,SPECIES,(Rchb.f.) Schltr.,"Upper Potaro R., near old Ayanganna airstrip.",NA,GY,NA,7,2001,PRESERVED_SPECIMEN,NY,NY,1477487,9888,H. D. Clarke,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,144824,Otostylis brachystalix,Otostylis,brachystalix,(Rchb.f.) Schltr.,Species,Accepted,NA,177390-2,144824,0,17,"c(-59.8978, 5.3014)",TRUE
247264,GBIF_211560,Otostylis brachystalix,-3.748833,-70.349028,1890954007,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Otostylis,SPECIES,(Rchb. f.) Schltr.,Sin Datos.,NA,CO,NA,4,1975,PRESERVED_SPECIMEN,Universidad Nacional de Colombia (UNAL),COL,184558,3381,I. Cabrera,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,144824,Otostylis brachystalix,Otostylis,brachystalix,(Rchb.f.) Schltr.,Species,Accepted,NA,177390-2,144824,1,11,"c(-70.349028, -3.748833)",TRUE
289056,GBIF_286386,Otostylis brachystalix,1.65,-58.633333,3699025405,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Otostylis,SPECIES,(Rchb.f.) Schltr.,"Gunn's, Essequibo River.",NA,GY,250,9,1989,PRESERVED_SPECIMEN,BBS,BBS,BBS0025153,1875,"Jansen-Jacobs, M. J. et al.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,144824,Otostylis brachystalix,Otostylis,brachystalix,(Rchb.f.) Schltr.,Species,Accepted,NA,177390-2,144824,0,17,"c(-58.633333, 1.65)",TRUE
