V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
140495,GBIF_66231,Pachites bodkinii,-34.375,19.375,2469058018,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pachites,SPECIES,NA,NA,NA,ZA,775,12,1986,PRESERVED_SPECIMEN,VOG,NA,VOG0001340,3766,"Williams, I.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,145099,Pachites bodkinii,Pachites,bodkinii,Bolus,Species,Accepted,NA,649571-1,145099,5,-1,"c(19.375, -34.375)",TRUE
140706,GBIF_66444,Pachites bodkinii,-34.375,19.375,2469054621,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pachites,SPECIES,NA,NA,NA,ZA,400,12,1986,PRESERVED_SPECIMEN,HER,NA,HER0001037,501,"Drewe, P.B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,145099,Pachites bodkinii,Pachites,bodkinii,Bolus,Species,Accepted,NA,649571-1,145099,5,-1,"c(19.375, -34.375)",TRUE
269968,GBIF_238513,Pachites bodkinii,-34.151111,19.140278,3708410579,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pachites,SPECIES,NA,Caledon. Lebanon State Forest. Jakkalsrivier Catchment Ig. Altitude: c. 2700ft.,NA,ZA,NA,1,1971,PRESERVED_SPECIMEN,NA,NA,NBG0181311-0,s.n.,"Kruger, FJ",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,145099,Pachites bodkinii,Pachites,bodkinii,Bolus,Species,Accepted,NA,649571-1,145099,5,-1,"c(19.140278, -34.151111)",TRUE
269969,GBIF_238514,Pachites bodkinii,-34.101389,18.453889,3708973501,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pachites,SPECIES,NA,Simonstown. Muizenberg Plateau.,NA,ZA,NA,12,2005,PRESERVED_SPECIMEN,NA,NA,NBG0212644-0,2677,"Bytebier, B",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,145099,Pachites bodkinii,Pachites,bodkinii,Bolus,Species,Accepted,NA,649571-1,145099,5,-1,"c(18.453889, -34.101389)",TRUE
298656,GBIF_297214,Pachites bodkinii,-33.949167,20.903611,3708400595,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pachites,SPECIES,NA,Warmwaterberg: Langeberg East MCA; Horingberg.,NA,ZA,NA,1,1987,PRESERVED_SPECIMEN,NA,NA,PRE0813703-0,173,"Van der Merwe, TJ",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,145099,Pachites bodkinii,Pachites,bodkinii,Bolus,Species,Accepted,NA,649571-1,145099,5,-1,"c(20.903611, -33.949167)",TRUE
298657,GBIF_297215,Pachites bodkinii,-34.095,18.438333,3708400596,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pachites,SPECIES,NA,"Simonstown. Silvermine Nature Reserve South, on the south east slope of the Upper Steenberg Peak.",NA,ZA,NA,12,1992,PRESERVED_SPECIMEN,NA,NA,NBG0151905-0,s.n.,"Anderson, VF",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,145099,Pachites bodkinii,Pachites,bodkinii,Bolus,Species,Accepted,NA,649571-1,145099,5,-1,"c(18.438333, -34.095)",TRUE
298658,GBIF_297216,Pachites bodkinii,-33.616667,19.125,3708968495,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pachites,SPECIES,NA,"Worcester Division. Baviaans Kloof, off Bains Kloof.",NA,ZA,NA,1,1945,PRESERVED_SPECIMEN,NA,NA,SAM0056223-0,877,"Lewis, GJ",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,145099,Pachites bodkinii,Pachites,bodkinii,Bolus,Species,Accepted,NA,649571-1,145099,5,-1,"c(19.125, -33.616667)",TRUE
300420,GBIF_299028,Pachites bodkinii,-34.333333,19.016667,3708386581,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pachites,SPECIES,NA,Hermanus. Kleinmond.,NA,ZA,NA,12,1962,PRESERVED_SPECIMEN,NA,NA,NBG0130748-0,686,"Walters, IB",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,145099,Pachites bodkinii,Pachites,bodkinii,Bolus,Species,Accepted,NA,649571-1,145099,5,-1,"c(19.016667, -34.333333)",TRUE
300421,GBIF_299029,Pachites bodkinii,-34.006944,19.010556,3708386582,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pachites,SPECIES,NA,Stellenbosch; Dwarsberg Plateau; neck NW of main rain gauge.,NA,ZA,NA,12,1989,PRESERVED_SPECIMEN,NA,NA,NBG0181309-0,9419,"Oliver, EGH",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,145099,Pachites bodkinii,Pachites,bodkinii,Bolus,Species,Accepted,NA,649571-1,145099,5,-1,"c(19.010556, -34.006944)",TRUE
300422,GBIF_299030,Pachites bodkinii,-34.016667,19.616667,3708964498,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pachites,SPECIES,NA,Caledon. Greyton Mountain.,NA,ZA,NA,12,2000,PRESERVED_SPECIMEN,NA,NA,NBG0196055-0,s.n.,"Volk, FW",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,145099,Pachites bodkinii,Pachites,bodkinii,Bolus,Species,Accepted,NA,649571-1,145099,5,-1,"c(19.616667, -34.016667)",TRUE
