V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
13067,ALA_16747,Pachystoma pubescens,-18.2,146,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Pachystoma,species,Blume,NA,Australia,AU,NA,10,1969,PRESERVED_SPECIMEN,CANB,CANB,CANB 998719.1,s.n.,"Waters, I.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,145381,Pachystoma pubescens,Pachystoma,pubescens,Blume,Species,Accepted,NA,649658-1,145381,0,5,"c(146, -18.2)",TRUE
18623,ALA_25270,Pachystoma pubescens,-3.15,141.4,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Pachystoma,species,Blume,"Madang District, S of the Ramu River near Bembi village.",Papua New Guinea,PG,NA,8,1955,PRESERVED_SPECIMEN,CANB,CANB,CANB 110580.1,s.n.,"Hoogland, R.D.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,145381,Pachystoma pubescens,Pachystoma,pubescens,Blume,Species,Accepted,NA,649658-1,145381,0,5,"c(141.4, -3.15)",TRUE
70315,ALA_97735,Pachystoma pubescens,-12.547239,131.0188461,dr15866,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Pachystoma,species,Blume,"25km SE Darwin, Virginia",Australia,AU,NA,8,1988,PRESERVED_SPECIMEN,DNA,DNA,DNA D0033480,4538,Glenn Mitchell Wightman,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,145381,Pachystoma pubescens,Pachystoma,pubescens,Blume,Species,Accepted,NA,649658-1,145381,0,5,"c(131.0188461, -12.547239)",TRUE
70361,ALA_97814,Pachystoma pubescens,-11.4975176,132.6321498,dr15866,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Pachystoma,species,Blume,Cobourg Peninsula; SE fencline at base of peninsula.,Australia,AU,NA,9,1995,PRESERVED_SPECIMEN,DNA,DNA,DNA D0124938,6509,Glenn Mitchell Wightman,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,145381,Pachystoma pubescens,Pachystoma,pubescens,Blume,Species,Accepted,NA,649658-1,145381,0,5,"c(132.6321498, -11.4975176)",TRUE
70534,ALA_98134,Pachystoma pubescens,-11.27,131.86,dr15866,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Pachystoma,species,Blume,"Coburg Peninsula, Popham Bay area, precise location not recorded",Australia,AU,NA,11,2004,PRESERVED_SPECIMEN,DNA,DNA,DNA D0176343,6767,Kym Brennan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,145381,Pachystoma pubescens,Pachystoma,pubescens,Blume,Species,Accepted,NA,649658-1,145381,0,5,"c(131.86, -11.27)",TRUE
70546,ALA_98153,Pachystoma pubescens,-12.3305605,132.6188203,dr15866,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Pachystoma,species,Blume,"Munmulary, Jay Block, Kakadu NP.",Australia,AU,NA,9,1989,PRESERVED_SPECIMEN,DNA,DNA,DNA D0040117,4765,Glenn Mitchell Wightman,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,145381,Pachystoma pubescens,Pachystoma,pubescens,Blume,Species,Accepted,NA,649658-1,145381,0,5,"c(132.6188203, -12.3305605)",TRUE
70589,ALA_98236,Pachystoma pubescens,-12.5472399,131.035507,dr15866,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Pachystoma,species,Blume,"Lowther Road, Virginia area.",Australia,AU,NA,10,1989,PRESERVED_SPECIMEN,DNA,DNA,DNA D0042330,4776,Glenn Mitchell Wightman,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,145381,Pachystoma pubescens,Pachystoma,pubescens,Blume,Species,Accepted,NA,649658-1,145381,0,5,"c(131.035507, -12.5472399)",TRUE
70590,ALA_98239,Pachystoma pubescens,-12.547244,130.9855054,dr15866,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Pachystoma,species,Blume,Virginia area; Burdens Ck.,Australia,AU,NA,10,1995,PRESERVED_SPECIMEN,DNA,DNA,DNA D0124937,6524,Glenn Mitchell Wightman,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,145381,Pachystoma pubescens,Pachystoma,pubescens,Blume,Species,Accepted,NA,649658-1,145381,0,5,"c(130.9855054, -12.547244)",TRUE
71888,ALA_100245,Pachystoma pubescens,-12.7,143.2,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Pachystoma,species,Blume,NA,Australia,AU,NA,10,1980,PRESERVED_SPECIMEN,CNS,CNS,QRS 63756.2,1821,"Gray, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,145381,Pachystoma pubescens,Pachystoma,pubescens,Blume,Species,Accepted,NA,649658-1,145381,0,5,"c(143.2, -12.7)",TRUE
110143,GBIF_14015,Pachystoma pubescens,-21.49139,165.945,438531579,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pachystoma,VARIETY,(Schltr.) N.Hallé,NA,NA,NC,NA,NA,without-year,PRESERVED_SPECIMEN,MNHN,P,P00081829,without-number,"Deplanche, E.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,145381,Pachystoma pubescens,Pachystoma,pubescens,Blume,Species,Accepted,NA,649658-1,145381,16,1,"c(165.945, -21.49139)",TRUE
