V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
124295,GBIF_45711,Paphinia grandiflora,-2.883333,-59.97,1042619572,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paphinia,SPECIES,NA,"Reserva Florestal Adolfo Ducke, Igarapé do Tinga. Solo areno-argiloso.",NA,BR,0,4,1994,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195098,1276,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,146950,Paphinia grandiflora,Paphinia,grandiflora,Barb.Rodr.,Species,Accepted,NA,649702-1,146950,10,-1,"c(-59.97, -2.883333)",TRUE
124314,GBIF_45731,Paphinia grandiflora,-2.883333,-59.97,1042657553,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paphinia,SPECIES,NA,"Reserva Florestal Adolfo Ducke, Próx. Barro Branco",NA,BR,0,12,1995,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195246,196,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,146950,Paphinia grandiflora,Paphinia,grandiflora,Barb.Rodr.,Species,Accepted,NA,649702-1,146950,10,-1,"c(-59.97, -2.883333)",TRUE
124456,GBIF_45878,Paphinia grandiflora,-2.883333,-59.97,1042500090,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paphinia,SPECIES,NA,Reserva Florestal Adolfo Ducke,NA,BR,0,1,1996,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195059,722,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,146950,Paphinia grandiflora,Paphinia,grandiflora,Barb.Rodr.,Species,Accepted,NA,649702-1,146950,10,-1,"c(-59.97, -2.883333)",TRUE
124875,GBIF_46317,Paphinia grandiflora,-2.883333,-59.97,1042656952,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paphinia,SPECIES,NA,"Reserva Florestal Adolfo Ducke, Próx. Acará.",NA,BR,0,1,1996,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195247,204,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,146950,Paphinia grandiflora,Paphinia,grandiflora,Barb.Rodr.,Species,Accepted,NA,649702-1,146950,10,-1,"c(-59.97, -2.883333)",TRUE
125002,GBIF_46448,Paphinia grandiflora,-2.883333,-59.97,1042488331,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paphinia,SPECIES,NA,"Reserva Florestal Adolfo Ducke, Igarapé do Tinga",NA,BR,0,2,1996,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195039,513,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,146950,Paphinia grandiflora,Paphinia,grandiflora,Barb.Rodr.,Species,Accepted,NA,649702-1,146950,10,-1,"c(-59.97, -2.883333)",TRUE
125126,GBIF_46581,Paphinia grandiflora,-2.883333,-59.97,1042619776,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paphinia,SPECIES,NA,"Reserva Florestal Adolfo Ducke, Igarapé do Acará.",NA,BR,0,4,1996,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195179,1822,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,146950,Paphinia grandiflora,Paphinia,grandiflora,Barb.Rodr.,Species,Accepted,NA,649702-1,146950,10,-1,"c(-59.97, -2.883333)",TRUE
127492,GBIF_51683,Paphinia cristata,3.62348,-53.20925,4565160363,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paphinia,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,10,2012,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Pavone Cindy,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,146946,Paphinia cristata,Paphinia,cristata,(Lindl.) Lindl.,Species,Accepted,NA,649701-1,146946,15,-1,"c(-53.20925, 3.62348)",TRUE
127565,GBIF_51775,Paphinia cristata,3.62348,-53.20925,4565160469,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paphinia,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,2,2014,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,146946,Paphinia cristata,Paphinia,cristata,(Lindl.) Lindl.,Species,Accepted,NA,649701-1,146946,15,-1,"c(-53.20925, 3.62348)",TRUE
127596,GBIF_51820,Paphinia cristata,3.62348,-53.20925,4565160514,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paphinia,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,4,2010,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,146946,Paphinia cristata,Paphinia,cristata,(Lindl.) Lindl.,Species,Accepted,NA,649701-1,146946,15,-1,"c(-53.20925, 3.62348)",TRUE
127855,GBIF_52328,Paphinia cristata,3.62348,-53.20925,4565161071,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paphinia,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,12,2011,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,146946,Paphinia cristata,Paphinia,cristata,(Lindl.) Lindl.,Species,Accepted,NA,649701-1,146946,15,-1,"c(-53.20925, 3.62348)",TRUE
127907,GBIF_52450,Paphinia cristata,3.62348,-53.20925,4565161209,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paphinia,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,1,2012,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,146946,Paphinia cristata,Paphinia,cristata,(Lindl.) Lindl.,Species,Accepted,NA,649701-1,146946,15,-1,"c(-53.20925, 3.62348)",TRUE
127912,GBIF_52463,Paphinia cristata,3.62348,-53.20925,4565161222,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paphinia,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,1,2015,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,146946,Paphinia cristata,Paphinia,cristata,(Lindl.) Lindl.,Species,Accepted,NA,649701-1,146946,15,-1,"c(-53.20925, 3.62348)",TRUE
152496,GBIF_84140,Paphinia lindeniana,0.83,-66.17,2382915457,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paphinia,SPECIES,Rchb.f.,0 to 1 km southeast of Cerro de La Neblina Base Camp which is on Río Mawarinum,NA,VE,NA,3,1984,PRESERVED_SPECIMEN,NY,NY,4111062,16600,R. L. Liesner,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,146957,Paphinia lindeniana,Paphinia,lindeniana,Rchb.f.,Species,Accepted,NA,649704-1,146957,0,7,"c(-66.17, 0.83)",TRUE
175347,GBIF_118678,Paphinia lindeniana,-10.612222,-75.374722,1257671595,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paphinia,SPECIES,Rchb. f.,Dist. Oxapampa. Llamaquizú.,NA,PE,1902,10,2008,PRESERVED_SPECIMEN,USM,Tropicos,100322036,34025,"Rodolfo Vásquez;Abel Monteagudo;A. Peña Cruz;J. Mateo M.;Flores, V.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,146957,Paphinia lindeniana,Paphinia,lindeniana,Rchb.f.,Species,Accepted,NA,649704-1,146957,1,5,"c(-75.374722, -10.612222)",TRUE
184394,GBIF_129831,Paphinia subclausa,9.93388,-83.58861,1260062865,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paphinia,SPECIES,Dressler,Near Chitaria (Turrialba - Siquirres road),NA,CR,NA,8,1965,PRESERVED_SPECIMEN,MO,Tropicos,2719934,s.n.,Robert L. Dressler,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,146969,Paphinia subclausa,Paphinia,subclausa,Dressler,Species,Accepted,NA,313590-2,146969,0,8,"c(-83.58861, 9.93388)",TRUE
185985,GBIF_131580,Paphinia litensis,0.48,-78.15,1261357436,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paphinia,SPECIES,Dodson & Neudecker,Cachaco-Sta. Rosa de Cachaco,NA,EC,1400,12,1990,PRESERVED_SPECIMEN,MO,Tropicos,641213,18633,Calaway H. Dodson;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,146958,Paphinia litensis,Paphinia,litensis,Dodson & Neudecker,Species,Accepted,NA,282098-2,146958,0,18,"c(-78.15, 0.48)",TRUE
290236,GBIF_287653,Paphinia lindeniana,0.83333,-66.16666,1261387753,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paphinia,SPECIES,Rchb. f.,"Río Negro. 0 to 1 km southeast of Cerro de La Neblina Base Camp which is on Río Mawarinuma. Elev. 140 m. 0º50'N, 66º10'W.",NA,VE,140,3,1984,PRESERVED_SPECIMEN,MO,Tropicos,672494,16600,Ronald L. Liesner,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,146957,Paphinia lindeniana,Paphinia,lindeniana,Rchb.f.,Species,Accepted,NA,649704-1,146957,1,5,"c(-66.16666, 0.83333)",TRUE
290330,GBIF_287753,Paphinia lindeniana,-3.5,-72.83333,1261393302,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paphinia,SPECIES,Rchb. f.,"Explorama Lodge, 50 millas NE de Dtto. Iquitos. Bosque primario.",NA,PE,106,6,1981,PRESERVED_SPECIMEN,MO,Tropicos,677822,2021,Rodolfo Vásquez;Nestor Jaramillo,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,146957,Paphinia lindeniana,Paphinia,lindeniana,Rchb.f.,Species,Accepted,NA,649704-1,146957,1,5,"c(-72.83333, -3.5)",TRUE
290493,GBIF_287923,Paphinia vermiculifera,8.616667,-80.133333,1260062734,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paphinia,SPECIES,G. Gerlach & Dressler,Near El Valle de Antón,NA,PA,900,3,2002,PRESERVED_SPECIMEN,MO,Tropicos,2719831,6350,Robert L. Dressler,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,257362,Paphinia vermiculifera,Paphinia,vermiculifera,G.Gerlach & Dressler,Species,Accepted,NA,329289-2,257362,1,18,"c(-80.133333, 8.616667)",TRUE
321737,GBIF_330248,Paphinia grandiflora,-1.366389,-48.372222,2365711620,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paphinia,SPECIES,Barb.Rodr.,.,NA,BR,NA,2,2019,PRESERVED_SPECIMEN,MPEG,HERBMG,MG236324,9,"Vasconcelos, F.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,146950,Paphinia grandiflora,Paphinia,grandiflora,Barb.Rodr.,Species,Accepted,NA,649702-1,146950,0,10,"c(-48.372222, -1.366389)",TRUE
330072,GBIF_340884,Paphinia neudeckeri,-1.4275,-78.76694,1144746383,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paphinia,SPECIES,NA,"Equateur - Dep. Oriente, Strasse Tena nach Baeza.",NA,EC,1200,5,1983,PRESERVED_SPECIMEN,G,Geneva Herbarium – General Collection (G),G-G-150300/1,without-number,"Jenny, R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,146959,Paphinia neudeckeri,Paphinia,neudeckeri,Jenny,Species,Accepted,NA,902708-1,146959,5,-1,"c(-78.76694, -1.4275)",TRUE
336047,GBIF_349641,Paphinia cristata,10.6,-61.2,4130812732,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paphinia,SPECIES,(Lindl.) Lindl.,"Aripo Savannah, Trinidad, W.I.",NA,TT,NA,9,1983,PRESERVED_SPECIMEN,TRIN,TRIN,TRIN28762,without-number,J. Hart,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,146946,Paphinia cristata,Paphinia,cristata,(Lindl.) Lindl.,Species,Accepted,NA,649701-1,146946,0,15,"c(-61.2, 10.6)",TRUE
336081,GBIF_349675,Paphinia cristata,10.19505,-61.656639,4130814677,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paphinia,SPECIES,(Lindl.) Lindl.,"Guapo, Trinidad, W.I.",NA,TT,NA,10,1866,PRESERVED_SPECIMEN,TRIN,TRIN,TRIN614,without-number,H. Crueger,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,146946,Paphinia cristata,Paphinia,cristata,(Lindl.) Lindl.,Species,Accepted,NA,649701-1,146946,0,15,"c(-61.656639, 10.19505)",TRUE
336278,GBIF_349872,Paphinia cristata,10.5,-61.25,4130819934,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paphinia,SPECIES,(Lindl.) Lindl.,"Trinidad, W.I.",NA,TT,NA,8,1925,PRESERVED_SPECIMEN,TRIN,TRIN,TRIN11484,without-number,W.E. Broadway,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,146946,Paphinia cristata,Paphinia,cristata,(Lindl.) Lindl.,Species,Accepted,NA,649701-1,146946,0,15,"c(-61.25, 10.5)",TRUE
336279,GBIF_349873,Paphinia cristata,10.675732,-61.058972,4130819935,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paphinia,SPECIES,(Lindl.) Lindl.,"Matura, Trinidad, W.I.",NA,TT,NA,9,1925,PRESERVED_SPECIMEN,TRIN,TRIN,TRIN11483,without-number,Bradford,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,146946,Paphinia cristata,Paphinia,cristata,(Lindl.) Lindl.,Species,Accepted,NA,649701-1,146946,0,15,"c(-61.058972, 10.675732)",TRUE
336341,GBIF_349936,Paphinia cristata,10.6,-61.2,4130822051,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paphinia,SPECIES,(Lindl.) Lindl.,"Aripo Savannah, Trinidad, W.I.",NA,TT,NA,2,1915,PRESERVED_SPECIMEN,TRIN,TRIN,TRIN8043,without-number,W.E. Broadway,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,146946,Paphinia cristata,Paphinia,cristata,(Lindl.) Lindl.,Species,Accepted,NA,649701-1,146946,0,15,"c(-61.2, 10.6)",TRUE
