V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
138502,GBIF_64050,Paradisanthus bahiensis,-28.471800000000002,-49.0086,1638473031,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paradisanthus,SPECIES,(Barb. Rodr.) Schltr.,"Campo do Massambi, Palhoga Mun.; (Capao braziliensobus - """"""""Capaon"""""""" in Fl. Bas.)",NA,BR,NA,2,1953,PRESERVED_SPECIMEN,USF,Herb,28895,1966,R. Reitz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,147440,Paradisanthus bahiensis,Paradisanthus,bahiensis,Rchb.f.,Species,Accepted,NA,649890-1,147440,17,2,"c(-49.0086, -28.4718)",TRUE
138690,GBIF_64246,Paradisanthus bahiensis,-23.3016,-45.9577,1638473030,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paradisanthus,SPECIES,(Barb. Rodr.) Schltr.,Jacarehy.,NA,BR,NA,12,1914,PRESERVED_SPECIMEN,USF,Herb,28896,16099,P. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,147440,Paradisanthus bahiensis,Paradisanthus,bahiensis,Rchb.f.,Species,Accepted,NA,649890-1,147440,17,2,"c(-45.9577, -23.3016)",TRUE
177669,GBIF_121326,Paradisanthus bahiensis,-25.520556,-48.578611,4007844319,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paradisanthus,SPECIES,Rchb.f.,Embocuí,NA,BR,15,2,2022,PRESERVED_SPECIMEN,UTFPR-CP,HCF,35576,2264,F. Marinero,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,147440,Paradisanthus bahiensis,Paradisanthus,bahiensis,Rchb.f.,Species,Accepted,NA,649890-1,147440,0,7,"c(-48.578611, -25.520556)",TRUE
179948,GBIF_124056,Paradisanthus bahiensis,-12.016667,-38.033333,2452941068,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paradisanthus,SPECIES,Rchb.f.,Fazenda Rio do Negro,NA,BR,NA,5,2013,PRESERVED_SPECIMEN,Instituto de Botânica,SP,473724,956,"Hall, CF; Veira, TL",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,147440,Paradisanthus bahiensis,Paradisanthus,bahiensis,Rchb.f.,Species,Accepted,NA,649890-1,147440,0,7,"c(-38.033333, -12.016667)",TRUE
180271,GBIF_124395,Paradisanthus bahiensis,-19.766944,-40.756111,2452929057,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paradisanthus,SPECIES,(Barb.Rodr.) Schltr.,"Distrito de Santa Julia, Misterioso, Pedra dos Três Carneiros",NA,BR,812,1,2008,PRESERVED_SPECIMEN,Instituto de Botânica,SP,409345,314,"Monteiro, RF; Souza, MC; Saavedra, MM; Fontana, AP; Fraga, CN",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,147440,Paradisanthus bahiensis,Paradisanthus,bahiensis,Rchb.f.,Species,Accepted,NA,649890-1,147440,16,2,"c(-40.756111, -19.766944)",TRUE
180635,GBIF_124774,Paradisanthus bahiensis,-19.089133,-39.953733,2452940393,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paradisanthus,SPECIES,(Barb.Rodr.) Schltr.,Reserva da Vale,NA,BR,NA,1,2012,PRESERVED_SPECIMEN,Instituto de Botânica,SP,473750,734,"Hall, CF; Guimarães, LS; Almeida, RF; Barberena, FFVA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,147440,Paradisanthus bahiensis,Paradisanthus,bahiensis,Rchb.f.,Species,Accepted,NA,649890-1,147440,16,2,"c(-39.953733, -19.089133)",TRUE
198970,GBIF_146875,Paradisanthus bahiensis,-19.766944,-40.756111,1424233562,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paradisanthus,SPECIES,(Barb.Rodr.) Schltr.,"Distrito de Santa Julia, Misterioso, Pedra dos Três Carneiros.",NA,BR,812,1,2008,PRESERVED_SPECIMEN,JBRJ,RB,RB00516844,314,"R.F.Monteiro; M.C.Souza, M.M.Saavedra, A.P.Fontana, C.N.Fraga.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,147440,Paradisanthus bahiensis,Paradisanthus,bahiensis,Rchb.f.,Species,Accepted,NA,649890-1,147440,16,2,"c(-40.756111, -19.766944)",TRUE
199011,GBIF_146916,Paradisanthus bahiensis,-15.950833,-39.676389,1424276271,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paradisanthus,SPECIES,(Barb.Rodr.) Schltr.,"Cabeceira do Rio São José, Pedra do Estevão. Tensão ecológica, mata de encosta.",NA,BR,478,11,2006,PRESERVED_SPECIMEN,JBRJ,RB,RB00562311,2516,"A. P. Fontana; R.C. da Mota, J.E.dos Santos & E.P. de Assis",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,147440,Paradisanthus bahiensis,Paradisanthus,bahiensis,Rchb.f.,Species,Accepted,NA,649890-1,147440,16,2,"c(-39.676389, -15.950833)",TRUE
207273,GBIF_159792,Paradisanthus bahiensis,-25.938114,-48.584043,2859140482,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paradisanthus,SPECIES,Rchb.f.,Brejatuba (mun. Guaratuba),NA,BR,NA,2,1987,PRESERVED_SPECIMEN,CM,botany,CM329399,299,"Silva, J.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,147440,Paradisanthus bahiensis,Paradisanthus,bahiensis,Rchb.f.,Species,Accepted,NA,649890-1,147440,0,7,"c(-48.584043, -25.938114)",TRUE
222720,GBIF_180172,Paradisanthus bahiensis,-12.45,-41.45,4412370424,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paradisanthus,SPECIES,Rchb.f.,"Chapada Diamantina, Morro do Pai In cio, córrego do afluente µgua Doce, margem",NA,BR,300,4,1995,PRESERVED_SPECIMEN,ALCB,ALCB,ALCB00008383,PCD1824,"Ferreira, MC;Costa, J,Pereira, A",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,147440,Paradisanthus bahiensis,Paradisanthus,bahiensis,Rchb.f.,Species,Accepted,NA,649890-1,147440,0,7,"c(-41.45, -12.45)",TRUE
222922,GBIF_180477,Paradisanthus bahiensis,-12.45,-41.416667,2996055984,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paradisanthus,SPECIES,Rchb.f.,"Chapada Diamantina, Serra da Chapadinha, entre a Serra da Chapadinha e Brejäes",NA,BR,445,2,1995,PRESERVED_SPECIMEN,ALCB,ALCB,ALCB008379,PCD1652,"Melo, E;França, F,Sena, MP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,147440,Paradisanthus bahiensis,Paradisanthus,bahiensis,Rchb.f.,Species,Accepted,NA,649890-1,147440,0,7,"c(-41.416667, -12.45)",TRUE
223162,GBIF_180743,Paradisanthus bahiensis,-12.377778,-37.9425,2996072419,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paradisanthus,SPECIES,Rchb.f.,"Litoral Norte, Próximo à residência do Sr. Popovkin",NA,BR,NA,5,2013,PRESERVED_SPECIMEN,ALCB,ALCB,ALCB006951,134,"Vieira, TL;Hall, CF",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,147440,Paradisanthus bahiensis,Paradisanthus,bahiensis,Rchb.f.,Species,Accepted,NA,649890-1,147440,0,7,"c(-37.9425, -12.377778)",TRUE
237664,GBIF_197816,Paradisanthus bahiensis,-12.452778,-41.420833,912657270,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paradisanthus,SPECIES,Rchb.f.,"Chapadinha. Córrego do afluente Água Doce, margem.",NA,BR,600,4,1995,PRESERVED_SPECIMEN,K,Herbarium,K000879128,1824,"Ferreira, M.C.; Pereira, A.; Costa, J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,147440,Paradisanthus bahiensis,Paradisanthus,bahiensis,Rchb.f.,Species,Accepted,NA,649890-1,147440,0,7,"c(-41.420833, -12.452778)",TRUE
253772,GBIF_219276,Paradisanthus bahiensis,-27.149167,-48.971389,2996123701,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paradisanthus,SPECIES,(Barb.Rodr.) Schltr.,Fundos da empresa Benetex.,NA,BR,68,1,2011,PRESERVED_SPECIMEN,FURB,FURB,FURB35948,166,"Uller, H.F.;H.F. Uller,Brogni, E.,E. Brogni",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,147440,Paradisanthus bahiensis,Paradisanthus,bahiensis,Rchb.f.,Species,Accepted,NA,649890-1,147440,16,2,"c(-48.971389, -27.149167)",TRUE
253920,GBIF_219430,Paradisanthus bahiensis,-29.039444,-49.524722,2996125962,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paradisanthus,SPECIES,(Barb.Rodr.) Schltr.,Florestal SA.,NA,BR,4,1,2012,PRESERVED_SPECIMEN,FURB,FURB,FURB04216,6096,"Verdi, M.;M. Verdi,P. Nitschke,L.C. Mancino,Mancino, L.C.,Nitschke, P.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,147440,Paradisanthus bahiensis,Paradisanthus,bahiensis,Rchb.f.,Species,Accepted,NA,649890-1,147440,16,2,"c(-49.524722, -29.039444)",TRUE
254323,GBIF_219856,Paradisanthus bahiensis,-26.156389,-48.633611,4900503446,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paradisanthus,SPECIES,Rchb.f.,"Início da estrada para Vila da Glória, fundos Maersk Cargas.",NA,BR,10,5,2023,PRESERVED_SPECIMEN,FURB,FURB,FURB00076147,9503,A. Kassner-Filho,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,147440,Paradisanthus bahiensis,Paradisanthus,bahiensis,Rchb.f.,Species,Accepted,NA,649890-1,147440,0,7,"c(-48.633611, -26.156389)",TRUE
255249,GBIF_220792,Paradisanthus bahiensis,-27.370833,-48.655833,4439733508,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paradisanthus,SPECIES,Rchb.f.,Guaporanga.,NA,BR,30,1,2022,PRESERVED_SPECIMEN,FURB,FURB,FURB00072846,7962,A. Kassner-Filho,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,147440,Paradisanthus bahiensis,Paradisanthus,bahiensis,Rchb.f.,Species,Accepted,NA,649890-1,147440,0,7,"c(-48.655833, -27.370833)",TRUE
255291,GBIF_220835,Paradisanthus bahiensis,-27.7175,-48.683611,4439734840,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paradisanthus,SPECIES,Rchb.f.,"U.A. 287, Guarda do Cubatão.",NA,BR,109,3,2022,PRESERVED_SPECIMEN,FURB,FURB,FURB00072950,8066,A. Kassner-Filho,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,147440,Paradisanthus bahiensis,Paradisanthus,bahiensis,Rchb.f.,Species,Accepted,NA,649890-1,147440,0,7,"c(-48.683611, -27.7175)",TRUE
268596,GBIF_236950,Paradisanthus bahiensis,-23.3016,-45.9577,3051883311,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paradisanthus,SPECIES,NA,Jarachy.,NA,BR,NA,12,1914,PRESERVED_SPECIMEN,PRC,LL,00535061,without-number,Per Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,147440,Paradisanthus bahiensis,Paradisanthus,bahiensis,Rchb.f.,Species,Accepted,NA,649890-1,147440,7,-1,"c(-45.9577, -23.3016)",TRUE
292023,GBIF_289665,Paradisanthus bahiensis,-24.879444,-47.850833,1089092629,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paradisanthus,SPECIES,(Barb.Rodr.) Schltr.,"Estrada para Cananéia, Vegetação: Transição restinga de encosta.",NA,BR,NA,2,1995,PRESERVED_SPECIMEN,UNICAMP,UEC,152764,32848,"Leitão Filho, HF; Rodrigues, RR; et al.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,147440,Paradisanthus bahiensis,Paradisanthus,bahiensis,Rchb.f.,Species,Accepted,NA,649890-1,147440,16,2,"c(-47.850833, -24.879444)",TRUE
292411,GBIF_290076,Paradisanthus bahiensis,-24.980833,-48.05,1438491567,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paradisanthus,SPECIES,(Barb.Rodr.) Schltr.,"P.E. Ilha do Cardoso. Trilha p o Pico do Cardoso, próximo a aldeia indigena",NA,BR,NA,2,2014,PRESERVED_SPECIMEN,UNICAMP,UEC,194532,2467,"Monge, M; Vigna, BBZ; Souza, FB",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,147440,Paradisanthus bahiensis,Paradisanthus,bahiensis,Rchb.f.,Species,Accepted,NA,649890-1,147440,16,2,"c(-48.05, -24.980833)",TRUE
297446,GBIF_295939,Paradisanthus bahiensis,-25.938114,-48.584043,4102424304,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paradisanthus,SPECIES,(Barb.Rodr.) Schltr.,Brejatuba,NA,BR,NA,2,1987,PRESERVED_SPECIMEN,BRIT,VDB,BRIT464050,299,J. M. Silva,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,147440,Paradisanthus bahiensis,Paradisanthus,bahiensis,Rchb.f.,Species,Accepted,NA,649890-1,147440,16,2,"c(-48.584043, -25.938114)",TRUE
305769,GBIF_304944,Paradisanthus bahiensis,-12.452778,-41.420833,1090463338,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paradisanthus,SPECIES,NA,"Chapadinha. Córrego do afluente, Água Doce, margem.",NA,BR,NA,3,1972,PRESERVED_SPECIMEN,CEPLAC,CEPEC,67628,1824,M. C. Ferreira,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,147440,Paradisanthus bahiensis,Paradisanthus,bahiensis,Rchb.f.,Species,Accepted,NA,649890-1,147440,7,-1,"c(-41.420833, -12.452778)",TRUE
305874,GBIF_305057,Paradisanthus bahiensis,-15.15,-39.083333,1090480205,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paradisanthus,SPECIES,NA,"Parque Ecoturistico de Uma - . Rumo Norte da 1a. Área, limite c/ a área recém adquirida",NA,BR,NA,5,2000,PRESERVED_SPECIMEN,CEPLAC,CEPEC,86610,4108,L. A. Mattos-Silva,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,147440,Paradisanthus bahiensis,Paradisanthus,bahiensis,Rchb.f.,Species,Accepted,NA,649890-1,147440,7,-1,"c(-39.083333, -15.15)",TRUE
306295,GBIF_305508,Paradisanthus bahiensis,-12.447222,-41.420556,1090465119,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paradisanthus,SPECIES,NA,Serra da Chapadinha. Entre Chapadinha e Brejões.,NA,BR,NA,8,1994,PRESERVED_SPECIMEN,CEPLAC,CEPEC,69649,1652,E. de Melo,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,147440,Paradisanthus bahiensis,Paradisanthus,bahiensis,Rchb.f.,Species,Accepted,NA,649890-1,147440,7,-1,"c(-41.420556, -12.447222)",TRUE
307061,GBIF_306351,Paradisanthus bahiensis,-23.52,-48.68,2618580008,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paradisanthus,SPECIES,(Barb. Rodr.) Schltr.,Plantae Brasilienses. Paraná: Jacarehý.,NA,BR,NA,1,1916,PRESERVED_SPECIMEN,S,VascularPlants,S17-17010,17483,P. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,147440,Paradisanthus bahiensis,Paradisanthus,bahiensis,Rchb.f.,Species,Accepted,NA,649890-1,147440,17,2,"c(-48.68, -23.52)",TRUE
307267,GBIF_306597,Paradisanthus bahiensis,-25.55,-48.63,2618589040,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paradisanthus,SPECIES,(Barb. Rodr.) Schltr.,Plantae Brasilienses. Paraná: Alexandra.,NA,BR,NA,12,1909,PRESERVED_SPECIMEN,S,VascularPlants,S17-17016,without-number,P. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,147440,Paradisanthus bahiensis,Paradisanthus,bahiensis,Rchb.f.,Species,Accepted,NA,649890-1,147440,17,2,"c(-48.63, -25.55)",TRUE
307334,GBIF_306674,Paradisanthus bahiensis,-25.55,-48.63,2618587975,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paradisanthus,SPECIES,(Barb. Rodr.) Schltr.,Plantae Brasilienses. Paraná: Alexandra.,NA,BR,NA,1,1910,PRESERVED_SPECIMEN,S,VascularPlants,S17-17018,without-number,P. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,147440,Paradisanthus bahiensis,Paradisanthus,bahiensis,Rchb.f.,Species,Accepted,NA,649890-1,147440,17,2,"c(-48.63, -25.55)",TRUE
310853,GBIF_312531,Paradisanthus bahiensis,-23.3167,-45.9667,1056449662,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paradisanthus,SPECIES,Rchb.f.,Nearest Named Place: Jacarehy; Township: Jacarei,NA,BR,NA,12,1914,PRESERVED_SPECIMEN,NHMUK,BOT,BM000533432,16099,Per Karl Hjalmar Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,147440,Paradisanthus bahiensis,Paradisanthus,bahiensis,Rchb.f.,Species,Accepted,NA,649890-1,147440,0,7,"c(-45.9667, -23.3167)",TRUE
310933,GBIF_312616,Paradisanthus bahiensis,-17.320278,-39.332778,1094784791,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paradisanthus,SPECIES,Rchb.f.,"Rodovia para Itamaraju ca. 32km, vicinal para fazendas.",NA,BR,NA,10,2002,PRESERVED_SPECIMEN,UEFS,HUEFS,66790,4037,"Jardim, J.G.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,147440,Paradisanthus bahiensis,Paradisanthus,bahiensis,Rchb.f.,Species,Accepted,NA,649890-1,147440,0,7,"c(-39.332778, -17.320278)",TRUE
311604,GBIF_313304,Paradisanthus bahiensis,-13.111389,-40.109444,1094823742,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paradisanthus,SPECIES,Rchb.f.,"Fazenda Brejo Novo, à 10,5 Km de Av. Otávio Mngabeira pela Exupério Miranda no bairro doo Mandacarú.",NA,BR,683.5,4,2004,PRESERVED_SPECIMEN,UEFS,HUEFS,106046,709,"Macedo, G.E.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,147440,Paradisanthus bahiensis,Paradisanthus,bahiensis,Rchb.f.,Species,Accepted,NA,649890-1,147440,0,7,"c(-40.109444, -13.111389)",TRUE
311876,GBIF_313586,Paradisanthus bahiensis,-12.430556,-41.420556,1094906429,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Paradisanthus,SPECIES,Rchb.f.,Serra da Chapadinha. Entre Chapadinha e Brejões.,NA,BR,890,2,1995,PRESERVED_SPECIMEN,UEFS,HUEFS,189542,PCD1652,"Melo, E.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,147440,Paradisanthus bahiensis,Paradisanthus,bahiensis,Rchb.f.,Species,Accepted,NA,649890-1,147440,0,7,"c(-41.420556, -12.430556)",TRUE
