V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
107713,GBIF_10956,Pecteilis susannae,14.04451,105.89858,2513821623,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pecteilis,SPECIES,(L.) Raf.,"Laos, Province: Champasak, District: Khong, Khinak Village area, east of the Mekong River.",NA,LA,NA,9,1998,PRESERVED_SPECIMEN,NA,Botany,L.1524962,"Maxwell, JF 98- 998",Maxwell JF,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,149195,Pecteilis susannae,Pecteilis,susannae,(L.) Raf.,Species,Accepted,NA,649921-1,149195,0,9,"c(105.89858, 14.04451)",TRUE
115130,GBIF_19351,Pecteilis susannae,21.92339,107.938293,2542525295,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pecteilis,SPECIES,(L.) R.Br. ex Spreng.,"Shap Man Taai Shan. Tang Lung Village. S.E. of Shang-sze, Kwangtung Border (Shang-sze District)",NA,CN,NA,8,1934,PRESERVED_SPECIMEN,NY,NY,4094866,24074,W. T. Tsang,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,149195,Pecteilis susannae,Pecteilis,susannae,(L.) Raf.,Species,Accepted,NA,649921-1,149195,14,6,"c(107.938293, 21.92339)",TRUE
125369,GBIF_46849,Pecteilis susannae,25.012526,102.700013,1304082430,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pecteilis,SPECIES,NA,亚凝庵,NA,CN,NA,NA,1946,PRESERVED_SPECIMEN,KUN,NA,ec7c55d8-b6bf-11e1-8c2f-acd112e444a7,without-number,冯国楣,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,149195,Pecteilis susannae,Pecteilis,susannae,(L.) Raf.,Species,Accepted,NA,649921-1,149195,9,-1,"c(102.700013, 25.012526)",TRUE
125678,GBIF_47224,Pecteilis susannae,21.653918,110.857716,1303971995,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pecteilis,SPECIES,NA,四区清平乡六沙嶺六沙社庙背角，离20米,NA,CN,NA,NA,1922,PRESERVED_SPECIMEN,IBSC,NA,00f2b3d0-b6c0-11e1-8c2f-acd112e444a7,without-number,江一勲,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,149195,Pecteilis susannae,Pecteilis,susannae,(L.) Raf.,Species,Accepted,NA,649921-1,149195,9,-1,"c(110.857716, 21.653918)",TRUE
125751,GBIF_47339,Pecteilis susannae,27.82308,99.706013,1304082405,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pecteilis,SPECIES,NA,Between Tung-pa-tze to Bodo,NA,CN,NA,NA,1939,PRESERVED_SPECIMEN,KUN,NA,ec7c524a-b6bf-11e1-8c2f-acd112e444a7,without-number,冯国楣,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,149195,Pecteilis susannae,Pecteilis,susannae,(L.) Raf.,Species,Accepted,NA,649921-1,149195,9,-1,"c(99.706013, 27.82308)",TRUE
125753,GBIF_47342,Pecteilis susannae,23.688233,113.045465,1304082432,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pecteilis,SPECIES,NA,NA,NA,CN,NA,NA,1930,PRESERVED_SPECIMEN,KUN,NA,ec7c59c8-b6bf-11e1-8c2f-acd112e444a7,without-number,黄志,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,149195,Pecteilis susannae,Pecteilis,susannae,(L.) Raf.,Species,Accepted,NA,649921-1,149195,9,-1,"c(113.045465, 23.688233)",TRUE
126176,GBIF_48078,Pecteilis susannae,26.11116,99.951049,1304095430,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pecteilis,SPECIES,NA,邓川黄家坪鸡山下,NA,CN,NA,NA,1929,PRESERVED_SPECIMEN,KUN,NA,fd093d78-b6bf-11e1-8c2f-acd112e444a7,without-number,秦仁昌,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,149195,Pecteilis susannae,Pecteilis,susannae,(L.) Raf.,Species,Accepted,NA,649921-1,149195,9,-1,"c(99.951049, 26.11116)",TRUE
126256,GBIF_48202,Pecteilis susannae,23.127041,113.341527,1303970440,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pecteilis,SPECIES,NA,白云寺,NA,CN,NA,NA,1930,PRESERVED_SPECIMEN,IBSC,NA,00fc7863-b6c0-11e1-8c2f-acd112e444a7,without-number,梁向日,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,149195,Pecteilis susannae,Pecteilis,susannae,(L.) Raf.,Species,Accepted,NA,649921-1,149195,9,-1,"c(113.341527, 23.127041)",TRUE
126280,GBIF_48236,Pecteilis susannae,24.813781,113.184435,1303971962,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pecteilis,SPECIES,NA,大桥,NA,CN,NA,NA,1933,PRESERVED_SPECIMEN,IBSC,NA,00f2b8e3-b6c0-11e1-8c2f-acd112e444a7,without-number,高锡朋,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,149195,Pecteilis susannae,Pecteilis,susannae,(L.) Raf.,Species,Accepted,NA,649921-1,149195,9,-1,"c(113.184435, 24.813781)",TRUE
126334,GBIF_48347,Pecteilis susannae,25.054929,101.544721,1304082427,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pecteilis,SPECIES,NA,Tsao-Chia-Tieng,NA,CN,NA,NA,1939,PRESERVED_SPECIMEN,KUN,NA,ec7c556a-b6bf-11e1-8c2f-acd112e444a7,without-number,李鸣岗,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,149195,Pecteilis susannae,Pecteilis,susannae,(L.) Raf.,Species,Accepted,NA,649921-1,149195,9,-1,"c(101.544721, 25.054929)",TRUE
