V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
111432,GBIF_15451,Pelexia parva,-20.403889,-41.019167,4526432630,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pelexia,SPECIES,Angiospermas,Parque Estadual da Pedra Azul.,NA,BR,NA,5,1991,PRESERVED_SPECIMEN,NA,MBML,MBML006226,7,E.V.R. Mota,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,149665,Pelexia parva,Pelexia,parva,(Cogn.) Schltr.,Species,Accepted,NA,186758-2,149665,14,1,"c(-41.019167, -20.403889)",TRUE
114073,GBIF_18269,Pelexia goyazensis,-15.866667,-47.85,4427184890,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pelexia,SPECIES,Schltr.,"Estação Ecológica do Jardim Botânico de Brasília, Próxima do Cristo Redentor",NA,BR,0,8,1999,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00026734,1409,"Ramos, AE;Jesus, FPR de,Nóbrega, MGG",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,149615,Pelexia goyazensis,Pelexia,goyazensis,(Cogn.) Garay,Species,Accepted,NA,911047-1,149615,12,1,"c(-47.85, -15.866667)",TRUE
115262,GBIF_19488,Pelexia novofriburgensis,-24.827474,-49.2613935,1929922825,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pelexia,SPECIES,NA,"Serra do Mar, Volta Grande",NA,BR,NA,11,1911,PRESERVED_SPECIMEN,NY,NY,505136,13399,P. K. H. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,149654,Pelexia novofriburgensis,Pelexia,novofriburgensis,(Rchb.f.) Garay,Species,Accepted,NA,186749-2,149654,15,-1,"c(-49.2613935, -24.827474)",TRUE
115408,GBIF_19636,Pelexia tamanduensis,-25.226264,-49.986549,1930855430,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pelexia,SPECIES,"(Kraenzl.) Szlach., R. González & Rutk.",Fortaleza,NA,BR,NA,12,1969,PRESERVED_SPECIMEN,NY,NY,505149,23227,G. G. Hatschbach,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,149693,Pelexia tamanduensis,Pelexia,tamanduensis,(Kraenzl.) Schltr.,Species,Accepted,NA,186781-2,149693,22,12,"c(-49.986549, -25.226264)",TRUE
124221,GBIF_45634,Pelexia callifera,4.88333,-55.21667,2515605075,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pelexia,SPECIES,(Schweinf.) Garay,"Nature Park Brownsberg, distr. Brokopondo",NA,SR,NA,8,1972,PRESERVED_SPECIMEN,NA,Botany,U.1462349,"Teunissen, PA 1311",Teunissen PA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,149588,Pelexia callifera,Pelexia,callifera,(C.Schweinf.) Garay,Species,Accepted,NA,186695-2,149588,2,16,"c(-55.21667, 4.88333)",TRUE
130048,GBIF_54739,Pelexia obliqua,10.43333,-83.98333,1259333703,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pelexia,SPECIES,(J.J. Sm.) Szlach.,"Puerto Viejo, Estación Biológica La Selva, Sendero Tres Ríos 1550",NA,CR,40,4,2000,PRESERVED_SPECIMEN,MO,Tropicos,2058269,1488,"Mario A. Blanco;Carol C. Horvitz;Robert M. King;Dale E. Johnson;Lange, Robert Terence",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,149655,Pelexia obliqua,Pelexia,obliqua,(J.J.Sm.) Garay,Species,Accepted,NA,911051-1,149655,7,5,"c(-83.98333, 10.43333)",TRUE
130147,GBIF_54841,Pelexia olivacea,13.733333,-84.9875,1261358247,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pelexia,SPECIES,Rolfe,Caño between Cerro La Pimienta and Cerro El Hormiguero; on steep slopes.,NA,NI,900,3,1980,PRESERVED_SPECIMEN,MO,Tropicos,642101,6002,"John James Pipoly, III",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,149658,Pelexia olivacea,Pelexia,olivacea,Rolfe,Species,Accepted,NA,186753-2,149658,0,5,"c(-84.9875, 13.733333)",TRUE
130226,GBIF_54921,Pelexia funckiana,8.608333,-80.491667,1259727917,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pelexia,SPECIES,(A. Rich. & Galeotti) Schltr.,Mountains beyond La Pintada.,NA,PA,500,2,1935,PRESERVED_SPECIMEN,MO,Tropicos,2416289,578,A. A. Hunter;Paul H. Allen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,149612,Pelexia funckiana,Pelexia,funckiana,(A.Rich. & Galeotti) Schltr.,Species,Accepted,NA,650001-1,149612,1,25,"c(-80.491667, 8.608333)",TRUE
138763,GBIF_64322,Pelexia funckiana,16.2167,-97.9667,1638472928,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pelexia,SPECIES,(A. Rich. & Galleotti) Schltr.,Rio Mona Blanco.,NA,MX,NA,NA,without-year,PRESERVED_SPECIMEN,USF,Herb,25855,s.n.,T. MacDougal,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,149612,Pelexia funckiana,Pelexia,funckiana,(A.Rich. & Galeotti) Schltr.,Species,Accepted,NA,650001-1,149612,2,15,"c(-97.9667, 16.2167)",TRUE
138837,GBIF_64398,Pelexia bonariensis,-26.8083,-65.2176,1638472933,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pelexia,SPECIES,(Griseb.) Schltr.,Tucumán; Burrojaeo Dept.; Campo de la perdiz (Fimbo).,NA,AR,NA,5,1924,PRESERVED_SPECIMEN,USF,Herb,25917,27/2425,R. Schreiter,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,149583,Pelexia bonariensis,Pelexia,bonariensis,(Lindl.) Schltr.,Species,Accepted,NA,186691-2,149583,5,10,"c(-65.2176, -26.8083)",TRUE
