V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
127544,GBIF_51742,Pendusalpinx dependens,3.62348,-53.20925,4565160429,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pendusalpinx,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,4,2013,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,530725,Pendusalpinx dependens,Pendusalpinx,dependens,(Luer) Karremans & Mel.Fernández,Species,Accepted,NA,77177465-1,530725,32,-1,"c(-53.20925, 3.62348)",TRUE
127637,GBIF_51885,Pendusalpinx dependens,3.62348,-53.20925,4565160590,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pendusalpinx,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,5,2018,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Sébastien Sant,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,530725,Pendusalpinx dependens,Pendusalpinx,dependens,(Luer) Karremans & Mel.Fernández,Species,Accepted,NA,77177465-1,530725,32,-1,"c(-53.20925, 3.62348)",TRUE
127739,GBIF_52063,Pendusalpinx dependens,3.62348,-53.20925,4565160781,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pendusalpinx,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,3,2018,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,530725,Pendusalpinx dependens,Pendusalpinx,dependens,(Luer) Karremans & Mel.Fernández,Species,Accepted,NA,77177465-1,530725,32,-1,"c(-53.20925, 3.62348)",TRUE
127822,GBIF_52233,Pendusalpinx dependens,3.62348,-53.20925,4565160970,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pendusalpinx,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,3,2019,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Sébastien Sant,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,530725,Pendusalpinx dependens,Pendusalpinx,dependens,(Luer) Karremans & Mel.Fernández,Species,Accepted,NA,77177465-1,530725,32,-1,"c(-53.20925, 3.62348)",TRUE
128697,GBIF_53357,Pendusalpinx berlineri,-10.29944,-75.61555,4031582624,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pendusalpinx,SPECIES,(Luer) Luer,"Dist. Huancabamba. P.N. Yanachaga-Chemillén, cabecera de la Quebrada Amistad. Bosque circundante a pajonal humedo, con abundante sphagnum.",NA,PE,2260,6,2004,PRESERVED_SPECIMEN,MO,Tropicos,102174257,30307,Rodolfo Vásquez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,530731,Pendusalpinx berlineri,Pendusalpinx,berlineri,(Luer) Karremans & Mel.Fernández,Species,Accepted,NA,77177464-1,530731,23,7,"c(-75.61555, -10.29944)",TRUE
176210,GBIF_119581,Pendusalpinx berlineri,-4.45,-78.15,4061214878,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pendusalpinx,SPECIES,(Luer) Luer,km 8,NA,EC,2500,4,1985,PRESERVED_SPECIMEN,GB,Tropicos,101597156,23515,Gunnar Wilhelm Harling;Lennart Andersson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,530731,Pendusalpinx berlineri,Pendusalpinx,berlineri,(Luer) Karremans & Mel.Fernández,Species,Accepted,NA,77177464-1,530731,23,7,"c(-78.15, -4.45)",TRUE
184909,GBIF_130386,Pendusalpinx dependens,4.9,-76.183333,1260880870,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pendusalpinx,SPECIES,(Luer) Luer,"Above San José del Palmar, Alto de Galápagos, collected by A. De Wilde, flowered in cultivation at his home above Pereira.",NA,CO,2100,5,1993,PRESERVED_SPECIMEN,MO,Tropicos,3461047,16736,Carl A. Luer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,530725,Pendusalpinx dependens,Pendusalpinx,dependens,(Luer) Karremans & Mel.Fernández,Species,Accepted,NA,77177465-1,530725,23,7,"c(-76.183333, 4.9)",TRUE
187915,GBIF_133595,Pendusalpinx dependens,-3.97361,-78.64889,1260880651,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pendusalpinx,SPECIES,(Luer) Luer,"Cordillera del Condor, epiphytic in forest east of Mayaicu.",NA,EC,1300,5,1988,PRESERVED_SPECIMEN,MO,Tropicos,3460858,13499,Carl A. Luer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,530725,Pendusalpinx dependens,Pendusalpinx,dependens,(Luer) Karremans & Mel.Fernández,Species,Accepted,NA,77177465-1,530725,23,7,"c(-78.64889, -3.97361)",TRUE
188189,GBIF_133880,Pendusalpinx berlineri,-4.3694,-79.139,4031894000,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pendusalpinx,SPECIES,(Luer) Luer,Epiphytic in cloud forest along the army road east of Yangana.,NA,EC,2500,3,1985,PRESERVED_SPECIMEN,MO,Tropicos,101598128,10817,Carl A. Luer;Jane Luer;Alexander Hirtz;W. Flores,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,530731,Pendusalpinx berlineri,Pendusalpinx,berlineri,(Luer) Karremans & Mel.Fernández,Species,Accepted,NA,77177464-1,530731,23,7,"c(-79.139, -4.3694)",TRUE
231248,GBIF_190591,Pendusalpinx dependens,-2.2,-78.13,1260880640,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pendusalpinx,SPECIES,(Luer) Luer,Epiphytic in forest 3 km north of Macas.,NA,EC,1050,1,1989,PRESERVED_SPECIMEN,MO,Tropicos,3460850,13907,Carl A. Luer;Jane Luer;P. Jesup;A. Jesup;Alexander Hirtz;Santiago Ortega,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,530725,Pendusalpinx dependens,Pendusalpinx,dependens,(Luer) Karremans & Mel.Fernández,Species,Accepted,NA,77177465-1,530725,23,7,"c(-78.13, -2.2)",TRUE
