V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
6459,ALA_7716,Peristeranthus hillii,-21,148.4,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Peristeranthus,species,(F.Muell.) T.E.Hunt,NA,Australia,AU,NA,10,1992,PRESERVED_SPECIMEN,CANB,CANB,CBG 702357.1,DLJ10510,"Pearson, S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,150351,Peristeranthus hillii,Peristeranthus,hillii,(F.Muell.) T.E.Hunt,Species,Accepted,NA,650139-1,150351,0,19,"c(148.4, -21)",TRUE
9576,ALA_11882,Peristeranthus hillii,-17.3,145.6,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Peristeranthus,species,(F.Muell.) T.E.Hunt,NA,Australia,AU,NA,5,2002,PRESERVED_SPECIMEN,CANB,CANB,CANB 751079.1,19373,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,150351,Peristeranthus hillii,Peristeranthus,hillii,(F.Muell.) T.E.Hunt,Species,Accepted,NA,650139-1,150351,0,19,"c(145.6, -17.3)",TRUE
9908,ALA_12345,Peristeranthus hillii,-26.3,152.9,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Peristeranthus,species,(F.Muell.) T.E.Hunt,NA,Australia,AU,NA,2,1998,PRESERVED_SPECIMEN,CANB,CANB,CBG 9805583.2,1964,"Crane, R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,150351,Peristeranthus hillii,Peristeranthus,hillii,(F.Muell.) T.E.Hunt,Species,Accepted,NA,650139-1,150351,0,19,"c(152.9, -26.3)",TRUE
19585,ALA_26865,Peristeranthus hillii,-28.5,153.5,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Peristeranthus,species,(F.Muell.) T.E.Hunt,NA,Australia,AU,NA,9,1994,PRESERVED_SPECIMEN,CANB,CANB,CANB 678553.1,DLJ13395,"Lielkajis, E.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,150351,Peristeranthus hillii,Peristeranthus,hillii,(F.Muell.) T.E.Hunt,Species,Accepted,NA,650139-1,150351,0,19,"c(153.5, -28.5)",TRUE
28326,ALA_42692,Peristeranthus hillii,-30.4,153,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Peristeranthus,species,(F.Muell.) T.E.Hunt,NA,Australia,AU,NA,10,2003,PRESERVED_SPECIMEN,CANB,CANB,CANB 681249.1,ORG4313,"Tunstall, R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,150351,Peristeranthus hillii,Peristeranthus,hillii,(F.Muell.) T.E.Hunt,Species,Accepted,NA,650139-1,150351,0,19,"c(153, -30.4)",TRUE
36133,ALA_56627,Peristeranthus hillii,-16.9,145.7,dr15861,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Peristeranthus,species,(F.Muell.) T.E.Hunt,NA,Australia,AU,NA,10,1952,PRESERVED_SPECIMEN,NSW,NSW,NSW657557,s.n.,"St Cloud, S.F.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,150351,Peristeranthus hillii,Peristeranthus,hillii,(F.Muell.) T.E.Hunt,Species,Accepted,NA,650139-1,150351,0,19,"c(145.7, -16.9)",TRUE
36868,ALA_57582,Peristeranthus hillii,-30.3,153.1,dr15861,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Peristeranthus,species,(F.Muell.) T.E.Hunt,NA,Australia,AU,NA,10,1962,PRESERVED_SPECIMEN,NSW,NSW,NSW377818,s.n.,"Gordon, E.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,150351,Peristeranthus hillii,Peristeranthus,hillii,(F.Muell.) T.E.Hunt,Species,Accepted,NA,650139-1,150351,0,19,"c(153.1, -30.3)",TRUE
38213,ALA_59365,Peristeranthus hillii,-28.5,153.5,dr15861,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Peristeranthus,species,(F.Muell.) T.E.Hunt,NA,Australia,AU,-12 m,10,2016,PRESERVED_SPECIMEN,NSW,NSW,NSW1004705,146,"Phillips, G.P. | Cohen, J.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,150351,Peristeranthus hillii,Peristeranthus,hillii,(F.Muell.) T.E.Hunt,Species,Accepted,NA,650139-1,150351,0,19,"c(153.5, -28.5)",TRUE
40135,ALA_61912,Peristeranthus hillii,-28.3,153.5,dr15861,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Peristeranthus,species,(F.Muell.) T.E.Hunt,NA,Australia,AU,NA,10,1992,PRESERVED_SPECIMEN,NSW,NSW,NSW429670,J 230/3-8,"Bishop, A.D.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,150351,Peristeranthus hillii,Peristeranthus,hillii,(F.Muell.) T.E.Hunt,Species,Accepted,NA,650139-1,150351,0,19,"c(153.5, -28.3)",TRUE
70783,ALA_98520,Peristeranthus hillii,-17.3,145.6,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Peristeranthus,species,(F.Muell.) T.E.Hunt,NA,Australia,AU,NA,10,2012,PRESERVED_SPECIMEN,CNS,CNS,CNS 143620.1,184,"Schulte, K.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,150351,Peristeranthus hillii,Peristeranthus,hillii,(F.Muell.) T.E.Hunt,Species,Accepted,NA,650139-1,150351,0,19,"c(145.6, -17.3)",TRUE
