V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
106778,GBIF_9988,Pescatoria violacea,1.55,-59.23333,2517428082,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pescatoria,SPECIES,(Lindl.) Rchb.f.,NA,NA,GY,NA,9,1999,PRESERVED_SPECIMEN,NA,Botany,U.1457914,"Clarke, HD; Williams (Guyana), R; Perry, C 8338",Clarke HD; Williams (Guyana) R; Perry C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,337231,Pescatoria violacea,Pescatoria,violacea,(Lindl.) Dressler,Species,Accepted,NA,60440682-2,337231,8,9,"c(-59.23333, 1.55)",TRUE
124936,GBIF_46379,Pescatoria violacea,2.416667,-60.18,1042601748,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pescatoria,SPECIES,NA,"Serra da Lua, Upper slopes of Serra da Lua. Cloud forest.",NA,BR,600,1,1969,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",26595,9458,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,337231,Pescatoria violacea,Pescatoria,violacea,(Lindl.) Dressler,Species,Accepted,NA,60440682-2,337231,17,-1,"c(-60.18, 2.416667)",TRUE
152097,GBIF_83725,Pescatoria violacea,2.45,-60.208,1930458745,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pescatoria,SPECIES,(Lindl.) Rchb.f.,Upper slopes of Serra da Lua,NA,BR,NA,1,1969,PRESERVED_SPECIMEN,NY,NY,482384,9458,G. T. Prance,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,337231,Pescatoria violacea,Pescatoria,violacea,(Lindl.) Dressler,Species,Accepted,NA,60440682-2,337231,8,9,"c(-60.208, 2.45)",TRUE
152247,GBIF_83880,Pescatoria violacea,3.64,-56.535,2382931949,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pescatoria,SPECIES,(Lindl.) Dressler,"Wilhelmina Gebergte. In forested hills 3 km south of Juliana Top, 12 km north of Lucie Rivier.",NA,SR,NA,8,1963,PRESERVED_SPECIMEN,NY,NY,4111306,55035,H. S. Irwin,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,337231,Pescatoria violacea,Pescatoria,violacea,(Lindl.) Dressler,Species,Accepted,NA,60440682-2,337231,0,17,"c(-56.535, 3.64)",TRUE
165192,GBIF_105808,Pescatoria violacea,3.13333,-58.53333,2515371475,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pescatoria,SPECIES,(Lindl.) Rchb.f.,NA,NA,GY,NA,9,1999,PRESERVED_SPECIMEN,NA,Botany,U.1457913,"Jansen-Jacobs, MJ 6001",Jansen-Jacobs MJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,337231,Pescatoria violacea,Pescatoria,violacea,(Lindl.) Dressler,Species,Accepted,NA,60440682-2,337231,8,9,"c(-58.53333, 3.13333)",TRUE
172195,GBIF_115370,Pescatoria coronaria,6.53333,-76.31666,1258332865,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pescatoria,SPECIES,Rchb. f.,"Parque Nacional Natural """"""""Las Orquideas"""""""". Sector Calles. Margen derecha del Río Calles.",NA,CO,1240,5,1988,PRESERVED_SPECIMEN,JAUM,Tropicos,1121120,3032,Álvaro Cogollo P.;J. G. Ramírez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,150632,Pescatoria coronaria,Pescatoria,coronaria,(Rchb.f.) Rchb.f.,Species,Accepted,NA,650342-1,150632,9,4,"c(-76.31666, 6.53333)",TRUE
174745,GBIF_118053,Pescatoria cerina,9.385,-83.638889,1258493555,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pescatoria,SPECIES,(Lindl. & Paxton) Rchb. f.,Vicinity of El General.,NA,CR,850,7,1936,PRESERVED_SPECIMEN,AMES,Tropicos,1280170,2662,Alexander F. Skutch,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,150630,Pescatoria cerina,Pescatoria,cerina,(Lindl. & Paxton) Rchb.f.,Species,Accepted,NA,650340-1,150630,1,23,"c(-83.638889, 9.385)",TRUE
176562,GBIF_119961,Pescatoria violacea,3.13,-58.53,2382937837,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pescatoria,SPECIES,(Lindl.) Dressler,"Upper Essequibo Region, Rewa River, near Camp 2 at foot of Spider Mountains.",NA,GY,NA,9,1999,PRESERVED_SPECIMEN,NY,NY,4111305,6001,M. J. Jansen-Jacobs,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,337231,Pescatoria violacea,Pescatoria,violacea,(Lindl.) Dressler,Species,Accepted,NA,60440682-2,337231,0,17,"c(-58.53, 3.13)",TRUE
182511,GBIF_127855,Pescatoria cerina,8.539722,-81.157222,1258483684,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pescatoria,SPECIES,(Lindl. & Paxton) Rchb. f.,NW of Santa Fé. 8.8 km from Escuela Agricola Alto de Piedra. Pacific slope,NA,PA,900,12,1974,PRESERVED_SPECIMEN,MO,Tropicos,1271090,3918,Scott A. Mori;Jacquelyn A. Kallunki;Barbara A. Cochrane;Theodore S. Cochrane;Bruce F. Hansen;Robert R. Kowal;Michael H. Nee,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,150630,Pescatoria cerina,Pescatoria,cerina,(Lindl. & Paxton) Rchb.f.,Species,Accepted,NA,650340-1,150630,1,23,"c(-81.157222, 8.539722)",TRUE
183588,GBIF_128983,Pescatoria cerina,8.783333,-82.966667,1261388929,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pescatoria,SPECIES,(Lindl. & Paxton) Rchb. f.,"Along Río Jaba S of San Vito de Coto Brus. Collected with Brian Jacobs, George Schatz and John Kress.",NA,CR,1150,7,1984,PRESERVED_SPECIMEN,MO,Tropicos,673622,3384,Michael H. Grayum,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,150630,Pescatoria cerina,Pescatoria,cerina,(Lindl. & Paxton) Rchb.f.,Species,Accepted,NA,650340-1,150630,1,23,"c(-82.966667, 8.783333)",TRUE
