V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104130,GBIF_347,Phreatia sulcata,-0.54,114.2787,1057095262,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Phreatia,SPECIES,(Blume) J.J.Sm.,NA,NA,ID,NA,10,1933,PRESERVED_SPECIMEN,NHMUK,BOT,BM000532897,40957,J. Clemens & M.S. Clemens,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,153163,Phreatia sulcata,Phreatia,sulcata,(Blume) J.J.Sm.,Species,Accepted,NA,650972-1,153163,0,15,"c(114.2787, -0.54)",TRUE
104131,GBIF_348,Phreatia muscicola,-0.54,114.2787,1056333937,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Phreatia,SPECIES,Royen,NA,NA,ID,NA,10,1938,PRESERVED_SPECIMEN,NHMUK,BOT,BM000532936,10678,Leonard John Brass,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,153061,Phreatia muscicola,Phreatia,muscicola,P.Royen,Species,Accepted,NA,650880-1,153061,2,5,"c(114.2787, -0.54)",TRUE
104721,GBIF_1571,Phreatia crassiuscula,-17.3,145.5,2828260051,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Phreatia,SPECIES,(Nicholls) M.A.Clem. & D.L.Jones,NA,NA,AU,780,10,2003,PRESERVED_SPECIMEN,CANB,CANB,CANB 599769.1,8789,"Gray, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,152954,Phreatia crassiuscula,Phreatia,crassiuscula,Nicholls,Species,Accepted,NA,650781-1,152954,24,5,"c(145.5, -17.3)",TRUE
105624,GBIF_5997,Phreatia crassiuscula,-17.3,145.4,2830510615,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Phreatia,SPECIES,(Nicholls) M.A.Clem. & D.L.Jones,NA,NA,AU,NA,8,1996,PRESERVED_SPECIMEN,CANB,CANB,CANB 649327.1,14838,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,152954,Phreatia crassiuscula,Phreatia,crassiuscula,Nicholls,Species,Accepted,NA,650781-1,152954,24,5,"c(145.4, -17.3)",TRUE
105766,GBIF_6695,Phreatia micrantha,-4.2,133.433333,2828233470,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Phreatia,SPECIES,(A.Rich.) D.L.Jones & M.A.Clem.,"Adi Island, Div. Fakfak. West Irian.",NA,ID,NA,4,1961,PRESERVED_SPECIMEN,CANB,CANB,CANB 576748.2,BW 11546,"Moll, V.W.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),TRUE,1,0,153045,Phreatia micrantha,Phreatia,micrantha,(A.Rich.) Lindl.,Species,Accepted,NA,77062179-1,153045,17,10,"c(133.433333, -4.2)",TRUE
105781,GBIF_6808,Phreatia crassiuscula,-15.8,145.3,2828024580,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Phreatia,SPECIES,(Nicholls) M.A.Clem. & D.L.Jones,NA,NA,AU,1000,8,2002,PRESERVED_SPECIMEN,CANB,CANB,CANB 571528.1,18749,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,152954,Phreatia crassiuscula,Phreatia,crassiuscula,Nicholls,Species,Accepted,NA,650781-1,152954,24,5,"c(145.3, -15.8)",TRUE
106283,GBIF_9472,Phreatia longicaulis,-6.08333,146.9,2516890075,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Phreatia,SPECIES,Schltr.,"Mt. Wasaunon Tree Kangaroo Conservation Project Area, Saruwaged Range, Kabwum.",NA,PG,NA,7,2004,PRESERVED_SPECIMEN,NA,Botany,L.3956845,"Sennart, SB; Fazang, KM LAE 86797",Sennart SB; Fazang KM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,153030,Phreatia longicaulis,Phreatia,longicaulis,Schltr.,Species,Accepted,NA,650851-1,153030,0,7,"c(146.9, -6.08333)",TRUE
106289,GBIF_9478,Phreatia plantaginifolia,4.51667,101.38333,2517094352,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Phreatia,SPECIES,(J.König) Ormerod,"Cameron Highlands, Gn. Brinchang, Opposite the Irau trail, (parking area) Road to Gn. Brinchang.",NA,MY,NA,2,2011,PRESERVED_SPECIMEN,NA,Botany,L.3990067,"Imin, K; Syahida Emiza, S FRI 76052",Imin K; Syahida Emiza S,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,153093,Phreatia plantaginifolia,Phreatia,plantaginifolia,(J.Koenig) Ormerod,Species,Accepted,NA,983173-1,153093,2,12,"c(101.38333, 4.51667)",TRUE
106725,GBIF_9934,Phreatia semiorbicularis,-6.41667,145.33333,2513825412,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Phreatia,SPECIES,J.J.Sm.,"Mt. Michael, NE slopes.",NA,PG,NA,9,1959,PRESERVED_SPECIMEN,NA,Botany,L.1527626,"Brass, LJ 31465",Brass LJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,153135,Phreatia semiorbicularis,Phreatia,semiorbicularis,J.J.Sm.,Species,Accepted,NA,650950-1,153135,0,7,"c(145.33333, -6.41667)",TRUE
106726,GBIF_9935,Phreatia sulcata,5.86667,116.51667,2513824633,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Phreatia,SPECIES,J.J.Sm.,Tenompok.,NA,MY,NA,6,1932,PRESERVED_SPECIMEN,NA,Botany,L.1527668,"Clemens, J; Clemens, MS 30156",Clemens J; Clemens MS,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,153163,Phreatia sulcata,Phreatia,sulcata,(Blume) J.J.Sm.,Species,Accepted,NA,650972-1,153163,8,7,"c(116.51667, 5.86667)",TRUE
106727,GBIF_9936,Phreatia scandens,-6.83333,146.75,2513824821,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Phreatia,SPECIES,J.J.Sm.,"Morobe Prov. Track to mt. Shungol, Mimeng Subdistr.",NA,PG,NA,8,1970,PRESERVED_SPECIMEN,NA,Botany,L.1527729,"Kairo, A NGF 45400",Kairo A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,153130,Phreatia scandens,Phreatia,scandens,J.J.Sm.,Species,Accepted,NA,650945-1,153130,0,7,"c(146.75, -6.83333)",TRUE
106728,GBIF_9937,Phreatia paleata,-21.63333,165.81667,2513825292,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Phreatia,SPECIES,(Rchb.f.) Kraenzl.,NA,NA,NC,NA,11,1950,PRESERVED_SPECIMEN,NA,Botany,L.1527790,"Guillaumin, A; Baumann-Bodenheim, MG 8720",Guillaumin A; Baumann-Bodenheim MG,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,153081,Phreatia paleata,Phreatia,paleata,(Rchb.f.) Rchb.f.,Species,Accepted,NA,650900-1,153081,7,10,"c(165.81667, -21.63333)",TRUE
106729,GBIF_9938,Phreatia paleata,-21.63333,165.81667,2513824703,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Phreatia,SPECIES,(Rchb.f.) Kraenzl.,NA,NA,NC,NA,11,1950,PRESERVED_SPECIMEN,NA,Botany,L.1527792,"Guillaumin, A; Baumann-Bodenheim, MG 8712",Guillaumin A; Baumann-Bodenheim MG,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,153081,Phreatia paleata,Phreatia,paleata,(Rchb.f.) Rchb.f.,Species,Accepted,NA,650900-1,153081,7,10,"c(165.81667, -21.63333)",TRUE
106730,GBIF_9939,Phreatia crassiuscula,-16.41667,145.25,2513824144,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Phreatia,SPECIES,Nicholls,T.R. 142 Zarda L.A.,NA,AU,NA,9,1973,PRESERVED_SPECIMEN,NA,Botany,L.1527912,"Hyland, B 6885",Hyland B,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,152954,Phreatia crassiuscula,Phreatia,crassiuscula,Nicholls,Species,Accepted,NA,650781-1,152954,0,8,"c(145.25, -16.41667)",TRUE
106731,GBIF_9940,Phreatia densiflora,5.86667,116.51667,2513824043,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Phreatia,SPECIES,Lindl.,NA,NA,MY,NA,7,1933,PRESERVED_SPECIMEN,NA,Botany,L.1527954,"Carr, CE SFN 27791",Carr CE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,152964,Phreatia densiflora,Phreatia,densiflora,(Blume) Lindl.,Species,Accepted,NA,650789-1,152964,8,6,"c(116.51667, 5.86667)",TRUE
106849,GBIF_10062,Phreatia nutans,-3.45997,138.46184,2513118480,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Phreatia,SPECIES,J.J.Sm.,NOva Guinea neerlandica Mamberamo Doormantop,NA,ID,NA,10,1920,PRESERVED_SPECIMEN,NA,Botany,L  0061923,"Lam, HJ 1687",Lam HJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,153070,Phreatia nutans,Phreatia,nutans,J.J.Sm.,Species,Accepted,NA,650889-1,153070,0,7,"c(138.46184, -3.45997)",TRUE
107732,GBIF_10976,Phreatia urostachya,-6.5,147.76667,2513824837,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Phreatia,SPECIES,Schltr.,Morobe Prov. Sattelberg,NA,PG,NA,9,1935,PRESERVED_SPECIMEN,NA,Botany,L.1527583,"Clemens, J; Clemens, MS 274",Clemens J; Clemens MS,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,153175,Phreatia urostachya,Phreatia,urostachya,Schltr.,Species,Accepted,NA,650985-1,153175,0,7,"c(147.76667, -6.5)",TRUE
107733,GBIF_10977,Phreatia semiorbicularis,-5.6,143.55,2513825276,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Phreatia,SPECIES,J.J.Sm.,"Kepilam village, Lagaip valley.",NA,PG,NA,8,1960,PRESERVED_SPECIMEN,NA,Botany,L.1527644,"Hoogland, RD; Schodde, R 7390",Hoogland RD; Schodde R,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,153135,Phreatia semiorbicularis,Phreatia,semiorbicularis,J.J.Sm.,Species,Accepted,NA,650950-1,153135,0,7,"c(143.55, -5.6)",TRUE
