V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
107138,GBIF_10361,Platycoryne crocea,-4.2,30,2515862386,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platycoryne,SPECIES,Rolfe,Bunga (Mosso).,NA,BI,NA,12,1977,PRESERVED_SPECIMEN,NA,Botany,WAG.1139115,"Reekmans, M 6781",Reekmans M,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,157559,Platycoryne crocea,Platycoryne,crocea,Rolfe,Species,Accepted,NA,651993-1,157559,0,5,"c(30, -4.2)",TRUE
107139,GBIF_10362,Platycoryne mediocris,-14.91667,33.6,2517286224,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platycoryne,SPECIES,Summerh.,"Macanga (Furancungo), Monte Furancungo (Elefante).",NA,MZ,NA,3,1966,PRESERVED_SPECIMEN,NA,Botany,WAG.1139155,"Pereira, Â; Sarmento, A; Marques, A 1735",Pereira Â; Sarmento A; Marques A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,157573,Platycoryne mediocris,Platycoryne,mediocris,Summerh.,Species,Accepted,NA,652002-1,157573,0,8,"c(33.6, -14.91667)",TRUE
107140,GBIF_10363,Platycoryne megalorrhyncha,6.25,10.43333,2515815203,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platycoryne,SPECIES,Summerh.,Wum.,NA,CM,NA,6,1959,PRESERVED_SPECIMEN,NA,Botany,WAG.1139157,"Daramola, BO FHI 41084",Daramola BO,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,157574,Platycoryne megalorrhyncha,Platycoryne,megalorrhyncha,Summerh.,Species,Accepted,NA,652003-1,157574,0,8,"c(10.43333, 6.25)",TRUE
108196,GBIF_11454,Platycoryne guingangae,-2.68333,12.08333,2515601673,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platycoryne,SPECIES,(Rchb.f.) Rolfe,"Massif du Chaillu, ancien Divenié.",NA,CG,NA,12,1983,PRESERVED_SPECIMEN,NA,Botany,WAG.1139143,"Sita, P 5358",Sita P,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,157565,Platycoryne guingangae,Platycoryne,guingangae,(Rchb.f.) Rolfe,Species,Accepted,NA,651996-1,157565,0,15,"c(12.08333, -2.68333)",TRUE
110564,GBIF_14479,Platycoryne paludosa,-2.3,10.58333,438311109,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platycoryne,SPECIES,(Lindl.) Rolfe,NA,NA,GA,90,12,1986,PRESERVED_SPECIMEN,MNHN,P,P00259988,without-number,"De Wilde, J.J.F.E.;Arends, J.C.;de Bruijn, J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,157578,Platycoryne paludosa,Platycoryne,paludosa,(Lindl.) Rolfe,Species,Accepted,NA,652007-1,157578,0,14,"c(10.58333, -2.3)",TRUE
123035,GBIF_44356,Platycoryne pervillei,-14.91667,40.3,2515887708,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platycoryne,SPECIES,Rchb.f.,"Nampula. Distrite de Monapo, reserva florestral de Sr. Wolf.",NA,MZ,NA,2,1984,PRESERVED_SPECIMEN,NA,Botany,WAG.1139173,"Groenendijk, EMC; Koning, J de; Dungo, J 1117",Groenendijk EMC; Koning J de; Dungo J,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,157579,Platycoryne pervillei,Platycoryne,pervillei,Rchb.f.,Species,Accepted,NA,652008-1,157579,0,7,"c(40.3, -14.91667)",TRUE
124142,GBIF_45552,Platycoryne buchananiana,6.86667,11.73333,2517694912,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platycoryne,SPECIES,(Kraenzl.) Rolfe,près Arnado oumiare (15 km NO Banyo) feuille IGN 1/200.000 Banyo.,NA,CM,NA,6,1967,PRESERVED_SPECIMEN,NA,Botany,WAG.1138848,"Letouzey, RG 8578",Letouzey RG,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,157558,Platycoryne buchananiana,Platycoryne,buchananiana,(Kraenzl.) Rolfe,Species,Accepted,NA,651992-1,157558,0,16,"c(11.73333, 6.86667)",TRUE
124143,GBIF_45553,Platycoryne crocea,-4.55,15.26667,2515892121,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platycoryne,SPECIES,Rolfe,"environs de Brazzaville, route de Kinkala, village de Gangalingolo, à 18kms sur la route Brazzaville-Kinkala.",NA,CG,NA,12,1962,PRESERVED_SPECIMEN,NA,Botany,WAG.1139126,Néré de 17,Néré de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,157559,Platycoryne crocea,Platycoryne,crocea,Rolfe,Species,Accepted,NA,651993-1,157559,0,5,"c(15.26667, -4.55)",TRUE
124144,GBIF_45554,Platycoryne paludosa,10.2,2.6,2515754408,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platycoryne,SPECIES,(Lindl.) Rolfe,Saoré.,NA,BJ,NA,7,1999,PRESERVED_SPECIMEN,NA,Botany,WAG.1139166,"Houngnon, P 6953",Houngnon P,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,157578,Platycoryne paludosa,Platycoryne,paludosa,(Lindl.) Rolfe,Species,Accepted,NA,652007-1,157578,0,14,"c(2.6, 10.2)",TRUE
124145,GBIF_45555,Platycoryne paludosa,-3.0145,10.42167,2515820583,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platycoryne,SPECIES,(Lindl.) Rolfe,"Moukalaba Doudou, national park south of Nyanga river.",NA,GA,NA,2,2004,PRESERVED_SPECIMEN,NA,Botany,WAG.1139168,"Valkenburg, JLCH van; Ngok Banak, L; Azizet Issembé, Y; Nzabi, T 2932",Valkenburg JLCH van; Ngok Banak L; Azizet Issembé Y; Nzabi T,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,157578,Platycoryne paludosa,Platycoryne,paludosa,(Lindl.) Rolfe,Species,Accepted,NA,652007-1,157578,0,14,"c(10.42167, -3.0145)",TRUE
131584,GBIF_56351,Platycoryne protearum,-9.333333,34.05,1055923097,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platycoryne,SPECIES,(Rchb.f.) Rolfe,Iringa; Bulongwa,NA,TZ,NA,2,1914,PRESERVED_SPECIMEN,NHMUK,BOT,BM000038834,2487,Adolf Ferdinand Stolz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,157581,Platycoryne protearum,Platycoryne,protearum,(Rchb.f.) Rolfe,Species,Accepted,NA,652010-1,157581,0,15,"c(34.05, -9.333333)",TRUE
132871,GBIF_57941,Platycoryne buchananiana,-9.28333,33.61667,2513119359,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platycoryne,SPECIES,(Kraenzl.) Rolfe,...Africae oriental. Nyassa hochland. Station Kyimbila.,NA,TZ,NA,1,1906,PRESERVED_SPECIMEN,NA,Botany,L  0061949,"Stolz, AF 140",Stolz AF,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,157558,Platycoryne buchananiana,Platycoryne,buchananiana,(Kraenzl.) Rolfe,Species,Accepted,NA,651992-1,157558,0,16,"c(33.61667, -9.28333)",TRUE
133246,GBIF_58366,Platycoryne buchananiana,-11.45,34.01667,2517672984,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platycoryne,SPECIES,(Kraenzl.) Rolfe,Mzuzu.,NA,MW,NA,1,1974,PRESERVED_SPECIMEN,NA,Botany,WAG.1138842,"Pawek, J 7970",Pawek J,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,157558,Platycoryne buchananiana,Platycoryne,buchananiana,(Kraenzl.) Rolfe,Species,Accepted,NA,651992-1,157558,0,16,"c(34.01667, -11.45)",TRUE
