V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
253390,GBIF_218892,Platyrhiza quadricolor,-26.365,-49.235556,2996120617,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platyrhiza,SPECIES,Barb.Rodr.,Braço esquerdo.,NA,BR,417,11,2009,PRESERVED_SPECIMEN,FURB,FURB,FURB02842,780,"Cadorin, T.J.;T.J. Cadorin,Oliveira, C.,C. Oliveira,S.M. Clemes,Clemes, S.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,157643,Platyrhiza quadricolor,Platyrhiza,quadricolor,Barb.Rodr.,Species,Accepted,NA,652046-1,157643,0,10,"c(-49.235556, -26.365)",TRUE
253700,GBIF_219204,Platyrhiza quadricolor,-26.782778,-49.398611,2996123530,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platyrhiza,SPECIES,Barb.Rodr.,Mata ciliar próximo a PCH Alto Benedito.,NA,BR,287,11,2012,PRESERVED_SPECIMEN,FURB,FURB,FURB36006,s.n.,"Caetano, J.O.;J.O. Caetano",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,157643,Platyrhiza quadricolor,Platyrhiza,quadricolor,Barb.Rodr.,Species,Accepted,NA,652046-1,157643,0,10,"c(-49.398611, -26.782778)",TRUE
410878,GBIF_468346,Platyrhiza quadricolor,-29.448055,-51.806389,1077509242,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platyrhiza,SPECIES,Barb.Rodr.,Lagoa da Harmonia.,NA,BR,NA,11,2008,PRESERVED_SPECIMEN,FUVATES,HVAT,2508,s.n.,W. Heberle,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,157643,Platyrhiza quadricolor,Platyrhiza,quadricolor,Barb.Rodr.,Species,Accepted,NA,652046-1,157643,0,10,"c(-51.806389, -29.448055)",TRUE
501590,GBIF_596263,Platyrhiza quadricolor,-26.365,-49.235555,1077396596,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platyrhiza,SPECIES,Barb.Rodr.,Braço esquerdo.,NA,BR,417,11,2009,PRESERVED_SPECIMEN,FURB,FURB,17549,780,T.J. Cadorin; S.M. Clemes; C. Oliveira,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,157643,Platyrhiza quadricolor,Platyrhiza,quadricolor,Barb.Rodr.,Species,Accepted,NA,652046-1,157643,0,10,"c(-49.235555, -26.365)",TRUE
502757,GBIF_597533,Platyrhiza quadricolor,-26.782778,-49.398611,1077418809,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platyrhiza,SPECIES,Barb.Rodr.,Mata ciliar próximo a PCH Alto Benedito.,NA,BR,287,11,2012,PRESERVED_SPECIMEN,FURB,FURB,39735,s.n.,J.O. Caetano,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,157643,Platyrhiza quadricolor,Platyrhiza,quadricolor,Barb.Rodr.,Species,Accepted,NA,652046-1,157643,0,10,"c(-49.398611, -26.782778)",TRUE
563726,GBIF_698365,Platyrhiza quadricolor,-31.408056,-52.541667,2302314741,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platyrhiza,SPECIES,Barb.Rodr.,"Distrito de Rincão da Cruz, Morro Quilongongo. Nome comum: orquídea. Altitude obida a partir dos dados de coordenadas geográficas.",NA,BR,223,1,2008,PRESERVED_SPECIMEN,ECT,ECT,ECT0001735,221,T.Perleberg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,157643,Platyrhiza quadricolor,Platyrhiza,quadricolor,Barb.Rodr.,Species,Accepted,NA,652046-1,157643,0,10,"c(-52.541667, -31.408056)",TRUE
563727,GBIF_698366,Platyrhiza quadricolor,-31.408056,-52.541667,2302314952,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platyrhiza,SPECIES,Barb.Rodr.,"Distrito de Rincão da Cruz, Morro Quilongongo. Nome comum: orquídea. Altitude obida a partir dos dados de coordenadas geográficas.",NA,BR,223,1,2008,PRESERVED_SPECIMEN,ECT,ECT,ECT0001734,218,T.Perleberg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,157643,Platyrhiza quadricolor,Platyrhiza,quadricolor,Barb.Rodr.,Species,Accepted,NA,652046-1,157643,0,10,"c(-52.541667, -31.408056)",TRUE
563728,GBIF_698367,Platyrhiza quadricolor,-31.408056,-52.541667,2302314072,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platyrhiza,SPECIES,Barb.Rodr.,"Distrito de Rincão da Cruz, Morro Quilongongo. Nome comum: orquídea. Altitude obida a partir dos dados de coordenadas geográficas.",NA,BR,223,1,2009,PRESERVED_SPECIMEN,ECT,ECT,ECT0001737,315,T.Perleberg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,157643,Platyrhiza quadricolor,Platyrhiza,quadricolor,Barb.Rodr.,Species,Accepted,NA,652046-1,157643,0,10,"c(-52.541667, -31.408056)",TRUE
563729,GBIF_698368,Platyrhiza quadricolor,-31.408056,-52.541667,2302315121,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platyrhiza,SPECIES,Barb.Rodr.,"Distrito de Rincão da Cruz, Morro Quilongongo. Nome comum: orquídea. Altitude obida a partir dos dados de coordenadas geográficas.",NA,BR,223,12,2008,PRESERVED_SPECIMEN,ECT,ECT,ECT0001736,308,T.Perleberg,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,157643,Platyrhiza quadricolor,Platyrhiza,quadricolor,Barb.Rodr.,Species,Accepted,NA,652046-1,157643,0,10,"c(-52.541667, -31.408056)",TRUE
656789,SPECIESLINKS_10387,Platyrhiza quadricolor,-24.32,-46.990002,004548,Plantae,Magnoliophyta,NA,NA,Orchidaceae,Platyrhiza,NA,Barb.Rodr.,NA,Brasil,Brasil,NA,1,1986,PreservedSpecimen,ESALQ,ESA,004548,880,"Catharino, E.L.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,157643,Platyrhiza quadricolor,Platyrhiza,quadricolor,Barb.Rodr.,Species,Accepted,NA,652046-1,157643,0,10,"c(-46.990002, -24.32)",TRUE
