V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
115101,GBIF_19321,Platystele compacta,10.068075,-84.077478,2423961831,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platystele,SPECIES,(Ames) Ames,Monte de la Cruz. Above Finca Monte Cristo.,NA,CR,NA,8,1982,PRESERVED_SPECIMEN,NY,NY,4131772,2058,C. A. Todzia,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,157664,Platystele compacta,Platystele,compacta,(Ames) Ames,Species,Accepted,NA,201835-2,157664,0,11,"c(-84.077478, 10.068075)",TRUE
127625,GBIF_51865,Platystele ovalifolia,3.62348,-53.20925,4565160564,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platystele,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,11,2013,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,157713,Platystele ovalifolia,Platystele,ovalifolia,(H.Focke) Garay & Dunst.,Species,Accepted,NA,201857-2,157713,24,-1,"c(-53.20925, 3.62348)",TRUE
127825,GBIF_52243,Platystele ovalifolia,3.62348,-53.20925,4565160982,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platystele,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,6,2019,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,157713,Platystele ovalifolia,Platystele,ovalifolia,(H.Focke) Garay & Dunst.,Species,Accepted,NA,201857-2,157713,24,-1,"c(-53.20925, 3.62348)",TRUE
127831,GBIF_52256,Platystele ovalifolia,3.62348,-53.20925,4565160996,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platystele,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,6,2019,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Sébastien Sant,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,157713,Platystele ovalifolia,Platystele,ovalifolia,(H.Focke) Garay & Dunst.,Species,Accepted,NA,201857-2,157713,24,-1,"c(-53.20925, 3.62348)",TRUE
127836,GBIF_52272,Platystele ovalifolia,3.62348,-53.20925,4565161012,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platystele,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,12,2014,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,157713,Platystele ovalifolia,Platystele,ovalifolia,(H.Focke) Garay & Dunst.,Species,Accepted,NA,201857-2,157713,24,-1,"c(-53.20925, 3.62348)",TRUE
128612,GBIF_53270,Platystele stenostachya,13.883333,-84.4,4031981330,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platystele,SPECIES,(Rchb. f.) Garay,Vicinity of Rosita; rain forest [Seymour series],NA,NI,50,1,1974,PRESERVED_SPECIMEN,MO,Tropicos,101821574,6986,John T. Atwood,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,157741,Platystele stenostachya,Platystele,stenostachya,(Rchb.f.) Garay,Species,Accepted,NA,201871-2,157741,1,9,"c(-84.4, 13.883333)",TRUE
128714,GBIF_53374,Platystele enervis,-0.65333,-79.06916,4032044908,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platystele,SPECIES,Luer,"Reserva Ecológica Los Ilinizas, sector Guadual, acceso desde La Carmela, cerro Guadual Grande, arriba del alto río Guadual,Cordillera Occidental, vertiente occidental, bosque primario.",NA,EC,1400,7,2003,PRESERVED_SPECIMEN,MO,Tropicos,102202589,9264,Philip A. Silverstone-Sopkin;N. Paz;A. Giraldo;Marco Cerna,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,157677,Platystele enervis,Platystele,enervis,Luer,Species,Accepted,NA,201735-2,157677,0,4,"c(-79.06916, -0.65333)",TRUE
129015,GBIF_53678,Platystele acicularis,0.666,-77.5,1261357474,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platystele,SPECIES,Luer & Hirtz,El Carmelo,NA,EC,2400,5,1985,PRESERVED_SPECIMEN,MO,Tropicos,641264,2649,Alexander Hirtz;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,157647,Platystele acicularis,Platystele,acicularis,Luer & Hirtz,Species,Accepted,NA,283268-2,157647,0,12,"c(-77.5, 0.666)",TRUE
129349,GBIF_54021,Platystele alucitae,0.9,-78.6,1261388535,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platystele,SPECIES,Luer,In wet cloud forest between the paramo and Maldonado.,NA,EC,2500,2,1992,PRESERVED_SPECIMEN,MO,Tropicos,673331,1545,Stig Dalström,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,157653,Platystele alucitae,Platystele,alucitae,Luer,Species,Accepted,NA,201828-2,157653,0,4,"c(-78.6, 0.9)",TRUE
130043,GBIF_54734,Platystele microtatantha,10.3,-84.8,1259289068,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platystele,SPECIES,(Schltr.) Garay,"Monteverde Reserve; 1km SW Station, in leeward cloud forest. On Clusia stenophylla branch 30 cm (circum.), which was epiphytic treelet in crown of fallen Bourreria costaricensis tree.",NA,CR,1525,2,1992,PRESERVED_SPECIMEN,MO,Tropicos,2017679,1266,Stephen W. Ingram;Karen Ferrell-Ingram,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,157701,Platystele microtatantha,Platystele,microtatantha,(Schltr.) Garay,Species,Accepted,NA,201852-2,157701,0,15,"c(-84.8, 10.3)",TRUE
