V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
114293,GBIF_18490,Plectrophora cultrifolia,-11.75,-71,2424021844,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Plectrophora,SPECIES,(Barb.Rodr.) Cogn.,"Manu Park, Cocha Cashu uplands",NA,PE,NA,8,1986,PRESERVED_SPECIMEN,NY,NY,04131848,5942,P. Núñez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,158913,Plectrophora cultrifolia,Plectrophora,cultrifolia,(Barb.Rodr.) Cogn.,Species,Accepted,NA,202023-2,158913,0,18,"c(-71, -11.75)",TRUE
124378,GBIF_45797,Plectrophora cultrifolia,-11,-68.75,1042581521,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Plectrophora,SPECIES,NA,"Vizinhança de Brasiléia., Vizinhança de Brasiléia. Mata primária sobre solo meio arenoso e seco. Copa quebrada, bastante taboca de bambú.",NA,BR,0,11,1980,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",110274,861,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,158913,Plectrophora cultrifolia,Plectrophora,cultrifolia,(Barb.Rodr.) Cogn.,Species,Accepted,NA,202023-2,158913,18,-1,"c(-68.75, -11)",TRUE
127478,GBIF_51666,Plectrophora iridifolia,3.62348,-53.20925,4565160346,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Plectrophora,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,9,2013,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,158915,Plectrophora iridifolia,Plectrophora,iridifolia,(Lodd. ex Lindl.) H.Focke,Species,Accepted,NA,652123-1,158915,25,-1,"c(-53.20925, 3.62348)",TRUE
127738,GBIF_52062,Plectrophora iridifolia,3.62348,-53.20925,4565160780,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Plectrophora,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,4,2012,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,158915,Plectrophora iridifolia,Plectrophora,iridifolia,(Lodd. ex Lindl.) H.Focke,Species,Accepted,NA,652123-1,158915,25,-1,"c(-53.20925, 3.62348)",TRUE
152197,GBIF_83827,Plectrophora iridifolia,3.53,-53.2,2423982466,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Plectrophora,SPECIES,Focke,"2 km SW of Saül, track Limonade",NA,GF,NA,9,1986,PRESERVED_SPECIMEN,NY,NY,04131849,nr321,R. C. Ek,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,158915,Plectrophora iridifolia,Plectrophora,iridifolia,(Lodd. ex Lindl.) H.Focke,Species,Accepted,NA,652123-1,158915,20,5,"c(-53.2, 3.53)",TRUE
161093,GBIF_101240,Plectrophora alata,8.786944,-82.962248,1253804525,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Plectrophora,SPECIES,(Rolfe) Garay,"Jardin Botanico Las Cruces, San Vito, Coto Brus.",NA,CR,1250,11,1997,PRESERVED_SPECIMEN,INBio,Plantae,3975078,without-number,Juan Francisco Morales Quirós,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,158911,Plectrophora alata,Plectrophora,alata,(Rolfe) Garay,Species,Accepted,NA,202021-2,158911,0,13,"c(-82.962248, 8.786944)",TRUE
185335,GBIF_130847,Plectrophora cultrifolia,-0.13333,-77.45,4031909799,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Plectrophora,SPECIES,(Barb. Rodr.) Cogn.,Cantón El Chaco. Codo Sinclair. Bosque muy húmedo Tropical. Bosque primario en el valle del Río Quijos. Suelo con enormes rocas superficiales.,NA,EC,650,9,1990,PRESERVED_SPECIMEN,MO,Tropicos,101589586,5771,Walter A. Palacios,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,158913,Plectrophora cultrifolia,Plectrophora,cultrifolia,(Barb.Rodr.) Cogn.,Species,Accepted,NA,202023-2,158913,1,12,"c(-77.45, -0.13333)",TRUE
186903,GBIF_132535,Plectrophora cultrifolia,-12.66305,-69.15944,1261393237,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Plectrophora,SPECIES,(Barb. Rodr.) Cogn.,"Cusco Amazónico. Lodge camp site 1, Plot E Trees and Lianas 10 cm dbh.",NA,PE,200,6,1989,PRESERVED_SPECIMEN,MO,Tropicos,677746,11013,Percy Núñez V.;et al.;O. L. Phillips;O. Phillips;Nestor Jaramillo;W. Duellman;L. Trueb;Johnson;L. Johnson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,158913,Plectrophora cultrifolia,Plectrophora,cultrifolia,(Barb.Rodr.) Cogn.,Species,Accepted,NA,202023-2,158913,1,12,"c(-69.15944, -12.66305)",TRUE
186934,GBIF_132567,Plectrophora cultrifolia,-11.75,-71.16666,1261394799,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Plectrophora,SPECIES,(Barb. Rodr.) Cogn.,"Manu Park, Cocha Cashu uplands.",NA,PE,400,8,1986,PRESERVED_SPECIMEN,MO,Tropicos,679249,5942,Percy Núñez V.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,158913,Plectrophora cultrifolia,Plectrophora,cultrifolia,(Barb.Rodr.) Cogn.,Species,Accepted,NA,202023-2,158913,1,12,"c(-71.16666, -11.75)",TRUE
192258,GBIF_138296,Plectrophora suarezii,-1.066,-77.6,47829293,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Plectrophora,SPECIES,NA,"Reserva biologica Jatun Sacha, south of Río Napo 8 km downriver from Misahuallí.",NA,EC,450,4,1989,PRESERVED_SPECIMEN,AU,AAU,D.E.Christensen88080,without-number,D.E. Christensen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,158917,Plectrophora suarezii,Plectrophora,suarezii,Dodson & M.W.Chase,Species,Accepted,NA,313905-2,158917,18,-1,"c(-77.6, -1.066)",TRUE
