V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104084,GBIF_301,Pleione praecox,26.83,98.25,1056360428,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pleione,SPECIES,(Sm.) D.Don,North Triangle; Tama Bum; 6000',NA,MM,1829,10,1953,PRESERVED_SPECIMEN,NHMUK,BOT,BM000091020,21508,Capt. Francis (Frank) Kingdon-Ward,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,159101,Pleione praecox,Pleione,praecox,(Sm.) D.Don,Species,Accepted,NA,652201-1,159101,0,11,"c(98.25, 26.83)",TRUE
116597,GBIF_23812,Pleione forrestii,25.666667,98.666667,574876700,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pleione,SPECIES,NA,China:Yunnan:Shweli Salwin divide,NA,CN,1373,6,1924,PRESERVED_SPECIMEN,RBGE,E,E00123204,24435,"Forrest, George",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,159042,Pleione forrestii,Pleione,forrestii,Schltr.,Species,Accepted,NA,652159-1,159042,7,-1,"c(98.666667, 25.666667)",TRUE
116612,GBIF_23827,Pleione scopulorum,27.784444,98.460833,730533212,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pleione,SPECIES,NA,China:Yunnan:Gongshan:Zizhixian:Vicinity of Danghatu near Km 49 on the road from Gongshan to Kongdang and ca. 20.4 direct km WNW of Gongshan on the E side of Gaoligong Shan.,NA,CN,3360,9,2006,PRESERVED_SPECIMEN,RBGE,E,E00629734,34492,"Gaoligong Shan Biotic Survey Expedition - Summer 2006,",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,159118,Pleione scopulorum,Pleione,scopulorum,W.W.Sm.,Species,Accepted,NA,652214-1,159118,7,-1,"c(98.460833, 27.784444)",TRUE
116620,GBIF_23835,Pleione scopulorum,27.689722,98.473889,575091262,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pleione,SPECIES,NA,"China:Yunnan:Gongshan:Cikai:E side of Gaoligong Shan, W of Gongshan, on the trail from Qiqi to Dongshao Fang and the pass to the Dulong Jiang valley.",NA,CN,3400,7,2000,PRESERVED_SPECIMEN,RBGE,E,E00241652,12729,"Gaoligong Shan Biotic Survey Expedition (2000),",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,159118,Pleione scopulorum,Pleione,scopulorum,W.W.Sm.,Species,Accepted,NA,652214-1,159118,7,-1,"c(98.473889, 27.689722)",TRUE
125343,GBIF_46813,Pleione yunnanensis,25.012526,102.700013,1304082034,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pleione,SPECIES,NA,西山三青阁,NA,CN,NA,NA,1946,PRESERVED_SPECIMEN,KUN,NA,ec7e2728-b6bf-11e1-8c2f-acd112e444a7,without-number,冯国楣,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,159141,Pleione yunnanensis,Pleione,yunnanensis,(Rolfe) Rolfe,Species,Accepted,NA,652235-1,159141,13,-1,"c(102.700013, 25.012526)",TRUE
125344,GBIF_46814,Pleione scopulorum,27.740736,98.66582,1304082043,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pleione,SPECIES,NA,Mekong-Salwin Divide sila,NA,CN,NA,NA,1938,PRESERVED_SPECIMEN,KUN,NA,ec7e1d12-b6bf-11e1-8c2f-acd112e444a7,without-number,俞德浚,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,159118,Pleione scopulorum,Pleione,scopulorum,W.W.Sm.,Species,Accepted,NA,652214-1,159118,7,-1,"c(98.66582, 27.740736)",TRUE
125349,GBIF_46821,Pleione bulbocodioides,26.876096,100.229945,1304082115,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pleione,SPECIES,NA,雪山东侧,NA,CN,NA,NA,1939,PRESERVED_SPECIMEN,KUN,NA,ec7dcefd-b6bf-11e1-8c2f-acd112e444a7,without-number,秦仁昌,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,159011,Pleione bulbocodioides,Pleione,bulbocodioides,(Franch.) Rolfe,Species,Accepted,NA,652134-1,159011,15,-1,"c(100.229945, 26.876096)",TRUE
125350,GBIF_46822,Pleione bulbocodioides,27.2822,100.85195,1304082133,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pleione,SPECIES,NA,永宁狮子山,NA,CN,NA,NA,1937,PRESERVED_SPECIMEN,KUN,NA,ec7dc8f4-b6bf-11e1-8c2f-acd112e444a7,without-number,俞德浚,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,159011,Pleione bulbocodioides,Pleione,bulbocodioides,(Franch.) Rolfe,Species,Accepted,NA,652134-1,159011,15,-1,"c(100.85195, 27.2822)",TRUE
125351,GBIF_46823,Pleione bulbocodioides,25.584234,100.222124,1304082151,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pleione,SPECIES,NA,NA,NA,CN,NA,NA,1946,PRESERVED_SPECIMEN,KUN,NA,ec7dc7a8-b6bf-11e1-8c2f-acd112e444a7,without-number,刘慎谔,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,159011,Pleione bulbocodioides,Pleione,bulbocodioides,(Franch.) Rolfe,Species,Accepted,NA,652134-1,159011,15,-1,"c(100.222124, 25.584234)",TRUE
125578,GBIF_47102,Pleione bulbocodioides,27.706099,117.06026,1304095562,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pleione,SPECIES,NA,"Mou-pa, Tsingchen",NA,CN,NA,NA,1935,PRESERVED_SPECIMEN,KUN,NA,fd0a1eb8-b6bf-11e1-8c2f-acd112e444a7,without-number,S.W.Feng,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,159011,Pleione bulbocodioides,Pleione,bulbocodioides,(Franch.) Rolfe,Species,Accepted,NA,652134-1,159011,15,-1,"c(117.06026, 27.706099)",TRUE
