V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
130677,GBIF_55385,Pleurothallopsis tubulosa,7.51666,-72.4,1260199246,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pleurothallopsis,SPECIES,(Lindl.) Luer,"Wet forested slopes along Quebrada Agua Azul, over slate-shale substrate, south of El Reposo, 14 km SE of Delicias.",NA,VE,2225,7,1979,PRESERVED_SPECIMEN,MO,Tropicos,2843942,118610,Julian A. Steyermark;Ronald L. Liesner,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,259294,Pleurothallopsis tubulosa,Pleurothallopsis,tubulosa,(Lindl.) Pridgeon & M.W.Chase,Species,Accepted,NA,1064277-2,259294,19,9,"c(-72.4, 7.51666)",TRUE
152616,GBIF_84265,Pleurothallopsis tubulosa,10.114873,-84.535589,2423981251,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pleurothallopsis,SPECIES,(Lindl.) Luer,Piedadas N. de San Ramon,NA,CR,NA,12,1923,PRESERVED_SPECIMEN,NY,NY,04133792,3011,A. M. Brenes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,259294,Pleurothallopsis tubulosa,Pleurothallopsis,tubulosa,(Lindl.) Pridgeon & M.W.Chase,Species,Accepted,NA,1064277-2,259294,19,9,"c(-84.535589, 10.114873)",TRUE
161280,GBIF_101438,Pleurothallopsis tubulosa,10.036944,-83.63,1253882980,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pleurothallopsis,SPECIES,(Lindl.) Luer,"Carretera entre Altos de Pascua (San Isidro) y San Antonio, Río Pascua.",NA,CR,475,1,2007,PRESERVED_SPECIMEN,INBio,Plantae,4189278,without-number,Juan Francisco Morales Quirós,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,259294,Pleurothallopsis tubulosa,Pleurothallopsis,tubulosa,(Lindl.) Pridgeon & M.W.Chase,Species,Accepted,NA,1064277-2,259294,19,9,"c(-83.63, 10.036944)",TRUE
174928,GBIF_118242,Pleurothallopsis monetalis,-4.98972,-78.90388,1258973620,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pleurothallopsis,SPECIES,(Luer) Luer,"San José de Lourdes, Selva Andina",NA,PE,1950,10,2000,PRESERVED_SPECIMEN,CUZ,Tropicos,1730479,690,Gloria Calatayud,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,259287,Pleurothallopsis monetalis,Pleurothallopsis,monetalis,(Luer) Pridgeon & M.W.Chase,Species,Accepted,NA,1220119-2,259287,19,7,"c(-78.90388, -4.98972)",TRUE
176307,GBIF_119694,Pleurothallopsis carnosa,-14.4975,-68.249167,4062081469,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pleurothallopsis,SPECIES,Luer & R. Vásquez,"Parque Nacional Madidi, Piñalito (Parcela Permanente), 30 km en linea recta al este de Apolo por el camino a San José de Uchupiamonas; trayecto de 1.8 km entre la Parcela Permanente y campamento Jatun Chiriuno. Bosque yungueño termo-mesotropical pluvial húmedo, con Podocarpus oleifolius, Alchornea spp, Melastomataceae spp y Lauraceae spp; en partes matorrales, pajonales y arbustedas secundarios, producto de quemas, con Chusquea, Melastomataceae, Asteraceae, Pteridium arachnoideum y Ericaceae. Terreno montañoso, suelos con capa orgánica de 30 cm",NA,BO,1925,6,2002,PRESERVED_SPECIMEN,USZ,Tropicos,101918089,4719,Alfredo F. Fuentes;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,259281,Pleurothallopsis carnosa,Pleurothallopsis,carnosa,(Luer & R.Vásquez) Pridgeon & M.W.Chase,Species,Accepted,NA,1012385-2,259281,24,9,"c(-68.249167, -14.4975)",TRUE
258472,GBIF_224671,Pleurothallopsis tubulosa,-3.6,-79.21667,1261356601,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pleurothallopsis,SPECIES,(Lindl.) Luer,Lago Zorrogucho.,NA,EC,3000,2,1978,PRESERVED_SPECIMEN,SEL,Tropicos,640324,2476,Carl A. Luer;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,259294,Pleurothallopsis tubulosa,Pleurothallopsis,tubulosa,(Lindl.) Pridgeon & M.W.Chase,Species,Accepted,NA,1064277-2,259294,19,9,"c(-79.21667, -3.6)",TRUE
266323,GBIF_234311,Pleurothallopsis reichenbachiana,13.816667,-84.733333,4061846884,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pleurothallopsis,SPECIES,(Endrés ex Rchb. f.) Luer,Rosita Highway 12 mi E of Siuna,NA,NI,274.32,NA,1959,PRESERVED_SPECIMEN,AMES,Tropicos,101786174,4630,Alfonso H. Heller,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,259292,Pleurothallopsis reichenbachiana,Pleurothallopsis,reichenbachiana,(Endrés ex Rchb.f.) Pridgeon & M.W.Chase,Species,Accepted,NA,1010506-2,259292,20,16,"c(-84.733333, 13.816667)",TRUE
282330,GBIF_262535,Pleurothallopsis microptera,6.3,-75.483333,4062010478,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pleurothallopsis,SPECIES,(Schltr.) Luer,Mpios. Medellín y Guarne. Sector Lajas.,NA,CO,2350,11,1994,PRESERVED_SPECIMEN,HUA,Tropicos,101729787,5261,Ramiro Fonnegra G.;Wilson Rengifo M.;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,259286,Pleurothallopsis microptera,Pleurothallopsis,microptera,(Schltr.) Pridgeon & M.W.Chase,Species,Accepted,NA,1048413-2,259286,19,10,"c(-75.483333, 6.3)",TRUE
283769,GBIF_264415,Pleurothallopsis tubulosa,0.295,-78.482,1261371358,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pleurothallopsis,SPECIES,(Lindl.) Luer,Otavalo-Apuela.,NA,EC,3000,2,1978,PRESERVED_SPECIMEN,SEL,Tropicos,656101,2605,Carl A. Luer;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,259294,Pleurothallopsis tubulosa,Pleurothallopsis,tubulosa,(Lindl.) Pridgeon & M.W.Chase,Species,Accepted,NA,1064277-2,259294,19,9,"c(-78.482, 0.295)",TRUE
289508,GBIF_286885,Pleurothallopsis ujarensis,9.88,-83.81,1258826546,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pleurothallopsis,SPECIES,(Rchb. f.) Luer,Carpintera (highest),NA,CR,1828.8,4,1928,PRESERVED_SPECIMEN,MO,Tropicos,1593661,1390,Harvey E. Stork,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,259295,Pleurothallopsis ujarensis,Pleurothallopsis,ujarensis,(Rchb.f.) Pridgeon & M.W.Chase,Species,Accepted,NA,1019557-2,259295,20,6,"c(-83.81, 9.88)",TRUE
