V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
106752,GBIF_9961,Plocoglottis plicata,-0.76667,102.53333,2513827684,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Plocoglottis,SPECIES,(Roxb.) Ormerod,"Tigapulu mts. 5 km W of talanglakat on rengat-Jambi road, bukit Karampal area.",NA,ID,NA,11,1988,PRESERVED_SPECIMEN,NA,Botany,L.1531632,"Burley, JS; Tukirin; et al. 1148",Burley JS; Tukirin; et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,259298,Plocoglottis plicata,Plocoglottis,plicata,(Roxb.) Ormerod,Species,Accepted,NA,20004052-1,259298,0,15,"c(102.53333, -0.76667)",TRUE
106753,GBIF_9962,Plocoglottis quadrifolia,8.5,99.75,2513828137,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Plocoglottis,SPECIES,J.J.Sm.,"Peninsular Thailand, Province: Nakhon si Thammarat, Khao Luang foothills.",NA,TH,NA,5,1973,PRESERVED_SPECIMEN,NA,Botany,L.1531634,"Geesink, R; Santisuk, T 5483",Geesink R; Santisuk T,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,161468,Plocoglottis quadrifolia,Plocoglottis,quadrifolia,J.J.Sm.,Species,Accepted,NA,653868-1,161468,0,7,"c(99.75, 8.5)",TRUE
106754,GBIF_9963,Plocoglottis gigantea,3.56667,97.78333,2513827377,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Plocoglottis,SPECIES,(Hook.f.) J.J.Sm.,"Gunung Leuser Nature reserve. Camp 1-2. Climbing Gunung Mamas, c 6 km SW from the mouth of lau Ketambe, c 30 km NW of Kutatjane.",NA,ID,NA,3,1975,PRESERVED_SPECIMEN,NA,Botany,L.1531674,"Wilde, WJJO de; Wilde-Duyfjes, BEE de 15764",Wilde WJJO de; Wilde-Duyfjes BEE de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,161436,Plocoglottis gigantea,Plocoglottis,gigantea,(Hook.f.) J.J.Sm.,Species,Accepted,NA,653840-1,161436,0,17,"c(97.78333, 3.56667)",TRUE
107756,GBIF_11000,Plocoglottis javanica,0.0063,102.37465,2513830058,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Plocoglottis,SPECIES,Blume,NA,NA,ID,NA,2,1983,PRESERVED_SPECIMEN,NA,Botany,L.1531629,"Afriastini, JJ 751",Afriastini JJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,161442,Plocoglottis javanica,Plocoglottis,javanica,Blume,Species,Accepted,NA,653844-1,161442,0,5,"c(102.37465, 0.0063)",TRUE
107757,GBIF_11001,Plocoglottis lowii,-2.31667,138.03333,2513828761,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Plocoglottis,SPECIES,Rchb.f.,NA,NA,ID,NA,11,1926,PRESERVED_SPECIMEN,NA,Botany,L.1531650,"Docters van Leeuwen, WM 11184",Docters van Leeuwen WM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,161451,Plocoglottis lowii,Plocoglottis,lowii,Rchb.f.,Species,Accepted,NA,653853-1,161451,0,7,"c(138.03333, -2.31667)",TRUE
107758,GBIF_11002,Plocoglottis plicata,1.4,110.1,2513829551,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Plocoglottis,SPECIES,Blume,"Bidi Caves, Sarawak.",NA,MY,NA,10,1929,PRESERVED_SPECIMEN,NA,Botany,L.1531711,"Clemens, J; Clemens, MS 20719",Clemens J; Clemens MS,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,259298,Plocoglottis plicata,Plocoglottis,plicata,(Roxb.) Ormerod,Species,Accepted,NA,20004052-1,259298,13,2,"c(110.1, 1.4)",TRUE
122863,GBIF_44172,Plocoglottis moluccana,-6.71667,146.71667,2513828983,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Plocoglottis,SPECIES,Blume,NA,NA,PG,NA,7,1962,PRESERVED_SPECIMEN,NA,Botany,L.1531615,"Hartley, TG 10456",Hartley TG,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,161460,Plocoglottis moluccana,Plocoglottis,moluccana,Blume,Species,Accepted,NA,653861-1,161460,0,5,"c(146.71667, -6.71667)",TRUE
122864,GBIF_44173,Plocoglottis moluccana,-5.83333,146.11667,2513828872,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Plocoglottis,SPECIES,Blume,NA,NA,PG,NA,1,1909,PRESERVED_SPECIMEN,NA,Botany,L.1531617,"Schlechter, FRR 19192",Schlechter FRR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,161460,Plocoglottis moluccana,Plocoglottis,moluccana,Blume,Species,Accepted,NA,653861-1,161460,0,5,"c(146.11667, -5.83333)",TRUE
122865,GBIF_44174,Plocoglottis lacuum,-1.15,132.48333,2513830321,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Plocoglottis,SPECIES,J.J.Sm.,Vogelkop N of Ayawasi,NA,ID,NA,3,1996,PRESERVED_SPECIMEN,NA,Botany,L.1531657,"Polak, AM 1137",Polak AM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,161444,Plocoglottis lacuum,Plocoglottis,lacuum,J.J.Sm.,Species,Accepted,NA,653846-1,161444,0,7,"c(132.48333, -1.15)",TRUE
122866,GBIF_44175,Plocoglottis bicallosa,13.26611,121.00472,2513828051,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Plocoglottis,SPECIES,Ames,"Philippines, Island of Mindoro, Mt. Halcon.",NA,PH,NA,3,1922,PRESERVED_SPECIMEN,NA,Botany,L.1531718,"Ramos, M; Edaño, GE Orchid 60",Ramos M; Edaño GE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,161427,Plocoglottis bicallosa,Plocoglottis,bicallosa,Ames,Species,Accepted,NA,653831-1,161427,0,4,"c(121.00472, 13.26611)",TRUE
123493,GBIF_44855,Plocoglottis plicata,-0.76667,102.53333,2513829113,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Plocoglottis,SPECIES,(Roxb.) Ormerod,"Tigapulu mts. 5 km W of talanglakat on rengat-Jambi road, bukit Karampal area.",NA,ID,NA,11,1988,PRESERVED_SPECIMEN,NA,Botany,L.1531631,"Burley, JS; Tukirin; et al. 1336",Burley JS; Tukirin; et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,259298,Plocoglottis plicata,Plocoglottis,plicata,(Roxb.) Ormerod,Species,Accepted,NA,20004052-1,259298,0,15,"c(102.53333, -0.76667)",TRUE
123871,GBIF_45260,Plocoglottis javanica,-6.71028,106.68611,2513119628,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Plocoglottis,SPECIES,Blume,G. Seribu Java,NA,ID,NA,NA,without-year,PRESERVED_SPECIMEN,NA,Botany,L  0061976,"Blume, CL 590",Blume CL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,161442,Plocoglottis javanica,Plocoglottis,javanica,Blume,Species,Accepted,NA,653844-1,161442,0,5,"c(106.68611, -6.71028)",TRUE
132664,GBIF_57713,Plocoglottis sakiensis,-7.2,146.63333,2513821439,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Plocoglottis,SPECIES,Schltr.,"Above Camp 8, Bulolo.",NA,PG,NA,10,1965,PRESERVED_SPECIMEN,NA,Botany,L.1525161,"Streimann, H; Kairo, A NGF 26014",Streimann H; Kairo A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,161469,Plocoglottis sakiensis,Plocoglottis,sakiensis,Schltr.,Species,Accepted,NA,653869-1,161469,0,7,"c(146.63333, -7.2)",TRUE
