V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
122821,GBIF_44130,Poaephyllum podochiloides,6.13333,116.48333,2513822807,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Poaephyllum,SPECIES,(Schltr.) Ridl.,malaysia sabah kota belud district ridge s of melangkap tamis on nw side of mt kinabalu,NA,MY,NA,3,1984,PRESERVED_SPECIMEN,NA,Botany,L.1525043,"Beaman, JH; Atwood, JT; Beaman, RS; et al. 8983",Beaman JH; Atwood JT; Beaman RS; et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,161670,Poaephyllum podochiloides,Poaephyllum,podochiloides,(Schltr.) Ridl.,Species,Accepted,NA,653882-1,161670,0,15,"c(116.48333, 6.13333)",TRUE
133852,GBIF_59036,Poaephyllum trilobum,-2.90831,138.4413,2513117474,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Poaephyllum,SPECIES,J.J.Sm.,Archipel.Ind. N.Guinea. Rouffaer Rvier.,NA,ID,NA,9,1926,PRESERVED_SPECIMEN,NA,Botany,L  0062000,"Docters van Leeuwen, WM 10230",Docters van Leeuwen WM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,161673,Poaephyllum trilobum,Poaephyllum,trilobum,J.J.Sm.,Species,Accepted,NA,653885-1,161673,0,7,"c(138.4413, -2.90831)",TRUE
158353,GBIF_97911,Poaephyllum podochiloides,-1.15,132.48333,3353000380,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Poaephyllum,SPECIES,(Schltr.) Ridl.,NE of Ayawasi village.,NA,ID,NA,2,1995,PRESERVED_SPECIMEN,NA,Botany,L.4404097,"Yumte, K 56",Yumte K,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,161670,Poaephyllum podochiloides,Poaephyllum,podochiloides,(Schltr.) Ridl.,Species,Accepted,NA,653882-1,161670,0,15,"c(132.48333, -1.15)",TRUE
158425,GBIF_97998,Poaephyllum pauciflorum,-6.9167,106.9272,2513117573,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Poaephyllum,SPECIES,(Hook.f.) Ridl.,Java. Soekaboemi.,NA,ID,NA,NA,without-year,PRESERVED_SPECIMEN,NA,Botany,L  0061994,Unknown s.n.,Unknown,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,161669,Poaephyllum pauciflorum,Poaephyllum,pauciflorum,(Hook.f.) Ridl.,Species,Accepted,NA,653880-1,161669,0,15,"c(106.9272, -6.9167)",TRUE
169568,GBIF_110880,Poaephyllum podochiloides,-2.5578,138.6767,2513808785,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Poaephyllum,SPECIES,Schltr.,N. Guinea. Gautier-Geb. Noord.,NA,ID,NA,11,1911,PRESERVED_SPECIMEN,NA,Botany,L.1510997,"Gjellerup, K 812",Gjellerup K,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,161670,Poaephyllum podochiloides,Poaephyllum,podochiloides,(Schltr.) Ridl.,Species,Accepted,NA,653882-1,161670,8,6,"c(138.6767, -2.5578)",TRUE
169775,GBIF_111120,Poaephyllum trilobum,-2.90831,138.4413,2513119821,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Poaephyllum,SPECIES,J.J.Sm.,Archipel.Ind. N.Guinea. Rouffaer Rvier.,NA,ID,NA,9,1926,PRESERVED_SPECIMEN,NA,Botany,L  0061999,"Docters van Leeuwen, WM 10337",Docters van Leeuwen WM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,161673,Poaephyllum trilobum,Poaephyllum,trilobum,J.J.Sm.,Species,Accepted,NA,653885-1,161673,0,7,"c(138.4413, -2.90831)",TRUE
242310,GBIF_203376,Poaephyllum podochiloides,-7.95,147.58333,2513822122,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Poaephyllum,SPECIES,(Schltr.) Ridl.,"Morobe Prov. Iye Creek, Yae, Waria valley",NA,PG,NA,6,1999,PRESERVED_SPECIMEN,NA,Botany,L.1525045,"Lovave, MJ LAE 82409",Lovave MJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,161670,Poaephyllum podochiloides,Poaephyllum,podochiloides,(Schltr.) Ridl.,Species,Accepted,NA,653882-1,161670,0,15,"c(147.58333, -7.95)",TRUE
313055,GBIF_314866,Poaephyllum pauciflorum,1.2361,114.4858,1055783738,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Poaephyllum,SPECIES,(J.J.Sm.) Rolfe,NA,NA,ID,NA,3,1949,PRESERVED_SPECIMEN,NHMUK,BOT,BM000509100,28454,J Sinclair,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,161669,Poaephyllum pauciflorum,Poaephyllum,pauciflorum,(Hook.f.) Ridl.,Species,Accepted,NA,653880-1,161669,10,4,"c(114.4858, 1.2361)",TRUE
403416,GBIF_453595,Poaephyllum selebicum,-2.6833,121.15,2513118801,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Poaephyllum,SPECIES,J.J.Sm.,"Archipel.Ind. Selebes, distr. ?Noeha, B. Waraoe Meoesa.",NA,ID,NA,9,1929,PRESERVED_SPECIMEN,NA,Botany,L  0061995,"Kjellberg, GK 2313",Kjellberg GK,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,161671,Poaephyllum selebicum,Poaephyllum,selebicum,J.J.Sm.,Species,Accepted,NA,653883-1,161671,0,7,"c(121.15, -2.6833)",TRUE
460465,GBIF_531712,Poaephyllum fimbriatum,-7.276944,147.033056,1572324486,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Poaephyllum,SPECIES,Schuit. & de Vogel,"New Guinea, Kamiali Wildlife Management Area, above Top Camp, on ridge trail towards Blue Mountain.",NA,PG,1572,7,2011,PRESERVED_SPECIMEN,K,Herbarium,K000342208,SAJ0121,"James, S.A., et al.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,474102,Poaephyllum fimbriatum,Poaephyllum,fimbriatum,Schuit. & de Vogel,Species,Accepted,NA,77117319-1,474102,0,18,"c(147.033056, -7.276944)",TRUE
533325,GBIF_646051,Poaephyllum podochiloides,6,116.68333,2513820598,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Poaephyllum,SPECIES,(Schltr.) Ridl.,"malaysia sabah ranau district: bank, steep slopes and cliffs on sw side of lohan river",NA,MY,NA,4,1984,PRESERVED_SPECIMEN,NA,Botany,L.1525042,"Beaman, JH; Asher, JH; Atwood, J; Beaman, RS; et al. 9262",Beaman JH; Asher JH; Atwood J; Beaman RS; et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,161670,Poaephyllum podochiloides,Poaephyllum,podochiloides,(Schltr.) Ridl.,Species,Accepted,NA,653882-1,161670,0,15,"c(116.68333, 6)",TRUE
