V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
107162,GBIF_10385,Podangis rhipsalisocia,5.38333,-4.05,2517714034,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podangis,SPECIES,(Rchb.f.) Summerh.,CULTA. Hollandse Rading. In greenhouse of Wubben. From Banco Forest Reserve.,NA,CI,NA,5,1977,PRESERVED_SPECIMEN,NA,Botany,WAG.1140092,"Burg, WJ van der 1269",Burg WJ van der,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,474280,Podangis rhipsalisocia,Podangis,rhipsalisocia,(Rchb.f.) P.J.Cribb & Carlsward,Species,Accepted,NA,77123399-1,474280,20,10,"c(-4.05, 5.38333)",TRUE
134603,GBIF_59882,Podangis dactyloceras,4.96667,9.88333,2515547791,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podangis,SPECIES,(Rchb.f.) Schltr.,"Manengouba Mts., WNW of Nkongsamba. 4.58 N 9.53 E",NA,CM,NA,4,1972,PRESERVED_SPECIMEN,NA,Botany,WAG0139459,"Leeuwenberg, AJM; Berg, CC 9654 A",Leeuwenberg AJM; Berg CC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,161687,Podangis dactyloceras,Podangis,dactyloceras,(Rchb.f.) Schltr.,Species,Accepted,NA,653887-1,161687,0,17,"c(9.88333, 4.96667)",TRUE
134731,GBIF_60038,Podangis dactyloceras,4.96667,9.88333,2515590546,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podangis,SPECIES,(Rchb.f.) Schltr.,"Manengouba Mts., WNW of Nkongsamba.",NA,CM,NA,6,1980,PRESERVED_SPECIMEN,NA,Botany,WAG.1139237,"Laan, FM van der 163",Laan FM van der,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,161687,Podangis dactyloceras,Podangis,dactyloceras,(Rchb.f.) Schltr.,Species,Accepted,NA,653887-1,161687,0,17,"c(9.88333, 4.96667)",TRUE
135714,GBIF_61134,Podangis dactyloceras,4.15,9.23333,2517651936,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podangis,SPECIES,(Rchb.f.) Schltr.,Buea.,NA,CM,NA,5,1965,PRESERVED_SPECIMEN,NA,Botany,WAG.1139238,"Atwell, D 16",Atwell D,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,161687,Podangis dactyloceras,Podangis,dactyloceras,(Rchb.f.) Schltr.,Species,Accepted,NA,653887-1,161687,0,17,"c(9.23333, 4.15)",TRUE
159891,GBIF_99771,Podangis rhipsalisocia,7.25,-3.01667,2515892134,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podangis,SPECIES,(Rchb.f.) Summerh.,along the road Issia-Daloa.,NA,CI,NA,11,1956,PRESERVED_SPECIMEN,NA,Botany,WAG.1140090,"Wilde, JJFE de 841",Wilde JJFE de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,474280,Podangis rhipsalisocia,Podangis,rhipsalisocia,(Rchb.f.) P.J.Cribb & Carlsward,Species,Accepted,NA,77123399-1,474280,20,10,"c(-3.01667, 7.25)",TRUE
172928,GBIF_116131,Podangis rhipsalisocia,7.709444,-8.405556,4061691164,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podangis,SPECIES,(Rchb. f.) Summerh.,"Forestiere Prov. Nimba Mountains, SMFG iron mining concession.",NA,GN,521,10,2011,PRESERVED_SPECIMEN,NA,Tropicos,100508406,218,Nimba Shade House,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,474280,Podangis rhipsalisocia,Podangis,rhipsalisocia,(Rchb.f.) P.J.Cribb & Carlsward,Species,Accepted,NA,77123399-1,474280,21,6,"c(-8.405556, 7.709444)",TRUE
173293,GBIF_116510,Podangis rhipsalisocia,7.676389,-8.388333,2268883994,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podangis,SPECIES,(Rchb. f.) Summerh.,"Guinée Forestière. Nimba Mountains, SMFG iron mining concession.",NA,GN,1000,1,2012,PRESERVED_SPECIMEN,BRLU,Tropicos,100985168,28,Nimba Spirit Collection;Gononan Traoré;Tariq Stévart;Ehoarn Bidault;Jean-Yves Serein,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,474280,Podangis rhipsalisocia,Podangis,rhipsalisocia,(Rchb.f.) P.J.Cribb & Carlsward,Species,Accepted,NA,77123399-1,474280,21,6,"c(-8.388333, 7.676389)",TRUE
173643,GBIF_116869,Podangis rhipsalisocia,4.16288,11.021809,3946852922,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podangis,SPECIES,(Rchb. f.) Summerh.,"Tombi, patch forestier sur une dalle rocheuse autour de la Sanaga.",NA,CM,340,3,2022,PRESERVED_SPECIMEN,BRLU,Tropicos,101398514,20,Imma Tcheferi;Gilles Dauby;Fabrice Nzoyeuem Djonko,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,474280,Podangis rhipsalisocia,Podangis,rhipsalisocia,(Rchb.f.) P.J.Cribb & Carlsward,Species,Accepted,NA,77123399-1,474280,21,6,"c(11.021809, 4.16288)",TRUE
175423,GBIF_118760,Podangis rhipsalisocia,7.672222,-8.373889,4061115416,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podangis,SPECIES,(Rchb. f.) Summerh.,"Forestiere Prov. Nimba Mountains, SMFG iron mining concession. Zié river.",NA,GN,1274,10,2011,PRESERVED_SPECIMEN,NA,Tropicos,100496766,87,Nimba Shade House,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,474280,Podangis rhipsalisocia,Podangis,rhipsalisocia,(Rchb.f.) P.J.Cribb & Carlsward,Species,Accepted,NA,77123399-1,474280,21,6,"c(-8.373889, 7.672222)",TRUE
175431,GBIF_118768,Podangis rhipsalisocia,7.680833,-8.431944,4061115479,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podangis,SPECIES,(Rchb. f.) Summerh.,River Niaya. Road to Serimbara.,NA,GN,634,6,2012,PRESERVED_SPECIMEN,NA,Tropicos,100525097,495,Nimba Shade House,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,474280,Podangis rhipsalisocia,Podangis,rhipsalisocia,(Rchb.f.) P.J.Cribb & Carlsward,Species,Accepted,NA,77123399-1,474280,21,6,"c(-8.431944, 7.680833)",TRUE
175778,GBIF_119127,Podangis rhipsalisocia,7.676389,-8.388333,2268884870,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podangis,SPECIES,(Rchb. f.) Summerh.,"Guinée Forestière. Nimba Mountains, SMFG iron mining concession.",NA,GN,1000,1,2013,PRESERVED_SPECIMEN,BRLU,Tropicos,100985455,478,Nimba Spirit Collection;Gononan Traoré;Tariq Stévart;Ehoarn Bidault;Jean-Yves Serein,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,474280,Podangis rhipsalisocia,Podangis,rhipsalisocia,(Rchb.f.) P.J.Cribb & Carlsward,Species,Accepted,NA,77123399-1,474280,21,6,"c(-8.388333, 7.676389)",TRUE
175791,GBIF_119140,Podangis rhipsalisocia,7.709444,-8.405556,2268897025,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podangis,SPECIES,(Rchb. f.) Summerh.,"Guinée Forestière. Nimba Mountains, SMFG iron mining concession.",NA,GN,521,1,2013,PRESERVED_SPECIMEN,BRLU,Tropicos,100998378,1141,Nimba Spirit Collection;Gononan Traoré;Tariq Stévart;Ehoarn Bidault;Jean-Yves Serein,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,474280,Podangis rhipsalisocia,Podangis,rhipsalisocia,(Rchb.f.) P.J.Cribb & Carlsward,Species,Accepted,NA,77123399-1,474280,21,6,"c(-8.405556, 7.709444)",TRUE
187939,GBIF_133619,Podangis rhipsalisocia,7.681945,-8.434167,2268897710,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podangis,SPECIES,(Rchb. f.) Summerh.,"Mont Nimba, Près de la rivière la Niaya. Forêt.",NA,GN,602,1,2013,PRESERVED_SPECIMEN,MO,Tropicos,100998521,1284,Nimba Spirit Collection;Gononan Traoré;Tariq Stévart;Ehoarn Bidault;Jean-Yves Serein,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,474280,Podangis rhipsalisocia,Podangis,rhipsalisocia,(Rchb.f.) P.J.Cribb & Carlsward,Species,Accepted,NA,77123399-1,474280,21,6,"c(-8.434167, 7.681945)",TRUE
212006,GBIF_165126,Podangis rhipsalisocia,0.766667,24.5,1839457951,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podangis,SPECIES,NA,"Yangambi; à 8,5 km de Yaosuka; abatages pour extensions Elaeis",NA,CD,NA,1,1937,PRESERVED_SPECIMEN,MeiseBG,BR,BR0000006618681,3168,Louis J.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,474280,Podangis rhipsalisocia,Podangis,rhipsalisocia,(Rchb.f.) P.J.Cribb & Carlsward,Species,Accepted,NA,77123399-1,474280,31,-1,"c(24.5, 0.766667)",TRUE
229271,GBIF_188111,Podangis dactyloceras,4.95,9.7167,2517752947,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podangis,SPECIES,(Rchb.f.) Schltr.,"Kodmin, Abwoh. 1550 m.",NA,CM,NA,1,1998,PRESERVED_SPECIMEN,NA,Botany,WAG.1962079,"Etuge, M; Chris; Duncan; Clement; Biye, EH; Kome 4023",Etuge M; Chris; Duncan; Clement; Biye EH; Kome,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,161687,Podangis dactyloceras,Podangis,dactyloceras,(Rchb.f.) Schltr.,Species,Accepted,NA,653887-1,161687,0,17,"c(9.7167, 4.95)",TRUE
237463,GBIF_197608,Podangis rhipsalisocia,6.683333,10.966667,912152936,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podangis,SPECIES,(Rchb.f.) Summerh.,"Lus, 20 miles NE. Nkambe.",NA,CM,760,2,1958,PRESERVED_SPECIMEN,K,Herbarium,K000107351,1876,"Hepper, F.N.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,474280,Podangis rhipsalisocia,Podangis,rhipsalisocia,(Rchb.f.) P.J.Cribb & Carlsward,Species,Accepted,NA,77123399-1,474280,20,10,"c(10.966667, 6.683333)",TRUE
237903,GBIF_198069,Podangis dactyloceras,4.95,9.716667,912152573,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podangis,SPECIES,(Rchb.f.) Schltr.,Abwoh. 1550 m.,NA,CM,1400,1,1998,PRESERVED_SPECIMEN,K,Herbarium,K000106980,4023,"Etuge, M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,161687,Podangis dactyloceras,Podangis,dactyloceras,(Rchb.f.) Schltr.,Species,Accepted,NA,653887-1,161687,0,17,"c(9.716667, 4.95)",TRUE
259225,GBIF_225547,Podangis rhipsalisocia,7.676389,-8.388333,2268884716,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podangis,SPECIES,(Rchb. f.) Summerh.,"Guinée Forestière. Nimba Mountains, SMFG iron mining concession.",NA,GN,1000,2,2014,PRESERVED_SPECIMEN,WAG,Tropicos,100985530,852,Nimba Spirit Collection;Gononan Traoré;Tariq Stévart;Ehoarn Bidault;Jean-Yves Serein,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,474280,Podangis rhipsalisocia,Podangis,rhipsalisocia,(Rchb.f.) P.J.Cribb & Carlsward,Species,Accepted,NA,77123399-1,474280,21,6,"c(-8.388333, 7.676389)",TRUE
263882,GBIF_231160,Podangis rhipsalisocia,7.681945,-8.434167,2268885203,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podangis,SPECIES,(Rchb. f.) Summerh.,"Mont Nimba, Près de la rivière la Niaya. Forêt.",NA,GN,602,1,2013,PRESERVED_SPECIMEN,BRLU,Tropicos,100985529,842,Nimba Spirit Collection;Gononan Traoré;Tariq Stévart;Ehoarn Bidault;Jean-Yves Serein,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,474280,Podangis rhipsalisocia,Podangis,rhipsalisocia,(Rchb.f.) P.J.Cribb & Carlsward,Species,Accepted,NA,77123399-1,474280,21,6,"c(-8.434167, 7.681945)",TRUE
265572,GBIF_233438,Podangis rhipsalisocia,7.705556,-8.340833,4061097524,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podangis,SPECIES,(Rchb. f.) Summerh.,Mont Nimba.,NA,GN,485,11,2012,PRESERVED_SPECIMEN,NA,Tropicos,100557412,686,Nimba Shade House,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,474280,Podangis rhipsalisocia,Podangis,rhipsalisocia,(Rchb.f.) P.J.Cribb & Carlsward,Species,Accepted,NA,77123399-1,474280,21,6,"c(-8.340833, 7.705556)",TRUE
265751,GBIF_233639,Podangis rhipsalisocia,3.96425,11.372,1258171414,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podangis,SPECIES,(Rchb. f.) Summerh.,"Mbam-Minkom (région de, au NO de Yaoundé). Relevé effectué au sud/sud-ouest du village de Kolaki.",NA,CM,500,3,2004,PRESERVED_SPECIMEN,BRLU,Tropicos,100854247,17,Vincent Droissart,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,474280,Podangis rhipsalisocia,Podangis,rhipsalisocia,(Rchb.f.) P.J.Cribb & Carlsward,Species,Accepted,NA,77123399-1,474280,21,6,"c(11.372, 3.96425)",TRUE
265767,GBIF_233656,Podangis dactyloceras,6.2666,10.51416,1258172206,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podangis,SPECIES,(Rchb. f.) Schltr.,Mont Oku. Village d'Oku.,NA,CM,1695,9,2011,PRESERVED_SPECIMEN,BRLU,Tropicos,100855206,976,Vincent Droissart;Gyslène Kamdem;Pierre Ploton,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,161687,Podangis dactyloceras,Podangis,dactyloceras,(Rchb.f.) Schltr.,Species,Accepted,NA,653887-1,161687,1,11,"c(10.51416, 6.2666)",TRUE
265875,GBIF_233777,Podangis rhipsalisocia,7.697222,-8.395278,2268886874,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podangis,SPECIES,(Rchb. f.) Summerh.,"Guinée Forestière. Nimba Mountains, SMFG iron mining concession.",NA,GN,775,1,2013,PRESERVED_SPECIMEN,BRLU,Tropicos,100985451,468,Nimba Spirit Collection;Gononan Traoré;Tariq Stévart;Ehoarn Bidault;Jean-Yves Serein,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,474280,Podangis rhipsalisocia,Podangis,rhipsalisocia,(Rchb.f.) P.J.Cribb & Carlsward,Species,Accepted,NA,77123399-1,474280,21,6,"c(-8.395278, 7.697222)",TRUE
272892,GBIF_249807,Podangis rhipsalisocia,5.31667,-6.16667,2517382821,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podangis,SPECIES,(Rchb.f.) Summerh.,"61 km N of Sassandra, W of Niapidou.",NA,CI,NA,2,1959,PRESERVED_SPECIMEN,NA,Botany,WAG0366957,"Leeuwenberg, AJM 2780",Leeuwenberg AJM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,474280,Podangis rhipsalisocia,Podangis,rhipsalisocia,(Rchb.f.) P.J.Cribb & Carlsward,Species,Accepted,NA,77123399-1,474280,20,10,"c(-6.16667, 5.31667)",TRUE
273834,GBIF_251079,Podangis rhipsalisocia,-2.36667,11.91667,2517688000,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podangis,SPECIES,(Rchb.f.) Summerh.,"route Bongolo- Malinga, 2 km après croisement Malinga-Ndéndé.",NA,GA,NA,6,1984,PRESERVED_SPECIMEN,NA,Botany,WAG.1140093,"Louis, AM 1594",Louis AM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,474280,Podangis rhipsalisocia,Podangis,rhipsalisocia,(Rchb.f.) P.J.Cribb & Carlsward,Species,Accepted,NA,77123399-1,474280,20,10,"c(11.91667, -2.36667)",TRUE
