V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104418,GBIF_643,Podochilus tenuis,-0.54,114.2787,1056803590,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podochilus,SPECIES,(Blume) Lindl.,NA,NA,ID,NA,1,1933,PRESERVED_SPECIMEN,NHMUK,BOT,BM000509262,31008,J. Clemens & M.S. Clemens,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,161826,Podochilus tenuis,Podochilus,tenuis,(Blume) Lindl.,Species,Accepted,NA,654016-1,161826,0,14,"c(114.2787, -0.54)",TRUE
104715,GBIF_1551,Podochilus australiensis,-16.5,145.3,2829140404,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podochilus,SPECIES,(F.M.Bailey) Schltr.,NA,NA,AU,160,5,1989,PRESERVED_SPECIMEN,CANB,CANB,CBG 8913106.2,4302,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,161704,Podochilus australiensis,Podochilus,australiensis,(F.M.Bailey) Schltr.,Species,Accepted,NA,653899-1,161704,0,20,"c(145.3, -16.5)",TRUE
105041,GBIF_3022,Podochilus australiensis,-13.7,143.4,2830743293,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podochilus,SPECIES,(F.M.Bailey) Schltr.,NA,NA,AU,450,8,2003,PRESERVED_SPECIMEN,CANB,CANB,CANB 599869.1,18978,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,161704,Podochilus australiensis,Podochilus,australiensis,(F.M.Bailey) Schltr.,Species,Accepted,NA,653899-1,161704,0,20,"c(143.4, -13.7)",TRUE
105867,GBIF_7272,Podochilus australiensis,-17.9,145.9,2828440582,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podochilus,SPECIES,(F.M.Bailey) Schltr.,NA,NA,AU,45,4,2002,PRESERVED_SPECIMEN,CANB,CANB,CANB 670362.1,8109,"Gray, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,161704,Podochilus australiensis,Podochilus,australiensis,(F.M.Bailey) Schltr.,Species,Accepted,NA,653899-1,161704,0,20,"c(145.9, -17.9)",TRUE
106685,GBIF_9892,Podochilus microphyllus,6.08,101.83333,2513817753,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podochilus,SPECIES,Lindl.,"Thailand, Province: Naratiwat, District: Sungai Padi, Chatwarin Falls.",NA,TH,NA,12,1986,PRESERVED_SPECIMEN,NA,Botany,L.1519861,"Maxwell, JF 86- 1098",Maxwell JF,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,161777,Podochilus microphyllus,Podochilus,microphyllus,Lindl.,Species,Accepted,NA,653968-1,161777,0,6,"c(101.83333, 6.08)",TRUE
106686,GBIF_9893,Podochilus lucescens,4.28333,115.3,2513817257,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podochilus,SPECIES,Blume,path to g. pagon periuk g. pagon limbang 5th division,NA,MY,NA,7,1984,PRESERVED_SPECIMEN,NA,Botany,L.1519920,"Awa, D; Lee Meng Hock, B S 47605",Awa D; Lee Meng Hock B,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,161768,Podochilus lucescens,Podochilus,lucescens,Blume,Species,Accepted,NA,653959-1,161768,0,5,"c(115.3, 4.28333)",TRUE
106687,GBIF_9894,Podochilus lucescens,-1,117,2513816472,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podochilus,SPECIES,Blume,wanariset lbn plot,NA,ID,NA,5,1990,PRESERVED_SPECIMEN,NA,Botany,L.1519922,"Balgooy, MMJ van; Kessler, PJA 5933 A",Balgooy MMJ van; Kessler PJA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,161768,Podochilus lucescens,Podochilus,lucescens,Blume,Species,Accepted,NA,653959-1,161768,0,5,"c(117, -1)",TRUE
106711,GBIF_9920,Podochilus tenuis,4.31667,114.45,2513821893,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podochilus,SPECIES,Lindl.,belait subd. labi mendaram valley below and close to waterfall,NA,BN,NA,3,1991,PRESERVED_SPECIMEN,NA,Botany,L.1525491,"Sands, MJS; Johns, RJ 5441",Sands MJS; Johns RJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,161826,Podochilus tenuis,Podochilus,tenuis,(Blume) Lindl.,Species,Accepted,NA,654016-1,161826,8,6,"c(114.45, 4.31667)",TRUE
106712,GBIF_9921,Podochilus rhombeus,-2.8,119.78333,2513823343,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podochilus,SPECIES,J.J.Sm.,Road heading NNW from village Baruppu.,NA,ID,NA,NA,without-year,PRESERVED_SPECIMEN,NA,Botany,L.1525510,Hort Bot Singapore SBGO 3209,Hort Bot Singapore,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,161806,Podochilus rhombeus,Podochilus,rhombeus,J.J.Sm.,Species,Accepted,NA,653997-1,161806,0,7,"c(119.78333, -2.8)",TRUE
106713,GBIF_9922,Podochilus sciuroides,6,116.68333,2513824046,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Podochilus,SPECIES,Rchb.f.,steep slopes and cliffs on sw side of lohan river,NA,MY,NA,6,1984,PRESERVED_SPECIMEN,NA,Botany,L.1525552,"Beaman, JH; Beaman, RS; Beaman, TE; Decker, P; Sutton, BC 10013",Beaman JH; Beaman RS; Beaman TE; Decker P; Sutton BC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,161815,Podochilus sciuroides,Podochilus,sciuroides,Rchb.f.,Species,Accepted,NA,654006-1,161815,0,7,"c(116.68333, 6)",TRUE
