V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
111321,GBIF_15335,Pogoniopsis schenckii,-20.520556,-41.100556,4526425441,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pogoniopsis,SPECIES,Angiospermas,Topo do Forninho. Inselbergues. Parque Estadual do Forno Grande,NA,BR,NA,1,2009,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00549207,2371,"C.N. Fraga;R.C. Forzza,R. Goldenberg",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,162050,Pogoniopsis schenckii,Pogoniopsis,schenckii,Cogn.,Species,Accepted,NA,654181-1,162050,11,1,"c(-41.100556, -20.520556)",TRUE
111377,GBIF_15393,Pogoniopsis schenckii,-20.291389,-40.519444,4526428890,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pogoniopsis,SPECIES,Angiospermas,"Localidade de Alegre, trilha do Pau Oco. Floresta Ombrófila Densa Montana. Reserva Biológica de Duas Bocas",NA,BR,NA,2,2008,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00540953,5034,R.C. Forzza,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,162050,Pogoniopsis schenckii,Pogoniopsis,schenckii,Cogn.,Species,Accepted,NA,654181-1,162050,11,1,"c(-40.519444, -20.291389)",TRUE
114432,GBIF_18633,Pogoniopsis nidus-avis,-18.43185,-43.391944,1928078632,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pogoniopsis,SPECIES,Rchb.f.,Serra do Espinhaço. Valley ca. 5 km SSE of Pico do Itambé,NA,BR,1140,2,1972,PRESERVED_SPECIMEN,NY,NY,533659,35975,W. R. Anderson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,162049,Pogoniopsis nidus-avis,Pogoniopsis,nidus,Rchb.f.,Species,Accepted,NA,654180-1,162049,0,7,"c(-43.391944, -18.43185)",TRUE
115507,GBIF_19737,Pogoniopsis schenckii,-22.88,-43.22,1930925815,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pogoniopsis,SPECIES,Cogn.,NA,NA,BR,NA,12,1929,PRESERVED_SPECIMEN,NY,NY,533661,25470,C. Spannagel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,162050,Pogoniopsis schenckii,Pogoniopsis,schenckii,Cogn.,Species,Accepted,NA,654181-1,162050,0,5,"c(-43.22, -22.88)",TRUE
198398,GBIF_146264,Pogoniopsis schenckii,-20.416944,-41.038611,1424437189,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pogoniopsis,SPECIES,Cogn.,"Espigão da Pedra das Flores. Afloramento rochoso granítico antropizado, com predomínio de Pteridium aequilinum. Parque Estadual da Pedra Azul",NA,BR,NA,1,2013,PRESERVED_SPECIMEN,JBRJ,RB,RB00754240,295,"Oliveira, J.A.; Silva, F.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,162050,Pogoniopsis schenckii,Pogoniopsis,schenckii,Cogn.,Species,Accepted,NA,654181-1,162050,0,5,"c(-41.038611, -20.416944)",TRUE
198653,GBIF_146537,Pogoniopsis schenckii,-22.504722,-43.118333,1424263603,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pogoniopsis,SPECIES,Cogn.,"Distrito de Caxambú, Represa Caxambú Grande, PARNASO. Parque Nacional Serra dos Órgãos",NA,BR,1089,1,2009,PRESERVED_SPECIMEN,JBRJ,RB,RB00548578,2246,"M.Nadruz; C.Cronemberger, G.Catam & G.C.Vieira",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,162050,Pogoniopsis schenckii,Pogoniopsis,schenckii,Cogn.,Species,Accepted,NA,654181-1,162050,0,5,"c(-43.118333, -22.504722)",TRUE
198655,GBIF_146539,Pogoniopsis schenckii,-20.520556,-41.100556,1424264274,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pogoniopsis,SPECIES,Cogn.,Topo do Forninho. Inselbergues. Parque Estadual do Forno Grande,NA,BR,1600,1,2009,PRESERVED_SPECIMEN,JBRJ,RB,RB00549207,2371,C.N. Fraga; R. Goldenberg & R.C. Forzza,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,162050,Pogoniopsis schenckii,Pogoniopsis,schenckii,Cogn.,Species,Accepted,NA,654181-1,162050,0,5,"c(-41.100556, -20.520556)",TRUE
305921,GBIF_305106,Pogoniopsis schenckii,-12.417222,-40.537222,1090508287,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pogoniopsis,SPECIES,NA,"Serra 1. Faz. Gameleira, entrando entre a Faz. Monte Verde e a Faz. Leão dos Brejos.",NA,BR,NA,8,2005,PRESERVED_SPECIMEN,CEPLAC,CEPEC,118345,10767,L. P. de Queiroz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,162050,Pogoniopsis schenckii,Pogoniopsis,schenckii,Cogn.,Species,Accepted,NA,654181-1,162050,5,-1,"c(-40.537222, -12.417222)",TRUE
306257,GBIF_305465,Pogoniopsis schenckii,-20.520556,-41.100556,1090517455,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pogoniopsis,SPECIES,NA,Parque Estadual do Forno Grande. Topo do Forninho.,NA,BR,NA,1,2009,PRESERVED_SPECIMEN,CEPLAC,CEPEC,131094,2371,C. N. Fraga,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,162050,Pogoniopsis schenckii,Pogoniopsis,schenckii,Cogn.,Species,Accepted,NA,654181-1,162050,5,-1,"c(-41.100556, -20.520556)",TRUE
312004,GBIF_313721,Pogoniopsis schenckii,-12.547778,-40.537222,1094828267,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pogoniopsis,SPECIES,Cogn.,ARIE Serra do Orobó. Fazenda Gameleira.,NA,BR,737.5,7,2006,PRESERVED_SPECIMEN,UEFS,HUEFS,110664,12255,"Queiroz, L.P.de",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,162050,Pogoniopsis schenckii,Pogoniopsis,schenckii,Cogn.,Species,Accepted,NA,654181-1,162050,0,5,"c(-40.537222, -12.547778)",TRUE
