V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
114238,GBIF_18435,Polycycnis surinamensis,3.642,-56.533,2423998590,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Polycycnis,SPECIES,C.Schweinf.,"Wilhelmina Gebergte. On upper slopes and summit of Juliana Top, 15 km north of Lucie Rivier.",NA,SR,NA,8,1963,PRESERVED_SPECIMEN,NY,NY,4132741,54882,H. S. Irwin,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,162379,Polycycnis surinamensis,Polycycnis,surinamensis,C.Schweinf.,Species,Accepted,NA,205338-2,162379,0,11,"c(-56.533, 3.642)",TRUE
152725,GBIF_84376,Polycycnis surinamensis,1.5286,-59.2397,2424007559,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Polycycnis,SPECIES,C.Schweinf.,NA,NA,GY,NA,9,1999,PRESERVED_SPECIMEN,NY,NY,4132738,8247,H. D. Clarke,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,162379,Polycycnis surinamensis,Polycycnis,surinamensis,C.Schweinf.,Species,Accepted,NA,205338-2,162379,0,11,"c(-59.2397, 1.5286)",TRUE
183167,GBIF_128546,Polycycnis lepida,7.933333,-77.7,1261360110,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Polycycnis,SPECIES,Linden & Rchb. f.,"On ridge of Cerro Pirre. [Original coordinates 8º00'N, 77º45'W]",NA,PA,1040,9,1989,PRESERVED_SPECIMEN,MO,Tropicos,644174,14061,Gordon McPherson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,162373,Polycycnis lepida,Polycycnis,lepida,Linden & Rchb.f.,Species,Accepted,NA,654192-1,162373,1,14,"c(-77.7, 7.933333)",TRUE
186830,GBIF_132459,Polycycnis muscifera,-3.25,-75.833333,1261385011,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Polycycnis,SPECIES,(Lindl.) Rchb. f.,"Hermosa and vicinity, Río Corrientes, 1 km S of junction with Río Macusari.",NA,PE,160,12,1985,PRESERVED_SPECIMEN,MO,Tropicos,669817,10033,Walter H. Lewis;Memory Elvin-Lewis;M. C. Gnerre,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,162375,Polycycnis muscifera,Polycycnis,muscifera,(Lindl. & Paxton) Rchb.f.,Species,Accepted,NA,654193-1,162375,10,7,"c(-75.833333, -3.25)",TRUE
187019,GBIF_132654,Polycycnis muscifera,7.7,-77.766667,1259348529,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Polycycnis,SPECIES,(Lindl. & Paxton) Rchb. f.,SW ridge leading to Alturas de Nique on the Colombian border.,NA,PA,850,12,1980,PRESERVED_SPECIMEN,MO,Tropicos,2071853,12338,Ronald L. Hartman,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,162375,Polycycnis muscifera,Polycycnis,muscifera,(Lindl. & Paxton) Rchb.f.,Species,Accepted,NA,654193-1,162375,1,23,"c(-77.766667, 7.7)",TRUE
248139,GBIF_212488,Polycycnis aurita,4.1,-72.908889,4095922934,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Polycycnis,SPECIES,Dressler,Nueva Granada,NA,CO,NA,7,1988,PRESERVED_SPECIMEN,Universidad Nacional de Colombia (UNAL),COL,520195,199,Guillermo Misas Urreta,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,162367,Polycycnis aurita,Polycycnis,aurita,Dressler,Species,Accepted,NA,654187-1,162367,0,8,"c(-72.908889, 4.1)",TRUE
264412,GBIF_231894,Polycycnis muscifera,-15.075556,-68.466806,4061117486,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Polycycnis,SPECIES,(Lindl. & Paxton) Rchb. f.,"Área Natural de manejo Integrado Apolobamba, Tolapampa, por la carretera Charazani-Apolo, sector loma Callawaya, parcela permanente 2.",NA,BO,1250,4,2010,PRESERVED_SPECIMEN,USZ,Tropicos,102695363,15854,Alfredo F. Fuentes;A. Escalante;R. Ticona;S. Quispe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,162375,Polycycnis muscifera,Polycycnis,muscifera,(Lindl. & Paxton) Rchb.f.,Species,Accepted,NA,654193-1,162375,1,23,"c(-68.466806, -15.075556)",TRUE
264994,GBIF_232741,Polycycnis ornata,0.36666,-79.73333,4060928191,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Polycycnis,SPECIES,Garay,"Bilsa Biological Station. Reserva Ecologica Mache-Chindul, 40 km NW of Quinindé. Loma de los Guerrilleros. Permanent Plot #2. Premontane Wet Forest.",NA,EC,650,3,1997,PRESERVED_SPECIMEN,NA,Tropicos,1336266,4036,John L. Clark;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,162376,Polycycnis ornata,Polycycnis,ornata,Garay,Species,Accepted,NA,205337-2,162376,0,5,"c(-79.73333, 0.36666)",TRUE
266277,GBIF_234243,Polycycnis muscifera,9.91,-83.8,4061775997,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Polycycnis,SPECIES,(Lindl.) Rchb. f.,On Atlantic slope near Pacayas,NA,CR,1450,NA,without-year,PRESERVED_SPECIMEN,UC,Tropicos,101596748,59.242,C. K. Horich,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,162375,Polycycnis muscifera,Polycycnis,muscifera,(Lindl. & Paxton) Rchb.f.,Species,Accepted,NA,654193-1,162375,10,7,"c(-83.8, 9.91)",TRUE
282795,GBIF_263139,Polycycnis grandiflora,10.216667,-84.588889,1258467677,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Polycycnis,SPECIES,G. Gerlach & Pupulin,"R. F. San Ramón. Cordillera de Talamanca. Estación Río San Lorencito, bosque primario cerca Río San Lorenzo.",NA,CR,1025,10,1995,PRESERVED_SPECIMEN,CR,Tropicos,1256467,4963,J. F. Morales,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,538045,Polycycnis grandiflora,Polycycnis,grandiflora,G.Gerlach & Pupulin,Species,Accepted,NA,77205664-1,538045,1,17,"c(-84.588889, 10.216667)",TRUE
