V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
134452,GBIF_59710,Polyotidium huebneri,1.91667,-67,2517212117,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Polyotidium,SPECIES,(Mansf.) Garay,"Territorio Amazonas, near San Carlos de Rio Negro.",NA,VE,NA,1,1968,PRESERVED_SPECIMEN,NA,Botany,U.1463361,"Wessels Boer, JG 2353",Wessels Boer JG,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,162386,Polyotidium huebneri,Polyotidium,huebneri,(Mansf.) Garay,Species,Accepted,NA,206592-2,162386,0,14,"c(-67, 1.91667)",TRUE
180496,GBIF_124628,Polyotidium huebneri,-6.333333,-67.183333,2452822559,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Polyotidium,SPECIES,(Mansf.) Garay,R. Japurá,NA,BR,NA,4,1945,PRESERVED_SPECIMEN,Instituto de Botânica,SP,197607,162,"Nascimento, OC; et al.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,162386,Polyotidium huebneri,Polyotidium,huebneri,(Mansf.) Garay,Species,Accepted,NA,206592-2,162386,0,14,"c(-67.183333, -6.333333)",TRUE
247279,GBIF_211577,Polyotidium huebneri,-0.883333,-69.75,2013821508,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Polyotidium,SPECIES,(Mansf.) Garay,Serranía de Taraira 20 km al N-W del Raudal de la La Libertad.,NA,CO,250,8,1993,PRESERVED_SPECIMEN,Universidad Nacional de Colombia (UNAL),COL,378494,770,R. Cortés,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,162386,Polyotidium huebneri,Polyotidium,huebneri,(Mansf.) Garay,Species,Accepted,NA,206592-2,162386,0,14,"c(-69.75, -0.883333)",TRUE
414734,GBIF_473015,Polyotidium huebneri,1.91666,-67.05,1259171953,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Polyotidium,SPECIES,(Mansf.) Garay,IVIC study site; 4 km NE of San Carlos de Río Negro.,NA,VE,120,4,1979,PRESERVED_SPECIMEN,MO,Tropicos,1911316,6425,Ronald L. Liesner,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,162386,Polyotidium huebneri,Polyotidium,huebneri,(Mansf.) Garay,Species,Accepted,NA,206592-2,162386,0,14,"c(-67.05, 1.91666)",TRUE
465076,GBIF_537052,Polyotidium huebneri,-0.05,-67.11,2302444281,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Polyotidium,SPECIES,(Mansf.) Garay,Rio Japurá. Q. NA-19-XB.,NA,BR,NA,4,1975,PRESERVED_SPECIMEN,IAN,IAN,IAN148273,162,"Nascimento, OC do;Pires, JM",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,162386,Polyotidium huebneri,Polyotidium,huebneri,(Mansf.) Garay,Species,Accepted,NA,206592-2,162386,0,14,"c(-67.11, -0.05)",TRUE
495311,GBIF_586237,Polyotidium huebneri,-0.618056,-70.151389,768773535,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Polyotidium,SPECIES,(Mansf.) Garay,"río Apaporis, comunidad indígena Jotabeyá, trocha de Taraira",NA,CO,300,3,2009,PRESERVED_SPECIMEN,Instituto Amazónico de Investigaciones Científicas - SINCHI,COAH,69766,22302,"Cárdenas, D.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,162386,Polyotidium huebneri,Polyotidium,huebneri,(Mansf.) Garay,Species,Accepted,NA,206592-2,162386,0,14,"c(-70.151389, -0.618056)",TRUE
495336,GBIF_586265,Polyotidium huebneri,-0.048056,-70.943333,768773482,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Polyotidium,SPECIES,(Mansf.) Garay,"resguardo indígena Bajo Apaporis (parte alta), comunidad Jirijirimo",NA,CO,300,3,2009,PRESERVED_SPECIMEN,Instituto Amazónico de Investigaciones Científicas - SINCHI,COAH,69698,22084,"Cárdenas, D.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,162386,Polyotidium huebneri,Polyotidium,huebneri,(Mansf.) Garay,Species,Accepted,NA,206592-2,162386,0,14,"c(-70.943333, -0.048056)",TRUE
495647,GBIF_586609,Polyotidium huebneri,0.012611,-71.010056,3705113607,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Polyotidium,SPECIES,(Mansf.) Garay,"comunidad Buenos Aires, camino a comunidad Villa Real, bosque bien conservado",NA,CO,157,2,2018,PRESERVED_SPECIMEN,Instituto Amazónico de Investigaciones Científicas - SINCHI,COAH,104177,10468,"Castaño-A., N.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,162386,Polyotidium huebneri,Polyotidium,huebneri,(Mansf.) Garay,Species,Accepted,NA,206592-2,162386,0,14,"c(-71.010056, 0.012611)",TRUE
495759,GBIF_586726,Polyotidium huebneri,3.559028,-68.612111,3705115559,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Polyotidium,SPECIES,(Mansf.) Garay,"resguardo indígena Bachaco-Buenavista-BarrancoTigre, comunidad Barranco Tigre a 3km de la margen izq. de cñ. Suárez, afluente de cñ. Bocón, tributaríos del río Inírida, sabana natural de arena blanca",NA,CO,100,1,2019,PRESERVED_SPECIMEN,Instituto Amazónico de Investigaciones Científicas - SINCHI,COAH,107272,8594,"Montoya-J., M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,162386,Polyotidium huebneri,Polyotidium,huebneri,(Mansf.) Garay,Species,Accepted,NA,206592-2,162386,0,14,"c(-68.612111, 3.559028)",TRUE
495785,GBIF_586754,Polyotidium huebneri,2.794944,-69.070889,3705115838,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Polyotidium,SPECIES,(Mansf.) Garay,"Matraca, cñ. Detuare (Mojojoi), trocha a C080334 de IFN, varillal de arena blanca",NA,CO,99,12,2018,PRESERVED_SPECIMEN,Instituto Amazónico de Investigaciones Científicas - SINCHI,COAH,107459,2192,"Fernández-L., M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,162386,Polyotidium huebneri,Polyotidium,huebneri,(Mansf.) Garay,Species,Accepted,NA,206592-2,162386,0,14,"c(-69.070889, 2.794944)",TRUE
