V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
5651,ALA_6706,Pomatocalpa macphersonii,-16.5,145.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Pomatocalpa,species,(F.Muell.) T.E.Hunt,NA,Australia,AU,NA,6,1972,PRESERVED_SPECIMEN,CANB,CANB,CBG 47709.1,NQ1111,"Wrigley, J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,163157,Pomatocalpa macphersonii,Pomatocalpa,macphersonii,(F.Muell.) T.E.Hunt,Species,Accepted,NA,654632-1,163157,0,19,"c(145.3, -16.5)",TRUE
8182,ALA_9990,Pomatocalpa macphersonii,-13.9,143.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Pomatocalpa,species,(F.Muell.) T.E.Hunt,NA,Australia,AU,NA,5,2003,PRESERVED_SPECIMEN,CANB,CANB,CANB 630129.1,18882,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,163157,Pomatocalpa macphersonii,Pomatocalpa,macphersonii,(F.Muell.) T.E.Hunt,Species,Accepted,NA,654632-1,163157,0,19,"c(143.3, -13.9)",TRUE
13663,ALA_17594,Pomatocalpa macphersonii,-17.1,145.5,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Pomatocalpa,species,(F.Muell.) T.E.Hunt,NA,Australia,AU,NA,7,2002,PRESERVED_SPECIMEN,CANB,CANB,CANB 572664.1,18568,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,163157,Pomatocalpa macphersonii,Pomatocalpa,macphersonii,(F.Muell.) T.E.Hunt,Species,Accepted,NA,654632-1,163157,0,19,"c(145.5, -17.1)",TRUE
14515,ALA_18828,Pomatocalpa macphersonii,-14.3,143.1,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Pomatocalpa,species,(F.Muell.) T.E.Hunt,NA,Australia,AU,NA,4,1994,PRESERVED_SPECIMEN,CANB,CANB,CBG 9517135.1,DLJ12984,"Roberts, L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,163157,Pomatocalpa macphersonii,Pomatocalpa,macphersonii,(F.Muell.) T.E.Hunt,Species,Accepted,NA,654632-1,163157,0,19,"c(143.1, -14.3)",TRUE
14921,ALA_19414,Pomatocalpa marsupiale,-12.7,143.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Pomatocalpa,species,(Kraenzl.) J.J.Sm.,NA,Australia,AU,NA,5,1993,PRESERVED_SPECIMEN,CANB,CANB,CBG 9306471.1,CHB520,"Roberts, L.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,163160,Pomatocalpa marsupiale,Pomatocalpa,marsupiale,(Kraenzl.) J.J.Sm.,Species,Accepted,NA,654635-1,163160,0,18,"c(143.2, -12.7)",TRUE
16257,ALA_21447,Pomatocalpa marsupiale,-12.7,143.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Pomatocalpa,species,(Kraenzl.) J.J.Sm.,NA,Australia,AU,NA,9,1976,PRESERVED_SPECIMEN,CANB,CANB,CBG 9506032.2,348,"Wrigley, J.W.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,163160,Pomatocalpa marsupiale,Pomatocalpa,marsupiale,(Kraenzl.) J.J.Sm.,Species,Accepted,NA,654635-1,163160,0,18,"c(143.3, -12.7)",TRUE
26606,ALA_39274,Pomatocalpa marsupiale,-12.8,143.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Pomatocalpa,species,(Kraenzl.) J.J.Sm.,NA,Australia,AU,NA,3,2004,PRESERVED_SPECIMEN,CANB,CANB,CANB 651903.1,ORG4408,"Gray, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,163160,Pomatocalpa marsupiale,Pomatocalpa,marsupiale,(Kraenzl.) J.J.Sm.,Species,Accepted,NA,654635-1,163160,0,18,"c(143.3, -12.8)",TRUE
32832,ALA_52325,Pomatocalpa macphersonii,-16.3,145.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Pomatocalpa,species,(F.Muell.) T.E.Hunt,NA,Australia,AU,NA,6,1972,PRESERVED_SPECIMEN,CANB,CANB,CBG 47710.1,NQ1006,"Wrigley, J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,163157,Pomatocalpa macphersonii,Pomatocalpa,macphersonii,(F.Muell.) T.E.Hunt,Species,Accepted,NA,654632-1,163157,0,19,"c(145.3, -16.3)",TRUE
33530,ALA_53464,Pomatocalpa macphersonii,-16.5,145.3,dr15861,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Pomatocalpa,species,(F.Muell.) T.E.Hunt,NA,Australia,AU,NA,8,1986,PRESERVED_SPECIMEN,NSW,NSW,NSW200283,2005,"Hill, K.D. | Hind, P.D. | Healey, D.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,163157,Pomatocalpa macphersonii,Pomatocalpa,macphersonii,(F.Muell.) T.E.Hunt,Species,Accepted,NA,654632-1,163157,0,19,"c(145.3, -16.5)",TRUE
35873,ALA_56310,Pomatocalpa macphersonii,-16.1,145.4,dr15861,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Pomatocalpa,species,(F.Muell.) T.E.Hunt,NA,Australia,AU,NA,8,1986,PRESERVED_SPECIMEN,NSW,NSW,NSW200394,2077,"Hill, K.D. | Hind, P.D. | Healey, D.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,163157,Pomatocalpa macphersonii,Pomatocalpa,macphersonii,(F.Muell.) T.E.Hunt,Species,Accepted,NA,654632-1,163157,0,19,"c(145.4, -16.1)",TRUE
37285,ALA_58155,Pomatocalpa macphersonii,-12.5,142.9,dr15861,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Pomatocalpa,species,(F.Muell.) T.E.Hunt,NA,Australia,AU,NA,7,1986,PRESERVED_SPECIMEN,NSW,NSW,NSW200080,1799,"Hill, K.D. | Hind, P.D. | Healey, D.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,163157,Pomatocalpa macphersonii,Pomatocalpa,macphersonii,(F.Muell.) T.E.Hunt,Species,Accepted,NA,654632-1,163157,0,19,"c(142.9, -12.5)",TRUE
