V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
140785,GBIF_66523,Ponera exilis,19.03,-100.05,1096648392,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ponera,SPECIES,Dressler,"Mexico. Near Cajones, district of Temascaltepec. Alt. 2480 m. Long. 100°03' Lat. 19°02'",NA,MX,2480,11,1932,PRESERVED_SPECIMEN,S,VascularPlants,S07-4745,2346,Geo. B. Hinton (Erik M. Östlund),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,163228,Ponera exilis,Ponera,exilis,Dressler,Species,Accepted,NA,208120-2,163228,0,8,"c(-100.05, 19.03)",TRUE
162642,GBIF_102896,Ponera juncifolia,19.910556,-97.614167,2629490477,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ponera,SPECIES,"Lindl., 1831","Apulco-Tepataxco, brecha, 300 m camino terracería",NA,MX,1520,11,2003,PRESERVED_SPECIMEN,INECOL,XAL,92111,without-number,E. Mora G.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,163234,Ponera juncifolia,Ponera,juncifolia,Lindl.,Species,Accepted,NA,654676-1,163234,6,6,"c(-97.614167, 19.910556)",TRUE
162845,GBIF_103109,Ponera juncifolia,19.732814,-96.801644,2629595330,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ponera,SPECIES,"Lindl., 1831","Cascada el Salto de Rincón Grande, a 5 km de Cofresillo, terracería Chiconqioaco-Tepetlán",NA,MX,2040,12,2002,PRESERVED_SPECIMEN,INECOL,XAL,XAL0127737,without-number,J.L. Tapia M.; M. Cházaro B.; H. Narave F.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,163234,Ponera juncifolia,Ponera,juncifolia,Lindl.,Species,Accepted,NA,654676-1,163234,6,6,"c(-96.801644, 19.732814)",TRUE
163277,GBIF_103578,Ponera juncifolia,19.689167,-96.853333,2629597715,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ponera,SPECIES,"Lindl., 1831",Acatlán,NA,MX,1806,3,2009,PRESERVED_SPECIMEN,INECOL,XAL,XAL0133430,without-number,M. Castañeda-Zárate; S.E. Ramos-Castro,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,163234,Ponera juncifolia,Ponera,juncifolia,Lindl.,Species,Accepted,NA,654676-1,163234,6,6,"c(-96.853333, 19.689167)",TRUE
185185,GBIF_130679,Ponera juncifolia,16.42,-91.85,4032021715,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ponera,SPECIES,Lindl.,Slope with Pinus and Quercus 6-10 km NE of La Soledad along road from Las Margaritas to Campo Alegre,NA,MX,1600,12,1986,PRESERVED_SPECIMEN,MO,Tropicos,101714549,66275,Dennis E. Breedlove;DeAda Mally;H. Mally,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,163234,Ponera juncifolia,Ponera,juncifolia,Lindl.,Species,Accepted,NA,654676-1,163234,0,6,"c(-91.85, 16.42)",TRUE
186230,GBIF_131838,Ponera exilis,19.03,-100.05,1258489371,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ponera,SPECIES,Dressler,"Near Cajones. [original coord. 19º2' N, 100º3' W]",NA,MX,2480,11,1932,PRESERVED_SPECIMEN,MO,Tropicos,1276343,2346,George B. Hinton,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,163228,Ponera exilis,Ponera,exilis,Dressler,Species,Accepted,NA,208120-2,163228,0,8,"c(-100.05, 19.03)",TRUE
239585,GBIF_199896,Ponera juncifolia,19.83493,-97.62561,3308059927,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ponera,SPECIES,"Lindl., 1831",Las Lomas,NA,MX,1941,12,2006,PRESERVED_SPECIMEN,IBUNAM,MEXU,1232653,without-number,R. Pérez Bravo,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,163234,Ponera juncifolia,Ponera,juncifolia,Lindl.,Species,Accepted,NA,654676-1,163234,6,6,"c(-97.62561, 19.83493)",TRUE
240689,GBIF_201212,Ponera juncifolia,19.816667,-97.216667,2629488188,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ponera,SPECIES,"Lindl., 1831","Tatzayanala, junto al Río y cerca de La Capilla",NA,MX,1350,12,1969,PRESERVED_SPECIMEN,MOBOT,MO,V112810,without-number,F. Ventura A.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,163234,Ponera juncifolia,Ponera,juncifolia,Lindl.,Species,Accepted,NA,654676-1,163234,6,6,"c(-97.216667, 19.816667)",TRUE
240750,GBIF_201280,Ponera juncifolia,19.7,-97.1,2629646872,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ponera,SPECIES,"Lindl., 1831",Vereda Las Minas-La Mancuerna,NA,MX,1650,10,1989,PRESERVED_SPECIMEN,INECOL,XAL,76825,without-number,C.M. Durán-Espinosa; S. Avendaño R.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,163234,Ponera juncifolia,Ponera,juncifolia,Lindl.,Species,Accepted,NA,654676-1,163234,6,6,"c(-97.1, 19.7)",TRUE
240768,GBIF_201305,Ponera juncifolia,19.157778,-97.166667,2629667354,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Ponera,SPECIES,"Lindl., 1831","Cañada río Ayohuxtla, 1 km al NW de Itzapa",NA,MX,2170,10,2001,PRESERVED_SPECIMEN,INECOL,XAL,102318,without-number,A. Rincón G.; C.M. Durán-Espinosa,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,163234,Ponera juncifolia,Ponera,juncifolia,Lindl.,Species,Accepted,NA,654676-1,163234,6,6,"c(-97.166667, 19.157778)",TRUE
