V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
107949,GBIF_11199,Porpax ustulata,18.75,99.2,2513174545,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Porpax,SPECIES,(C.S.P.Parish & Rchb.f.) Rolfe,"Thailand, Province: Chiang Mai, District: Sahngahmpan, below the summit of Doi Lohn/Doi Mawn Lahn, western border of Jae Sawn National Park, Lampang Province.",NA,TH,NA,3,1997,PRESERVED_SPECIMEN,NA,Botany,L  0200831,"Maxwell, JF 97- 196",Maxwell JF,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,163433,Porpax ustulata,Porpax,ustulata,(C.S.P.Parish & Rchb.f.) Rolfe,Species,Accepted,NA,654808-1,163433,0,30,"c(99.2, 18.75)",TRUE
108232,GBIF_11491,Porpax elaidium,0.61667,10.38333,2515665722,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Porpax,SPECIES,(Lindl.) Summerh.,"Near the hydroelectric power station at Tchimbélé, at the beginning of the road to Kinguélé.",NA,GA,NA,5,1985,PRESERVED_SPECIMEN,NA,Botany,WAG.1140778,"Laan, FM van der 868",Laan FM van der,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,530919,Porpax elaidium,Porpax,elaidium,"(Lindl.) Schuit., Y.P.Ng & H.A.Pedersen",Species,Accepted,NA,77179253-1,530919,26,10,"c(10.38333, 0.61667)",TRUE
110861,GBIF_14821,Porpax karikouyensis,-21.85759,166.43807,438241776,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Porpax,SPECIES,"(Schltr.) Schuit., Y.P.Ng &  H.A.Pedersen",NA,NA,NC,NA,11,1902,PRESERVED_SPECIMEN,MNHN,P,P00121294,without-number,"Schlechter, F.R.R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,530939,Porpax karikouyensis,Porpax,karikouyensis,"(Schltr.) Schuit., Y.P.Ng & H.A.Pedersen",Species,Accepted,NA,77179259-1,530939,1,27,"c(166.43807, -21.85759)",TRUE
110904,GBIF_14870,Porpax karikouyensis,-20.79528,164.57917,439242029,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Porpax,SPECIES,"(Schltr.) Schuit., Y.P.Ng &  H.A.Pedersen",NA,NA,NC,900,1,1981,PRESERVED_SPECIMEN,MNHN,P,P00146725,without-number,"MacKee, H.S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,530939,Porpax karikouyensis,Porpax,karikouyensis,"(Schltr.) Schuit., Y.P.Ng & H.A.Pedersen",Species,Accepted,NA,77179259-1,530939,1,27,"c(164.57917, -20.79528)",TRUE
110948,GBIF_14915,Porpax karikouyensis,-21.98667,166.51056,437913488,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Porpax,SPECIES,"(Schltr.) Schuit., Y.P.Ng &  H.A.Pedersen","Massif du Kouakoué, bassin de la Haute Ni",NA,NC,950,4,2004,PRESERVED_SPECIMEN,MNHN,P,P00465709,without-number,"Pignal, M.;Munzinger, J.;Lowry, P.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,530939,Porpax karikouyensis,Porpax,karikouyensis,"(Schltr.) Schuit., Y.P.Ng & H.A.Pedersen",Species,Accepted,NA,77179259-1,530939,1,27,"c(166.51056, -21.98667)",TRUE
115481,GBIF_19711,Porpax pusilla,19.232708,109.851257,2273848803,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Porpax,SPECIES,(Griff.) Lindl.,NA,NA,CN,NA,9,1933,PRESERVED_SPECIMEN,NY,NY,04088001,34390,C. Wang,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,530891,Porpax pusilla,Porpax,pusilla,"(Griff.) Schuit., Y.P.Ng & H.A.Pedersen",Species,Accepted,NA,77179273-1,530891,28,9,"c(109.851257, 19.232708)",TRUE
122637,GBIF_43930,Porpax braccata,6.8,80.5,2513797082,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Porpax,SPECIES,(Lindl.) Lindl.,Central Province: Kandy District: Maskeliya: Rajmally.,NA,LK,NA,7,1974,PRESERVED_SPECIMEN,NA,Botany,L.1499939,"Cramer, LH 4284",Cramer LH,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,530912,Porpax braccata,Porpax,braccata,"(Lindl.) Schuit., Y.P.Ng & H.A.Pedersen",Species,Accepted,NA,77179244-1,530912,28,9,"c(80.5, 6.8)",TRUE
122825,GBIF_44134,Porpax ustulata,15.1,98.46667,2513823725,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Porpax,SPECIES,(C.S.P.Parish & Rchb.f.) Rolfe,"Siam [Thailand], Kwae Noi Basin, near Neckey (near Wangka).",NA,TH,NA,5,1946,PRESERVED_SPECIMEN,NA,Botany,L.1525577,"Kostermans, AJGH Khwae Noi 708",Kostermans AJGH,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,163433,Porpax ustulata,Porpax,ustulata,(C.S.P.Parish & Rchb.f.) Rolfe,Species,Accepted,NA,654808-1,163433,0,30,"c(98.46667, 15.1)",TRUE
124176,GBIF_45586,Porpax elaidium,1.58333,7.35,2517694939,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Porpax,SPECIES,(Lindl.) Summerh.,"Pico A Mesa, c. 2 km S of plantation Maria Correia.",NA,ST,NA,2,1980,PRESERVED_SPECIMEN,NA,Botany,WAG.1140780,"Wilde (WALG), JJFE de; Arends, JC; Groenendijk, EMC 414",Wilde (WALG) JJFE de; Arends JC; Groenendijk EMC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,530919,Porpax elaidium,Porpax,elaidium,"(Lindl.) Schuit., Y.P.Ng & H.A.Pedersen",Species,Accepted,NA,77179253-1,530919,26,10,"c(7.35, 1.58333)",TRUE
126710,GBIF_49177,Porpax pusilla,24.813781,113.184435,1303969229,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Porpax,SPECIES,NA,梯下佰公坑,NA,CN,NA,NA,1938,PRESERVED_SPECIMEN,IBSC,NA,01029c77-b6c0-11e1-8c2f-acd112e444a7,without-number,刘心祈,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,530891,Porpax pusilla,Porpax,pusilla,"(Griff.) Schuit., Y.P.Ng & H.A.Pedersen",Species,Accepted,NA,77179273-1,530891,37,1,"c(113.184435, 24.813781)",TRUE
