V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
114858,GBIF_19068,Porphyrostachys pilifera,-10.18,-76.17,2424009172,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Porphyrostachys,SPECIES,(Kunth) Rchb.f.,"Road from Huánuco to Cerro de Pasco, km 27, 3 km from Ambo",NA,PE,NA,4,2001,PRESERVED_SPECIMEN,NY,NY,4133225,5466,M. Weigend,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,163455,Porphyrostachys pilifera,Porphyrostachys,pilifera,(Kunth) Rchb.f.,Species,Accepted,NA,654815-1,163455,0,15,"c(-76.17, -10.18)",TRUE
116562,GBIF_23777,Porphyrostachys pilifera,-7.165008,-77.872569,4420524345,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Porphyrostachys,SPECIES,NA,"Peru, La Libertad, Bolívar, Ucuncha, Zona media de la trocha entre Ucuncha y Jecumbuy.",NA,PE,NA,2,2020,PRESERVED_SPECIMEN,RBGE,E,E01199485,5955,"Gonzáles, Paul, Goodwin, Zoe Africa, Marcelo Peña, José Luis & Sachahuaman, Inés",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,163455,Porphyrostachys pilifera,Porphyrostachys,pilifera,(Kunth) Rchb.f.,Species,Accepted,NA,654815-1,163455,15,-1,"c(-77.872569, -7.165008)",TRUE
129279,GBIF_53949,Porphyrostachys parviflora,-7.03,-78.9,1261378750,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Porphyrostachys,SPECIES,(C. Schweinf.) Garay,Protected due to name conservation status,NA,PE,2860,8,1994,PRESERVED_SPECIMEN,MO,Tropicos,663611,1117,Mary Merello;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,163454,Porphyrostachys parviflora,Porphyrostachys,parviflora,(C.Schweinf.) Garay,Species,Accepted,NA,208461-2,163454,1,16,"c(-78.9, -7.03)",TRUE
131270,GBIF_55999,Porphyrostachys pilifera,-11.84406,-76.38539,1057240084,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Porphyrostachys,SPECIES,(Kunth) Rchb.f.,NA,NA,PE,NA,5,1955,PRESERVED_SPECIMEN,NHMUK,BOT,BM000061673,306,S.G.E. Saunders,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,163455,Porphyrostachys pilifera,Porphyrostachys,pilifera,(Kunth) Rchb.f.,Species,Accepted,NA,654815-1,163455,0,15,"c(-76.38539, -11.84406)",TRUE
142910,GBIF_68770,Porphyrostachys parviflora,-7.4,-78.1186,1930189997,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Porphyrostachys,SPECIES,(C.Schweinf.) Garay,Carretera Cajabamba-San Marcos-Chancay.,NA,PE,NA,9,2001,PRESERVED_SPECIMEN,NY,NY,00981522,2896,A. B. Alvarez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,163454,Porphyrostachys parviflora,Porphyrostachys,parviflora,(C.Schweinf.) Garay,Species,Accepted,NA,208461-2,163454,0,19,"c(-78.1186, -7.4)",TRUE
152396,GBIF_84036,Porphyrostachys parviflora,-7.9261,-78.5692,1928054822,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Porphyrostachys,SPECIES,(C.Schweinf.) Garay,Carretera Trujillo-Huamachuco.,NA,PE,NA,9,2001,PRESERVED_SPECIMEN,NY,NY,00981520,2891,A. B. Alvarez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,163454,Porphyrostachys parviflora,Porphyrostachys,parviflora,(C.Schweinf.) Garay,Species,Accepted,NA,208461-2,163454,0,19,"c(-78.5692, -7.9261)",TRUE
173737,GBIF_116965,Porphyrostachys pilifera,-3.41666,-79.16666,4062200139,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Porphyrostachys,SPECIES,(Kunth) Rchb. f.,"Km 89 S of Cuenca on Pan American Highway. Open vegetation with scattered trees and shrubs, very dry.",NA,EC,1950,5,1973,PRESERVED_SPECIMEN,AMES,Tropicos,101594611,4892,L.B. Holm-Nielsen;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,163455,Porphyrostachys pilifera,Porphyrostachys,pilifera,(Kunth) Rchb.f.,Species,Accepted,NA,654815-1,163455,1,13,"c(-79.16666, -3.41666)",TRUE
176197,GBIF_119564,Porphyrostachys pilifera,-4.12,-79.22,4061952204,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Porphyrostachys,SPECIES,(Kunth) Rchb. f.,Loja-Vilcabamba.,NA,EC,1800,NA,without-year,PRESERVED_SPECIMEN,GB,Tropicos,101595288,11300,Gunnar Wilhelm Harling,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,163455,Porphyrostachys pilifera,Porphyrostachys,pilifera,(Kunth) Rchb.f.,Species,Accepted,NA,654815-1,163455,1,13,"c(-79.22, -4.12)",TRUE
182812,GBIF_128177,Porphyrostachys pilifera,-9.11725,-76.953028,4170762391,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Porphyrostachys,SPECIES,(Kunth) Rchb. f.,Distrito: Chingas. Debajo de Vilcabamba.,NA,PE,2360,3,2021,PRESERVED_SPECIMEN,MO,Tropicos,103354203,9048,"Paúl Gonzáles;Palacios, Sonia;Balvin, Richard;P. Arista",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,163455,Porphyrostachys pilifera,Porphyrostachys,pilifera,(Kunth) Rchb.f.,Species,Accepted,NA,654815-1,163455,1,13,"c(-76.953028, -9.11725)",TRUE
188093,GBIF_133778,Porphyrostachys pilifera,-2.28333,-78.98333,4031398924,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Porphyrostachys,SPECIES,(Kunth) Rchb. f.,Huigra.,NA,EC,1400,5,1945,PRESERVED_SPECIMEN,MO,Tropicos,101592827,E-3113,Wendell H. Camp,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,163455,Porphyrostachys pilifera,Porphyrostachys,pilifera,(Kunth) Rchb.f.,Species,Accepted,NA,654815-1,163455,1,13,"c(-78.98333, -2.28333)",TRUE
