V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
111210,GBIF_15215,Prescottia glazioviana,-20.42,-41.811944,4526415420,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Prescottia,SPECIES,Angiospermas,"Parque Nacional do Caparaó, trilha entre Tronqueira eo Terreirâo, próximo ao Terreirão.",NA,BR,NA,3,2016,PRESERVED_SPECIMEN,NA,CEN,CEN00102981,3381,João Aguiar Nogueira Batista;,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,165224,Prescottia glazioviana,Prescottia,glazioviana,Cogn.,Species,Accepted,NA,210037-2,165224,11,1,"c(-41.811944, -20.42)",TRUE
111349,GBIF_15363,Prescottia plantaginifolia,-20.520556,-41.100556,4526426518,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Prescottia,SPECIES,Angiospermas,Trilha para a base do Fornão. Inselbergues. Parque Estadual do Forno Grande,NA,BR,NA,10,2008,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00549082,2240,"C.N. Fraga;P. Labiak,R. C. Forzza",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,274441,Prescottia plantaginifolia,Prescottia,plantaginifolia,Lindl. ex Hook.,Species,Accepted,NA,655018-1,274441,14,1,"c(-41.100556, -20.520556)",TRUE
111386,GBIF_15403,Prescottia montana,-21.113889,-41.023056,4526429595,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Prescottia,SPECIES,Angiospermas,"Pedra Azul, Pedra das Flores. Floresta Ombrófila Densa, Aforamento rochoso com Mata Nebular. Parque Estadual Pedra Azul",NA,BR,NA,7,2006,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00562055,2207,A.P. Fontana,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,165235,Prescottia montana,Prescottia,montana,Barb.Rodr.,Species,Accepted,NA,655003-1,165235,11,1,"c(-41.023056, -21.113889)",TRUE
111418,GBIF_15437,Prescottia plantaginifolia,-20.302778,-40.506389,4526432375,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Prescottia,SPECIES,Angiospermas,"APA Mestre Álvaro, Vertente sudeste. Acesso pelo Bairro Jardim Tropical (FURNAS).",NA,BR,NA,8,2010,PRESERVED_SPECIMEN,NA,VIES,VIES011202,32,"Menezes, B.D.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,274441,Prescottia plantaginifolia,Prescottia,plantaginifolia,Lindl. ex Hook.,Species,Accepted,NA,655018-1,274441,14,1,"c(-40.506389, -20.302778)",TRUE
111433,GBIF_15452,Prescottia montana,-22.501111,-44.749722,4526433034,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Prescottia,SPECIES,Angiospermas,"Planalto, estrada para as Prateleiras, próximo do início da travessia Rui Braga.",NA,BR,NA,1,2009,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00794251,112,F.F.V.A. Barberena,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,165235,Prescottia montana,Prescottia,montana,Barb.Rodr.,Species,Accepted,NA,655003-1,165235,11,1,"c(-44.749722, -22.501111)",TRUE
111460,GBIF_15481,Prescottia plantaginifolia,-22.585278,-44.638889,4526435206,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Prescottia,SPECIES,Angiospermas,Trilha para o Véu da Noiva.,NA,BR,NA,8,2008,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00793486,57,F.F.V.A. Barberena,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,274441,Prescottia plantaginifolia,Prescottia,plantaginifolia,Lindl. ex Hook.,Species,Accepted,NA,655018-1,274441,14,1,"c(-44.638889, -22.585278)",TRUE
113814,GBIF_18006,Prescottia stachyodes,-15.866667,-47.85,4427186751,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Prescottia,SPECIES,(Sw.) Lindl.,Estação Ecológica do Jardim Botânico de Brasília,NA,BR,1087.5,8,1998,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00027754,952,"Nóbrega, MGG",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,165259,Prescottia stachyodes,Prescottia,stachyodes,(Sw.) Lindl.,Species,Accepted,NA,1074522-2,165259,0,12,"c(-47.85, -15.866667)",TRUE
113815,GBIF_18007,Prescottia stachyodes,-15.866667,-47.85,4427186754,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Prescottia,SPECIES,(Sw.) Lindl.,"Estação Ecológica do Jardim Botânico de Brasília, Mata do Taquara (Beira do Córrego)",NA,BR,1087.5,8,2012,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00027750,20,"Miranda, LA;Chacon, RG,Soares, ACA,Oliveira, MS",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,165259,Prescottia stachyodes,Prescottia,stachyodes,(Sw.) Lindl.,Species,Accepted,NA,1074522-2,165259,0,12,"c(-47.85, -15.866667)",TRUE
113816,GBIF_18008,Prescottia oligantha,-15.516667,-47.55,4427186757,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Prescottia,SPECIES,(Sw.) Lindl.,"Estação Ecológica de Águas Emendadas, À margem esquerda do Córrego Tabatinga",NA,BR,0,7,1982,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00027759,72,"Ramos, AE",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,165239,Prescottia oligantha,Prescottia,oligantha,(Sw.) Lindl.,Species,Accepted,NA,655007-1,165239,0,12,"c(-47.55, -15.516667)",TRUE
113817,GBIF_18009,Prescottia stachyodes,-15.866667,-47.85,4427186760,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Prescottia,SPECIES,(Sw.) Lindl.,"Estação Ecológica do Jardim Botânico de Brasília, Mata da CAESB, captação 2 da CAESB.",NA,BR,1087.5,9,2008,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00027751,544,"Paiva, VF;Jesus, FPR de",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,165259,Prescottia stachyodes,Prescottia,stachyodes,(Sw.) Lindl.,Species,Accepted,NA,1074522-2,165259,0,12,"c(-47.85, -15.866667)",TRUE
