V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
114181,GBIF_18378,Psychilis truncata,19.171741,-70.529398,1930480604,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Psychilis,SPECIES,(Cogn.) Sauleda,About 4 miles S of La Vega.,NA,DO,250,6,1969,PRESERVED_SPECIMEN,NY,NY,59189,15880,A. H. Liogier,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,167049,Psychilis truncata,Psychilis,truncata,(Cogn.) Sauleda,Species,Accepted,NA,945502-1,167049,0,15,"c(-70.529398, 19.171741)",TRUE
114371,GBIF_18569,Psychilis truncata,19.139867,-70.620758,1931207768,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Psychilis,SPECIES,(Cogn.) Sauleda,Jarabacoa.,NA,DO,550,6,1963,PRESERVED_SPECIMEN,NY,NY,59201,1009,B. A. Lavastre,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,167049,Psychilis truncata,Psychilis,truncata,(Cogn.) Sauleda,Species,Accepted,NA,945502-1,167049,0,15,"c(-70.620758, 19.139867)",TRUE
114678,GBIF_18883,Psychilis krugii,17.979554,-66.918363,1930097262,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Psychilis,SPECIES,(Bello) Sauleda,Guanica.,NA,PR,NA,9,1913,PRESERVED_SPECIMEN,NY,NY,59141,3092,W. E. Hess,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,167043,Psychilis krugii,Psychilis,krugii,(Bello) Sauleda,Species,Accepted,NA,283971-2,167043,0,15,"c(-66.918363, 17.979554)",TRUE
114899,GBIF_19111,Psychilis kraenzlinii,18.420004,-66.489535,1930533610,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Psychilis,SPECIES,(Bello) Sauleda,Manati.,NA,PR,NA,11,1913,PRESERVED_SPECIMEN,NY,NY,59249,5293,F. L. Stevens,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,167042,Psychilis kraenzlinii,Psychilis,kraenzlinii,(Bello) Sauleda,Species,Accepted,NA,283970-2,167042,0,15,"c(-66.489535, 18.420004)",TRUE
115009,GBIF_19227,Psychilis atropurpurea,18.737751,-71.610972,1930734819,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Psychilis,SPECIES,(Willd.) Sauleda,Juan Santiago.,NA,DO,1066.8,10,1946,PRESERVED_SPECIMEN,NY,NY,59225,9274,R. A. Howard,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,167035,Psychilis atropurpurea,Psychilis,atropurpurea,(Willd.) Sauleda,Species,Accepted,NA,945494-1,167035,0,16,"c(-71.610972, 18.737751)",TRUE
115386,GBIF_19614,Psychilis macconnelliae,18.31502,-65.66157,1930745990,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Psychilis,SPECIES,Sauleda,Fajardo.,NA,PR,NA,4,1899,PRESERVED_SPECIMEN,NY,NY,59158,1000,A. A. Heller,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,167044,Psychilis macconnelliae,Psychilis,macconnelliae,Sauleda,Species,Accepted,NA,935179-1,167044,0,7,"c(-65.66157, 18.31502)",TRUE
142795,GBIF_68654,Psychilis kraenzlinii,18.33273,-65.63238,1929418137,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Psychilis,SPECIES,(Bello) Sauleda,Playa de Fajardo.,NA,PR,NA,3,1913,PRESERVED_SPECIMEN,NY,NY,59247,1568,N. L. Britton,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,167042,Psychilis kraenzlinii,Psychilis,kraenzlinii,(Bello) Sauleda,Species,Accepted,NA,283970-2,167042,0,15,"c(-65.63238, 18.33273)",TRUE
143009,GBIF_68872,Psychilis atropurpurea,19.81834,-71.638706,1930201729,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Psychilis,SPECIES,(Willd.) Sauleda,"Near Rio Yaque del Norte, S. of Monte Cristi.",NA,DO,NA,10,1946,PRESERVED_SPECIMEN,NY,NY,59222,9558,R. A. Howard,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,167035,Psychilis atropurpurea,Psychilis,atropurpurea,(Willd.) Sauleda,Species,Accepted,NA,945494-1,167035,0,16,"c(-71.638706, 19.81834)",TRUE
143146,GBIF_69011,Psychilis bifida,19.80802,-72.43211,1931301882,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Psychilis,SPECIES,Mansf.,"Bayeux, near Port Margot. Along shore",NA,HT,NA,8,1903,PRESERVED_SPECIMEN,NY,NY,57032,142,G. V. Nash,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,167036,Psychilis bifida,Psychilis,bifida,(Aubl.) Sauleda,Species,Accepted,NA,945495-1,167036,14,1,"c(-72.43211, 19.80802)",TRUE
143150,GBIF_69016,Psychilis atropurpurea,18.905432,-70.272625,1931331116,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Psychilis,SPECIES,(Willd.) Sauleda,Near Maimon.,NA,DO,NA,4,1972,PRESERVED_SPECIMEN,NY,NY,59227,18577,A. H. Liogier,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,167035,Psychilis atropurpurea,Psychilis,atropurpurea,(Willd.) Sauleda,Species,Accepted,NA,945494-1,167035,0,16,"c(-70.272625, 18.905432)",TRUE
