V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104353,GBIF_577,Psychopsis papilio,10.407189,-61.390661,1056580504,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Psychopsis,SPECIES,(Lindl.) H.G.Jones,NA,NA,TT,NA,2,1932,PRESERVED_SPECIMEN,NHMUK,BOT,BM000059000,s.n.,Walter Elias Broadway,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,167058,Psychopsis papilio,Psychopsis,papilio,(Lindl.) H.G.Jones,Species,Accepted,NA,212379-2,167058,0,18,"c(-61.390661, 10.407189)",TRUE
127448,GBIF_51635,Psychopsis versteegiana,3.62348,-53.20925,4565160312,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Psychopsis,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,12,2012,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,167064,Psychopsis versteegiana,Psychopsis,versteegiana,(Pulle) Lückel & Braem,Species,Accepted,NA,77176822-1,167064,22,-1,"c(-53.20925, 3.62348)",TRUE
127474,GBIF_51661,Psychopsis versteegiana,3.62348,-53.20925,4565160341,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Psychopsis,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,7,2010,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,167064,Psychopsis versteegiana,Psychopsis,versteegiana,(Pulle) Lückel & Braem,Species,Accepted,NA,77176822-1,167064,22,-1,"c(-53.20925, 3.62348)",TRUE
127556,GBIF_51758,Psychopsis versteegiana,3.62348,-53.20925,4565160448,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Psychopsis,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,10,2012,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Pavone Cindy,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,167064,Psychopsis versteegiana,Psychopsis,versteegiana,(Pulle) Lückel & Braem,Species,Accepted,NA,77176822-1,167064,22,-1,"c(-53.20925, 3.62348)",TRUE
127684,GBIF_51953,Psychopsis versteegiana,3.62348,-53.20925,4565160661,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Psychopsis,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,2,2013,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,167064,Psychopsis versteegiana,Psychopsis,versteegiana,(Pulle) Lückel & Braem,Species,Accepted,NA,77176822-1,167064,22,-1,"c(-53.20925, 3.62348)",TRUE
127720,GBIF_52021,Psychopsis versteegiana,3.62348,-53.20925,4565160736,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Psychopsis,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,8,2014,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,167064,Psychopsis versteegiana,Psychopsis,versteegiana,(Pulle) Lückel & Braem,Species,Accepted,NA,77176822-1,167064,22,-1,"c(-53.20925, 3.62348)",TRUE
127721,GBIF_52024,Psychopsis versteegiana,3.62348,-53.20925,4565160739,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Psychopsis,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,9,2019,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Sébastien Sant,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,167064,Psychopsis versteegiana,Psychopsis,versteegiana,(Pulle) Lückel & Braem,Species,Accepted,NA,77176822-1,167064,22,-1,"c(-53.20925, 3.62348)",TRUE
127892,GBIF_52415,Psychopsis versteegiana,3.62348,-53.20925,4565161173,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Psychopsis,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,4,2019,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,167064,Psychopsis versteegiana,Psychopsis,versteegiana,(Pulle) Lückel & Braem,Species,Accepted,NA,77176822-1,167064,22,-1,"c(-53.20925, 3.62348)",TRUE
127919,GBIF_52484,Psychopsis versteegiana,3.62348,-53.20925,4565161247,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Psychopsis,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,5,2018,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,167064,Psychopsis versteegiana,Psychopsis,versteegiana,(Pulle) Lückel & Braem,Species,Accepted,NA,77176822-1,167064,22,-1,"c(-53.20925, 3.62348)",TRUE
130030,GBIF_54720,Psychopsis sanderae,-9.3,-75.98333,1259226484,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Psychopsis,SPECIES,(Rolfe) Lückel & Braem,"Tingo Maria, roadsides.",NA,PE,NA,8,1964,PRESERVED_SPECIMEN,MO,Tropicos,1960583,6242,John D. Dwyer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,167063,Psychopsis sanderae,Psychopsis,sanderae,(Rolfe) Lückel & Braem,Species,Accepted,NA,911205-1,167063,0,22,"c(-75.98333, -9.3)",TRUE
