V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
114855,GBIF_19065,Pteroglossa macrantha,-14.22,-52.37,1930148848,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pteroglossa,SPECIES,(Rchb.f.) Schltr.,"Ca. 70 km. N. of Xavantina, on rd. to Garapú.",NA,BR,350,10,1964,PRESERVED_SPECIMEN,NY,NY,1032267,6725,H. S. Irwin,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,170463,Pteroglossa macrantha,Pteroglossa,macrantha,(Rchb.f.) Schltr.,Species,Accepted,NA,214123-2,170463,0,17,"c(-52.37, -14.22)",TRUE
129065,GBIF_53728,Pteroglossa roseoalba,10.333333,-84.833333,1261360619,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pteroglossa,SPECIES,(Rchb. f.) Hamer & Garay,"San Luis River valley on Pacific slope below Monteverde, premontane wet forest. 10º20'N, 84º50'W",NA,CR,800,11,1985,PRESERVED_SPECIMEN,MO,Tropicos,644702,3667,William A. Haber;Erick Bello C.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,259881,Pteroglossa roseoalba,Pteroglossa,roseoalba,(Rchb.f.) Salazar & M.W.Chase,Species,Accepted,NA,1179487-2,259881,14,6,"c(-84.833333, 10.333333)",TRUE
131216,GBIF_55942,Pteroglossa macrantha,-23.223069,-55.538264,1056321120,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pteroglossa,SPECIES,(Rchb.f.) Schltr.,Sierra de Amambay,NA,PY,NA,NA,without-year,PRESERVED_SPECIMEN,NHMUK,BOT,BM001034366,10661,Émile Hassler,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,170463,Pteroglossa macrantha,Pteroglossa,macrantha,(Rchb.f.) Schltr.,Species,Accepted,NA,214123-2,170463,0,17,"c(-55.538264, -23.223069)",TRUE
138698,GBIF_64254,Pteroglossa roseoalba,9.85,-72.2833,1657211436,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pteroglossa,SPECIES,(Rchb. f.) Schltr.,Sabanas de Fila del Rio Negro.,NA,VE,1300,2,1954,PRESERVED_SPECIMEN,USF,Herb,25656,3187,V. Vareschi,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,259881,Pteroglossa roseoalba,Pteroglossa,roseoalba,(Rchb.f.) Salazar & M.W.Chase,Species,Accepted,NA,1179487-2,259881,17,6,"c(-72.2833, 9.85)",TRUE
140401,GBIF_66134,Pteroglossa macrantha,-21.116667,-56.781389,3800705681,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pteroglossa,SPECIES,(Rchb.f.) Schltr.,"Fazenda Laudejá, divisa com Fazenda Santo Antônio, entorno do Parque Nacional da Serra da Bodoquena.",NA,BR,525,12,2005,PRESERVED_SPECIMEN,UFMS,CGMS,81589,8554,V.J. Pott; E. Scremin-Dias & A. Pott,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,170463,Pteroglossa macrantha,Pteroglossa,macrantha,(Rchb.f.) Schltr.,Species,Accepted,NA,214123-2,170463,0,17,"c(-56.781389, -21.116667)",TRUE
152313,GBIF_83948,Pteroglossa roseoalba,-12.53,-39.08,1930956304,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pteroglossa,SPECIES,(Rchb.f.) Garay & Hamer,"Estaçao da Mata, Vale dos Rios, Paraguaçu e Jacuipe.",NA,BR,NA,7,1980,PRESERVED_SPECIMEN,NY,NY,1104701,403,Grupo Pedra do Cavalo,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,259881,Pteroglossa roseoalba,Pteroglossa,roseoalba,(Rchb.f.) Salazar & M.W.Chase,Species,Accepted,NA,1179487-2,259881,13,10,"c(-39.08, -12.53)",TRUE
176406,GBIF_119798,Pteroglossa macrantha,-17.32,-51.77,1928768601,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pteroglossa,SPECIES,(Rchb.f.) Schltr.,"Ca. 50 km. S. of Caiapônia, on rd. to Jataí. Serra do Caiapó.",NA,BR,900,10,1964,PRESERVED_SPECIMEN,NY,NY,1032266,7371,H. S. Irwin,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,170463,Pteroglossa macrantha,Pteroglossa,macrantha,(Rchb.f.) Schltr.,Species,Accepted,NA,214123-2,170463,0,17,"c(-51.77, -17.32)",TRUE
180200,GBIF_124319,Pteroglossa euphlebia,-19.5847,-40.3166,2452939047,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pteroglossa,SPECIES,(Oliv. ex Rchb.f.) Garay,"Estação Biológica de Santa Lúcia, Mata ciliar do rio Timbuí, próximo ao túmulo de Augusto Ruschi",NA,BR,601,1,2012,PRESERVED_SPECIMEN,Instituto de Botânica,SP,465215,s.n.,"Guimarães, LRS; Hall, CF; Barberena, FFVA; Almeida, RF",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,170458,Pteroglossa euphlebia,Pteroglossa,euphlebia,(Rchb.f.) Garay,Species,Accepted,NA,911216-1,170458,9,14,"c(-40.3166, -19.5847)",TRUE
184842,GBIF_130317,Pteroglossa roseoalba,15.69,-92.09,1260705834,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pteroglossa,SPECIES,(Rchb. f.) Salazar & M.W. Chase,6-8 km E of Frontera Comalapa along road to Ciudad Cuauhtemoc.,NA,MX,1000,10,1974,PRESERVED_SPECIMEN,MO,Tropicos,3302791,39114,Dennis E. Breedlove,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,259881,Pteroglossa roseoalba,Pteroglossa,roseoalba,(Rchb.f.) Salazar & M.W.Chase,Species,Accepted,NA,1179487-2,259881,2,18,"c(-92.09, 15.69)",TRUE
219848,GBIF_176943,Pteroglossa glazioviana,-25.537005,-52.999179,1928563502,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pteroglossa,SPECIES,(Cogn.) Garay,"Rio Iguaçu, 1 Km. acima do Salto Oaório",NA,BR,350,4,1970,PRESERVED_SPECIMEN,NY,NY,1032264,24182,G. G. Hatschbach,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,170459,Pteroglossa glazioviana,Pteroglossa,glazioviana,(Cogn.) Garay,Species,Accepted,NA,911217-1,170459,0,13,"c(-52.999179, -25.537005)",TRUE
