V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
182731,GBIF_128091,Quechua glabrescens,-10.216111,-75.575,4031394789,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Quechua,SPECIES,(T. Hashim.) Salazar & L. Jost,Distrito Huancabamba. Parque Nacional Yanachaga Chemillén. Puesto de control y vigilancia Huampal. Carretera Oxapampa-Pozuzo.,NA,PE,1000,8,2017,PRESERVED_SPECIMEN,MO,Tropicos,103065123,32325,Luis Valenzuela G.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,474393,Quechua glabrescens,Quechua,glabrescens,(T.Hashim.) Salazar & L.Jost,Species,Accepted,NA,77121304-1,474393,2,21,"c(-75.575, -10.216111)",TRUE
255794,GBIF_221370,Quechua glabrescens,-10.182778,-75.573611,4061956180,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Quechua,SPECIES,(T. Hashim.) Salazar & L. Jost,"Dist. Pozuzo. Parque Nacional Yanachaga-Chemillén, cercania del Puesto de Control Huampal. Bosque ribereño.",NA,PE,1100,7,2006,PRESERVED_SPECIMEN,HUT,Tropicos,102358924,12503,Abel Monteagudo;J. Mateo M.;Rolando Francis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,474393,Quechua glabrescens,Quechua,glabrescens,(T.Hashim.) Salazar & L.Jost,Species,Accepted,NA,77121304-1,474393,2,21,"c(-75.573611, -10.182778)",TRUE
364281,GBIF_393996,Quechua glabrescens,-10.18444,-75.57583,4031639815,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Quechua,SPECIES,(T. Hashim.) Salazar & L. Jost,"Dist. Pozuzo. Parque Nacional Yanachaga-Chemillén, cercania del Puesto de Control Huampal. Bosque primario.",NA,PE,1180,7,2006,PRESERVED_SPECIMEN,MO,Tropicos,102359112,12564,Abel Monteagudo;J. Mateo M.;Rolando Francis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,474393,Quechua glabrescens,Quechua,glabrescens,(T.Hashim.) Salazar & L.Jost,Species,Accepted,NA,77121304-1,474393,2,21,"c(-75.57583, -10.18444)",TRUE
364294,GBIF_394052,Quechua glabrescens,-10.195555,-75.580833,4031831487,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Quechua,SPECIES,(T. Hashim.) Salazar & L. Jost,Dist. Huancabamba. Sector Huampal.,NA,PE,1006,7,2008,PRESERVED_SPECIMEN,MO,Tropicos,102712038,156,José Ayerbe;A. Peña,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,474393,Quechua glabrescens,Quechua,glabrescens,(T.Hashim.) Salazar & L.Jost,Species,Accepted,NA,77121304-1,474393,2,21,"c(-75.580833, -10.195555)",TRUE
371837,GBIF_406936,Quechua glabrescens,-10.231944,-75.580833,1928065573,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Quechua,SPECIES,(T.Hashim.) Salazar & L.Jost,Dist. Pozuzo. Parque Nacional Yanachaga Chemillen. Quebrada Yanachaga,NA,PE,NA,7,2009,PRESERVED_SPECIMEN,NY,NY,02532097,49,P. Godoy,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,474393,Quechua glabrescens,Quechua,glabrescens,(T.Hashim.) Salazar & L.Jost,Species,Accepted,NA,77121304-1,474393,0,28,"c(-75.580833, -10.231944)",TRUE
482773,GBIF_565192,Quechua glabrescens,-10.63333,-75.16666,1259497991,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Quechua,SPECIES,(T. Hashim.) Salazar & L. Jost,Distrito Villa Rica. Localidad Centro Bocaz. Bosque de carretera,NA,PE,1280,9,2003,PRESERVED_SPECIMEN,USM,Tropicos,2207314,0257,Juan Perea,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,474393,Quechua glabrescens,Quechua,glabrescens,(T.Hashim.) Salazar & L.Jost,Species,Accepted,NA,77121304-1,474393,2,21,"c(-75.16666, -10.63333)",TRUE
483007,GBIF_565640,Quechua glabrescens,-10.231944,-75.580833,4061100550,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Quechua,SPECIES,(T. Hashim.) Salazar & L. Jost,Dist. Pozuzo. Parque Nacional Yanachaga Chemillén. Quebrada Yanachaga.,NA,PE,1653,7,2009,PRESERVED_SPECIMEN,HOXA,Tropicos,102668314,49,P. Godoy;A. Peña Cruz;E. Romero,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,474393,Quechua glabrescens,Quechua,glabrescens,(T.Hashim.) Salazar & L.Jost,Species,Accepted,NA,77121304-1,474393,2,21,"c(-75.580833, -10.231944)",TRUE
671613,SPECIESLINKS_44128,Quechua glabrescens,-10.1827778,-75.5736111,102358923,Plantae,NA,NA,NA,Orchidaceae,Quechua,NA,(T. Hashim.) Salazar & L. Jost,"Dist. Pozuzo. Parque Nacional Yanachaga-Chemillén, cercania del Puesto de Control Huampal. Bosque ribereño.",Peru,Peru,NA,7,2006,PreservedSpecimen,MO,MO,102358923,12503,Abel Monteagudo|J. Mateo M.|Rolando Francis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,474393,Quechua glabrescens,Quechua,glabrescens,(T.Hashim.) Salazar & L.Jost,Species,Accepted,NA,77121304-1,474393,2,21,"c(-75.5736111, -10.1827778)",TRUE
671614,SPECIESLINKS_44129,Quechua glabrescens,-10.1955555,-75.5808334,102712038,Plantae,NA,NA,NA,Orchidaceae,Quechua,NA,(T. Hashim.) Salazar & L. Jost,Dist. Huancabamba. Sector Huampal.,Peru,Peru,NA,7,2008,PreservedSpecimen,MO,MO,102712038,156,José Ayerbe|A. Peña,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,474393,Quechua glabrescens,Quechua,glabrescens,(T.Hashim.) Salazar & L.Jost,Species,Accepted,NA,77121304-1,474393,2,21,"c(-75.5808334, -10.1955555)",TRUE
675929,SPECIESLINKS_53482,Quechua glabrescens,-10.18444,-75.57583,3334852,Plantae,NA,NA,NA,Orchidaceae,Quechua,NA,(T. Hashim.) Salazar & L. Jost,"Dist. Pozuzo. Parque Nacional Yanachaga-Chemillén, cercania del Puesto de Control Huampal. Bosque primario.",Peru,Peru,NA,7,2006,PreservedSpecimen,USM,MO-DUPLICATES,3334852,12564,Abel Monteagudo|J. Mateo M.|Rolando Francis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,474393,Quechua glabrescens,Quechua,glabrescens,(T.Hashim.) Salazar & L.Jost,Species,Accepted,NA,77121304-1,474393,2,21,"c(-75.57583, -10.18444)",TRUE
679687,SPECIESLINKS_67244,Quechua glabrescens,-10.231944500000001,-75.5808334,100340305,Plantae,NA,NA,NA,Orchidaceae,Quechua,NA,(T. Hashim.) Salazar & L. Jost,Dist. Pozuzo. Parque Nacional Yanachaga Chemillén. Quebrada Yanachaga.,Peru,Peru,NA,7,2009,PreservedSpecimen,USM,MO-DUPLICATES,100340305,49,P. Godoy|A. Peña Cruz|E. Romero,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,474393,Quechua glabrescens,Quechua,glabrescens,(T.Hashim.) Salazar & L.Jost,Species,Accepted,NA,77121304-1,474393,2,21,"c(-75.5808334, -10.2319445)",TRUE
