V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
111393,GBIF_15411,Quekettia microscopica,3.583333,-61.833333,4526430510,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Quekettia,SPECIES,Angiospermas,Reserva Ecológica de Maracá. Estrada from base camp to Santa Rosa. first picada on right. 1km along picada in forest regeneration plot number 4.,NA,BR,NA,3,1987,PRESERVED_SPECIMEN,NA,Royal Botanic Gardens,K000886413,1526,G.P. Lewis;,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,171380,Quekettia microscopica,Quekettia,microscopica,Lindl.,Species,Accepted,NA,655445-1,171380,11,1,"c(-61.833333, 3.583333)",TRUE
127488,GBIF_51679,Quekettia microscopica,3.62348,-53.20925,4565160359,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Quekettia,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,3,2012,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,171380,Quekettia microscopica,Quekettia,microscopica,Lindl.,Species,Accepted,NA,655445-1,171380,6,-1,"c(-53.20925, 3.62348)",TRUE
127561,GBIF_51768,Quekettia microscopica,3.62348,-53.20925,4565160462,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Quekettia,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,2,2014,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,171380,Quekettia microscopica,Quekettia,microscopica,Lindl.,Species,Accepted,NA,655445-1,171380,6,-1,"c(-53.20925, 3.62348)",TRUE
127628,GBIF_51871,Quekettia microscopica,3.62348,-53.20925,4565160571,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Quekettia,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,8,2011,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,171380,Quekettia microscopica,Quekettia,microscopica,Lindl.,Species,Accepted,NA,655445-1,171380,6,-1,"c(-53.20925, 3.62348)",TRUE
127879,GBIF_52383,Quekettia microscopica,3.62348,-53.20925,4565161138,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Quekettia,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,3,2020,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Sébastien Sant,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,171380,Quekettia microscopica,Quekettia,microscopica,Lindl.,Species,Accepted,NA,655445-1,171380,6,-1,"c(-53.20925, 3.62348)",TRUE
127901,GBIF_52435,Quekettia microscopica,3.62348,-53.20925,4565161192,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Quekettia,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,2,2019,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Goudot Dominique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,171380,Quekettia microscopica,Quekettia,microscopica,Lindl.,Species,Accepted,NA,655445-1,171380,6,-1,"c(-53.20925, 3.62348)",TRUE
127916,GBIF_52471,Quekettia microscopica,3.62348,-53.20925,4565161232,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Quekettia,SPECIES,NA,Bourg de Saül et alentours proches,NA,GF,215,10,2012,PRESERVED_SPECIMEN,NA,NA,NA,without-number,Pavone Cindy,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,171380,Quekettia microscopica,Quekettia,microscopica,Lindl.,Species,Accepted,NA,655445-1,171380,6,-1,"c(-53.20925, 3.62348)",TRUE
130253,GBIF_54949,Quekettia vermeuleniana,4.758333,-56.880556,1258352509,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Quekettia,SPECIES,(Determann) Szlach. & Mytnik,Vicinity of Blanche Marie Waterfall on the Nickerie River.,NA,SR,50,4,1997,PRESERVED_SPECIMEN,MO,Tropicos,1140647,2707,Randall J. Evans;Sylva Koemar;Usha Raghoenandan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,171385,Quekettia vermeuleniana,Quekettia,vermeuleniana,Determann,Species,Accepted,NA,898582-1,171385,19,7,"c(-56.880556, 4.758333)",TRUE
142720,GBIF_68576,Quekettia microscopica,3.53,-53.2,2423963217,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Quekettia,SPECIES,Lindl.,"2 km SW of Saül, track Limonade",NA,GF,NA,8,1986,PRESERVED_SPECIMEN,NY,NY,04133704,nr387,R. C. Ek,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,171380,Quekettia microscopica,Quekettia,microscopica,Lindl.,Species,Accepted,NA,655445-1,171380,0,6,"c(-53.2, 3.53)",TRUE
142815,GBIF_68674,Quekettia vermeuleniana,4.7583,-56.8806,2423978136,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Quekettia,SPECIES,Determann,Vicinity of Blanche Marie Waterfall on the Nickerie River,NA,SR,NA,4,1997,PRESERVED_SPECIMEN,NY,NY,04133708,2707,R. Evans,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,171385,Quekettia vermeuleniana,Quekettia,vermeuleniana,Determann,Species,Accepted,NA,898582-1,171385,0,9,"c(-56.8806, 4.7583)",TRUE
184517,GBIF_129962,Quekettia microscopica,5.38333,-65.81666,1260197874,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Quekettia,SPECIES,Lindl.,Banks of Caño Majagua (tributary of caño Parucito).,NA,VE,150,4,1974,PRESERVED_SPECIMEN,MO,Tropicos,2842694,10125,Jacques Jangoux,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,171380,Quekettia microscopica,Quekettia,microscopica,Lindl.,Species,Accepted,NA,655445-1,171380,0,6,"c(-65.81666, 5.38333)",TRUE
191660,GBIF_137562,Quekettia pygmaea,-1.066,-77.6,47850905,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Quekettia,SPECIES,NA,"Reserva biologica Jatun Sacha, south of Río Napo 8 km downriver from Misahuallí.",NA,EC,450,4,1989,PRESERVED_SPECIMEN,AU,AAU,D.E.Christensen88093,without-number,D.E. Christensen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,171382,Quekettia pygmaea,Quekettia,pygmaea,(Cogn.) Garay & R.E.Schult.,Species,Accepted,NA,1114476-2,171382,27,-1,"c(-77.6, -1.066)",TRUE
198778,GBIF_146674,Quekettia microscopica,-3.402222,-51.993611,1424510736,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Quekettia,SPECIES,Lindl.,NA,NA,BR,NA,1,2015,PRESERVED_SPECIMEN,JBRJ,RB,RB00969670,PSACF_EX04771,"MARTINS, B.A.S.B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,171380,Quekettia microscopica,Quekettia,microscopica,Lindl.,Species,Accepted,NA,655445-1,171380,0,6,"c(-51.993611, -3.402222)",TRUE
282052,GBIF_262195,Quekettia senghasiana,6.066667,-60.616667,2806576495,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Quekettia,SPECIES,Kolan. & Szlach.,"Pakaraima Mts., Mazaruni River above ABC Falls. Along stream and extended line between Mazaruni River and Ayangaik Mt. Gallery forest",NA,GY,NA,2,2004,PRESERVED_SPECIMEN,US,Tropicos,101190897,1094,Karen M. Redden;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,535753,Quekettia senghasiana,Quekettia,senghasiana,Kolan. & Szlach.,Species,Accepted,NA,77200446-1,535753,0,16,"c(-60.616667, 6.066667)",TRUE
288917,GBIF_286242,Quekettia microscopica,2.933333,-59.033333,3699022911,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Quekettia,SPECIES,Lindl.,"Rupununi Distr., Kumukowau R., Camp 3. Forest, along river.",NA,GY,160,2,1994,PRESERVED_SPECIMEN,BBS,BBS,BBS0025355,3843,"Jansen-Jacobs, M. J. et al.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,171380,Quekettia microscopica,Quekettia,microscopica,Lindl.,Species,Accepted,NA,655445-1,171380,0,6,"c(-59.033333, 2.933333)",TRUE
349716,GBIF_371104,Quekettia pygmaea,-1.06666,-77.6,1259962919,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Quekettia,SPECIES,(Cogn.) Dodson & M.W. Chase,"Reserva biologica Jatun Sacha, south of Río Napo 8 km downriver from Misahuallí.",NA,EC,450,4,1989,PRESERVED_SPECIMEN,AAU,Tropicos,2628988,88093,D. E. Christensen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,171382,Quekettia pygmaea,Quekettia,pygmaea,(Cogn.) Garay & R.E.Schult.,Species,Accepted,NA,1114476-2,171382,14,8,"c(-77.6, -1.06666)",TRUE
