V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
114703,GBIF_18909,Restrepia muscifera,10.221494,-84.605322,2424023604,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Restrepia,SPECIES,(Lindl.) Rchb.f. ex Lindl.,NA,NA,CR,NA,11,1922,PRESERVED_SPECIMEN,NY,NY,4133749,2918,A. M. Brenes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,177461,Restrepia muscifera,Restrepia,muscifera,(Lindl.) Rchb.f. ex Lindl.,Species,Accepted,NA,655554-1,177461,0,26,"c(-84.605322, 10.221494)",TRUE
130357,GBIF_55056,Restrepia muscifera,8.539722,-81.157222,1259895259,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Restrepia,SPECIES,(Lindl.) Rchb. f. ex Lindl.,8.8 km from Escuela Agricola Alto de Piedra.,NA,PA,900,11,1974,PRESERVED_SPECIMEN,MO,Tropicos,2567813,3244,Scott A. Mori;Jacquelyn A. Kallunki,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,177461,Restrepia muscifera,Restrepia,muscifera,(Lindl.) Rchb.f. ex Lindl.,Species,Accepted,NA,655554-1,177461,1,14,"c(-81.157222, 8.539722)",TRUE
130794,GBIF_55503,Restrepia trichoglossa,9.854722,-84.148611,1259349267,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Restrepia,SPECIES,Schltr.,Cloud forests of Cerro Cedral,NA,CR,2100,8,1959,PRESERVED_SPECIMEN,MO,Tropicos,2072057,s.n.,C. K. Horich,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,177498,Restrepia trichoglossa,Restrepia,trichoglossa,F.Lehm. ex Sander,Species,Accepted,NA,320797-2,177498,16,1,"c(-84.148611, 9.854722)",TRUE
137742,GBIF_63259,Restrepia brachypus,0.020436,-79.5811,1657211141,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Restrepia,SPECIES,Rolfe,"Santo Domingo-Quito Road, 50.2 km N of Zaracay Hotel.",NA,EC,NA,8,1980,PRESERVED_SPECIMEN,USF,Herb,149912,3859,"R. P. Sauleda, M. Ragan, H. Luther, R. P. Wunderlin, B. Hansen, L. Davenport, & J. Wiersema",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,177402,Restrepia brachypus,Restrepia,brachypus,Rchb.f.,Species,Accepted,NA,218695-2,177402,5,1,"c(-79.5811, 0.020436)",TRUE
139247,GBIF_64826,Restrepia trichoglossa,15.147579,-92.140972,1897604560,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Restrepia,SPECIES,"F. Lehm. ex Sander, 1901",Benito Juarez el Plan,NA,MX,0,4,2012,PRESERVED_SPECIMEN,ECOSUR,ECO-TA-H,262,without-number,Anne Damon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,177498,Restrepia trichoglossa,Restrepia,trichoglossa,F.Lehm. ex Sander,Species,Accepted,NA,320797-2,177498,7,15,"c(-92.140972, 15.147579)",TRUE
139294,GBIF_64876,Restrepia trichoglossa,15.097496,-92.1375,1897604584,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Restrepia,SPECIES,"F. Lehm. ex Sander, 1901",El Platanar,NA,MX,0,5,2008,PRESERVED_SPECIMEN,ECOSUR,ECO-TA-H,422,without-number,Anne Damon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,177498,Restrepia trichoglossa,Restrepia,trichoglossa,F.Lehm. ex Sander,Species,Accepted,NA,320797-2,177498,7,15,"c(-92.1375, 15.097496)",TRUE
139428,GBIF_65018,Restrepia trichoglossa,15.100187,-92.16542,1897604557,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Restrepia,SPECIES,"F. Lehm. ex Sander, 1901",Benito Juarez el Plan,NA,MX,0,11,2009,PRESERVED_SPECIMEN,ECOSUR,ECO-TA-H,430,without-number,Anne Damon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,177498,Restrepia trichoglossa,Restrepia,trichoglossa,F.Lehm. ex Sander,Species,Accepted,NA,320797-2,177498,7,15,"c(-92.16542, 15.100187)",TRUE
139464,GBIF_65057,Restrepia trichoglossa,15.095191,-92.139564,1897604567,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Restrepia,SPECIES,"F. Lehm. ex Sander, 1901",Benito Juarez el Plan,NA,MX,0,5,2008,PRESERVED_SPECIMEN,ECOSUR,ECO-TA-H,LJB 271,without-number,Rodolfo Solano y Laura Jiménez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,177498,Restrepia trichoglossa,Restrepia,trichoglossa,F.Lehm. ex Sander,Species,Accepted,NA,320797-2,177498,7,15,"c(-92.139564, 15.095191)",TRUE
139528,GBIF_65125,Restrepia trichoglossa,15.093885,-92.130695,1897604510,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Restrepia,SPECIES,"F. Lehm. ex Sander, 1901",Milán,NA,MX,0,11,2007,PRESERVED_SPECIMEN,ECOSUR,ECO-TA-H,LJB 174,without-number,"Anne Damon, Rodolfo Solano y Laura Jiménez",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,177498,Restrepia trichoglossa,Restrepia,trichoglossa,F.Lehm. ex Sander,Species,Accepted,NA,320797-2,177498,7,15,"c(-92.130695, 15.093885)",TRUE
151757,GBIF_83372,Restrepia trichoglossa,10.0528,-84.0694,2423967675,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Restrepia,SPECIES,Schltr.,Valle Central. Alrededores de la Urbanización El Castillo. Cabeceras del Río Tibás. Calle Ciénagas.,NA,CR,NA,12,1995,PRESERVED_SPECIMEN,NY,NY,04133751,617,E. Lepiz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,177498,Restrepia trichoglossa,Restrepia,trichoglossa,F.Lehm. ex Sander,Species,Accepted,NA,320797-2,177498,16,1,"c(-84.0694, 10.0528)",TRUE
