V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
106951,GBIF_10167,Rhipidoglossum rutilum,6.25833,-0.50833,2515775825,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhipidoglossum,SPECIES,(Rchb.f.) Schltr.,"Atewa Range, near Hill Top Hotel",NA,GH,NA,5,1994,PRESERVED_SPECIMEN,NA,Botany,WAG0104076,"Jongkind, CCH; Abbiw, DK; Nieuwenhuis, CMJ 1544",Jongkind CCH; Abbiw DK; Nieuwenhuis CMJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,178043,Rhipidoglossum rutilum,Rhipidoglossum,rutilum,(Rchb.f.) Schltr.,Species,Accepted,NA,655661-1,178043,0,17,"c(-0.50833, 6.25833)",TRUE
107077,GBIF_10298,Rhipidoglossum tenuicalcar,-0.09028,35.39444,2517708887,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhipidoglossum,SPECIES,Summerh.,"Kenya, Nyanza Province, Londiani Distr., Tinderet Forest Reserve, halfway between camp 3 (lat. 0°4'45''S., long 35° 24'45''E.) and camp 4 (lat. 0°6 '10''S., long 35°22'30'' E.).",NA,KE,NA,6,1949,PRESERVED_SPECIMEN,NA,Botany,WAG.1134851,"Maas Geesteranus, RA 5229",Maas Geesteranus RA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,178050,Rhipidoglossum tenuicalcar,Rhipidoglossum,tenuicalcar,(Summerh.) Garay,Species,Accepted,NA,655666-1,178050,8,8,"c(35.39444, -0.09028)",TRUE
107163,GBIF_10386,Rhipidoglossum bilobatum,-2.33333,29.25,2515892135,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhipidoglossum,SPECIES,(Summerh.) F.N.Rasm.,"env. de Wisumo, commune Gatare, vallée de la Kilimbi.",NA,RW,NA,2,1980,PRESERVED_SPECIMEN,NA,Botany,WAG.1140113,"Bridson, DM 437",Bridson DM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,178011,Rhipidoglossum bilobatum,Rhipidoglossum,bilobatum,(Summerh.) Szlach. & Olszewski,Species,Accepted,NA,20000693-1,178011,17,11,"c(29.25, -2.33333)",TRUE
107164,GBIF_10387,Rhipidoglossum rutilum,1.5,12.8,2515754427,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhipidoglossum,SPECIES,(Rchb.f.) Summerh.,Minkébé.,NA,GA,NA,10,1992,PRESERVED_SPECIMEN,NA,Botany,WAG.1140153,"Arends, JC 996",Arends JC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,178043,Rhipidoglossum rutilum,Rhipidoglossum,rutilum,(Rchb.f.) Schltr.,Species,Accepted,NA,655661-1,178043,5,11,"c(12.8, 1.5)",TRUE
107165,GBIF_10388,Rhipidoglossum rutilum,-0.4,35.25,2515856801,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhipidoglossum,SPECIES,(Rchb.f.) Summerh.,"Keiricho (tea Hotel), along bank of River Kipkaniet.",NA,KE,NA,NA,without-year,PRESERVED_SPECIMEN,NA,Botany,WAG.1140155,"Arends, JC 805",Arends JC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,178043,Rhipidoglossum rutilum,Rhipidoglossum,rutilum,(Rchb.f.) Schltr.,Species,Accepted,NA,655661-1,178043,5,11,"c(35.25, -0.4)",TRUE
107544,GBIF_10774,Rhipidoglossum curvatum,3.08333,10.41667,2513799601,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhipidoglossum,SPECIES,(Rolfe) Summerh.,"Bipinde, Urwaldgebiet.",NA,CM,NA,NA,1913,PRESERVED_SPECIMEN,NA,Botany,L.1503341,"Zenker, GA 4677",Zenker GA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,178016,Rhipidoglossum curvatum,Rhipidoglossum,curvatum,(Rolfe) Garay,Species,Accepted,NA,655645-1,178016,7,8,"c(10.41667, 3.08333)",TRUE
108014,GBIF_11267,Rhipidoglossum curvatum,0.66667,10.38333,2517347488,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhipidoglossum,SPECIES,(Rolfe) Summerh.,"Crystal Mountains, 12km along the road from Asok to Tchimbele.",NA,GA,NA,7,1983,PRESERVED_SPECIMEN,NA,Botany,WAG0137228,"Laan, FM van der 645",Laan FM van der,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,178016,Rhipidoglossum curvatum,Rhipidoglossum,curvatum,(Rolfe) Garay,Species,Accepted,NA,655645-1,178016,7,8,"c(10.38333, 0.66667)",TRUE
108030,GBIF_11283,Rhipidoglossum bilobatum,1.5,12.8,2515540640,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhipidoglossum,SPECIES,(Summerh.) Szlach. & Olszewski,Minkébé area.,NA,GA,NA,NA,1992,PRESERVED_SPECIMEN,NA,Botany,WAG0139693,"Arends, JC 988",Arends JC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,178011,Rhipidoglossum bilobatum,Rhipidoglossum,bilobatum,(Summerh.) Szlach. & Olszewski,Species,Accepted,NA,20000693-1,178011,0,30,"c(12.8, 1.5)",TRUE
108219,GBIF_11478,Rhipidoglossum rutilum,0.76667,25.21667,2517718001,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhipidoglossum,SPECIES,(Rchb.f.) Schltr.,23km along road from Kisangani to Bengamisa.,NA,CD,NA,6,1973,PRESERVED_SPECIMEN,NA,Botany,WAG.1140141,"Bokdam, J 4189",Bokdam J,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,178043,Rhipidoglossum rutilum,Rhipidoglossum,rutilum,(Rchb.f.) Schltr.,Species,Accepted,NA,655661-1,178043,0,17,"c(25.21667, 0.76667)",TRUE
122420,GBIF_43705,Rhipidoglossum curvatum,-2.65,10,2517577455,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhipidoglossum,SPECIES,(Rolfe) Summerh.,near Gamba.,NA,GA,NA,8,1988,PRESERVED_SPECIMEN,NA,Botany,WAG0137218,"Arends, JC 834",Arends JC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,178016,Rhipidoglossum curvatum,Rhipidoglossum,curvatum,(Rolfe) Garay,Species,Accepted,NA,655645-1,178016,7,8,"c(10, -2.65)",TRUE
