V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
5149,ALA_6098,Rhizanthella slateri,-33.5,151.1,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Rhizanthella,species,(Rupp) M.A.Clem. & P.J.Cribb,NA,Australia,AU,NA,11,1987,PRESERVED_SPECIMEN,CANB,CANB,CBG 8704357.1,4536,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,178056,Rhizanthella slateri,Rhizanthella,slateri,(Rupp) M.A.Clem. & P.J.Cribb,Species,Accepted,NA,75519-3,178056,0,28,"c(151.1, -33.5)",TRUE
5256,ALA_6230,Rhizanthella slateri,-33.5,151.1,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Rhizanthella,species,(Rupp) M.A.Clem. & P.J.Cribb,NA,Australia,AU,NA,10,1988,PRESERVED_SPECIMEN,CANB,CANB,CBG 8805897.1,104,"Groeneveld, K.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,178056,Rhizanthella slateri,Rhizanthella,slateri,(Rupp) M.A.Clem. & P.J.Cribb,Species,Accepted,NA,75519-3,178056,0,28,"c(151.1, -33.5)",TRUE
11396,ALA_14455,Rhizanthella slateri,-30.5,152.4,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Rhizanthella,species,(Rupp) M.A.Clem. & P.J.Cribb,NA,Australia,AU,NA,5,2002,PRESERVED_SPECIMEN,CANB,CANB,CANB 639492.1,ORG3983,"Carroll, E.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,178056,Rhizanthella slateri,Rhizanthella,slateri,(Rupp) M.A.Clem. & P.J.Cribb,Species,Accepted,NA,75519-3,178056,0,28,"c(152.4, -30.5)",TRUE
18898,ALA_25713,Rhizanthella slateri,-32.4,152.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Rhizanthella,species,(Rupp) M.A.Clem. & P.J.Cribb,NA,Australia,AU,NA,NA,2003,PRESERVED_SPECIMEN,CANB,CANB,CANB 946186.1,G6,"Dowling, W.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,178056,Rhizanthella slateri,Rhizanthella,slateri,(Rupp) M.A.Clem. & P.J.Cribb,Species,Accepted,NA,75519-3,178056,0,28,"c(152.2, -32.4)",TRUE
19133,ALA_26102,Rhizanthella slateri,-32.4,152.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Rhizanthella,species,(Rupp) M.A.Clem. & P.J.Cribb,NA,Australia,AU,NA,1,2003,PRESERVED_SPECIMEN,CANB,CANB,CANB 998739.1,s.n.,"Dowling, W.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,178056,Rhizanthella slateri,Rhizanthella,slateri,(Rupp) M.A.Clem. & P.J.Cribb,Species,Accepted,NA,75519-3,178056,0,28,"c(152.2, -32.4)",TRUE
20150,ALA_27748,Rhizanthella slateri,-32.4,152.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Rhizanthella,species,(Rupp) M.A.Clem. & P.J.Cribb,NA,Australia,AU,NA,NA,2003,PRESERVED_SPECIMEN,CANB,CANB,CANB 946184.1,G4,"Dowling, W.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,178056,Rhizanthella slateri,Rhizanthella,slateri,(Rupp) M.A.Clem. & P.J.Cribb,Species,Accepted,NA,75519-3,178056,0,28,"c(152.2, -32.4)",TRUE
20503,ALA_28324,Rhizanthella slateri,-32.4,152.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Rhizanthella,species,(Rupp) M.A.Clem. & P.J.Cribb,NA,Australia,AU,NA,NA,2003,PRESERVED_SPECIMEN,CANB,CANB,CANB 946126.1,G1,"Dowling, W.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,178056,Rhizanthella slateri,Rhizanthella,slateri,(Rupp) M.A.Clem. & P.J.Cribb,Species,Accepted,NA,75519-3,178056,0,28,"c(152.2, -32.4)",TRUE
21181,ALA_29453,Rhizanthella slateri,-32.4,152.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Rhizanthella,species,(Rupp) M.A.Clem. & P.J.Cribb,NA,Australia,AU,NA,NA,2003,PRESERVED_SPECIMEN,CANB,CANB,CANB 924987.1,H2,"Dowling, W.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,178056,Rhizanthella slateri,Rhizanthella,slateri,(Rupp) M.A.Clem. & P.J.Cribb,Species,Accepted,NA,75519-3,178056,0,28,"c(152.2, -32.4)",TRUE
21306,ALA_29667,Rhizanthella slateri,-32.4,152.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Rhizanthella,species,(Rupp) M.A.Clem. & P.J.Cribb,NA,Australia,AU,NA,NA,2003,PRESERVED_SPECIMEN,CANB,CANB,CANB 946195.1,M3,"Dowling, W.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,178056,Rhizanthella slateri,Rhizanthella,slateri,(Rupp) M.A.Clem. & P.J.Cribb,Species,Accepted,NA,75519-3,178056,0,28,"c(152.2, -32.4)",TRUE
21583,ALA_30130,Rhizanthella slateri,-32.4,152.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Rhizanthella,species,(Rupp) M.A.Clem. & P.J.Cribb,NA,Australia,AU,NA,NA,2003,PRESERVED_SPECIMEN,CANB,CANB,CANB 946196.1,O1,"Dowling, W.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,178056,Rhizanthella slateri,Rhizanthella,slateri,(Rupp) M.A.Clem. & P.J.Cribb,Species,Accepted,NA,75519-3,178056,0,28,"c(152.2, -32.4)",TRUE
