V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
33143,ALA_52977,Rhomboda alticola,-6.583333,142.833333,dr15861,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Rhomboda,species,(Schltr.) Ormerod,"Mount Bosawi [Bosavi], Tari subprovince.",Papua New Guinea,PG,700 m,8,1986,PRESERVED_SPECIMEN,NSW,NSW,NSW299445,LAE78006,"Katik, P.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,178243,Rhomboda alticola,Rhomboda,alticola,(Schltr.) Ormerod,Species,Accepted,NA,981655-1,178243,0,17,"c(142.833333, -6.583333)",TRUE
80073,ALA_111922,Rhomboda atrorubens,-7.173566,146.676094,dr2287,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Rhomboda,species,(Schltr.) Ormerod,Bulolo dengalu village,Papua New Guinea,PG,NA,1,1962,PRESERVED_SPECIMEN,BRI,Herbrecs,BRI AQ0072679,NGF14461,"Millar, A.N.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,178248,Rhomboda atrorubens,Rhomboda,atrorubens,(Schltr.) Ormerod,Species,Accepted,NA,981653-1,178248,0,17,"c(146.676094, -7.173566)",TRUE
104836,GBIF_2070,Rhomboda polygonoides,-17.8,145.6,2827600245,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhomboda,SPECIES,(F.Muell.) P.J.Cribb,NA,NA,AU,NA,9,1998,PRESERVED_SPECIMEN,CANB,CANB,CANB 668766.1,15718,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,178265,Rhomboda polygonoides,Rhomboda,polygonoides,(F.Muell.) Ormerod,Species,Accepted,NA,981651-1,178265,8,11,"c(145.6, -17.8)",TRUE
106627,GBIF_9831,Rhomboda polygonoides,-3.91924,136.25,2513811524,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhomboda,SPECIES,J.J.Sm.,Wissel Lake region. Biv. XVIII - Biv. XX.,NA,ID,NA,1,1939,PRESERVED_SPECIMEN,NA,Botany,L.1511931,"Eyma, PJ 4296",Eyma PJ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,178265,Rhomboda polygonoides,Rhomboda,polygonoides,(F.Muell.) Ormerod,Species,Accepted,NA,981651-1,178265,15,1,"c(136.25, -3.91924)",TRUE
106854,GBIF_10067,Rhomboda polygonoides,-6.28333,143.71667,2513119687,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhomboda,SPECIES,(F.Muell.) Ormerod,"Kaiser Wilhelmsland, ... Ibo Geb.",NA,PG,NA,5,1908,PRESERVED_SPECIMEN,NA,Botany,L  0062304,"Schlechter, FRR 17811",Schlechter FRR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,178265,Rhomboda polygonoides,Rhomboda,polygonoides,(F.Muell.) Ormerod,Species,Accepted,NA,981651-1,178265,0,18,"c(143.71667, -6.28333)",TRUE
115361,GBIF_19587,Rhomboda lanceolata,17.099894,120.995396,1930527648,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhomboda,SPECIES,Ames,Luzon. Bontoc.,NA,PH,NA,9,1912,PRESERVED_SPECIMEN,NY,NY,8556,1490,M. Vanoverbergh,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,178256,Rhomboda lanceolata,Rhomboda,lanceolata,(Lindl.) Ormerod,Species,Accepted,NA,981639-1,178256,14,2,"c(120.995396, 17.099894)",TRUE
116694,GBIF_23987,Rhomboda polygonoides,-16.9,145.7,3749142334,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhomboda,SPECIES,(F.Muell.) P.J.Cribb,NA,NA,AU,1006,5,2012,PRESERVED_SPECIMEN,CNS,CNS,CNS 144274.2,249,"Schulte, K.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,178265,Rhomboda polygonoides,Rhomboda,polygonoides,(F.Muell.) Ormerod,Species,Accepted,NA,981651-1,178265,8,11,"c(145.7, -16.9)",TRUE
116891,GBIF_24589,Rhomboda polygonoides,-18.2,145.8,2827241819,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhomboda,SPECIES,(F.Muell.) P.J.Cribb,NA,NA,AU,640,8,2003,PRESERVED_SPECIMEN,CNS,CNS,QRS 125680.2,8730,"Gray, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,178265,Rhomboda polygonoides,Rhomboda,polygonoides,(F.Muell.) Ormerod,Species,Accepted,NA,981651-1,178265,8,11,"c(145.8, -18.2)",TRUE
117044,GBIF_25132,Rhomboda polygonoides,-17.1,145.8,2827556028,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhomboda,SPECIES,(F.Muell.) P.J.Cribb,NA,NA,AU,20,10,1966,PRESERVED_SPECIMEN,CNS,CNS,QRS 44269.1,s.n.,"Berry, J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,178265,Rhomboda polygonoides,Rhomboda,polygonoides,(F.Muell.) Ormerod,Species,Accepted,NA,981651-1,178265,8,11,"c(145.8, -17.1)",TRUE
117720,GBIF_27816,Rhomboda polygonoides,-18.2,145.8,2827462934,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhomboda,SPECIES,(F.Muell.) P.J.Cribb,NA,NA,AU,820,6,2002,PRESERVED_SPECIMEN,CNS,CNS,QRS 127337.1,3506,"Ford, A.;Holmes, J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,178265,Rhomboda polygonoides,Rhomboda,polygonoides,(F.Muell.) Ormerod,Species,Accepted,NA,981651-1,178265,8,11,"c(145.8, -18.2)",TRUE
