V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104513,GBIF_748,Rhynchostele rossii,19.490333,-97.030972,1897490795,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhynchostele,SPECIES,"(Lindl.) Soto Arenas & Salazar, 1993",La Cortadura,NA,MX,NA,9,2010,PRESERVED_SPECIMEN,INECOL,JBC,NO APLICA,without-number,Manuel Adrián Cuellar Martínez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,178373,Rhynchostele rossii,Rhynchostele,rossii,(Lindl.) Soto Arenas & Salazar,Species,Accepted,NA,1007469-2,178373,6,30,"c(-97.030972, 19.490333)",TRUE
104527,GBIF_780,Rhynchostele rossii,19.720833,-96.818333,1897490814,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhynchostele,SPECIES,"(Lindl.) Soto Arenas & Salazar, 1993",Loma Plan,NA,MX,NA,3,2008,PRESERVED_SPECIMEN,INECOL,JBC,NO APLICA,without-number,Antonio Vázquez Blanco,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,178373,Rhynchostele rossii,Rhynchostele,rossii,(Lindl.) Soto Arenas & Salazar,Species,Accepted,NA,1007469-2,178373,6,30,"c(-96.818333, 19.720833)",TRUE
113443,GBIF_17610,Rhynchostele cervantesii,19.461667,-103.963333,1893967303,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhynchostele,SPECIES,"(Lex.) Soto Arenas & Salazar, 1993",3 km al O de El Terrero,NA,MX,1150,5,1994,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,16982,without-number,Francisco Javier Santana Michel; Jesús Juan Rosales Adame,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,178360,Rhynchostele cervantesii,Rhynchostele,cervantesii,(Lex.) Soto Arenas & Salazar,Species,Accepted,NA,977631-1,178360,6,28,"c(-103.963333, 19.461667)",TRUE
113448,GBIF_17615,Rhynchostele cervantesii,19.591667,-104.241667,1893958774,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhynchostele,SPECIES,"(Lex.) F. Halb.,1983",Camino El Zarzamoro - Rincón de Manantlán,NA,MX,975,3,1986,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,744,without-number,María de la O Villalobos Santana,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,178360,Rhynchostele cervantesii,Rhynchostele,cervantesii,(Lex.) Soto Arenas & Salazar,Species,Accepted,NA,977631-1,178360,19,7,"c(-104.241667, 19.591667)",TRUE
113471,GBIF_17640,Rhynchostele cervantesii,19.594444,-104.3125,1893958771,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhynchostele,SPECIES,"(Lex.) F. Halb.,1983","2 km al S de Corralitos, 19-20 km al SSE de Autlán",NA,MX,850,3,1989,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,8321,without-number,Francisco Javier Santana Michel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,178360,Rhynchostele cervantesii,Rhynchostele,cervantesii,(Lex.) Soto Arenas & Salazar,Species,Accepted,NA,977631-1,178360,19,7,"c(-104.3125, 19.594444)",TRUE
113511,GBIF_17686,Rhynchostele maculata,19.558333,-104.158333,1893972625,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhynchostele,SPECIES,"(Lex.) F. Halb.,1983","Las Capillas, 19 km al SSE de El Chante",NA,MX,1440,NA,without-year,PRESERVED_SPECIMEN,CUCBA-UDG,IBUG,NO DISPONIBLE,without-number,Hugh Iltis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,178369,Rhynchostele maculata,Rhynchostele,maculata,(Lex.) Soto Arenas & Salazar,Species,Accepted,NA,977640-1,178369,19,7,"c(-104.158333, 19.558333)",TRUE
113534,GBIF_17709,Rhynchostele cervantesii,19.461667,-103.963333,1893967165,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhynchostele,SPECIES,"(Lex.) Soto Arenas & Salazar, 1993","3 km al NO de El Terrero, 12- 13 km al ENE de Minatitlán",NA,MX,1150,11,1993,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,14575,without-number,Francisco Javier Santana Michel; Bruce Benz,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,178360,Rhynchostele cervantesii,Rhynchostele,cervantesii,(Lex.) Soto Arenas & Salazar,Species,Accepted,NA,977631-1,178360,6,28,"c(-103.963333, 19.461667)",TRUE
113594,GBIF_17773,Rhynchostele cervantesii,19.552778,-104.238889,1893958670,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhynchostele,SPECIES,"(Lex.) F. Halb.,1983","La Cumbre, 17-18 km al NE de Cuautitlán",NA,MX,1050,4,1988,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,5180,without-number,Ramón Cuevas Guzmán,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,178360,Rhynchostele cervantesii,Rhynchostele,cervantesii,(Lex.) Soto Arenas & Salazar,Species,Accepted,NA,977631-1,178360,19,7,"c(-104.238889, 19.552778)",TRUE
115450,GBIF_19679,Rhynchostele cervantesii,18.767565,-103.14452,2542560975,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhynchostele,SPECIES,(Lex.) Halb.,Barroloso.,NA,MX,NA,3,1941,PRESERVED_SPECIMEN,NY,NY,4098213,15150,G. B. Hinton,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,178360,Rhynchostele cervantesii,Rhynchostele,cervantesii,(Lex.) Soto Arenas & Salazar,Species,Accepted,NA,977631-1,178360,19,7,"c(-103.14452, 18.767565)",TRUE
128598,GBIF_53256,Rhynchostele cordata,16.194444,-93.608611,4031882147,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhynchostele,SPECIES,(Lindl.) Soto Arenas & Salazar,"Steep slopes, on the SE side of Cerro Tres Picos and the ridges near summit.",NA,MX,2300,12,1972,PRESERVED_SPECIMEN,MO,Tropicos,101810558,30091,Dennis E. Breedlove;Robert F. Thorne,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,178362,Rhynchostele cordata,Rhynchostele,cordata,(Lindl.) Soto Arenas & Salazar,Species,Accepted,NA,977633-1,178362,0,30,"c(-93.608611, 16.194444)",TRUE
