V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
114758,GBIF_18965,Rhynchostylis retusa,22.753063,100.893393,2424026714,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhynchostylis,SPECIES,(L.) Blume,Szemao [Simao district],NA,CN,NA,NA,without-year,PRESERVED_SPECIMEN,NY,NY,04138773,12257,A. Henry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,178388,Rhynchostylis retusa,Rhynchostylis,retusa,(L.) Blume,Species,Accepted,NA,655701-1,178388,0,10,"c(100.893393, 22.753063)",TRUE
115286,GBIF_19512,Rhynchostylis gigantea,19.232708,109.851257,2423994393,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhynchostylis,SPECIES,(Lindl.) Ridl.,NA,NA,CN,NA,2,1934,PRESERVED_SPECIMEN,NY,NY,4138765,65215,H. Y. Liang,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,178381,Rhynchostylis gigantea,Rhynchostylis,gigantea,(Lindl.) Ridl.,Species,Accepted,NA,655695-1,178381,0,14,"c(109.851257, 19.232708)",TRUE
123090,GBIF_44415,Rhynchostylis gigantea,3.16667,106.25,2513782489,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhynchostylis,SPECIES,Schltr.,Siantan,NA,ID,NA,4,1928,PRESERVED_SPECIMEN,NA,Botany,L.1482933,"Steenis, CGGJ van 961",Steenis CGGJ van,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,178381,Rhynchostylis gigantea,Rhynchostylis,gigantea,(Lindl.) Ridl.,Species,Accepted,NA,655695-1,178381,12,1,"c(106.25, 3.16667)",TRUE
125715,GBIF_47269,Rhynchostylis gigantea,18.252625,109.511923,1303973100,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhynchostylis,SPECIES,NA,排 塘山,NA,CN,NA,NA,1933,PRESERVED_SPECIMEN,IBSC,NA,00ed4448-b6c0-11e1-8c2f-acd112e444a7,without-number,黄志,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,178381,Rhynchostylis gigantea,Rhynchostylis,gigantea,(Lindl.) Ridl.,Species,Accepted,NA,655695-1,178381,14,-1,"c(109.511923, 18.252625)",TRUE
126311,GBIF_48280,Rhynchostylis gigantea,18.252625,109.511923,1303973069,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhynchostylis,SPECIES,NA,NA,NA,CN,NA,NA,1933,PRESERVED_SPECIMEN,IBSC,NA,00ed44be-b6c0-11e1-8c2f-acd112e444a7,without-number,左景列，陈念劬,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,178381,Rhynchostylis gigantea,Rhynchostylis,gigantea,(Lindl.) Ridl.,Species,Accepted,NA,655695-1,178381,14,-1,"c(109.511923, 18.252625)",TRUE
127117,GBIF_50279,Rhynchostylis gigantea,18.516726,110.029085,1303973093,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhynchostylis,SPECIES,NA,七指山,NA,CN,NA,NA,1934,PRESERVED_SPECIMEN,IBSC,NA,00ed3ec0-b6c0-11e1-8c2f-acd112e444a7,without-number,黄志,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,178381,Rhynchostylis gigantea,Rhynchostylis,gigantea,(Lindl.) Ridl.,Species,Accepted,NA,655695-1,178381,14,-1,"c(110.029085, 18.516726)",TRUE
127169,GBIF_50570,Rhynchostylis gigantea,23.125462,104.702829,1304084882,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhynchostylis,SPECIES,NA,班布,NA,CN,NA,NA,1940,PRESERVED_SPECIMEN,KUN,NA,ec70302b-b6bf-11e1-8c2f-acd112e444a7,without-number,王启无,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,178381,Rhynchostylis gigantea,Rhynchostylis,gigantea,(Lindl.) Ridl.,Species,Accepted,NA,655695-1,178381,14,-1,"c(104.702829, 23.125462)",TRUE
133779,GBIF_58955,Rhynchostylis retusa,14.6432,121.243,2513825419,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhynchostylis,SPECIES,(L.) Blume,"Philippines, Luzon, Rizal Province, Bosoboso.",NA,PH,NA,9,1916,PRESERVED_SPECIMEN,NA,Botany,L.1528249,"Merrill, ED Sp. Blanc. 1030",Merrill ED,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,178388,Rhynchostylis retusa,Rhynchostylis,retusa,(L.) Blume,Species,Accepted,NA,655701-1,178388,0,10,"c(121.243, 14.6432)",TRUE
143063,GBIF_68927,Rhynchostylis gigantea,19.232708,109.851257,2424013725,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhynchostylis,SPECIES,(Lindl.) Ridl.,NA,NA,CN,NA,8,1933,PRESERVED_SPECIMEN,NY,NY,4138768,33867,C. Wang,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,178381,Rhynchostylis gigantea,Rhynchostylis,gigantea,(Lindl.) Ridl.,Species,Accepted,NA,655695-1,178381,0,14,"c(109.851257, 19.232708)",TRUE
144568,GBIF_70463,Rhynchostylis retusa,27.5,84.58333,3307567486,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhynchostylis,SPECIES,NA,"Along stream (Mul Khola) just below Paidi Bas Choki, Churia Hills, along eastern boundary; Northeast section of the Park, south of the Rapti River",NA,NP,390,6,1976,PRESERVED_SPECIMEN,MICH,Angiosperms,1654397,849,Rebecca G. Troth,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,178388,Rhynchostylis retusa,Rhynchostylis,retusa,(L.) Blume,Species,Accepted,NA,655701-1,178388,10,-1,"c(84.58333, 27.5)",TRUE
200011,GBIF_148905,Rhynchostylis gigantea,19.23,109.45,4043743672,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhynchostylis,SPECIES,NA,NA,NA,CN,NA,NA,1956,PRESERVED_SPECIMEN,IBSC,NA,0621270,without-number,中国科学院海南普查工作队,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,178381,Rhynchostylis gigantea,Rhynchostylis,gigantea,(Lindl.) Ridl.,Species,Accepted,NA,655695-1,178381,14,-1,"c(109.45, 19.23)",TRUE
207369,GBIF_159894,Rhynchostylis gigantea,16.416667,99.516667,2859140594,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rhynchostylis,SPECIES,(Lindl.) Ridl.,"Maung District, Wat Paak-ang Nok, 2.5 km from Paholyothin Rd. within temple perimeter",NA,TH,70,5,1998,PRESERVED_SPECIMEN,CM,botany,CM488274,60,"Chanthanom, S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,178381,Rhynchostylis gigantea,Rhynchostylis,gigantea,(Lindl.) Ridl.,Species,Accepted,NA,655695-1,178381,0,14,"c(99.516667, 16.416667)",TRUE
