V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
5943,ALA_7077,Rimacola elliptica,-33.666667,151.216667,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Rimacola,species,(R.Br.) Rupp,Terrey Hills.,Australia,AU,NA,1,1970,PRESERVED_SPECIMEN,CANB,CANB,CBG 8102133.1,s.n.,"Whitehead, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179093,Rimacola elliptica,Rimacola,elliptica,(R.Br.) Rupp,Species,Accepted,NA,655705-1,179093,0,12,"c(151.216667, -33.666667)",TRUE
7911,ALA_9622,Rimacola elliptica,-33.683333,151.25,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Rimacola,species,(R.Br.) Rupp,Sydney; Terrey Hills,Australia,AU,NA,11,1985,PRESERVED_SPECIMEN,CANB,CANB,CBG 8505541.2,3889,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179093,Rimacola elliptica,Rimacola,elliptica,(R.Br.) Rupp,Species,Accepted,NA,655705-1,179093,0,12,"c(151.25, -33.683333)",TRUE
8605,ALA_10564,Rimacola elliptica,-33.7,150.366667,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Rimacola,species,(R.Br.) Rupp,"Wentworth Falls, Undercliff Walk.",Australia,AU,NA,1,1992,PRESERVED_SPECIMEN,CANB,CANB,CBG 9407914.1,7679,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179093,Rimacola elliptica,Rimacola,elliptica,(R.Br.) Rupp,Species,Accepted,NA,655705-1,179093,0,12,"c(150.366667, -33.7)",TRUE
9510,ALA_11791,Rimacola elliptica,-33.716667,150.366667,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Rimacola,species,(R.Br.) Rupp,Wentworth Falls.,Australia,AU,NA,12,1990,PRESERVED_SPECIMEN,CANB,CANB,CBG 9408033.1,7268,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179093,Rimacola elliptica,Rimacola,elliptica,(R.Br.) Rupp,Species,Accepted,NA,655705-1,179093,0,12,"c(150.366667, -33.716667)",TRUE
9941,ALA_12397,Rimacola elliptica,-33.7,150.366667,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Rimacola,species,(R.Br.) Rupp,Wentworth Falls.,Australia,AU,NA,11,2019,PRESERVED_SPECIMEN,CANB,CANB,CANB 948954.1,ORG7983,"Hanisch, S.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179093,Rimacola elliptica,Rimacola,elliptica,(R.Br.) Rupp,Species,Accepted,NA,655705-1,179093,0,12,"c(150.366667, -33.7)",TRUE
11600,ALA_14727,Rimacola elliptica,-33.683333,151.216667,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Rimacola,species,(R.Br.) Rupp,Terrey Hills.,Australia,AU,NA,11,1998,PRESERVED_SPECIMEN,CANB,CANB,CANB 669208.2,9791,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179093,Rimacola elliptica,Rimacola,elliptica,(R.Br.) Rupp,Species,Accepted,NA,655705-1,179093,0,12,"c(151.216667, -33.683333)",TRUE
11772,ALA_14966,Rimacola elliptica,-33.716667,150.366667,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Rimacola,species,(R.Br.) Rupp,Wentworth Falls reserve.,Australia,AU,NA,7,1985,PRESERVED_SPECIMEN,CANB,CANB,CBG 8502407.1,3678,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179093,Rimacola elliptica,Rimacola,elliptica,(R.Br.) Rupp,Species,Accepted,NA,655705-1,179093,0,12,"c(150.366667, -33.716667)",TRUE
11943,ALA_15204,Rimacola elliptica,-33.7,151.233333,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Rimacola,species,(R.Br.) Rupp,Belrose.,Australia,AU,NA,1,1985,PRESERVED_SPECIMEN,CANB,CANB,CANB 649998.1,s.n.,"D'Aubert, G.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179093,Rimacola elliptica,Rimacola,elliptica,(R.Br.) Rupp,Species,Accepted,NA,655705-1,179093,0,12,"c(151.233333, -33.7)",TRUE
15687,ALA_20588,Rimacola elliptica,-34.683333,150.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Rimacola,species,(R.Br.) Rupp,"Erith Coal Mine - cliffs around area; Morton National Park, Bundanoon area.",Australia,AU,NA,5,2001,PRESERVED_SPECIMEN,CANB,CANB,CANB 666899.1,10576,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179093,Rimacola elliptica,Rimacola,elliptica,(R.Br.) Rupp,Species,Accepted,NA,655705-1,179093,0,12,"c(150.3, -34.683333)",TRUE
16152,ALA_21270,Rimacola elliptica,-33.733333,150.366667,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Rimacola,species,(R.Br.) Rupp,Wentworth Falls.,Australia,AU,NA,12,1984,PRESERVED_SPECIMEN,CANB,CANB,CBG 8411791.1,3600,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179093,Rimacola elliptica,Rimacola,elliptica,(R.Br.) Rupp,Species,Accepted,NA,655705-1,179093,0,12,"c(150.366667, -33.733333)",TRUE
