V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
148605,GBIF_79478,Risleya atropurpurea,29.22,94.22,4043879146,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Risleya,SPECIES,NA,NA,NA,CN,NA,NA,1983,PRESERVED_SPECIMEN,PE,NA,00850796,without-number,李渤生  程树志 倪志诚,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,179117,Risleya atropurpurea,Risleya,atropurpurea,King & Pantl.,Species,Accepted,NA,655706-1,179117,13,-1,"c(94.22, 29.22)",TRUE
170819,GBIF_112993,Risleya atropurpurea,29.6,103.48,4044415956,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Risleya,SPECIES,NA,NA,NA,CN,NA,NA,1942,PRESERVED_SPECIMEN,SZ,NA,2151C0001000042645,without-number,方文培,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,179117,Risleya atropurpurea,Risleya,atropurpurea,King & Pantl.,Species,Accepted,NA,655706-1,179117,13,-1,"c(103.48, 29.6)",TRUE
310480,GBIF_312106,Risleya atropurpurea,31.712092,88.118532,1056059277,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Risleya,SPECIES,King & Pantl.,NA,NA,CN,NA,6,1938,PRESERVED_SPECIMEN,NHMUK,BOT,BM000082726,4717a,F. Ludlow et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179117,Risleya atropurpurea,Risleya,atropurpurea,King & Pantl.,Species,Accepted,NA,655706-1,179117,0,13,"c(88.118532, 31.712092)",TRUE
313014,GBIF_314823,Risleya atropurpurea,31.712092,88.118532,1057084193,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Risleya,SPECIES,King & Pantl.,NA,NA,CN,NA,7,1947,PRESERVED_SPECIMEN,NHMUK,BOT,BM000082728,14099,F. Ludlow et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179117,Risleya atropurpurea,Risleya,atropurpurea,King & Pantl.,Species,Accepted,NA,655706-1,179117,0,13,"c(88.118532, 31.712092)",TRUE
366358,GBIF_396583,Risleya atropurpurea,31.712092,88.118532,1057187600,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Risleya,SPECIES,King & Pantl.,NA,NA,CN,NA,6,1938,PRESERVED_SPECIMEN,NHMUK,BOT,BM000082727,4717,F. Ludlow et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179117,Risleya atropurpurea,Risleya,atropurpurea,King & Pantl.,Species,Accepted,NA,655706-1,179117,0,13,"c(88.118532, 31.712092)",TRUE
512191,GBIF_613851,Risleya atropurpurea,27.12,100.22,615389770,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Risleya,SPECIES,NA,"Lijiang Range E, Yulungshan W ; NW , Lijiang/Yunnan Sheng",NA,CN,2920,8,1996,PRESERVED_SPECIMEN,GMBA,The Himalayan Uplands Plant database (HUP Version 1),GMBA-HUP-130274,without-number,B.Dickoré (Coll. MSB),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,179117,Risleya atropurpurea,Risleya,atropurpurea,King & Pantl.,Species,Accepted,NA,655706-1,179117,13,-1,"c(100.22, 27.12)",TRUE
512222,GBIF_613916,Risleya atropurpurea,29.92,94.88,615389769,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Risleya,SPECIES,NA,"Gyala Peri N, Glacier tongue near (Camp 15 - High Camp 15´); SE Tibet, Kongbo, Gyala Peri/Xizang Zizhiqu",NA,CN,3580,8,1994,PRESERVED_SPECIMEN,GMBA,The Himalayan Uplands Plant database (HUP Version 1),GMBA-HUP-129467,without-number,B.Dickoré (Coll. MSB),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,179117,Risleya atropurpurea,Risleya,atropurpurea,King & Pantl.,Species,Accepted,NA,655706-1,179117,13,-1,"c(94.88, 29.92)",TRUE
544983,GBIF_666638,Risleya atropurpurea,29.85,95.76,2417694393,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Risleya,SPECIES,NA,NA,NA,CN,NA,NA,1965,PRESERVED_SPECIMEN,PE,NA,00804082,without-number,应俊生 洪德元,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,179117,Risleya atropurpurea,Risleya,atropurpurea,King & Pantl.,Species,Accepted,NA,655706-1,179117,13,-1,"c(95.76, 29.85)",TRUE
546018,GBIF_669183,Risleya atropurpurea,29.91,102.23,2417704697,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Risleya,SPECIES,NA,NA,NA,CN,NA,NA,1982,PRESERVED_SPECIMEN,PE,NA,01147497,without-number,郎楷永 李良千 费勇,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,179117,Risleya atropurpurea,Risleya,atropurpurea,King & Pantl.,Species,Accepted,NA,655706-1,179117,13,-1,"c(102.23, 29.91)",TRUE
637178,GBIF_804279,Risleya atropurpurea,29.914155,102.234618,1030889493,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Risleya,SPECIES,NA,狗棚子,NA,CN,NA,NA,1980,PRESERVED_SPECIMEN,CDBI,NA,ea8a7a7b-b6bf-11e1-8c2f-acd112e444a7,without-number,王清泉,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,179117,Risleya atropurpurea,Risleya,atropurpurea,King & Pantl.,Species,Accepted,NA,655706-1,179117,13,-1,"c(102.234618, 29.914155)",TRUE
