V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
5155,ALA_6109,Robiquetia gracilistipes,-16.5,145.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Robiquetia,species,(Schltr.) J.J.Sm.,NA,Australia,AU,NA,5,1989,PRESERVED_SPECIMEN,CANB,CANB,CBG 8913112.2,4308,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179157,Robiquetia gracilistipes,Robiquetia,gracilistipes,(Schltr.) J.J.Sm.,Species,Accepted,NA,655726-1,179157,0,17,"c(145.3, -16.5)",TRUE
5330,ALA_6318,Robiquetia gracilistipes,-17.3,145.9,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Robiquetia,species,(Schltr.) J.J.Sm.,NA,Australia,AU,NA,5,1989,PRESERVED_SPECIMEN,CANB,CANB,CBG 8912985.1,4182,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179157,Robiquetia gracilistipes,Robiquetia,gracilistipes,(Schltr.) J.J.Sm.,Species,Accepted,NA,655726-1,179157,0,17,"c(145.9, -17.3)",TRUE
10073,ALA_12585,Robiquetia wassellii,-13.7,143.4,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Robiquetia,species,Dockrill,NA,Australia,AU,NA,7,1978,PRESERVED_SPECIMEN,CANB,CANB,CBG 7806322.5,404,"Butler, G.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179187,Robiquetia wassellii,Robiquetia,wassellii,Dockrill,Species,Accepted,NA,655753-1,179187,0,8,"c(143.4, -13.7)",TRUE
18201,ALA_24556,Robiquetia gracilistipes,-7.933333,147.216667,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Robiquetia,species,(Schltr.) J.J.Sm.,"Morobe Province, Waria River District, hills behind Garassa [Garasa].",Papua New Guinea,PG,NA,4,1990,PRESERVED_SPECIMEN,CANB,CANB,CBG 9012852.1,6394,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179157,Robiquetia gracilistipes,Robiquetia,gracilistipes,(Schltr.) J.J.Sm.,Species,Accepted,NA,655726-1,179157,0,17,"c(147.216667, -7.933333)",TRUE
19173,ALA_26170,Robiquetia wassellii,-12.7,143.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Robiquetia,species,Dockrill,NA,Australia,AU,NA,7,2017,PRESERVED_SPECIMEN,CANB,CANB,CANB 948515.1,ORG7697,"Harrison, M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179187,Robiquetia wassellii,Robiquetia,wassellii,Dockrill,Species,Accepted,NA,655753-1,179187,0,8,"c(143.3, -12.7)",TRUE
21371,ALA_29788,Robiquetia gracilistipes,-6.233333,155.55,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Robiquetia,species,(Schltr.) J.J.Sm.,"CULTIVATED: Arawa Plantation, Kieta Sub-District, Bougainville. Altitude 50 feet.",Papua New Guinea,PG,NA,12,1969,PRESERVED_SPECIMEN,CANB,CANB,CANB 222669.1,NGF 38415,"Millar, A.N.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179157,Robiquetia gracilistipes,Robiquetia,gracilistipes,(Schltr.) J.J.Sm.,Species,Accepted,NA,655726-1,179157,0,17,"c(155.55, -6.233333)",TRUE
22358,ALA_31438,Robiquetia gracilistipes,-17.5,146,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Robiquetia,species,(Schltr.) J.J.Sm.,NA,Australia,AU,NA,5,1993,PRESERVED_SPECIMEN,CANB,CANB,CBG 9306472.1,CHB521,"Roberts, L.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179157,Robiquetia gracilistipes,Robiquetia,gracilistipes,(Schltr.) J.J.Sm.,Species,Accepted,NA,655726-1,179157,0,17,"c(146, -17.5)",TRUE
23647,ALA_33782,Robiquetia gracilistipes,-17.5,146,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Robiquetia,species,(Schltr.) J.J.Sm.,NA,Australia,AU,NA,6,1979,PRESERVED_SPECIMEN,CANB,CANB,CBG 7906501.1,814,Shadehouse,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179157,Robiquetia gracilistipes,Robiquetia,gracilistipes,(Schltr.) J.J.Sm.,Species,Accepted,NA,655726-1,179157,0,17,"c(146, -17.5)",TRUE
26849,ALA_39736,Robiquetia gracilistipes,-15.9,145.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Robiquetia,species,(Schltr.) J.J.Sm.,NA,Australia,AU,NA,5,1994,PRESERVED_SPECIMEN,CANB,CANB,CBG 9517137.1,DLJ12986,"Roberts, L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179157,Robiquetia gracilistipes,Robiquetia,gracilistipes,(Schltr.) J.J.Sm.,Species,Accepted,NA,655726-1,179157,0,17,"c(145.3, -15.9)",TRUE
27054,ALA_40122,Robiquetia gracilistipes,-15.9,145.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Robiquetia,species,(Schltr.) J.J.Sm.,NA,Australia,AU,NA,5,1995,PRESERVED_SPECIMEN,CANB,CANB,CANB 669207.1,DLJ13950,"Roberts, L.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179157,Robiquetia gracilistipes,Robiquetia,gracilistipes,(Schltr.) J.J.Sm.,Species,Accepted,NA,655726-1,179157,0,17,"c(145.3, -15.9)",TRUE
27355,ALA_40716,Robiquetia gracilistipes,-15.9,145.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Robiquetia,species,(Schltr.) J.J.Sm.,NA,Australia,AU,NA,4,1992,PRESERVED_SPECIMEN,CANB,CANB,CANB 678399.1,DLJ11336,"Roberts, L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179157,Robiquetia gracilistipes,Robiquetia,gracilistipes,(Schltr.) J.J.Sm.,Species,Accepted,NA,655726-1,179157,0,17,"c(145.3, -15.9)",TRUE
28982,ALA_44061,Robiquetia gracilistipes,-16.3,145.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Robiquetia,species,(Schltr.) J.J.Sm.,NA,Australia,AU,NA,10,2001,PRESERVED_SPECIMEN,CANB,CANB,CANB 564923.1,3008,"Ford, A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179157,Robiquetia gracilistipes,Robiquetia,gracilistipes,(Schltr.) J.J.Sm.,Species,Accepted,NA,655726-1,179157,0,17,"c(145.3, -16.3)",TRUE
30849,ALA_47764,Robiquetia gracilistipes,-16.3,145.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Robiquetia,species,(Schltr.) J.J.Sm.,NA,Australia,AU,NA,NA,without-year,PRESERVED_SPECIMEN,CANB,CANB,CBG 43151.1,NQ 1090,"Scomazzon, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179157,Robiquetia gracilistipes,Robiquetia,gracilistipes,(Schltr.) J.J.Sm.,Species,Accepted,NA,655726-1,179157,0,17,"c(145.3, -16.3)",TRUE
39386,ALA_60947,Robiquetia gracilistipes,-12.7,143.2,dr15861,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Robiquetia,species,(Schltr.) J.J.Sm.,NA,Australia,AU,520 m,7,1986,PRESERVED_SPECIMEN,NSW,NSW,NSW200148,1857,"Hill, K.D. | Hind, P.D. | Healey, D.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179157,Robiquetia gracilistipes,Robiquetia,gracilistipes,(Schltr.) J.J.Sm.,Species,Accepted,NA,655726-1,179157,0,17,"c(143.2, -12.7)",TRUE
70682,ALA_98376,Robiquetia gracilistipes,-17.3,145.9,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Robiquetia,species,(Schltr.) J.J.Sm.,NA,Australia,AU,NA,3,1955,PRESERVED_SPECIMEN,CNS,CNS,QRS 128869.1,s.n.,"Wilkie, J.H.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179157,Robiquetia gracilistipes,Robiquetia,gracilistipes,(Schltr.) J.J.Sm.,Species,Accepted,NA,655726-1,179157,0,17,"c(145.9, -17.3)",TRUE
70858,ALA_98625,Robiquetia gracilistipes,-16.5,145.3,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Robiquetia,species,(Schltr.) J.J.Sm.,NA,Australia,AU,NA,4,1963,PRESERVED_SPECIMEN,CNS,CNS,CNS 138956.1,s.n.,leg. ign.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179157,Robiquetia gracilistipes,Robiquetia,gracilistipes,(Schltr.) J.J.Sm.,Species,Accepted,NA,655726-1,179157,0,17,"c(145.3, -16.5)",TRUE
70870,ALA_98641,Robiquetia gracilistipes,-13.7,143.4,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Robiquetia,species,(Schltr.) J.J.Sm.,NA,Australia,AU,NA,8,2003,PRESERVED_SPECIMEN,CNS,CNS,QRS 125559.1,8699,"Gray, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179157,Robiquetia gracilistipes,Robiquetia,gracilistipes,(Schltr.) J.J.Sm.,Species,Accepted,NA,655726-1,179157,0,17,"c(143.4, -13.7)",TRUE
70896,ALA_98676,Robiquetia gracilistipes,-13.7,143.4,dr15867,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Robiquetia,species,(Schltr.) J.J.Sm.,NA,Australia,AU,NA,8,2002,PRESERVED_SPECIMEN,CNS,CNS,QRS 123917.1,8243,"Gray, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179157,Robiquetia gracilistipes,Robiquetia,gracilistipes,(Schltr.) J.J.Sm.,Species,Accepted,NA,655726-1,179157,0,17,"c(143.4, -13.7)",TRUE
