V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104135,GBIF_352,Rodriguezia lanceolata,10.407189,-61.390661,1055363820,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rodriguezia,SPECIES,Ruiz & Pav.,NA,NA,TT,NA,NA,without-year,PRESERVED_SPECIMEN,NHMUK,BOT,BM000533764,780,August Fendler,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179253,Rodriguezia lanceolata,Rodriguezia,lanceolata,Ruiz & Pav.,Species,Accepted,NA,655797-1,179253,0,11,"c(-61.390661, 10.407189)",TRUE
111364,GBIF_15378,Rodriguezia bracteata,-22.563056,-43.468056,4526427584,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rodriguezia,SPECIES,Angiospermas,"Tinguá, Estrada do Comércio, a 6,6 km após o entroncamento para a Sede da Rebio, Mato Escuro. Mata de encosta. Reserva Biológica do Tinguá",NA,BR,NA,11,2016,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB01200175,8415,H.C. de Lima,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,179222,Rodriguezia bracteata,Rodriguezia,bracteata,(Vell.) Hoehne,Species,Accepted,NA,221598-2,179222,14,-1,"c(-43.468056, -22.563056)",TRUE
111464,GBIF_15485,Rodriguezia lanceolata,-2.831944,-55.044444,4526435758,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rodriguezia,SPECIES,Angiospermas,Floresta Nacional do Tapajós. Km 67.,NA,BR,NA,1,2018,PRESERVED_SPECIMEN,NA,HSTM,HSTM013256,92,"Sousa, G. R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,179253,Rodriguezia lanceolata,Rodriguezia,lanceolata,Ruiz & Pav.,Species,Accepted,NA,655797-1,179253,11,1,"c(-55.044444, -2.831944)",TRUE
114281,GBIF_18478,Rodriguezia lanceolata,6.45,-58.52,2424025646,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rodriguezia,SPECIES,Ruiz & Pav.,Macouria River from 5-10 km from its mouth,NA,GY,NA,3,1993,PRESERVED_SPECIMEN,NY,NY,4138849,1695,T. W. Henkel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179253,Rodriguezia lanceolata,Rodriguezia,lanceolata,Ruiz & Pav.,Species,Accepted,NA,655797-1,179253,0,11,"c(-58.52, 6.45)",TRUE
114635,GBIF_18837,Rodriguezia bracteata,-25.548936,-48.631716,1929755890,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rodriguezia,SPECIES,Rchb.f.,Alexandra,NA,BR,NA,1,1910,PRESERVED_SPECIMEN,NY,NY,547345,9244,P. K. H. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,179222,Rodriguezia bracteata,Rodriguezia,bracteata,(Vell.) Hoehne,Species,Accepted,NA,221598-2,179222,13,1,"c(-48.631716, -25.548936)",TRUE
114829,GBIF_19037,Rodriguezia lanceolata,7.7967,-71.7797,2423983163,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rodriguezia,SPECIES,Ruiz & Pav.,"10 (airline) km E of La Fundación, 13 to 23 km by road, around Represa Dorada",NA,VE,NA,4,1981,PRESERVED_SPECIMEN,NY,NY,4138853,11595,R. L. Liesner,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179253,Rodriguezia lanceolata,Rodriguezia,lanceolata,Ruiz & Pav.,Species,Accepted,NA,655797-1,179253,0,11,"c(-71.7797, 7.7967)",TRUE
115375,GBIF_19602,Rodriguezia lanceolata,9.83,-72.82,2423982419,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rodriguezia,SPECIES,Ruiz & Pav.,"Perijá. hills bordering Quebrada Cosira, 3½ km SW of Los Angeles de Tucuco, foothills of Cerro Cunasamo (Serrania de Perijá)",NA,VE,NA,6,1980,PRESERVED_SPECIMEN,NY,NY,4138874,18556,G. Davidse,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179253,Rodriguezia lanceolata,Rodriguezia,lanceolata,Ruiz & Pav.,Species,Accepted,NA,655797-1,179253,0,11,"c(-72.82, 9.83)",TRUE
115403,GBIF_19631,Rodriguezia carnea,7.4,-76.52,2424007675,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rodriguezia,SPECIES,Lindl.,27 km NNW of Mutatá on road to Chigorodó,NA,CO,NA,3,1987,PRESERVED_SPECIMEN,NY,NY,04138838,5025,J. L. Zarucchi,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179227,Rodriguezia carnea,Rodriguezia,carnea,Lindl.,Species,Accepted,NA,655777-1,179227,0,6,"c(-76.52, 7.4)",TRUE
124492,GBIF_45915,Rodriguezia lanceolata,-2.883333,-59.97,1042619535,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rodriguezia,SPECIES,NA,"Reserva Florestal Adolfo Ducke, Alojamento",NA,BR,0,8,1994,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",195126,1402,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,179253,Rodriguezia lanceolata,Rodriguezia,lanceolata,Ruiz & Pav.,Species,Accepted,NA,655797-1,179253,11,-1,"c(-59.97, -2.883333)",TRUE
124515,GBIF_45938,Rodriguezia lanceolata,-10.416667,-51.45,1042664684,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rodriguezia,SPECIES,NA,"Serra do Tapirapé, 21 km SW of Portal do Amazonia., Hills of Serra do Tapirapé, 21 km SW of Portal do Amazonia (jct MT413 to Santa Terezinha & BR 158) along BR 158",NA,BR,0,10,1985,PRESERVED_SPECIMEN,Instituto Nacional de Pesquisas da Amazônia (INPA),"Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",150820,4348,Mike Hopkins,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,179253,Rodriguezia lanceolata,Rodriguezia,lanceolata,Ruiz & Pav.,Species,Accepted,NA,655797-1,179253,11,-1,"c(-51.45, -10.416667)",TRUE
