V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
129313,GBIF_53984,Roeperocharis wentzeliana,-9.083333,33.833333,1261385532,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Roeperocharis,SPECIES,Kraenzl.,Kitulo plateau. High altitude grassland between Kitulo and Matamba.,NA,TZ,2600,3,1987,PRESERVED_SPECIMEN,MO,Tropicos,670325,1860,J.C. Lovett;T.C.E. Congdon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179326,Roeperocharis wentzeliana,Roeperocharis,wentzeliana,Kraenzl.,Species,Accepted,NA,655857-1,179326,0,8,"c(33.833333, -9.083333)",TRUE
131253,GBIF_55980,Roeperocharis bennettiana,13.498962,38.043085,1055951269,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Roeperocharis,SPECIES,Rchb.f.,Tigrè v. Begemder,NA,ET,NA,NA,without-year,PRESERVED_SPECIMEN,NHMUK,BOT,BM000042063,1327,Georg Heinrich Wilhelm Schimper,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179312,Roeperocharis bennettiana,Roeperocharis,bennettiana,Rchb.f.,Species,Accepted,NA,655845-1,179312,0,7,"c(38.043085, 13.498962)",TRUE
134153,GBIF_59381,Roeperocharis wentzeliana,-10.55,33.73333,2515636966,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Roeperocharis,SPECIES,Kraenzl.,"Malawi, N. Prov. Rumphi Dist., Nyika Plateau.",NA,MW,NA,5,1975,PRESERVED_SPECIMEN,NA,Botany,WAG.1140181,"Pawek, J 9247",Pawek J,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179326,Roeperocharis wentzeliana,Roeperocharis,wentzeliana,Kraenzl.,Species,Accepted,NA,655857-1,179326,0,8,"c(33.73333, -10.55)",TRUE
134754,GBIF_60061,Roeperocharis bennettiana,7.5,38.83333,2515717611,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Roeperocharis,SPECIES,Rchb.f.,"35 km SE. od Shashamane, along the road to Goba.",NA,ET,NA,8,1969,PRESERVED_SPECIMEN,NA,Botany,WAG.1140174,"Wilde, JJFE de 5706",Wilde JJFE de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179312,Roeperocharis bennettiana,Roeperocharis,bennettiana,Rchb.f.,Species,Accepted,NA,655845-1,179312,0,7,"c(38.83333, 7.5)",TRUE
135732,GBIF_61156,Roeperocharis bennettiana,6.45,38.55,2515887721,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Roeperocharis,SPECIES,Rchb.f.,"10 km S. of Agere Selam, along the road to Kebre Mengist.",NA,ET,NA,7,1970,PRESERVED_SPECIMEN,NA,Botany,WAG.1140175,"Wilde, JJFE de 6725",Wilde JJFE de,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179312,Roeperocharis bennettiana,Roeperocharis,bennettiana,Rchb.f.,Species,Accepted,NA,655845-1,179312,0,7,"c(38.55, 6.45)",TRUE
164101,GBIF_104507,Roeperocharis bennettiana,-9.28333,33.61667,2513119045,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Roeperocharis,SPECIES,Rchb.f.,"Nyassa hochland, Station Kyimbila.",NA,TZ,NA,NA,1912,PRESERVED_SPECIMEN,NA,Botany,L  0062106,"Stolz, AF 2032",Stolz AF,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179312,Roeperocharis bennettiana,Roeperocharis,bennettiana,Rchb.f.,Species,Accepted,NA,655845-1,179312,0,7,"c(33.61667, -9.28333)",TRUE
182027,GBIF_127232,Roeperocharis wentzeliana,-9,33.83333,328284008,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Roeperocharis,SPECIES,Kraenzl.,few km before Kitulo Farm on road from Igoma,NA,TZ,NA,3,1985,PRESERVED_SPECIMEN,UPS,BOT,V-032939,without-number,"B. Pettersson, M. Hedrén & S.P. Kibuwa",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179326,Roeperocharis wentzeliana,Roeperocharis,wentzeliana,Kraenzl.,Species,Accepted,NA,655857-1,179326,0,8,"c(33.83333, -9)",TRUE
182481,GBIF_127823,Roeperocharis wentzeliana,-7.83333,35.66666,1258440833,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Roeperocharis,SPECIES,Kraenzl.,Isimilia stone age site. Brachystegia woodland.,NA,TZ,1700,2,1987,PRESERVED_SPECIMEN,MO,Tropicos,1231265,2150,J.C. Lovett,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179326,Roeperocharis wentzeliana,Roeperocharis,wentzeliana,Kraenzl.,Species,Accepted,NA,655857-1,179326,0,8,"c(35.66666, -7.83333)",TRUE
237633,GBIF_197780,Roeperocharis bennettiana,-15.388611,37.046667,912493226,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Roeperocharis,SPECIES,Rchb.f.,Mt Namuli. Muretha Plateau,NA,MZ,1879,5,2007,PRESERVED_SPECIMEN,K,Herbarium,K000613256,181,"Harris, T.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179312,Roeperocharis bennettiana,Roeperocharis,bennettiana,Rchb.f.,Species,Accepted,NA,655845-1,179312,0,7,"c(37.046667, -15.388611)",TRUE
330269,GBIF_341098,Roeperocharis bennettiana,-9.28333,33.65,1144762752,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Roeperocharis,SPECIES,NA,"Kyimbila - Nyassa Hochland (Malawi, Mozambique), Station Kyimbila/Mbeya",NA,TZ,NA,NA,without-year,PRESERVED_SPECIMEN,G,Geneva Herbarium – General Collection (G),G-G-87586/1,without-number,"Stolz, A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,179312,Roeperocharis bennettiana,Roeperocharis,bennettiana,Rchb.f.,Species,Accepted,NA,655845-1,179312,7,-1,"c(33.65, -9.28333)",TRUE
