V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
104314,GBIF_535,Rossioglossum grande,15.702133,-90.356243,1055740906,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rossioglossum,SPECIES,(Lindl.) Garay & G.C.Kenn.,NA,NA,GT,NA,NA,without-year,PRESERVED_SPECIMEN,NHMUK,BOT,BM000023386,S.N.,Anon.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,179889,Rossioglossum grande,Rossioglossum,grande,(Lindl.) Garay & G.C.Kenn.,Species,Accepted,NA,222521-2,179889,0,26,"c(-90.356243, 15.702133)",TRUE
113432,GBIF_17598,Rossioglossum splendens,19.591667,-104.275,1893970996,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rossioglossum,SPECIES,"(Rchb. f.) Garay & G.C. Kenn., 1976","Las Playas, Estación Científica Las Joyas",NA,MX,900,9,1986,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,13027,without-number,José Arturo Solís Magallanes; Martha Flores López,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,179895,Rossioglossum splendens,Rossioglossum,splendens,(Rchb.f.) Garay & G.C.Kenn.,Species,Accepted,NA,222527-2,179895,8,16,"c(-104.275, 19.591667)",TRUE
113460,GBIF_17629,Rossioglossum splendens,19.758333,-104.275,1893970948,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rossioglossum,SPECIES,"(Rchb. f.) Garay & G.C. Kenn., 1976","1 km al E de El Zarzamoro, 17-18 km al NNE de Cuautitlán",NA,MX,950,10,1980,PRESERVED_SPECIMEN,UW,WIS,NO DISPONIBLE,without-number,Hugh Iltis; Stephen Solheim,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,179895,Rossioglossum splendens,Rossioglossum,splendens,(Rchb.f.) Garay & G.C.Kenn.,Species,Accepted,NA,222527-2,179895,8,16,"c(-104.275, 19.758333)",TRUE
113486,GBIF_17656,Rossioglossum splendens,19.625,-104.308333,1893971006,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rossioglossum,SPECIES,"(Rchb. f.) Garay & G.C. Kenn., 1976",Cerca de Corralitos,NA,MX,900,9,1985,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,1134,without-number,Rafael Soltero Quintana,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,179895,Rossioglossum splendens,Rossioglossum,splendens,(Rchb.f.) Garay & G.C.Kenn.,Species,Accepted,NA,222527-2,179895,8,16,"c(-104.308333, 19.625)",TRUE
113608,GBIF_17788,Rossioglossum splendens,19.591667,-104.275,1893971087,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rossioglossum,SPECIES,"(Rchb. f.) Garay & G.C. Kenn., 1976","Los Barbechos, Estación Científica Las Joyas",NA,MX,920,11,1985,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,246,without-number,José Antonio Vázquez García,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,179895,Rossioglossum splendens,Rossioglossum,splendens,(Rchb.f.) Garay & G.C.Kenn.,Species,Accepted,NA,222527-2,179895,8,16,"c(-104.275, 19.591667)",TRUE
113620,GBIF_17801,Rossioglossum splendens,19.575,-104.275,1893971021,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rossioglossum,SPECIES,"(Rchb. f.) Garay & G.C. Kenn., 1976",Estación Científica Las Joyas,NA,MX,925,4,1988,PRESERVED_SPECIMEN,DERN-IMECBIO-CUCSUR-UDG,ZEA,8304,without-number,Raúl López Castillo,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,179895,Rossioglossum splendens,Rossioglossum,splendens,(Rchb.f.) Garay & G.C.Kenn.,Species,Accepted,NA,222527-2,179895,8,16,"c(-104.275, 19.575)",TRUE
129949,GBIF_54638,Rossioglossum oerstedii,9.65,-83.96,1258824826,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rossioglossum,SPECIES,(Rchb. f.) Lucas Rodr. ex Halb.,Santa Maria.,NA,CR,NA,5,1928,PRESERVED_SPECIMEN,MO,Tropicos,1592087,2099,Harvey E. Stork,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,459373,Rossioglossum oerstedii,Rossioglossum,oerstedii,(Rchb.f.) M.W.Chase & N.H.Williams,Species,Accepted,NA,77102080-1,459373,21,6,"c(-83.96, 9.65)",TRUE
130632,GBIF_55340,Rossioglossum ampliatum,7.766667,-62.933333,1260189385,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rossioglossum,SPECIES,Lindl.,Capital Piar. Baio Caroni. Bosque tropófilo macrotérmico. Sector 1.,NA,VE,125,NA,without-year,PRESERVED_SPECIMEN,MO,Tropicos,2834942,2279,Wilmer A. Díaz;Ana Valera,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,459371,Rossioglossum ampliatum,Rossioglossum,ampliatum,(Lindl.) M.W.Chase & N.H.Williams,Species,Accepted,NA,77102078-1,459371,27,5,"c(-62.933333, 7.766667)",TRUE
137809,GBIF_63328,Rossioglossum beloglossum,17.2973,-96.4329,1576151068,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rossioglossum,SPECIES,Schltr.,From near Natividad.,NA,MX,NA,NA,without-year,PRESERVED_SPECIMEN,USF,Herb,25588,94,Collector unspecified on label,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,492824,Rossioglossum beloglossum,Rossioglossum,beloglossum,(Rchb.f.) J.M.H.Shaw,Species,Accepted,NA,77137426-1,492824,17,2,"c(-96.4329, 17.2973)",TRUE
139336,GBIF_64920,Rossioglossum grande,15.265552,-92.2825,1897603859,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Rossioglossum,SPECIES,"(Lindl.) Garay & G.C. Kenn., 1976",Berriozabal,NA,MX,0,7,2008,PRESERVED_SPECIMEN,ECOSUR,ECO-TA-H,387,without-number,"Anne Damon, Rodolfo Solano y Laura Jiménez",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,179889,Rossioglossum grande,Rossioglossum,grande,(Lindl.) Garay & G.C.Kenn.,Species,Accepted,NA,222521-2,179889,7,21,"c(-92.2825, 15.265552)",TRUE
