V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
198735,GBIF_146625,Sanderella discolor,-16.311389,-48.406389,1424445733,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sanderella,SPECIES,(Barb.Rodr.) Cogn.,"Faz. do Sr. Roberto (faz. Átamo), mata da cobra.",NA,BR,840,6,2003,PRESERVED_SPECIMEN,JBRJ,RB,RB00777150,7748,"G.P. Silva; A.A. Santos, A.C. Sevilha, A.C. Amaral, G.A. Moreira, at. all.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,184211,Sanderella discolor,Sanderella,discolor,(Barb.Rodr.) Cogn.,Species,Accepted,NA,227348-2,184211,0,18,"c(-48.406389, -16.311389)",TRUE
252984,GBIF_218468,Sanderella riograndensis,-27,-49.41,2996106656,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sanderella,SPECIES,Dutra ex Pabst,Guaricanas.,NA,BR,281,3,2010,PRESERVED_SPECIMEN,FURB,FURB,FURB03972,2811,"Korte, A.;A. Korte,A. Kniess,Kniess, A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,184213,Sanderella riograndensis,Sanderella,riograndensis,Dutra,Species,Accepted,NA,227349-2,184213,9,4,"c(-49.41, -27)",TRUE
263186,GBIF_230332,Sanderella riograndensis,-25.68333,-54.45,1259521972,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sanderella,SPECIES,Dutra ex Pabst,"Parque Nacional Iguazú, área Cataratas, Isla San Martín",NA,AR,NA,NA,without-year,PRESERVED_SPECIMEN,BAB,Tropicos,2229088,188,Andres E. Johnson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,184213,Sanderella riograndensis,Sanderella,riograndensis,Dutra,Species,Accepted,NA,227349-2,184213,9,4,"c(-54.45, -25.68333)",TRUE
292350,GBIF_290009,Sanderella discolor,-23.392297,-47.550225,4953550357,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sanderella,SPECIES,(Barb.Rodr.) Cogn.,Distrito de Sousas. Condomínio Colinas do Atibaia. Mata Ribeirão Cachoeira.,NA,BR,NA,3,2010,PRESERVED_SPECIMEN,UNICAMP,UEC,212099,523,"Garcia, LC",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,184211,Sanderella discolor,Sanderella,discolor,(Barb.Rodr.) Cogn.,Species,Accepted,NA,227348-2,184211,0,18,"c(-47.550225, -23.392297)",TRUE
405169,GBIF_457286,Sanderella discolor,-25.807222,-52.900833,4427255621,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sanderella,SPECIES,(Barb.Rodr.) Cogn.,PCH Bela Vista.,NA,BR,440,5,2020,PRESERVED_SPECIMEN,MBM,MBM,MBM00430264,1853,"Ariati, V;Roher, DA,Nascimento-Junior, M,Preilipper, E",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,184211,Sanderella discolor,Sanderella,discolor,(Barb.Rodr.) Cogn.,Species,Accepted,NA,227348-2,184211,0,18,"c(-52.900833, -25.807222)",TRUE
462836,GBIF_534507,Sanderella discolor,-15.9,-48.033333,1087227443,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sanderella,SPECIES,(Barb.Rodr.) Cogn.,Margem do Riacho Fundo-Fundação Zoobotânica Brasília.,NA,BR,1200,5,1961,PRESERVED_SPECIMEN,UnB,UB,3536,8333,"Heringer, EP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,184211,Sanderella discolor,Sanderella,discolor,(Barb.Rodr.) Cogn.,Species,Accepted,NA,227348-2,184211,0,18,"c(-48.033333, -15.9)",TRUE
471683,GBIF_549647,Sanderella riograndensis,-25.68,-54.45,417047303,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sanderella,SPECIES,NA,"Parque Nacional Iguazú, área Cataratas, Isla San Martín",NA,AR,NA,NA,without-year,PRESERVED_SPECIMEN,BAB,HERB,12826,without-number,"Johnson, A. E.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,184213,Sanderella riograndensis,Sanderella,riograndensis,Dutra,Species,Accepted,NA,227349-2,184213,5,-1,"c(-54.45, -25.68)",TRUE
472318,GBIF_550908,Sanderella discolor,-24.15,-64.28,417047338,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sanderella,SPECIES,NA,"camino de Palma Sola a El Olvido, 26 km de Palma Sola",NA,AR,NA,NA,without-year,PRESERVED_SPECIMEN,SI,HERB,50359,without-number,"Zuloaga, F. O.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,184211,Sanderella discolor,Sanderella,discolor,(Barb.Rodr.) Cogn.,Species,Accepted,NA,227348-2,184211,18,-1,"c(-64.28, -24.15)",TRUE
486295,GBIF_570791,Sanderella discolor,-15.866667,-47.85,2252500719,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sanderella,SPECIES,(Barb.Rodr.) Cogn.,Estação Ecológica Jardim Botânico de Brasília Córrego Cabeça de Veado,NA,BR,102,3,2006,PRESERVED_SPECIMEN,Jardim Botânico de Brasília,HEPH,22514,179,"Aguiar, SNF",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,184211,Sanderella discolor,Sanderella,discolor,(Barb.Rodr.) Cogn.,Species,Accepted,NA,227348-2,184211,0,18,"c(-47.85, -15.866667)",TRUE
496788,GBIF_587830,Sanderella discolor,-9.627964,-37.078911,3331956488,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sanderella,SPECIES,(Barb.Rodr.) Cong.,Serra Lisa.,NA,BR,NA,11,2017,PRESERVED_SPECIMEN,IMA,MAC,64609,1,V.Brito; F.R.Neto,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,184211,Sanderella discolor,Sanderella,discolor,(Barb.Rodr.) Cogn.,Species,Accepted,NA,227348-2,184211,2,15,"c(-37.078911, -9.627964)",TRUE
