V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
178824,GBIF_122648,Sarcoglyphis mirabilis,17,99.8167,2513826946,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sarcoglyphis,SPECIES,(Rchb.f.) Garay,"Thailand, Sukotai.",NA,TH,NA,5,1922,PRESERVED_SPECIMEN,NA,Botany,L.1528759,"Kerr, AFG 452",Kerr AFG,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,185260,Sarcoglyphis mirabilis,Sarcoglyphis,mirabilis,(Rchb.f.) Garay,Species,Accepted,NA,656794-1,185260,0,15,"c(99.8167, 17)",TRUE
333962,GBIF_346845,Sarcoglyphis smithiana,22.0333,100.25,1998905587,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sarcoglyphis,SPECIES,Z. H. Tsi,Nan-Chiao,NA,CN,1180,7,1936,PRESERVED_SPECIMEN,AMES,AMES,barcode-00141888,73438,C. W. Wang,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,185263,Sarcoglyphis smithiana,Sarcoglyphis,smithiana,(Kerr) Seidenf.,Species,Accepted,NA,969606-1,185263,13,1,"c(100.25, 22.0333)",TRUE
342973,GBIF_361120,Sarcoglyphis smithiana,21.48,101.57,4044040307,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sarcoglyphis,SPECIES,NA,NA,NA,CN,NA,NA,2013,PRESERVED_SPECIMEN,HITBC,NA,HITBC0028330,without-number,李剑武,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,185263,Sarcoglyphis smithiana,Sarcoglyphis,smithiana,(Kerr) Seidenf.,Species,Accepted,NA,969606-1,185263,15,-1,"c(101.57, 21.48)",TRUE
444946,GBIF_513015,Sarcoglyphis thailandica,12.223611,107.018889,1837707845,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sarcoglyphis,SPECIES,Seidenf.,Seima Wildlife Sanctuary,NA,KH,340,5,2015,PRESERVED_SPECIMEN,K,Spirit,78397.000,s.n.,s.coll.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,185264,Sarcoglyphis thailandica,Sarcoglyphis,thailandica,Seidenf.,Species,Accepted,NA,935344-1,185264,0,8,"c(107.018889, 12.223611)",TRUE
466714,GBIF_541541,Sarcoglyphis mirabilis,15,99.23333,438494134,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sarcoglyphis,SPECIES,(Rchb.f.) Garay,NA,NA,TH,350,2,1970,PRESERVED_SPECIMEN,MNHN,P,P00361770,without-number,"Beusekon, C.F. van",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,185260,Sarcoglyphis mirabilis,Sarcoglyphis,mirabilis,(Rchb.f.) Garay,Species,Accepted,NA,656794-1,185260,0,15,"c(99.23333, 15)",TRUE
531445,GBIF_643397,Sarcoglyphis mirabilis,15.76667,102.36667,2513826485,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sarcoglyphis,SPECIES,(Rchb.f.) Garay,"Thailand, Northeastern: Khawnkaen, Chumphae, Dong Lan.",NA,TH,NA,3,1952,PRESERVED_SPECIMEN,NA,Botany,L.1528758,"Smitinand, T 1230",Smitinand T,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,185260,Sarcoglyphis mirabilis,Sarcoglyphis,mirabilis,(Rchb.f.) Garay,Species,Accepted,NA,656794-1,185260,0,15,"c(102.36667, 15.76667)",TRUE
582359,GBIF_725077,Sarcoglyphis fimbriata,3.4689,114.5464,1055499216,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sarcoglyphis,SPECIES,(Ridl.) Garay,NA,NA,MY,NA,2,1910,PRESERVED_SPECIMEN,NHMUK,BOT,BM000540441,125,Cecil Joslin Brooks,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,185256,Sarcoglyphis fimbriata,Sarcoglyphis,fimbriata,(Ridl.) Garay,Species,Accepted,NA,656791-1,185256,0,13,"c(114.5464, 3.4689)",TRUE
639768,GBIF_809027,Sarcoglyphis smithiana,21.957355,100.452547,919461596,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sarcoglyphis,SPECIES,NA,NA,NA,CN,NA,NA,1992,PRESERVED_SPECIMEN,PE,NA,e3c566d3-b6bf-11e1-8c2f-acd112e444a7,without-number,吉占和,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,185263,Sarcoglyphis smithiana,Sarcoglyphis,smithiana,(Kerr) Seidenf.,Species,Accepted,NA,969606-1,185263,15,-1,"c(100.452547, 21.957355)",TRUE
639825,GBIF_809131,Sarcoglyphis magnirostris,21.475834,101.56752,919506703,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sarcoglyphis,SPECIES,NA,NA,NA,CN,NA,NA,1983,PRESERVED_SPECIMEN,PE,NA,e1312515-b6bf-11e1-8c2f-acd112e444a7,without-number,吉占和,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,185259,Sarcoglyphis magnirostris,Sarcoglyphis,magnirostris,Z.H.Tsi,Species,Accepted,NA,906990-1,185259,7,-1,"c(101.56752, 21.475834)",TRUE
640093,GBIF_809811,Sarcoglyphis smithiana,21.957355,100.452547,919520411,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sarcoglyphis,SPECIES,NA,NA,NA,CN,NA,NA,1967,PRESERVED_SPECIMEN,PE,NA,e05a31cd-b6bf-11e1-8c2f-acd112e444a7,without-number,郎楷永，刘伦辉，向应海,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,185263,Sarcoglyphis smithiana,Sarcoglyphis,smithiana,(Kerr) Seidenf.,Species,Accepted,NA,969606-1,185263,15,-1,"c(100.452547, 21.957355)",TRUE
640472,GBIF_811001,Sarcoglyphis smithiana,21.475834,101.56752,919506782,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sarcoglyphis,SPECIES,NA,NA,NA,CN,NA,NA,1983,PRESERVED_SPECIMEN,PE,NA,e13123bd-b6bf-11e1-8c2f-acd112e444a7,without-number,"陈心启,吉占和",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,185263,Sarcoglyphis smithiana,Sarcoglyphis,smithiana,(Kerr) Seidenf.,Species,Accepted,NA,969606-1,185263,15,-1,"c(101.56752, 21.475834)",TRUE
640676,GBIF_811689,Sarcoglyphis smithiana,21.957355,100.452547,919520409,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sarcoglyphis,SPECIES,NA,NA,NA,CN,NA,NA,1936,PRESERVED_SPECIMEN,PE,NA,e05a33b3-b6bf-11e1-8c2f-acd112e444a7,without-number,C.W.Wang,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,185263,Sarcoglyphis smithiana,Sarcoglyphis,smithiana,(Kerr) Seidenf.,Species,Accepted,NA,969606-1,185263,15,-1,"c(100.452547, 21.957355)",TRUE
640974,GBIF_812928,Sarcoglyphis smithiana,22.010889,100.79926,919520412,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sarcoglyphis,SPECIES,NA,NA,NA,CN,NA,NA,1955,PRESERVED_SPECIMEN,PE,NA,e05a32d2-b6bf-11e1-8c2f-acd112e444a7,without-number,冯国楣(K.M.Feng),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,185263,Sarcoglyphis smithiana,Sarcoglyphis,smithiana,(Kerr) Seidenf.,Species,Accepted,NA,969606-1,185263,15,-1,"c(100.79926, 22.010889)",TRUE
