V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
103876,GBIF_44,Satyrium neglectum,-30.73,28.14,3349469914,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Satyrium,SUBSPECIES,NA,Naudes Nek,NA,ZA,NA,2,2019,MATERIAL_SAMPLE,NA,NA,NA,without-number,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,186225,Satyrium neglectum,Satyrium,neglectum,Schltr.,Species,Accepted,NA,657034-1,186225,7,-1,"c(28.14, -30.73)",TRUE
103877,GBIF_46,Satyrium neglectum,-28.39,29.21,3349469915,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Satyrium,SUBSPECIES,NA,Van Reenan's Pass,NA,ZA,NA,2,2018,MATERIAL_SAMPLE,NA,NA,NA,without-number,without-collector,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,186225,Satyrium neglectum,Satyrium,neglectum,Schltr.,Species,Accepted,NA,657034-1,186225,7,-1,"c(29.21, -28.39)",TRUE
104034,GBIF_249,Satyrium nepalense,31.712092,88.118532,1055768794,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Satyrium,SPECIES,Lindl.,NA,NA,CN,NA,8,1938,PRESERVED_SPECIMEN,NHMUK,BOT,BM000042877,6846,F. Ludlow et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,186230,Satyrium nepalense,Satyrium,nepalense,D.Don,Species,Accepted,NA,657035-1,186230,6,-1,"c(88.118532, 31.712092)",TRUE
104036,GBIF_251,Satyrium longicauda,-28.99853,25.092539,1055915584,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Satyrium,SPECIES,Lindl.,NA,NA,ZA,NA,NA,without-year,PRESERVED_SPECIMEN,NHMUK,BOT,BM000046647,127a,P MacOwan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,186195,Satyrium longicauda,Satyrium,longicauda,Lindl.,Species,Accepted,NA,657005-1,186195,0,6,"c(25.092539, -28.99853)",TRUE
104037,GBIF_252,Satyrium cristatum,-28.99853,25.092539,1055511479,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Satyrium,SPECIES,Sond.,NA,NA,ZA,NA,3,1920,PRESERVED_SPECIMEN,NHMUK,BOT,BM000046759,175,Faxon Rand,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,186120,Satyrium cristatum,Satyrium,cristatum,Sond.,Species,Accepted,NA,656931-1,186120,0,5,"c(25.092539, -28.99853)",TRUE
104038,GBIF_253,Satyrium carneum,-28.99853,25.092539,1056593133,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Satyrium,SPECIES,(Aiton) Sims,NA,NA,ZA,NA,10,1896,PRESERVED_SPECIMEN,NHMUK,BOT,BM000046802,1808,Anthony Hurt Wolley-Dod,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,186100,Satyrium carneum,Satyrium,carneum,(Aiton) Sims,Species,Accepted,NA,656910-1,186100,0,12,"c(25.092539, -28.99853)",TRUE
104345,GBIF_566,Satyrium stenopetalum,-28.99853,25.092539,1057189187,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Satyrium,SPECIES,Lindl.,NA,NA,ZA,NA,10,1892,PRESERVED_SPECIMEN,NHMUK,BOT,BM000046633,s.n.,Friedrich Richard Rudolf Schlechter,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,186310,Satyrium stenopetalum,Satyrium,stenopetalum,Lindl.,Species,Accepted,NA,657113-1,186310,0,6,"c(25.092539, -28.99853)",TRUE
104346,GBIF_567,Satyrium sphaerocarpum,-28.99853,25.092539,1057354149,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Satyrium,SPECIES,Lindl.,NA,NA,ZA,NA,2,1928,PRESERVED_SPECIMEN,NHMUK,BOT,BM000046676,7,Winifred Mary Adelaide Brooke,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,186307,Satyrium sphaerocarpum,Satyrium,sphaerocarpum,Lindl.,Species,Accepted,NA,657110-1,186307,0,6,"c(25.092539, -28.99853)",TRUE
104347,GBIF_568,Satyrium bracteatum,-28.99853,25.092539,1056893307,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Satyrium,SPECIES,(L.f.) Thunb.,NA,NA,ZA,NA,NA,without-year,PRESERVED_SPECIMEN,NHMUK,BOT,BM000046832,3,J. Bowie,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,186090,Satyrium bracteatum,Satyrium,bracteatum,(L.f.) Thunb.,Species,Accepted,NA,656902-1,186090,0,13,"c(25.092539, -28.99853)",TRUE
106291,GBIF_9481,Satyrium parviflorum,-30.36667,29.61667,2513070626,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Satyrium,SPECIES,Schltr.,S.Afr.: Zuurbergen.,NA,ZA,NA,2,1895,PRESERVED_SPECIMEN,NA,Botany,AMD.93199,"Schlechter, FRR 6599",Schlechter FRR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),TRUE,1,0,186260,Satyrium parviflorum,Satyrium,parviflorum,Sw.,Species,Accepted,NA,657065-1,186260,5,1,"c(29.61667, -30.36667)",TRUE
106947,GBIF_10163,Satyrium neglectum,-9.28333,33.61667,2515739666,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Satyrium,VARIETY,NA,...Africae oriental. Nyassa hochland. Station Kyimbila.,NA,TZ,NA,4,1912,PRESERVED_SPECIMEN,NA,Botany,WAG0002570,"Stolz, AF 1188",Stolz AF,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,186225,Satyrium neglectum,Satyrium,neglectum,Schltr.,Species,Accepted,NA,657034-1,186225,7,-1,"c(33.61667, -9.28333)",TRUE
106948,GBIF_10164,Satyrium rhynchanthoides,-9.28333,33.61667,2515790675,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Satyrium,SPECIES,Schltr.,"Nyassa hochland, Station Kyimbila.",NA,TZ,NA,1,1912,PRESERVED_SPECIMEN,NA,Botany,WAG0002572,"Stolz, AF 1074",Stolz AF,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,186285,Satyrium rhynchanthoides,Satyrium,rhynchanthoides,Schltr.,Species,Accepted,NA,657087-1,186285,0,7,"c(33.61667, -9.28333)",TRUE
