V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
127952,GBIF_52577,Schiedeella nagelii,22.4,-100.3,1999017443,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Schiedeella,SPECIES,L. O. Williams,Mountains near Cerritos,NA,MX,1800,9,1936,PRESERVED_SPECIMEN,AMES,AMES,barcode-00104476,6343,O. Nagel & E. Dino,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,187816,Schiedeella nagelii,Schiedeella,nagelii,(L.O.Williams) Garay,Species,Accepted,NA,911281-1,187816,10,8,"c(-100.3, 22.4)",TRUE
127960,GBIF_52585,Schiedeella albovaginata,18.9,-99.5,1999039622,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Schiedeella,SPECIES,C. Schweinfurth,Near Chalma,NA,MX,2500,4,1933,PRESERVED_SPECIMEN,AMES,AMES,barcode-00083912,2267,Juan Gonzáles,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,187786,Schiedeella albovaginata,Schiedeella,albovaginata,(C.Schweinf.) Burns-Bal.,Species,Accepted,NA,229106-2,187786,13,8,"c(-99.5, 18.9)",TRUE
128005,GBIF_52630,Schiedeella nagelii,22.1,-100.9,1998330312,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Schiedeella,SPECIES,L. O. Williams,"Mountains in distict of Juarez, near Cerritos",NA,MX,1900,9,1936,PRESERVED_SPECIMEN,AMES,AMES,barcode-00084965,6187,O. Nagel & E. Dino,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,187816,Schiedeella nagelii,Schiedeella,nagelii,(L.O.Williams) Garay,Species,Accepted,NA,911281-1,187816,10,8,"c(-100.9, 22.1)",TRUE
129125,GBIF_53790,Schiedeella trilineata,12.96666,-86.35,1261366068,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Schiedeella,SPECIES,(Lindl.) Burns-Bal.,"La Tejera, 6.5 km al Suroeste de Santa Cruz",NA,NI,1340,1,1986,PRESERVED_SPECIMEN,MO,Tropicos,650552,26523,P. P. Moreno,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,187833,Schiedeella trilineata,Schiedeella,trilineata,(Lindl.) Burns-Bal.,Species,Accepted,NA,229129-2,187833,0,19,"c(-86.35, 12.96666)",TRUE
136813,GBIF_62304,Schiedeella saltensis,19.35,-99.0833,1657211430,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Schiedeella,SPECIES,(Griseb.) Schltr.,Mount Estrella near Iztapalapa.,NA,MX,2300,4,1933,PRESERVED_SPECIMEN,USF,Herb,25640,2214,O. Nagel,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,187827,Schiedeella saltensis,Schiedeella,saltensis,Schltr.,Species,Accepted,NA,229124-2,187827,10,7,"c(-99.0833, 19.35)",TRUE
140863,GBIF_66604,Schiedeella affinis,19,-99.1,1096645511,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Schiedeella,SPECIES,(C. Schweinf.) Garay,"Orchidaceae Mexicanae. K. Erik M. Östlund, Cuernavaca, Mor. Morelos between Tepoztlan & San Juanico.",NA,MX,1600,4,1933,PRESERVED_SPECIMEN,S,VascularPlants,S07-2143,2160 = 2210,Benjamin C. & ... Nagel (Erik M. Östlund),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,475315,Schiedeella affinis,Schiedeella,affinis,(C.Schweinf.) Salazar,Species,Accepted,NA,60457858-2,475315,6,11,"c(-99.1, 19)",TRUE
142059,GBIF_67852,Schiedeella saltensis,24.805831,-100.076389,1895444814,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Schiedeella,SPECIES,"(Ames & C. Schweinf.) Burns-Bal., 1986",Santa Rita,NA,MX,1025,4,1981,PRESERVED_SPECIMEN,CNS-UT,TEX,00190476,without-number,B. Hinton,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,187827,Schiedeella saltensis,Schiedeella,saltensis,Schltr.,Species,Accepted,NA,229124-2,187827,33,3,"c(-100.076389, 24.805831)",TRUE
142081,GBIF_67874,Schiedeella saltensis,24.0088341,-100.0464946,1895444700,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Schiedeella,SPECIES,"(Ames & C. Schweinf.) Burns-Bal., 1986","La Soledad, nr",NA,MX,840,3,1994,PRESERVED_SPECIMEN,CNS-UT,TEX,00190478,without-number,H. et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,187827,Schiedeella saltensis,Schiedeella,saltensis,Schltr.,Species,Accepted,NA,229124-2,187827,33,3,"c(-100.0464946, 24.0088341)",TRUE
142242,GBIF_68053,Schiedeella saltensis,25.559169,-100.836111,1895444760,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Schiedeella,SPECIES,"(Ames & C. Schweinf.) Burns-Bal., 1986",Sa San José de Los Nuncios,NA,MX,770,4,1993,PRESERVED_SPECIMEN,CNS-UT,TEX,00111618,without-number,Hinton; et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,187827,Schiedeella saltensis,Schiedeella,saltensis,Schltr.,Species,Accepted,NA,229124-2,187827,33,3,"c(-100.836111, 25.559169)",TRUE
142344,GBIF_68163,Schiedeella saltensis,25.068656,-100.456936,1895444799,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Schiedeella,SPECIES,"(Ames & C. Schweinf.) Burns-Bal., 1986",Boca del Refugio-->San Pablo,NA,MX,997.5,5,1992,PRESERVED_SPECIMEN,CNS-UT,TEX,00190479,without-number,H. et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,187827,Schiedeella saltensis,Schiedeella,saltensis,Schltr.,Species,Accepted,NA,229124-2,187827,33,3,"c(-100.456936, 25.068656)",TRUE
