V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
8105,ALA_9888,Schoenorchis micrantha,-16.5,145.3,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Schoenorchis,species,Reinw. ex Blume,NA,Australia,AU,NA,6,1972,PRESERVED_SPECIMEN,CANB,CANB,CBG 43150.1,NQ1104,"Wrigley, J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,188271,Schoenorchis micrantha,Schoenorchis,micrantha,Reinw. ex Blume,Species,Accepted,NA,152645-3,188271,0,15,"c(145.3, -16.5)",TRUE
15142,ALA_19759,Schoenorchis sarcophylla,-12.7,143.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Schoenorchis,species,Schltr.,NA,Australia,AU,NA,7,1996,PRESERVED_SPECIMEN,CANB,CANB,CBG 9707731.1,ORG63,"Lielkajis, E.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,188283,Schoenorchis sarcophylla,Schoenorchis,sarcophylla,Schltr.,Species,Accepted,NA,657421-1,188283,0,7,"c(143.2, -12.7)",TRUE
19042,ALA_25957,Schoenorchis sarcophylla,-12.7,143.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Schoenorchis,species,Schltr.,NA,Australia,AU,NA,7,1997,PRESERVED_SPECIMEN,CANB,CANB,CANB 669368.2,ORG772,"Lielkajis, E.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,188283,Schoenorchis sarcophylla,Schoenorchis,sarcophylla,Schltr.,Species,Accepted,NA,657421-1,188283,0,7,"c(143.2, -12.7)",TRUE
20606,ALA_28473,Schoenorchis micrantha,-12.7,143.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Schoenorchis,species,Reinw. ex Blume,NA,Australia,AU,NA,NA,without-year,PRESERVED_SPECIMEN,CANB,CANB,CBG 761274.1,319,"Wrigley, J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,188271,Schoenorchis micrantha,Schoenorchis,micrantha,Reinw. ex Blume,Species,Accepted,NA,152645-3,188271,0,15,"c(143.2, -12.7)",TRUE
22395,ALA_31497,Schoenorchis micrantha,-17.2,145.9,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Schoenorchis,species,Reinw. ex Blume,NA,Australia,AU,NA,5,1989,PRESERVED_SPECIMEN,CANB,CANB,CBG 8913001.1,4198,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,188271,Schoenorchis micrantha,Schoenorchis,micrantha,Reinw. ex Blume,Species,Accepted,NA,152645-3,188271,0,15,"c(145.9, -17.2)",TRUE
24122,ALA_34703,Schoenorchis micrantha,-17.6,145.7,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Schoenorchis,species,Reinw. ex Blume,NA,Australia,AU,NA,5,1989,PRESERVED_SPECIMEN,CANB,CANB,CBG 8916766.1,4171A,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,188271,Schoenorchis micrantha,Schoenorchis,micrantha,Reinw. ex Blume,Species,Accepted,NA,152645-3,188271,0,15,"c(145.7, -17.6)",TRUE
24592,ALA_35543,Schoenorchis micrantha,-12.7,143.2,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Schoenorchis,species,Reinw. ex Blume,NA,Australia,AU,NA,5,1995,PRESERVED_SPECIMEN,CANB,CANB,CANB 678981.1,DLJ13938,"Lielkajis, E.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,188271,Schoenorchis micrantha,Schoenorchis,micrantha,Reinw. ex Blume,Species,Accepted,NA,152645-3,188271,0,15,"c(143.2, -12.7)",TRUE
24829,ALA_35931,Schoenorchis micrantha,-13.6,143.5,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Schoenorchis,species,Reinw. ex Blume,NA,Australia,AU,NA,7,1978,PRESERVED_SPECIMEN,CANB,CANB,CBG 7806332.1,414,"Butler, G.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,188271,Schoenorchis micrantha,Schoenorchis,micrantha,Reinw. ex Blume,Species,Accepted,NA,152645-3,188271,0,15,"c(143.5, -13.6)",TRUE
28974,ALA_44042,Schoenorchis micrantha,-13.6,143.5,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Schoenorchis,species,Reinw. ex Blume,NA,Australia,AU,NA,7,1985,PRESERVED_SPECIMEN,CANB,CANB,CBG 8600528.1,2476,"Taylor, J.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,188271,Schoenorchis micrantha,Schoenorchis,micrantha,Reinw. ex Blume,Species,Accepted,NA,152645-3,188271,0,15,"c(143.5, -13.6)",TRUE
32024,ALA_50485,Schoenorchis micrantha,-17.3,145.9,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Schoenorchis,species,Reinw. ex Blume,NA,Australia,AU,NA,5,1989,PRESERVED_SPECIMEN,CANB,CANB,CBG 8912984.1,4181,"Jones, D.L.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,188271,Schoenorchis micrantha,Schoenorchis,micrantha,Reinw. ex Blume,Species,Accepted,NA,152645-3,188271,0,15,"c(145.9, -17.3)",TRUE
