V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
5078,ALA_6006,Serapias neglecta,44.366667,9.6,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Serapias,species,De Not.,c. 1.5 km S of Varese [Ligure].,Italy,IT,NA,5,1983,PRESERVED_SPECIMEN,CANB,CANB,CANB 737841.1,2717,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,190672,Serapias neglecta,Serapias,neglecta,De Not.,Species,Accepted,NA,657663-1,190672,0,7,"c(9.6, 44.366667)",TRUE
18776,ALA_25502,Serapias neglecta,44.316667,9.566667,dr15860,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Serapias,species,De Not.,c. Santa [San] Pietro Vara on road to Varese [Ligure] from Sestri Levante.,Italy,IT,NA,5,1983,PRESERVED_SPECIMEN,CANB,CANB,CANB 737838.1,2714,"Clements, M.A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,190672,Serapias neglecta,Serapias,neglecta,De Not.,Species,Accepted,NA,657663-1,190672,0,7,"c(9.566667, 44.316667)",TRUE
86632,ALA_120676,Serapias lingua,40.736431,13.94898,dr27654,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Serapias,species,L.,NA,Italy,IT,NA,NA,without-year,PRESERVED_SPECIMEN,CHR,CHR,CHR 294272,without-number,Unknown,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,190640,Serapias lingua,Serapias,lingua,L.,Species,Accepted,NA,657644-1,190640,0,2,"c(13.94898, 40.736431)",TRUE
106290,GBIF_9479,Serapias strictiflora,34.08333,-4.1,2513061701,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Serapias,SUBSPECIES,(Rchb. ex Batt.) Soó,Jbel-Tazzeka Bab-Bou-Idir-Taza. 3 km NE of Bab-Bou-Idir.,NA,MA,NA,6,1961,PRESERVED_SPECIMEN,NA,Botany,AMD.83932,"Wilde, JJFE de; Wilde, PAWJ de; Dorgelo, J 2924 D",Wilde JJFE de; Wilde PAWJ de; Dorgelo J,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,190748,Serapias strictiflora,Serapias,strictiflora,Welw. ex Veiga,Species,Accepted,NA,77065063-1,190748,15,5,"c(-4.1, 34.08333)",TRUE
107172,GBIF_10396,Serapias lingua,38.73333,16.16667,2515887728,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Serapias,SPECIES,L.,Pizzo.,NA,IT,NA,4,1939,PRESERVED_SPECIMEN,NA,Botany,WAG.1140502,"Lenander, H s.n.",Lenander H,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,190640,Serapias lingua,Serapias,lingua,L.,Species,Accepted,NA,657644-1,190640,0,2,"c(16.16667, 38.73333)",TRUE
109949,GBIF_13805,Serapias olbia,43.07881,6.12954,2590886262,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Serapias,SPECIES,NA,NA,NA,FR,NA,5,1905,PRESERVED_SPECIMEN,NA,NA,NA,without-number,VERGUIN Louis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,190688,Serapias olbia,Serapias,olbia,Verg.,Species,Accepted,NA,657675-1,190688,5,-1,"c(6.12954, 43.07881)",TRUE
115514,GBIF_19745,Serapias lingua,42.829757,-1.643691,1806129962,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Serapias,SPECIES,L.,"Pamplona <> Iruña; Pamplona <> Iruña, San Pedro",NA,ES,NA,5,1978,PRESERVED_SPECIMEN,PAMP,TRACHEO_PAMPLONA_RM,41799-1,without-number,R. Mayo,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,190640,Serapias lingua,Serapias,lingua,L.,Species,Accepted,NA,657644-1,190640,0,2,"c(-1.643691, 42.829757)",TRUE
119102,GBIF_32539,Serapias lingua,42.6988801,-2.4312265,3829872088,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Serapias,SPECIES,L.,De Maestu a Corres. Maestu,NA,ES,780,6,1999,PRESERVED_SPECIMEN,Universidad del Pais Vasco (UPV/EHU),BIO,36298-1,without-number,A. Darquistade,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,190640,Serapias lingua,Serapias,lingua,L.,Species,Accepted,NA,657644-1,190640,0,2,"c(-2.4312265, 42.6988801)",TRUE
119108,GBIF_32545,Serapias cordigera,43.3388909,-2.8012467,3829873106,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Serapias,SPECIES,L.,Munguía,NA,ES,20,6,1998,PRESERVED_SPECIMEN,Universidad del Pais Vasco (UPV/EHU),BIO,36292-1,without-number,A. Darquistade,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,190566,Serapias cordigera,Serapias,cordigera,L.,Species,Accepted,NA,657590-1,190566,0,2,"c(-2.8012467, 43.3388909)",TRUE
119117,GBIF_32555,Serapias cordigera,43.218891,-2.5312389,3829873960,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Serapias,SPECIES,L.,Del pto. Trabacua a Marquina. Mallabia,NA,ES,100,5,2000,PRESERVED_SPECIMEN,Universidad del Pais Vasco (UPV/EHU),BIO,36294-1,without-number,A. Darquistade,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,190566,Serapias cordigera,Serapias,cordigera,L.,Species,Accepted,NA,657590-1,190566,0,2,"c(-2.5312389, 43.218891)",TRUE
