V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
136527,GBIF_62015,Sertifera purpurea,2.49474,-76.5563,1657211461,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sertifera,SPECIES,Lindl. & Rchb. f.,"Cordillera Central; Ridge upper San Antonio (Río San Martín Valley), 15 km SE of Gutiérrez, 60 km S of Bogotá; Station 50.",NA,CO,2700,8,1944,PRESERVED_SPECIMEN,USF,Herb,25799,9832,M. L. Grant,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,190904,Sertifera purpurea,Sertifera,purpurea,Lindl. & Rchb.f.,Species,Accepted,NA,657753-1,190904,1,14,"c(-76.5563, 2.49474)",TRUE
151984,GBIF_83606,Sertifera parviflora,-0.65,-77.85,2423999443,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sertifera,SPECIES,Schltr.,Km 33 Baeza - Tena road. Coordillera de Huacamayos,NA,EC,NA,5,1986,PRESERVED_SPECIMEN,NY,NY,04139810,61280,P. M. Jørgensen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,190903,Sertifera parviflora,Sertifera,parviflora,Schltr.,Species,Accepted,NA,235026-2,190903,0,7,"c(-77.85, -0.65)",TRUE
173808,GBIF_117037,Sertifera purpurea,0.16666,-78.85,4061312886,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sertifera,SPECIES,(Kraenzl.) Garay,San Luis de la Delicia,NA,EC,2800,12,1986,PRESERVED_SPECIMEN,NY,Tropicos,101767569,9272,Jaime L. Jaramillo,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,190904,Sertifera purpurea,Sertifera,purpurea,Lindl. & Rchb.f.,Species,Accepted,NA,657753-1,190904,15,2,"c(-78.85, 0.16666)",TRUE
174532,GBIF_117836,Sertifera purpurea,0.295,-78.482,1261387705,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sertifera,SPECIES,Lindl. & Rchb. f.,Otavalo-Apuela.,NA,EC,2200,2,1979,PRESERVED_SPECIMEN,SEL,Tropicos,672434,3924,Carl A. Luer;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,190904,Sertifera purpurea,Sertifera,purpurea,Lindl. & Rchb.f.,Species,Accepted,NA,657753-1,190904,1,14,"c(-78.482, 0.295)",TRUE
185490,GBIF_131013,Sertifera purpurea,-3.26,-78.321667,4032096253,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sertifera,SPECIES,(Kraenzl.) Garay,"Región de la Cordillera del Cóndor. Parroquia San Carlos. Warints, comunidad Shuar. Siguiendo la cresta que lleva a la Cordillera del Cóndor. Bosque bajo achaparrado con abundante musgo, suelo de rocas ígneas.",NA,EC,2700,12,2002,PRESERVED_SPECIMEN,MO,Tropicos,102167735,141,Tuntiak Katan;David A. Neill;Grupo Shuar de Conservación,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,190904,Sertifera purpurea,Sertifera,purpurea,Lindl. & Rchb.f.,Species,Accepted,NA,657753-1,190904,15,2,"c(-78.321667, -3.26)",TRUE
192246,GBIF_138284,Sertifera parviflora,-0.65,-77.85,47847097,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sertifera,SPECIES,NA,Km 33 Baeza - Tena road. Coordillera de Huacamayos. Relatively undisturbed cloud forest.,NA,EC,2000,5,1986,PRESERVED_SPECIMEN,AU,AAU,P.M.Jorgensen61280,without-number,P.M. Jorgensen,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,190903,Sertifera parviflora,Sertifera,parviflora,Schltr.,Species,Accepted,NA,235026-2,190903,7,-1,"c(-77.85, -0.65)",TRUE
219562,GBIF_176645,Sertifera purpurea,0.38,-78.45,2423980480,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sertifera,SPECIES,Lindl. & Rchb.f.,"La comunidad Tabla Chupa, NW of the Laguna de Cuicocha, ca. 70 km from Ibarra via la carretera Panamericana.",NA,EC,NA,12,1995,PRESERVED_SPECIMEN,NY,NY,4139813,1753,J. L. Clark,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,190904,Sertifera purpurea,Sertifera,purpurea,Lindl. & Rchb.f.,Species,Accepted,NA,657753-1,190904,0,16,"c(-78.45, 0.38)",TRUE
231408,GBIF_190754,Sertifera purpurea,-0.28333,-78.63333,4031399784,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sertifera,SPECIES,(Kraenzl.) Garay,"Alizal, between San Juan and Chiriboga on old road Quito-Santo Domingo. Mountain rain forest on steep slopes along road.",NA,EC,3125,3,1979,PRESERVED_SPECIMEN,MO,Tropicos,101589415,11227,B. Løjtnant;Ulf Molau,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,190904,Sertifera purpurea,Sertifera,purpurea,Lindl. & Rchb.f.,Species,Accepted,NA,657753-1,190904,15,2,"c(-78.63333, -0.28333)",TRUE
246146,GBIF_210407,Sertifera purpurea,4.950278,-76.295556,1891014094,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sertifera,SPECIES,(Kraenzl.) Garay,Sin Datos.,NA,CO,2100,1,1983,PRESERVED_SPECIMEN,Universidad Nacional de Colombia (UNAL),COL,284974,3780,Santiago Díaz-Piedrahita,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,190904,Sertifera purpurea,Sertifera,purpurea,Lindl. & Rchb.f.,Species,Accepted,NA,657753-1,190904,15,2,"c(-76.295556, 4.950278)",TRUE
246195,GBIF_210458,Sertifera purpurea,1.512778,-78.084444,1844955336,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sertifera,SPECIES,Lindl. & Rchb. f.,Municipio de ALTAQUER. eNTRE jUNIN Y bUENAVISTA,NA,CO,560,11,1967,PRESERVED_SPECIMEN,Universidad Nacional de Colombia (UNAL),COL,113659,4310,Luis Eduardo Mora Osejo,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,190904,Sertifera purpurea,Sertifera,purpurea,Lindl. & Rchb.f.,Species,Accepted,NA,657753-1,190904,1,14,"c(-78.084444, 1.512778)",TRUE
246489,GBIF_210765,Sertifera purpurea,4.95028,-76.29553,1890999082,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sertifera,SPECIES,Lindl. & Rchb. f.,Vía a Alto de Galápagos.,NA,CO,1675,11,1985,PRESERVED_SPECIMEN,Universidad Nacional de Colombia (UNAL),COL,290241,4972,G. Lozano C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,190904,Sertifera purpurea,Sertifera,purpurea,Lindl. & Rchb.f.,Species,Accepted,NA,657753-1,190904,1,14,"c(-76.29553, 4.95028)",TRUE
