V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
130272,GBIF_54968,Sievekingia suavis,10.76666,-83.88333,1258381400,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sievekingia,SPECIES,Rchb. f.,"Reserva Indio-Maíz, Municipio de San Juan del Norte, Cerro El Gigante.",NA,NI,396,7,1996,PRESERVED_SPECIMEN,MO,Tropicos,1167053,4429,R. M. Rueda;I. Coronado G.;N. Tercero,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,192215,Sievekingia suavis,Sievekingia,suavis,Rchb.f.,Species,Accepted,NA,657776-1,192215,1,5,"c(-83.88333, 10.76666)",TRUE
137556,GBIF_63069,Sievekingia rhonhofiae,-1.43349,-80.5314,1657211158,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sievekingia,SPECIES,Mansf.,"Quevedo-Santo Domingo Road, 14.5 km N of Luz de America.",NA,EC,NA,7,1980,PRESERVED_SPECIMEN,USF,Herb,151771,3826,"R. P. Sauleda, M. Ragan, H. Luther, R. Wunderlin, B. Hansen, L. Davenport, J. Wiersema",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,192213,Sievekingia rhonhofiae,Sievekingia,rhonhofiae,Mansf.,Species,Accepted,NA,309293-2,192213,0,6,"c(-80.5314, -1.43349)",TRUE
174571,GBIF_117876,Sievekingia rhonhofiae,-0.5,-79.5,1261393532,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sievekingia,SPECIES,Mansf.,km 7,NA,EC,450,10,1977,PRESERVED_SPECIMEN,SEL,Tropicos,678029,9293,Calaway H. Dodson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,192213,Sievekingia rhonhofiae,Sievekingia,rhonhofiae,Mansf.,Species,Accepted,NA,309293-2,192213,0,6,"c(-79.5, -0.5)",TRUE
185192,GBIF_130688,Sievekingia suavis,13.783333,-84.5,4031633060,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sievekingia,SPECIES,Rchb. f.,"Along new road to Mina Nueva America (leading more or less westward from ca. 14.3 km N of El Empalme on main road to Rosita), ca. 8.6 km from main road.",NA,NI,350,4,1978,PRESERVED_SPECIMEN,MO,Tropicos,101724719,8395,W. D. Stevens,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,192215,Sievekingia suavis,Sievekingia,suavis,Rchb.f.,Species,Accepted,NA,657776-1,192215,1,5,"c(-84.5, 13.783333)",TRUE
186356,GBIF_131967,Sievekingia suavis,13.633333,-85.033333,1258596097,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sievekingia,SPECIES,Rchb. f.,Ca. 1.5 km NE of La Esperanza de Las Quebradas.,NA,NI,325,3,1981,PRESERVED_SPECIMEN,MO,Tropicos,1374551,19305,W. D. Stevens;P. P. Moreno,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,192215,Sievekingia suavis,Sievekingia,suavis,Rchb.f.,Species,Accepted,NA,657776-1,192215,1,5,"c(-85.033333, 13.633333)",TRUE
282492,GBIF_262738,Sievekingia rhonhofiae,-0.16666,-78.71666,1261369064,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sievekingia,SPECIES,Mansf.,km 24,NA,EC,400,5,1989,PRESERVED_SPECIMEN,RPSC,Tropicos,653691,18010,Calaway H. Dodson;Alvin Embree,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,192213,Sievekingia rhonhofiae,Sievekingia,rhonhofiae,Mansf.,Species,Accepted,NA,309293-2,192213,0,6,"c(-78.71666, -0.16666)",TRUE
282825,GBIF_263178,Sievekingia trollii,-14.779167,-68.583889,4062123352,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sievekingia,SPECIES,Mansf.,"Santo Domingo, sector arroyo Tintaya, parcela temporal 10. Bosque de yungas subandino superior pluvial con Dictyocaryum lamarckianum en plano mal drenado.",NA,BO,1410,10,2006,PRESERVED_SPECIMEN,USZ,Tropicos,102307047,11253,Alfredo F. Fuentes;M. Cornejo;E. Ticona;Saul Sompero,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,192216,Sievekingia trollii,Sievekingia,trollii,Mansf.,Species,Accepted,NA,236140-2,192216,0,6,"c(-68.583889, -14.779167)",TRUE
289322,GBIF_286687,Sievekingia suavis,14.033333,-84.566667,1258596083,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sievekingia,SPECIES,Rchb. f.,"Bonanza, from mine Plantel ca. 1 km NE.",NA,NI,300,12,1980,PRESERVED_SPECIMEN,MO,Tropicos,1374547,18742,W. D. Stevens,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,192215,Sievekingia suavis,Sievekingia,suavis,Rchb.f.,Species,Accepted,NA,657776-1,192215,1,5,"c(-84.566667, 14.033333)",TRUE
330585,GBIF_341486,Sievekingia herklotziana,6.7025,-75.49722,1144779485,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sievekingia,SPECIES,NA,"Antioquia - Kolumbien,Antioquia/Departamento de Antioquia",NA,CO,1200,NA,without-year,PRESERVED_SPECIMEN,G,Geneva Herbarium – General Collection (G),G-G-256561/1,without-number,"Waldvogel, E.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,192206,Sievekingia herklotziana,Sievekingia,herklotziana,Jenny,Species,Accepted,NA,929504-1,192206,5,-1,"c(-75.49722, 6.7025)",TRUE
331242,GBIF_342401,Sievekingia cristata,-1.4275,-78.76694,1144779484,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sievekingia,SPECIES,NA,"Equateur - Dept Oriente, ex. cult. R. Jenny",NA,EC,NA,9,1985,PRESERVED_SPECIMEN,G,Geneva Herbarium – General Collection (G),G-G-152008/1,without-number,"Jenny, R.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,192202,Sievekingia cristata,Sievekingia,cristata,Garay,Species,Accepted,NA,320762-2,192202,5,-1,"c(-78.76694, -1.4275)",TRUE
349432,GBIF_370578,Sievekingia trollii,-17.15,-65.816667,1258626187,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sievekingia,SPECIES,Mansf.,"El Palmar, San Rafael, epífita en bosque montano húmedo",NA,BO,NA,7,1993,PRESERVED_SPECIMEN,LPB,Tropicos,1401894,2527,R. Vásquez;Darwin Ric,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,192216,Sievekingia trollii,Sievekingia,trollii,Mansf.,Species,Accepted,NA,236140-2,192216,0,6,"c(-65.816667, -17.15)",TRUE
350264,GBIF_371836,Sievekingia cristata,-3.433333,-78.516667,1261383538,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sievekingia,SPECIES,Dodson,Bomboiza.,NA,EC,800,5,1985,PRESERVED_SPECIMEN,QCNE,Tropicos,668350,6179,Marc A. Baker,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,192202,Sievekingia cristata,Sievekingia,cristata,Garay,Species,Accepted,NA,320762-2,192202,6,-1,"c(-78.516667, -3.433333)",TRUE
354192,GBIF_377428,Sievekingia suavis,10.23,-83.92,1261910518,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sievekingia,SPECIES,Rchb. f.,"Llanura de Santa Clara. Río Frío, bosques residuales en quebradas tributarias del Río San José, cerca de la Finca La Ceiba.",NA,CR,200,5,1995,PRESERVED_SPECIMEN,CR,Tropicos,982220,4121,J. F. Morales;Eduardo Lépiz;Víctor H. Ramírez;Alexander Rojas,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,192215,Sievekingia suavis,Sievekingia,suavis,Rchb.f.,Species,Accepted,NA,657776-1,192215,1,5,"c(-83.92, 10.23)",TRUE
395927,GBIF_439161,Sievekingia suavis,10.235556,-83.923056,1253615838,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sievekingia,SPECIES,Rchb. f.,"Rio Frio, bosques residuales en quebradas tributarias del Rio San Jose, cerca de la Finca La Ceiba.",NA,CR,200,5,1995,PRESERVED_SPECIMEN,INBio,Plantae,1576096,without-number,Juan Francisco Morales Quirós,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,192215,Sievekingia suavis,Sievekingia,suavis,Rchb.f.,Species,Accepted,NA,657776-1,192215,1,5,"c(-83.923056, 10.235556)",TRUE
411765,GBIF_469752,Sievekingia reichenbachiana,0.48,-78.15,1261358531,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sievekingia,SPECIES,F. Lehm. ex Rolfe,Cachaco-Sta. Rosa de Cachaco,NA,EC,1400,12,1990,PRESERVED_SPECIMEN,MO,Tropicos,642402,18657,Calaway H. Dodson;et al.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,192212,Sievekingia reichenbachiana,Sievekingia,reichenbachiana,Rolfe,Species,Accepted,NA,657773-1,192212,12,5,"c(-78.15, 0.48)",TRUE
450040,GBIF_519091,Sievekingia cristata,-3.582778,-78.488889,4464625677,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sievekingia,SPECIES,Dodson Calaway Homer,El Pangui,NA,EC,922,1,2023,PRESERVED_SPECIMEN,LOJA,LOJA-VASCULARES,43373,63,Nadia Micaela Lapo Gonzalez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,192202,Sievekingia cristata,Sievekingia,cristata,Garay,Species,Accepted,NA,320762-2,192202,17,2,"c(-78.488889, -3.582778)",TRUE
489939,GBIF_578918,Sievekingia cristata,-1.57611,-77.94666,4031519784,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sievekingia,SPECIES,Dodson,Comuna San Jacinto de Pindo. Bosque Protector Cotococha a orillas del Rí Puyo. Bosque Siempre Verde Pie MOntano. Bosque maduro con pequeños parches de bosque intervenido,NA,EC,950,9,2001,PRESERVED_SPECIMEN,MO,Tropicos,101952091,560,Diana Fernández,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,192202,Sievekingia cristata,Sievekingia,cristata,Garay,Species,Accepted,NA,320762-2,192202,6,-1,"c(-77.94666, -1.57611)",TRUE
491116,GBIF_580532,Sievekingia fimbriata,8.633333,-80.633333,1257864294,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sievekingia,SPECIES,Rchb. f.,"La Mesa, 4 km N of El Valle.",NA,PA,875,2,1974,PRESERVED_SPECIMEN,MO,Tropicos,100518492,9614,Michael H. Nee;Mason Hale,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,192205,Sievekingia fimbriata,Sievekingia,fimbriata,Rchb.f.,Species,Accepted,NA,236135-2,192205,1,5,"c(-80.633333, 8.633333)",TRUE
