V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
113881,GBIF_18074,Skeptrostachys congestiflora,-15.916667,-47.911944,4427188065,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Skeptrostachys,SPECIES,(Cogn.) Garay,Jardim Botânico de Brasília Viveiro BAG ORQ 1911,NA,BR,0,11,2006,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00027902,3220.1,"Salles, AEH",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,192555,Skeptrostachys congestiflora,Skeptrostachys,congestiflora,(Cogn.) Garay,Species,Accepted,NA,911468-1,192555,0,13,"c(-47.911944, -15.916667)",TRUE
113890,GBIF_18083,Skeptrostachys congestiflora,-19.229167,-44.34,4427188292,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Skeptrostachys,SPECIES,(Cogn.) Garay,Serra do Cipó,NA,BR,460.5,11,2004,PRESERVED_SPECIMEN,HEPH,HEPH,HEPH00027872,3220,"Salles, AEH",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,192555,Skeptrostachys congestiflora,Skeptrostachys,congestiflora,(Cogn.) Garay,Species,Accepted,NA,911468-1,192555,0,13,"c(-44.34, -19.229167)",TRUE
114198,GBIF_18395,Skeptrostachys congestiflora,-13.23,-41.9,1930639200,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Skeptrostachys,SPECIES,(Cogn.) Garay,Ladeira rochosa entre Pedra Grande e Ouro Fino.,NA,BR,NA,2,1992,PRESERVED_SPECIMEN,NY,NY,822531,51086,R. M. Harley,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,192555,Skeptrostachys congestiflora,Skeptrostachys,congestiflora,(Cogn.) Garay,Species,Accepted,NA,911468-1,192555,0,13,"c(-41.9, -13.23)",TRUE
115511,GBIF_19741,Skeptrostachys gigantea,-15.73,-48.12,1930937974,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Skeptrostachys,SPECIES,(Cogn.) Garay,Between Taguatinga and Brazlândia,NA,BR,1100,2,1966,PRESERVED_SPECIMEN,NY,NY,910902,13114,H. S. Irwin,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,192558,Skeptrostachys gigantea,Skeptrostachys,gigantea,(Cogn.) Garay,Species,Accepted,NA,911470-1,192558,0,13,"c(-48.12, -15.73)",TRUE
137178,GBIF_62680,Skeptrostachys arechavaletanii,-33.9555,-56.5867,1657211431,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Skeptrostachys,SPECIES,(Barb. Rodr.) Garay,Cerro de Tres Cruces.,NA,UY,NA,2,1904,PRESERVED_SPECIMEN,USF,Herb,25648,5747,M. B. Berro,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,192552,Skeptrostachys arechavaletanii,Skeptrostachys,arechavaletanii,(Barb.Rodr.) Garay,Species,Accepted,NA,237359-2,192552,1,12,"c(-56.5867, -33.9555)",TRUE
137430,GBIF_62941,Skeptrostachys rupestris,-27.1833,-53.7333,1657211446,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Skeptrostachys,SPECIES,(Lindl.) Garay,Dutra Departemento; Porto Alegre.,NA,BR,NA,4,1933,PRESERVED_SPECIMEN,USF,Herb,25691,574,P. C. Orth,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,192563,Skeptrostachys rupestris,Skeptrostachys,rupestris,(Lindl.) Garay,Species,Accepted,NA,911475-1,192563,0,14,"c(-53.7333, -27.1833)",TRUE
138166,GBIF_63701,Skeptrostachys rupestris,-29.4667,-50.75,1657211454,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Skeptrostachys,SPECIES,(Lindl.) Garay,Pr. Canela.,NA,BR,900,3,1954,PRESERVED_SPECIMEN,USF,Herb,25692,2356,E. Richter,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,192563,Skeptrostachys rupestris,Skeptrostachys,rupestris,(Lindl.) Garay,Species,Accepted,NA,911475-1,192563,0,14,"c(-50.75, -29.4667)",TRUE
138722,GBIF_64279,Skeptrostachys disoides,-18.2833,-43.6167,1657211442,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Skeptrostachys,SPECIES,(Kränzl.) Garay,Pr. Diamantina.,NA,BR,NA,6,1955,PRESERVED_SPECIMEN,USF,Herb,25673,2729,Edmundo Pereira,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,192557,Skeptrostachys disoides,Skeptrostachys,disoides,(Kraenzl.) Garay,Species,Accepted,NA,911469-1,192557,2,11,"c(-43.6167, -18.2833)",TRUE
138989,GBIF_64561,Skeptrostachys arechavaletanii,-29.4667,-50.75,1657211432,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Skeptrostachys,SPECIES,(Barb. Rodr.) Garay,"Passo do Infermo, 22 km ab Canela.",NA,BR,700,2,1952,PRESERVED_SPECIMEN,USF,Herb,25649,1352,Pabst,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,192552,Skeptrostachys arechavaletanii,Skeptrostachys,arechavaletanii,(Barb.Rodr.) Garay,Species,Accepted,NA,237359-2,192552,1,12,"c(-50.75, -29.4667)",TRUE
140732,GBIF_66470,Skeptrostachys paraguayensis,-24.26,-49.71,1096681105,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Skeptrostachys,SPECIES,(Rchb. f.) Garay,Plantae Brasilienses. Paraná: Jaguariahyva.,NA,BR,NA,11,1914,PRESERVED_SPECIMEN,S,VascularPlants,S09-16747,15903,P. Dusén,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,192561,Skeptrostachys paraguayensis,Skeptrostachys,paraguayensis,(Rchb.f.) Garay,Species,Accepted,NA,911473-1,192561,1,9,"c(-49.71, -24.26)",TRUE
