V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
108000,GBIF_11252,Smitinandia helferi,9.83333,98.75,2513309565,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Smitinandia,SPECIES,(Hook.f.) Garay,"Peninsular Thailand, province Ranong, Khlong Nang You.",NA,TH,NA,6,1974,PRESERVED_SPECIMEN,NA,Botany,L  0801562,"Geesink, R; Hattink, TA; Charoenphol, C 7473",Geesink R; Hattink TA; Charoenphol C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,192590,Smitinandia helferi,Smitinandia,helferi,(Hook.f.) Garay,Species,Accepted,NA,657832-1,192590,0,15,"c(98.75, 9.83333)",TRUE
132695,GBIF_57749,Smitinandia micrantha,13.95924,105.91885,2513827187,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Smitinandia,SPECIES,(Lindl.) Holttum,"Laos, Province: Champasak, District: Khong, Khon Island, west side, along a small stream/channel near Sompamit Falls; Mekong River.",NA,LA,NA,4,1998,PRESERVED_SPECIMEN,NA,Botany,L.1528825,"Maxwell, JF 98- 496",Maxwell JF,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,192592,Smitinandia micrantha,Smitinandia,micrantha,(Lindl.) Holttum,Species,Accepted,NA,657834-1,192592,0,16,"c(105.91885, 13.95924)",TRUE
133781,GBIF_58958,Smitinandia helferi,12.10235,102.7024,2513829515,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Smitinandia,SPECIES,(Hook.f.) Garay,"Thailand, Southeastern, Trat: near Ban Saphan Hin, ca. 60 km SE from Trat..",NA,TH,NA,8,1973,PRESERVED_SPECIMEN,NA,Botany,L.1528821,"Murata, G; Fukuoka, N; Phengklai, C T- 17608",Murata G; Fukuoka N; Phengklai C,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,192590,Smitinandia helferi,Smitinandia,helferi,(Hook.f.) Garay,Species,Accepted,NA,657832-1,192590,0,15,"c(102.7024, 12.10235)",TRUE
135315,GBIF_60670,Smitinandia helferi,9.28333,98.43333,2513825284,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Smitinandia,SPECIES,(Hook.f.) Garay,"Thailand, Peninsular: Foothill of Khao Phra Mi.",NA,TH,NA,7,1972,PRESERVED_SPECIMEN,NA,Botany,L.1528820,"Larsen, K; Larsen, SS; Nielsen, IC; Santisuk, T 30625",Larsen K; Larsen SS; Nielsen IC; Santisuk T,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,192590,Smitinandia helferi,Smitinandia,helferi,(Hook.f.) Garay,Species,Accepted,NA,657832-1,192590,0,15,"c(98.43333, 9.28333)",TRUE
264097,GBIF_231389,Smitinandia helferi,9.283333,98.433333,3946784703,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Smitinandia,SPECIES,(Hook. f.) Garay,Foothill of Khao Phra Mi.,NA,TH,50,7,1972,PRESERVED_SPECIMEN,AAU,Tropicos,101319035,30625,Kai Larsen;Supee S. Larsen;I.C. Nielsen;Thawatchai Santisuk,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,192590,Smitinandia helferi,Smitinandia,helferi,(Hook.f.) Garay,Species,Accepted,NA,657832-1,192590,1,9,"c(98.433333, 9.283333)",TRUE
274204,GBIF_251552,Smitinandia micrantha,15.1,98.46667,2513826040,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Smitinandia,SPECIES,(Lindl.) Holttum,"Siam, Kwae Noi Basin, near Neeckey (n. Wangka).",NA,TH,NA,4,1946,PRESERVED_SPECIMEN,NA,Botany,L.1528829,"Bloembergen, S Khwae Noi 16",Bloembergen S,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,192592,Smitinandia micrantha,Smitinandia,micrantha,(Lindl.) Holttum,Species,Accepted,NA,657834-1,192592,0,16,"c(98.46667, 15.1)",TRUE
310859,GBIF_312537,Smitinandia micrantha,27.5544,88.4517,1057097063,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Smitinandia,SPECIES,(Lindl.) Holttum,NA,NA,IN,NA,5,1891,PRESERVED_SPECIMEN,NHMUK,BOT,BM000539319,78,R Pantling,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,192592,Smitinandia micrantha,Smitinandia,micrantha,(Lindl.) Holttum,Species,Accepted,NA,657834-1,192592,0,16,"c(88.4517, 27.5544)",TRUE
374372,GBIF_410237,Smitinandia helferi,9.28333,98.43333,438278164,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Smitinandia,SPECIES,(Hook.f.) Garay,NA,NA,TH,50,7,1972,PRESERVED_SPECIMEN,MNHN,P,P00389969,without-number,"Larsen, K.;Larsen, S.S.;Nielsen, I.;Santisuk, T.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,192590,Smitinandia helferi,Smitinandia,helferi,(Hook.f.) Garay,Species,Accepted,NA,657832-1,192590,0,15,"c(98.43333, 9.28333)",TRUE
533345,GBIF_646076,Smitinandia micrantha,15.3,98.36667,2513824763,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Smitinandia,SPECIES,(Lindl.) Holttum,"Siam, Kwae Noi Basin, Tripagodas (Birmese border).",NA,TH,NA,5,1946,PRESERVED_SPECIMEN,NA,Botany,L.1528830,"Bloembergen, S Khwae Noi 537",Bloembergen S,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,192592,Smitinandia micrantha,Smitinandia,micrantha,(Lindl.) Holttum,Species,Accepted,NA,657834-1,192592,0,16,"c(98.36667, 15.3)",TRUE
538790,GBIF_655221,Smitinandia micrantha,12.8575,107.697778,1257552560,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Smitinandia,SPECIES,(Lindl.) Holttum,"Buon Don Distr., Krong Na municipality, Yok Don National Park.",NA,VN,200,3,2008,PRESERVED_SPECIMEN,MO,Tropicos,100199364,HLF7339a,T.H. Nguyên;L. V. Averyanov;P.K. Lôc;N.T. Vinh;N.S. Khang;T.H. Thai;N.V. Trai,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,192592,Smitinandia micrantha,Smitinandia,micrantha,(Lindl.) Holttum,Species,Accepted,NA,657834-1,192592,0,16,"c(107.697778, 12.8575)",TRUE
