V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
185669,GBIF_131225,Solenocentrum oblongum,-13.021667,-72.820278,4031827081,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Solenocentrum,SPECIES,Damián & Mitidieri,"Distrito Vilcabamba, Oyara, Sarahuasi. Bosque primario húmedo.",NA,PE,2200,2,2007,PRESERVED_SPECIMEN,MO,Tropicos,102448706,8947,Luis Valenzuela G.;E. Suclli;Gloria Calatayud;Isau Huamantupa;N. Suárez;F. Zamora,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,549080,Solenocentrum oblongum,Solenocentrum,oblongum,Damian & Mitidieri,Species,Accepted,NA,77219126-1,549080,1,13,"c(-72.820278, -13.021667)",TRUE
187106,GBIF_132743,Solenocentrum maasii,8.93,-82.83,1258323617,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Solenocentrum,SPECIES,Dressler,Las Alturas and vicinity forest.,NA,CR,1800,8,1974,PRESERVED_SPECIMEN,MO,Tropicos,1112641,1479,Paul J. M. Maas;Bruce W. McAlpin,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,192852,Solenocentrum maasii,Solenocentrum,maasii,Dressler,Species,Accepted,NA,315772-2,192852,0,8,"c(-82.83, 8.93)",TRUE
282874,GBIF_263233,Solenocentrum maasii,9.42,-83.58,1258592728,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Solenocentrum,SPECIES,Dressler,"Parque Nacional Chirripó, Cuenca Térraba-Sierpe, Sendero a Chucuyo, colectado en charral y bosque",NA,CR,1650,9,1997,PRESERVED_SPECIMEN,CR,Tropicos,1371557,1452,Evelio Alfaro;Billen Gamboa R.;Marianela Segura;Annia Picado,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,192852,Solenocentrum maasii,Solenocentrum,maasii,Dressler,Species,Accepted,NA,315772-2,192852,0,8,"c(-83.58, 9.42)",TRUE
289789,GBIF_287181,Solenocentrum costaricense,9.016667,-82.866667,1261354872,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Solenocentrum,SPECIES,Schltr.,"Cordillera de Talamanca, forested slopes along the Río Burú, upper slopes of Cerro Burú.",NA,CR,1900,8,1983,PRESERVED_SPECIMEN,MO,Tropicos,638492,23757,Gerrit Davidse;Luis Diego Gómez P.;Alfredo Grijalva P.;Isidro A. Chacón G.;Rafael Chacón;Gerardo Herrera Ch.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,192850,Solenocentrum costaricense,Solenocentrum,costaricense,Schltr.,Species,Accepted,NA,240059-2,192850,0,7,"c(-82.866667, 9.016667)",TRUE
290681,GBIF_288124,Solenocentrum maasii,8.95111,-82.83527,1260557448,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Solenocentrum,SPECIES,Dressler,"No protegida. Cuenca Térraba-Sierpe. Zona Protectora Las Tablas, Est Las Alturas, colectando a orillas de la estacion.",NA,CR,1550,8,1999,PRESERVED_SPECIMEN,MO,Tropicos,3168328,2477,Evelio Alfaro,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,192852,Solenocentrum maasii,Solenocentrum,maasii,Dressler,Species,Accepted,NA,315772-2,192852,0,8,"c(-82.83527, 8.95111)",TRUE
364408,GBIF_394273,Solenocentrum costaricense,10.3,-84.8,1261366777,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Solenocentrum,SPECIES,Schltr.,"Monteverde Cloud Forest Reserve. Pacific slope, lower montane wet forest.",NA,CR,1500,11,1986,PRESERVED_SPECIMEN,MO,Tropicos,651300,6210,William A. Haber;Erick Bello C.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,192850,Solenocentrum costaricense,Solenocentrum,costaricense,Schltr.,Species,Accepted,NA,240059-2,192850,0,7,"c(-84.8, 10.3)",TRUE
365747,GBIF_395875,Solenocentrum costaricense,8.916667,-82.716667,1261389544,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Solenocentrum,SPECIES,Schltr.,"Cerro Pando, on the continental divide and the Panama-Costa Rica border, ca. 16 km NW of El Hato del Volcán. [some labels elevation as 2000-2082 m]",NA,PA,2241,7,1975,PRESERVED_SPECIMEN,MO,Tropicos,674476,7277,Scott A. Mori;A. Bolten,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,192850,Solenocentrum costaricense,Solenocentrum,costaricense,Schltr.,Species,Accepted,NA,240059-2,192850,0,7,"c(-82.716667, 8.916667)",TRUE
396135,GBIF_439403,Solenocentrum costaricense,10.316667,-84.8,1253688412,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Solenocentrum,SPECIES,Schltr.,"Sendero pantanoso, swamp forest on continental divide.",NA,CR,1600,10,1989,PRESERVED_SPECIMEN,INBio,Plantae,2917843,without-number,William Haber,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,192850,Solenocentrum costaricense,Solenocentrum,costaricense,Schltr.,Species,Accepted,NA,240059-2,192850,0,7,"c(-84.8, 10.316667)",TRUE
396256,GBIF_439567,Solenocentrum costaricense,10.1625,-83.941667,1253817122,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Solenocentrum,SPECIES,Schltr.,Sendero Los Guarumos.,NA,CR,450,8,2003,PRESERVED_SPECIMEN,INBio,Plantae,4008570,without-number,Juan Francisco Morales Quirós,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,192850,Solenocentrum costaricense,Solenocentrum,costaricense,Schltr.,Species,Accepted,NA,240059-2,192850,0,7,"c(-83.941667, 10.1625)",TRUE
396648,GBIF_440040,Solenocentrum costaricense,10.3,-84.800008,1253649333,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Solenocentrum,SPECIES,Schltr.,"Monteverde, Pacific slope and continental divide, lower montane wet forest and rain forest.",NA,CR,1600,10,1997,PRESERVED_SPECIMEN,INBio,Plantae,2822138,without-number,Armando Soto,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,192850,Solenocentrum costaricense,Solenocentrum,costaricense,Schltr.,Species,Accepted,NA,240059-2,192850,0,7,"c(-84.800008, 10.3)",TRUE
