V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
290161,GBIF_287574,Soterosanthus shepheardii,3.35222,-71.39972,1261382508,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Soterosanthus,SPECIES,(Rolfe) Jenny,MANGROVES: Mouth of Río Naya to mouth of Río Yurumangui.,NA,CO,NA,2,1983,PRESERVED_SPECIMEN,MO,Tropicos,667346,40725,Alwyn H. Gentry;Adrian Juncosa,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,193094,Soterosanthus shepheardii,Soterosanthus,shepheardii,(Rolfe) Jenny,Species,Accepted,NA,942523-1,193094,0,13,"c(-71.39972, 3.35222)",TRUE
587055,GBIF_731953,Soterosanthus shepheardii,1.083611,-78.645833,1258727606,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Soterosanthus,SPECIES,(Rolfe) Jenny,"Along road between Lita and San Lorenzo, along side road west to Río San José and Río Tulubí, departing main road 33.4 Km S of Gasolinera San Lorenzo; 0.7 Km W of main highway west of Río San José, E of Río Tulubí.",NA,EC,79,7,2000,PRESERVED_SPECIMEN,MO,Tropicos,1503113,84119,Thomas B. Croat,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,193094,Soterosanthus shepheardii,Soterosanthus,shepheardii,(Rolfe) Jenny,Species,Accepted,NA,942523-1,193094,0,13,"c(-78.645833, 1.083611)",TRUE
627683,GBIF_790266,Soterosanthus shepheardii,8.636921,-77.38247,4095916933,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Soterosanthus,SPECIES,(Rolfe) Jenny,N de la costa Pacifica,NA,CO,400,NA,without-year,PRESERVED_SPECIMEN,Universidad Nacional de Colombia (UNAL),COL,520172,201,Guillermo Misas Urreta,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,193094,Soterosanthus shepheardii,Soterosanthus,shepheardii,(Rolfe) Jenny,Species,Accepted,NA,942523-1,193094,0,13,"c(-77.38247, 8.636921)",TRUE
635339,GBIF_802178,Soterosanthus shepheardii,6.223723,-77.403079,2813162804,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Soterosanthus,SPECIES,NA,NA,NA,CO,NA,7,1979,PRESERVED_SPECIMEN,Pontificia Universidad Javeriana (PUJ),HPUJ,HPUJ:9277,968,Ortíz-Valdivieso P (SJ),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,193094,Soterosanthus shepheardii,Soterosanthus,shepheardii,(Rolfe) Jenny,Species,Accepted,NA,942523-1,193094,13,-1,"c(-77.403079, 6.223723)",TRUE
635995,GBIF_802927,Soterosanthus shepheardii,6.330331,-77.361571,2813173494,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Soterosanthus,SPECIES,NA,Serranía del Baudó,NA,CO,NA,7,1988,PRESERVED_SPECIMEN,Pontificia Universidad Javeriana (PUJ),HPUJ,HPUJ:22582,201b,Misas-Urreta G,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,193094,Soterosanthus shepheardii,Soterosanthus,shepheardii,(Rolfe) Jenny,Species,Accepted,NA,942523-1,193094,13,-1,"c(-77.361571, 6.330331)",TRUE
635996,GBIF_802928,Soterosanthus shepheardii,6.330331,-77.361571,2813173495,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Soterosanthus,SPECIES,NA,Serranía del Baudó,NA,CO,NA,7,1988,PRESERVED_SPECIMEN,Pontificia Universidad Javeriana (PUJ),HPUJ,HPUJ:22581,201c,Misas-Urreta G,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,193094,Soterosanthus shepheardii,Soterosanthus,shepheardii,(Rolfe) Jenny,Species,Accepted,NA,942523-1,193094,13,-1,"c(-77.361571, 6.330331)",TRUE
636002,GBIF_802934,Soterosanthus shepheardii,6.444318,-77.330009,2813173503,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Soterosanthus,SPECIES,NA,Serranía del Baudó,NA,CO,NA,7,1988,PRESERVED_SPECIMEN,Pontificia Universidad Javeriana (PUJ),HPUJ,HPUJ:22585,201e,Misas-Urreta G,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,193094,Soterosanthus shepheardii,Soterosanthus,shepheardii,(Rolfe) Jenny,Species,Accepted,NA,942523-1,193094,13,-1,"c(-77.330009, 6.444318)",TRUE
636003,GBIF_802935,Soterosanthus shepheardii,6.444318,-77.330009,2813173504,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Soterosanthus,SPECIES,NA,Serranía del Baudó,NA,CO,NA,7,1988,PRESERVED_SPECIMEN,Pontificia Universidad Javeriana (PUJ),HPUJ,HPUJ:22584,201d,Misas-Urreta G,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,193094,Soterosanthus shepheardii,Soterosanthus,shepheardii,(Rolfe) Jenny,Species,Accepted,NA,942523-1,193094,13,-1,"c(-77.330009, 6.444318)",TRUE
636004,GBIF_802936,Soterosanthus shepheardii,6.330331,-77.361571,2813173506,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Soterosanthus,SPECIES,NA,Serranía del Baudó,NA,CO,NA,12,1990,PRESERVED_SPECIMEN,Pontificia Universidad Javeriana (PUJ),HPUJ,HPUJ:22583,201a,Misas-Urreta G,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,193094,Soterosanthus shepheardii,Soterosanthus,shepheardii,(Rolfe) Jenny,Species,Accepted,NA,942523-1,193094,13,-1,"c(-77.361571, 6.330331)",TRUE
636869,GBIF_803861,Soterosanthus shepheardii,6.330331,-77.361571,2813176437,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Soterosanthus,SPECIES,NA,Serranía del Baudó,NA,CO,NA,12,1990,PRESERVED_SPECIMEN,Pontificia Universidad Javeriana (PUJ),HPUJ,HPUJ:24924,201,Misas-Urreta G,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,193094,Soterosanthus shepheardii,Soterosanthus,shepheardii,(Rolfe) Jenny,Species,Accepted,NA,942523-1,193094,13,-1,"c(-77.361571, 6.330331)",TRUE
