V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
103915,GBIF_92,Specklinia macayensis,18.32,-74.02,3348292555,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Specklinia,SPECIES,NA,NA,NA,HT,NA,5,2016,PRESERVED_SPECIMEN,NA,NA,Doucette336,without-number,A. Doucette,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,522259,Specklinia macayensis,Specklinia,macayensis,A.Doucette,Species,Accepted,NA,77158432-1,522259,10,1,"c(-74.02, 18.32)",TRUE
111212,GBIF_15217,Specklinia grobyi,-20.516111,-41.083611,4526415560,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Specklinia,SPECIES,Angiospermas,Trilha para as piscinas. Floresta Ombrófila Densa Altomontana com inselbergues. Parque Estadual do Forno Grande,NA,BR,NA,2,2008,PRESERVED_SPECIMEN,NA,Rio de Janeiro Botanical Garden Herbarium,RB00521406,1812,"C.N. Fraga;R. C. Forzza,A.P. Fontana, P.H. Labiak, L. Kollmann",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,193332,Specklinia grobyi,Specklinia,grobyi,(Bateman ex Lindl.) F.Barros,Species,Accepted,NA,1069121-2,193332,24,1,"c(-41.083611, -20.516111)",TRUE
111446,GBIF_15465,Specklinia grobyi,-20.187222,-40.306944,4526434418,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Specklinia,SPECIES,Angiospermas,Vertente sudeste. Acesso pelo Bairro Jardim Tropical (Trilha de FURNAS). APA Mestre Álvaro,NA,BR,NA,9,2010,PRESERVED_SPECIMEN,NA,VIES,VIES023977,76,"Cribari, R.S. & Assis, A.M.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,193332,Specklinia grobyi,Specklinia,grobyi,(Bateman ex Lindl.) F.Barros,Species,Accepted,NA,1069121-2,193332,24,1,"c(-40.306944, -20.187222)",TRUE
111825,GBIF_15850,Specklinia tribuloides,21.8451,-79.5772,473281399,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Specklinia,SPECIES,(Swartz) Lindley,Lomas de Banao,NA,CU,NA,8,1918,PRESERVED_SPECIMEN,UdeM,MT,MT00115893,8066,"León, Hno",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,266604,Specklinia tribuloides,Specklinia,tribuloides,(Sw.) Pridgeon & M.W.Chase,Species,Accepted,NA,1177587-2,266604,21,3,"c(-79.5772, 21.8451)",TRUE
112216,GBIF_16253,Specklinia corniculata,20.35,-75.05,473281384,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Specklinia,SPECIES,(Swartz) Steudel,La Prenda,NA,CU,NA,6,1919,PRESERVED_SPECIMEN,UdeM,MT,MT00115888,2583,"Hioram-Jean, Fr.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,193322,Specklinia corniculata,Specklinia,corniculata,(Sw.) Mutel,Species,Accepted,NA,60466344-2,193322,8,3,"c(-75.05, 20.35)",TRUE
112760,GBIF_16841,Specklinia tribuloides,21.8451,-79.5772,473281396,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Specklinia,SPECIES,(Swartz) Lindley,Lomas de Banao,NA,CU,NA,8,1913,PRESERVED_SPECIMEN,UdeM,MT,MT00115892,4063,"León, Hno; Clément José, Fr.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,266604,Specklinia tribuloides,Specklinia,tribuloides,(Sw.) Pridgeon & M.W.Chase,Species,Accepted,NA,1177587-2,266604,21,3,"c(-79.5772, 21.8451)",TRUE
113100,GBIF_17229,Specklinia grisebachiana,21.9667,-80.15,473281391,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Specklinia,SPECIES,(Cogniaux) Luer,"Buenos Aires, près de Finca Gaviñas",NA,CU,NA,8,1941,PRESERVED_SPECIMEN,UdeM,MT,MT00115890,6518,"Howard, Richard A.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,266371,Specklinia grisebachiana,Specklinia,grisebachiana,(Cogn.) Luer,Species,Accepted,NA,60436981-2,266371,4,6,"c(-80.15, 21.9667)",TRUE
113291,GBIF_17443,Specklinia corniculata,22.75,-83.1833,473281377,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Specklinia,SPECIES,(Swartz) Steudel,"Rangel, Fuente del Azufre",NA,CU,NA,4,1946,PRESERVED_SPECIMEN,UdeM,MT,MT00115887,489,"Liogier, H. Alain",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,193322,Specklinia corniculata,Specklinia,corniculata,(Sw.) Mutel,Species,Accepted,NA,60466344-2,193322,8,3,"c(-83.1833, 22.75)",TRUE
113687,GBIF_17878,Specklinia picta,-10,-69,2397859210,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Specklinia,SPECIES,(Lindl.) Pridgeon & M.W.Chase,NA,NA,BR,NA,10,1993,PRESERVED_SPECIMEN,UFAC,UFACPZ,6539,7915,"Daly, DC",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,266506,Specklinia picta,Specklinia,picta,(Lindl.) Pridgeon & M.W.Chase,Species,Accepted,NA,1058952-2,266506,0,29,"c(-69, -10)",TRUE
114361,GBIF_18559,Specklinia tribuloides,18.19189,-77.940775,1928232974,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Specklinia,SPECIES,(Sw.) Pridgeon & M.W.Chase,Newmarket to Darliston.,NA,JM,NA,9,1907,PRESERVED_SPECIMEN,NY,NY,59691,1430,N. L. Britton,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,266604,Specklinia tribuloides,Specklinia,tribuloides,(Sw.) Pridgeon & M.W.Chase,Species,Accepted,NA,1177587-2,266604,0,26,"c(-77.940775, 18.19189)",TRUE
