V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
134163,GBIF_59391,Sphyrarhynchus schliebenii,-3.23333,36.75,2515627813,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sphyrarhynchus,SPECIES,Mansf.,Mt. Meru.,NA,TZ,NA,8,1986,PRESERVED_SPECIMEN,NA,Botany,WAG.1140673,"Laan, FM van der; Wubben, JM 1162",Laan FM van der; Wubben JM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,194111,Sphyrarhynchus schliebenii,Sphyrarhynchus,schliebenii,Mansf.,Species,Accepted,NA,658120-1,194111,0,6,"c(36.75, -3.23333)",TRUE
238233,GBIF_198419,Sphyrarhynchus brevilobus,-3.766667,36.4,912274733,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sphyrarhynchus,SPECIES,Summerh.,SE ridge,NA,TZ,1676,NA,without-year,PRESERVED_SPECIMEN,K,Herbarium,K000317000,593,"Moreau, W.M.; Elliott, H.F.I.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,531598,Sphyrarhynchus brevilobus,Sphyrarhynchus,brevilobus,(Summerh.) Bytebier,Species,Accepted,NA,77177793-1,531598,11,8,"c(36.4, -3.766667)",TRUE
263836,GBIF_231108,Sphyrarhynchus schliebenii,-5.1,38.633333,2268841217,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sphyrarhynchus,SPECIES,Mansf.,Amani.,NA,TZ,915,11,1952,PRESERVED_SPECIMEN,K,Tropicos,100940696,6658,P.J. Greenway,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,194111,Sphyrarhynchus schliebenii,Sphyrarhynchus,schliebenii,Mansf.,Species,Accepted,NA,658120-1,194111,0,6,"c(38.633333, -5.1)",TRUE
266476,GBIF_234594,Sphyrarhynchus schliebenii,-6.883333,37.683333,4061228780,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sphyrarhynchus,SPECIES,Mansf.,"Uluguru-Gebirge, Nordwestseite.",NA,TZ,1100,10,1932,PRESERVED_SPECIMEN,P,Tropicos,102975504,2892,H.J. Schlieben,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,194111,Sphyrarhynchus schliebenii,Sphyrarhynchus,schliebenii,Mansf.,Species,Accepted,NA,658120-1,194111,0,6,"c(37.683333, -6.883333)",TRUE
274566,GBIF_251992,Sphyrarhynchus brevilobus,-1.4,36.633333,912274803,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sphyrarhynchus,SPECIES,Summerh.,NA,NA,KE,1966,1,1985,PRESERVED_SPECIMEN,K,Herbarium,K000316997,120,"Khayota, B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,531598,Sphyrarhynchus brevilobus,Sphyrarhynchus,brevilobus,(Summerh.) Bytebier,Species,Accepted,NA,77177793-1,531598,11,8,"c(36.633333, -1.4)",TRUE
274613,GBIF_252043,Sphyrarhynchus brevilobus,-0.166667,35.6,912274779,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sphyrarhynchus,SPECIES,Summerh.,NA,NA,KE,2332,7,1957,PRESERVED_SPECIMEN,K,Herbarium,K000316999,9,"Smart, J.B.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,531598,Sphyrarhynchus brevilobus,Sphyrarhynchus,brevilobus,(Summerh.) Bytebier,Species,Accepted,NA,77177793-1,531598,11,8,"c(35.6, -0.166667)",TRUE
274647,GBIF_252081,Sphyrarhynchus schliebenii,-5.1,38.633333,912326659,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sphyrarhynchus,SPECIES,Mansf.,NA,NA,TZ,914,11,1952,PRESERVED_SPECIMEN,K,Herbarium,K000390258,6658,"Greenway, P.J.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,194111,Sphyrarhynchus schliebenii,Sphyrarhynchus,schliebenii,Mansf.,Species,Accepted,NA,658120-1,194111,0,6,"c(38.633333, -5.1)",TRUE
303438,GBIF_302301,Sphyrarhynchus brevilobus,-3.283333,37.516667,912274782,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sphyrarhynchus,SPECIES,Summerh.,NA,NA,TZ,1371,2,1941,PRESERVED_SPECIMEN,K,Herbarium,K000317001,107,"Moreau, W.M.; Moreau",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,531598,Sphyrarhynchus brevilobus,Sphyrarhynchus,brevilobus,(Summerh.) Bytebier,Species,Accepted,NA,77177793-1,531598,11,8,"c(37.516667, -3.283333)",TRUE
304961,GBIF_304064,Sphyrarhynchus brevilobus,-4.216667,35.75,912274787,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sphyrarhynchus,SPECIES,Summerh.,S of; Pienaar S Heights,NA,TZ,1700,10,1987,PRESERVED_SPECIMEN,K,Herbarium,K000317007,87217,"Pocs, T.",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,531598,Sphyrarhynchus brevilobus,Sphyrarhynchus,brevilobus,(Summerh.) Bytebier,Species,Accepted,NA,77177793-1,531598,11,8,"c(35.75, -4.216667)",TRUE
304962,GBIF_304065,Sphyrarhynchus brevilobus,-3.166667,35.583333,912274774,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Sphyrarhynchus,SPECIES,Summerh.,N. Highland Forest Reserve above Gibbs Farm,NA,TZ,1829,5,1983,PRESERVED_SPECIMEN,K,Herbarium,K000317012,2414,Rodgers; Chuwa,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,531598,Sphyrarhynchus brevilobus,Sphyrarhynchus,brevilobus,(Summerh.) Bytebier,Species,Accepted,NA,77177793-1,531598,11,8,"c(35.583333, -3.166667)",TRUE
