V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
191648,GBIF_137549,Stenia pallida,-0.55,-75.216,47851216,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenia,SPECIES,NA,Río Lagarto Cocha. Near Redondo Cocha. Terra firme. Primary rain forest.,NA,EC,190,6,1983,PRESERVED_SPECIMEN,AU,AAU,J.E.Lawesson44438,without-number,J.E. Lawesson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,197053,Stenia pallida,Stenia,pallida,Lindl.,Species,Accepted,NA,659231-1,197053,6,-1,"c(-75.216, -0.55)",TRUE
264699,GBIF_232392,Stenia calceolaris,-4.42,-79.157,1261372439,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenia,SPECIES,(Garay) Dodson & D.E. Benn.,Valladolid-Yangana.,NA,EC,2000,5,1981,PRESERVED_SPECIMEN,SEL,Tropicos,657224,66,D. D'Alessandro,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,197042,Stenia calceolaris,Stenia,calceolaris,(Garay) Dodson & D.E.Benn.,Species,Accepted,NA,947493-1,197042,1,21,"c(-79.157, -4.42)",TRUE
266782,GBIF_234991,Stenia falcata,-3.811,-78.607,4061596258,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenia,SPECIES,Ackerman,Zamora-Gualaquiza. Cord. Condor,NA,EC,1100,7,1960,PRESERVED_SPECIMEN,NA,Tropicos,662254,141,Calaway H. Dodson,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,338962,Stenia falcata,Stenia,falcata,(Ackerman) Dressler,Species,Accepted,NA,60440444-2,338962,11,8,"c(-78.607, -3.811)",TRUE
283030,GBIF_263446,Stenia nataliana,-15.212222,-68.842222,4061787013,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenia,SPECIES,"R. Vásquez, Nowicki & Müller, R.","Entre Charazani y Camata, a orillas del río Charazani.",NA,BO,2100,11,1992,PRESERVED_SPECIMEN,herb. Vásquez,Tropicos,102665855,1707,R. Vásquez;Carl A. Luer;Jane Luer;Darwin Ric,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,197052,Stenia nataliana,Stenia,nataliana,R.Vásquez & Nowicki & R.Müll.,Species,Accepted,NA,20000169-1,197052,10,11,"c(-68.842222, -15.212222)",TRUE
289555,GBIF_286934,Stenia pallida,8.05,-61.61666,1259075219,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenia,SPECIES,Lindl.,"East of Río Grande, directly E of El Palmar, swampy mature forest.",NA,VE,NA,7,1975,PRESERVED_SPECIMEN,MO,Tropicos,1822666,14962,Alwyn H. Gentry;Paul E. Berry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,197053,Stenia pallida,Stenia,pallida,Lindl.,Species,Accepted,NA,659231-1,197053,0,6,"c(-61.61666, 8.05)",TRUE
306413,GBIF_305637,Stenia pallida,-13.443333,-39.511111,1090499944,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenia,SPECIES,NA,"Estrada para os distritos de Água Branca e Julião, ca. 14,1Kmde Tancredo Neves.",NA,BR,NA,5,2005,PRESERVED_SPECIMEN,CEPLAC,CEPEC,109331,5046,A. M. Amorim,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,197053,Stenia pallida,Stenia,pallida,Lindl.,Species,Accepted,NA,659231-1,197053,6,-1,"c(-39.511111, -13.443333)",TRUE
306609,GBIF_305846,Stenia pallida,-15.391667,-39.565278,1090497755,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenia,SPECIES,NA,"RPPN Serra Bonita. 9,7 km de Camacã na estrada para Jacarecí. Daí 6 km SW na estrada para a RPPN e torre.",NA,BR,835,2,2005,PRESERVED_SPECIMEN,CEPLAC,CEPEC,106716,230,"Reginato, M",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,197053,Stenia pallida,Stenia,pallida,Lindl.,Species,Accepted,NA,659231-1,197053,6,-1,"c(-39.565278, -15.391667)",TRUE
336114,GBIF_349708,Stenia pallida,10.828088,-61.049237,4130815956,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenia,SPECIES,Lindl.,"Grande Riviere, Trinidad, W.I.",NA,TT,NA,5,2008,PRESERVED_SPECIMEN,TRIN,TRIN,TRIN50866,82,C.D. Adams;R. Ramkissoon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,197053,Stenia pallida,Stenia,pallida,Lindl.,Species,Accepted,NA,659231-1,197053,0,6,"c(-61.049237, 10.828088)",TRUE
352425,GBIF_374615,Stenia calceolaris,-3.966667,-79.066667,2269022091,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenia,SPECIES,(Garay) Dodson & D.E. Benn.,"Area of Estación Cientifica San Francisco, road Loja-Zamora ca. 35 km from Loja; moist montane forest. Transect 2 in undergrowth.",NA,EC,1750,9,2005,PRESERVED_SPECIMEN,GOET,Tropicos,101129231,1764,Florian A. Werner,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,197042,Stenia calceolaris,Stenia,calceolaris,(Garay) Dodson & D.E.Benn.,Species,Accepted,NA,947493-1,197042,1,21,"c(-79.066667, -3.966667)",TRUE
354949,GBIF_378393,Stenia vasquezii,-17.133889,-65.702222,1258613383,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenia,SPECIES,Dodson,"km 100, Cochabamba to Villa Tunari",NA,BO,1880,12,1979,PRESERVED_SPECIMEN,SEL,Tropicos,1390254,231,R. Vásquez,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,197060,Stenia vasquezii,Stenia,vasquezii,Dodson,Species,Accepted,NA,322943-2,197060,0,6,"c(-65.702222, -17.133889)",TRUE
