V1,database_id,scientificName,decimalLatitude,decimalLongitude,ID,kingdom,phylum,class,order,family,genus,taxonRank,authority,locality,country,countryCode,elevation,month,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,recordedBy,.val,.equ,.zer,.cap,.cen,.sea,.gbf,.inst,.summary,match_type,multiple_matches,match_similarity,match_edit_distance,wcvp_id,wcvp_name,wcvp_genus,wcvp_epithet,wcvp_authors,wcvp_rank,wcvp_status,wcvp_homotypic,wcvp_ipni_id,wcvp_accepted_id,wcvp_author_edit_distance,wcvp_author_lcs,geometry,native_buffer
129121,GBIF_53786,Stenoptera peruviana,-6.783889,-77.929722,1261365869,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenoptera,SPECIES,C. Presl,"Chachapoyas-Celendín road, above Celendín. Meadow.",NA,PE,3000,5,1984,PRESERVED_SPECIMEN,MO,Tropicos,650372,7295,David N. Smith;José M. Cabanillas S.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,197359,Stenoptera peruviana,Stenoptera,peruviana,C.Presl,Species,Accepted,NA,659278-1,197359,1,5,"c(-77.929722, -6.783889)",TRUE
129211,GBIF_53877,Stenoptera acuta,-16.15,-68.11666,1261371869,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenoptera,SPECIES,Lindl.,"Valle del Río Zongo. 23.6 km al N de la cumbre. Bosque nuboso, arbustivo, 4-8 m, muy húmedo, con Myrsine, Solanum, Clusia, Myrcianthes y Miconia.",NA,BO,3000,1,1988,PRESERVED_SPECIMEN,MO,Tropicos,656600,17747,James C. Solomon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,197331,Stenoptera acuta,Stenoptera,acuta,Lindl.,Species,Accepted,NA,659251-1,197331,0,6,"c(-68.11666, -16.15)",TRUE
152318,GBIF_83953,Stenoptera acuta,-16.3,-67.92,2424014568,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenoptera,SPECIES,Lindl.,1.8 km W of Unduavi on road to La Paz,NA,BO,NA,3,1984,PRESERVED_SPECIMEN,NY,NY,04157316,11959,J. C. Solomon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,197331,Stenoptera acuta,Stenoptera,acuta,Lindl.,Species,Accepted,NA,659251-1,197331,0,6,"c(-67.92, -16.3)",TRUE
182448,GBIF_127787,Stenoptera peruviana,-5.283333,-78.816667,1258399121,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenoptera,SPECIES,C. Presl,Distrito Chirinos: Camino a Chulalapa.,NA,PE,1450,2,1996,PRESERVED_SPECIMEN,MO,Tropicos,1193132,2531,José Campos de la Cruz;M. Vázquez T.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,197359,Stenoptera peruviana,Stenoptera,peruviana,C.Presl,Species,Accepted,NA,659278-1,197359,1,5,"c(-78.816667, -5.283333)",TRUE
189549,GBIF_135374,Stenoptera acuta,-16.3,-67.8,1261371621,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenoptera,SPECIES,Lindl.,"24 km NE (below) Unduavi on road to Yolosa Junction (Coroico). Cloud forest along abandoned railroad, ca. 1.5 km below (E of) Chuspipata.",NA,BO,3100,2,1980,PRESERVED_SPECIMEN,MO,Tropicos,656352,4918,James C. Solomon,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,197331,Stenoptera acuta,Stenoptera,acuta,Lindl.,Species,Accepted,NA,659251-1,197331,0,6,"c(-67.8, -16.3)",TRUE
219814,GBIF_176907,Stenoptera ciliaris,-12.664916,-73.860914,2423966117,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenoptera,SPECIES,C.Schweinf.,"Aina, between Huanta and Río Apurimac",NA,PE,875,5,1929,PRESERVED_SPECIMEN,NY,NY,04157319,22692,E. P. Killip,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,197338,Stenoptera ciliaris,Stenoptera,ciliaris,C.Schweinf.,Species,Accepted,NA,244833-2,197338,0,11,"c(-73.860914, -12.664916)",TRUE
233533,GBIF_193034,Stenoptera acuta,-16.11666,-68.1,1261373767,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenoptera,SPECIES,Lindl.,"31.7 km N (below) dam at Lago Zongo. Valle del Zongo, trail up Río Jaccha Cruz. Cloud forest with abundant epiphytes.",NA,BO,2200,3,1984,PRESERVED_SPECIMEN,MO,Tropicos,658631,11940,James C. Solomon;Bruce A. Stein;Marie E. Uehling,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,197331,Stenoptera acuta,Stenoptera,acuta,Lindl.,Species,Accepted,NA,659251-1,197331,0,6,"c(-68.1, -16.11666)",TRUE
282530,GBIF_262777,Stenoptera acuta,-16.3,-67.916667,1261374260,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenoptera,SPECIES,Lindl.,"1.8 km W of Unduavi on road to La Paz. Low forest with Solanum, Berberis, Fuchsia, Gaiadendron.",NA,BO,3300,3,1984,PRESERVED_SPECIMEN,LPB,Tropicos,659134,11959,James C. Solomon;Bruce A. Stein;Marie E. Uehling,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,197331,Stenoptera acuta,Stenoptera,acuta,Lindl.,Species,Accepted,NA,659251-1,197331,0,6,"c(-67.916667, -16.3)",TRUE
290287,GBIF_287709,Stenoptera acuta,-13.606111,-71.746944,1261391013,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenoptera,SPECIES,Lindl.,"23 km de Cusco al SE, cerros alrededor del pueblo. Presencia de Proustia, Dasyphyllum.",NA,PE,3125,3,1987,PRESERVED_SPECIMEN,MO,Tropicos,675635,7478,Percy Núñez V.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (with author),FALSE,1,0,197331,Stenoptera acuta,Stenoptera,acuta,Lindl.,Species,Accepted,NA,659251-1,197331,0,6,"c(-71.746944, -13.606111)",TRUE
354566,GBIF_377912,Stenoptera peruviana,-2.916667,-79.05,1261375222,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Stenoptera,SPECIES,C. Presl,Cuenca.,NA,EC,2500,6,1942,PRESERVED_SPECIMEN,RPSC,Tropicos,660056,3344,O. Haught,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Exact (without author),FALSE,1,0,197359,Stenoptera peruviana,Stenoptera,peruviana,C.Presl,Species,Accepted,NA,659278-1,197359,1,5,"c(-79.05, -2.916667)",TRUE
